Nome: NIQUELANDIA
Codigo Estacao: A004
Latitude: -14.46944443
Longitude: -48.48583333
Altitude: 663.53
Situacao: Desativada
Data Inicial: 2001-05-30
Data Final: 2018-06-20
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-30;null;null;null;null;
2001-05-31;null;null;null;null;
2001-06-01;null;null;null;null;
2001-06-02;1.6;24.5;53.5;2.6;
2001-06-03;0;24.4;57.1;2.8;
2001-06-04;0;null;63.1;2.6;
2001-06-05;null;24.1;56.4;2.8;
2001-06-06;0;23.8;55.3;2.4;
2001-06-07;0;24.8;55.1;2;
2001-06-08;0;null;53;2;
2001-06-09;0;24.1;51.6;3.3;
2001-06-10;0;23.3;48.5;2.1;
2001-06-11;0;23.1;52.1;2.6;
2001-06-12;0;22.9;55.1;3.9;
2001-06-13;0;22.5;56.8;2.7;
2001-06-14;0;22.8;51.9;2.7;
2001-06-15;0;22.9;49.8;2.2;
2001-06-16;0;23.4;48.5;1.7;
2001-06-17;0;24.3;48.5;1.7;
2001-06-18;0;23.5;49.8;1.5;
2001-06-19;0;23.8;51.7;1.6;
2001-06-20;0;23.3;49.2;1.9;
2001-06-21;0;21.5;64.3;1.9;
2001-06-22;0;22.9;58;1.9;
2001-06-23;0;23.9;53.5;2.8;
2001-06-24;0;25;53.1;2.4;
2001-06-25;0;23.7;52.4;3.2;
2001-06-26;0;23.2;50;2.3;
2001-06-27;0;22.7;53.3;1.5;
2001-06-28;0;22.7;53;1.7;
2001-06-29;0;23.3;46.8;1.9;
2001-06-30;0;23.7;44.1;2.6;
2001-07-01;0;22.4;46.6;2.4;
2001-07-02;0;22.7;47.3;1.5;
2001-07-03;0;23.1;45;2;
2001-07-04;0;23.4;48.8;2.5;
2001-07-05;0;23.9;48.8;1.4;
2001-07-06;0;23.8;42.2;2.6;
2001-07-07;0;23.6;44.9;3.8;
2001-07-08;0;23.2;53.7;3.6;
2001-07-09;0;23.4;49.3;3.1;
2001-07-10;0;23.3;47.6;2.2;
2001-07-11;0;23;46.7;2.1;
2001-07-12;0;24.1;45.1;1.6;
2001-07-13;0;24.8;45.6;1.5;
2001-07-14;0;24.1;49.6;3.1;
2001-07-15;1.6;23.1;46.5;3.5;
2001-07-16;0;22.5;42.3;2.7;
2001-07-17;0;23.1;47.6;2.7;
2001-07-18;0;23.9;50.7;2.3;
2001-07-19;0;24.3;52.5;2.2;
2001-07-20;0;24.9;49.2;1.9;
2001-07-21;0;25.7;44.4;1.3;
2001-07-22;0;26.9;43.5;1.3;
2001-07-23;0;26.5;40.7;1.6;
2001-07-24;0;25.7;38.5;2.7;
2001-07-25;0;25;44.6;2.6;
2001-07-26;0;24.4;45.1;3.2;
2001-07-27;0;24;43.1;2.4;
2001-07-28;0;23.4;41.8;2.1;
2001-07-29;0;24;37.2;2.2;
2001-07-30;0;23.5;39.8;2.8;
2001-07-31;0;23.2;48.8;2.8;
2001-08-01;0;22.9;48.3;2.1;
2001-08-02;0;23.2;44.8;1.8;
2001-08-03;0;23.2;41.3;3.1;
2001-08-04;0;22.4;49.3;2.5;
2001-08-05;0;22.8;39.5;1.8;
2001-08-06;0;23.7;43.3;2;
2001-08-07;0;23.3;37;3.4;
2001-08-08;0;22.4;38.4;2;
2001-08-09;0;23.5;41.4;1.8;
2001-08-10;0;23.8;36.5;2.6;
2001-08-11;0;24;35.5;3.2;
2001-08-12;0;23.3;40;2.5;
2001-08-13;0;23.4;43.2;3.5;
2001-08-14;0;22.9;41.4;3.2;
2001-08-15;0;23;39.3;2.3;
2001-08-16;0;23.2;39.5;2.9;
2001-08-17;0;23.9;36.5;3.9;
2001-08-18;0;23.6;39.1;3.2;
2001-08-19;0;24.1;41.4;2.6;
2001-08-20;0;24.9;39.8;3.7;
2001-08-21;0;25.2;31.7;3.2;
2001-08-22;0;25.5;34.8;2.1;
2001-08-23;0;26.4;34.9;1.9;
