Nome: FAINA
Codigo Estacao: A007
Latitude: -15.43333333
Longitude: -50.36666666
Altitude: 332
Situacao: Desativada
Data Inicial: 2003-02-19
Data Final: 2005-08-15
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-19;null;null;null;null;
2003-02-20;null;null;null;null;
2003-02-21;5.4;26.2;79.3;1.6;
2003-02-22;13.2;23.9;83.2;2.7;
2003-02-23;10;23.7;81.2;1.9;
2003-02-24;19.4;25.3;81.5;1.5;
2003-02-25;0;25.8;80.7;1.6;
2003-02-26;1.4;27.2;75.3;1.6;
2003-02-27;2;25.7;80.3;2.2;
2003-02-28;16;26.5;77.9;1.7;
2003-03-01;14;24.6;80.5;2.4;
2003-03-02;.4;24.3;82.8;2;
2003-03-03;30.8;25.9;75.5;1.8;
2003-03-04;0;25.5;74.4;2.9;
2003-03-05;0;26.6;66.2;2.2;
2003-03-06;0;26.1;73.5;1.8;
2003-03-07;2.6;26.1;73.1;1.9;
2003-03-08;0;25.2;82.6;1.6;
2003-03-09;.4;23.4;90.4;1.3;
2003-03-10;32.6;25.6;80.8;1.5;
2003-03-11;0;26.5;78;1.5;
2003-03-12;.2;24.4;84.7;1.8;
2003-03-13;0;24.2;85.6;2;
2003-03-14;.6;26.2;78.5;1.7;
2003-03-15;0;25.7;83;1.9;
2003-03-16;11;26.1;80.2;1.7;
2003-03-17;0;24.9;85.9;1.7;
2003-03-18;.6;24.3;80.6;2.4;
2003-03-19;10.8;24.1;83.7;1.5;
2003-03-20;0;25.8;78.2;1.5;
2003-03-21;0;25.4;80.7;1.6;
2003-03-22;14.6;23.8;88;1.9;
2003-03-23;18.8;24.7;83.4;1.7;
2003-03-24;4.2;24.2;86;1.8;
2003-03-25;14.8;24;85;2;
2003-03-26;1.8;23.1;87.3;2.2;
2003-03-27;3.6;24.7;78.5;1.9;
2003-03-28;0;25.7;76.9;2.1;
2003-03-29;4.2;24.9;83.3;1.9;
2003-03-30;43;24.2;82.5;1.5;
2003-03-31;0;25.8;80.3;1.7;
2003-04-01;11.8;24.8;84.2;1.9;
2003-04-02;0;25.9;80.2;1.5;
2003-04-03;2.2;25.8;82.1;1.5;
2003-04-04;0;26;80.3;1.9;
2003-04-05;9;26.2;76;2.1;
2003-04-06;0;26.5;78.9;1.7;
2003-04-07;0;26.3;79.9;1.4;
2003-04-08;2.4;26.3;79.3;2.1;
2003-04-09;3.2;25.8;81.4;2.2;
2003-04-10;.8;25.1;85.4;1.8;
2003-04-11;4.6;25.1;80.8;2.4;
2003-04-12;16.4;25.9;73.8;3;
2003-04-13;0;26.1;65.2;3;
2003-04-14;0;24.8;79.3;2.2;
2003-04-15;1.4;24.3;85;1.5;
2003-04-16;13.8;24.5;79.5;1.9;
2003-04-17;.2;24.4;84.3;1.7;
2003-04-18;2;25.7;77.5;2.1;
2003-04-19;0;26.6;75.4;2;
2003-04-20;0;26.7;74.9;2.3;
2003-04-21;0;26.9;69.8;2;
2003-04-22;0;25.7;70.9;2.2;
2003-04-23;0;25.2;70.5;2.4;
2003-04-24;0;25.8;69;2;
2003-04-25;0;26.2;68.5;2;
2003-04-26;0;26.2;68.8;2;
2003-04-27;0;26.6;69.5;1.8;
2003-04-28;0;26.6;66.8;2.1;
2003-04-29;0;25.8;66.2;1.8;
2003-04-30;0;25.6;66.2;1.6;
2003-05-01;0;26.6;64.5;2;
2003-05-02;0;25.4;63.1;2.2;
2003-05-03;0;25;68.3;2.3;
2003-05-04;0;26;67.8;2;
2003-05-05;0;25.6;72.7;2.1;
2003-05-06;0;25;77.6;1.9;
2003-05-07;.4;23.7;65.2;3.3;
2003-05-08;0;21.3;56;2.9;
2003-05-09;0;21.2;55.6;2.9;
2003-05-10;0;22.2;54.1;2.6;
2003-05-11;0;23.8;67.2;2.2;
2003-05-12;0;22.7;65.5;2.4;
2003-05-13;0;23;68.6;1.9;
2003-05-14;0;23.8;68.8;2;
2003-05-15;0;24.3;65.2;2.7;
2003-05-16;0;24.3;67.8;2.6;
2003-05-17;0;24.7;62.7;2.4;
2003-05-18;0;24.6;54.7;2.4;
2003-05-19;0;23.5;61.6;2.5;
2003-05-20;0;24.4;63.8;2.3;
2003-05-21;0;24.1;68.6;1.9;
2003-05-22;0;25.1;67.6;1.9;
2003-05-23;0;24.9;67.2;2.1;
2003-05-24;0;24.8;67.9;2.9;
2003-05-25;0;24.5;73.2;2.2;
2003-05-26;0;24.8;66.1;1.9;
2003-05-27;0;25.9;55.7;2.4;
2003-05-28;0;23.7;69.8;1.6;
2003-05-29;0;25.3;63.6;2.1;
2003-05-30;0;24.9;67.3;1.9;
2003-05-31;0;24.6;67.3;1.7;
2003-06-01;0;23.7;69.8;2.1;
2003-06-02;0;24.9;68.8;1.6;
2003-06-03;0;25.5;69.1;1.9;
2003-06-04;0;25.8;68.6;1.9;
2003-06-05;1.2;26.5;69.2;1.9;
2003-06-06;0;25.8;64.3;1.9;
2003-06-07;0;24.3;63.8;2.5;
2003-06-08;0;24.2;59.9;1.8;
2003-06-09;0;23.3;58.9;2.5;
2003-06-10;0;23.7;62;2.2;
2003-06-11;0;23;62.7;2;
2003-06-12;0;23.8;60.5;2.1;
2003-06-13;0;24.3;59;2.3;
2003-06-14;0;25.2;55.7;2.4;
2003-06-15;0;24.7;51.6;2.5;
2003-06-16;0;22.9;55.7;2.3;
2003-06-17;0;22.8;58.8;2;
2003-06-18;0;22.9;58.3;2.2;
2003-06-19;0;22.9;59.8;2;
2003-06-20;0;23.3;56.3;2.4;
2003-06-21;0;23.3;52.5;1.9;
2003-06-22;0;23.1;46.5;2.6;
2003-06-23;0;22.6;50.8;2.3;
2003-06-24;0;23.1;51.5;2.1;
2003-06-25;0;22.3;54;2.6;
2003-06-26;0;22.8;60.1;2.2;
2003-06-27;0;24.5;61.1;1.9;
2003-06-28;0;23.6;54.8;2.3;
2003-06-29;0;22.8;49.9;2.8;
2003-06-30;0;21.9;51.7;2.4;
2003-07-01;0;21.8;49.7;2.8;
2003-07-02;0;20.6;58.5;2.2;
2003-07-03;0;21.3;54.5;2.2;
2003-07-04;0;20.7;55.8;2;
2003-07-05;0;20.8;53.4;2;
2003-07-06;0;21;52.7;2.2;
2003-07-07;0;21.5;53;2.2;
2003-07-08;0;21.6;55.5;2.3;
2003-07-09;0;22.7;59.8;2.1;
2003-07-10;0;23.7;58.8;2.2;
2003-07-11;0;24.2;59.4;3.2;
2003-07-12;0;25.4;55.1;3.2;
2003-07-13;0;25.7;52;3.6;
2003-07-14;0;24.2;52.2;3;
2003-07-15;0;23;53.8;3.3;
2003-07-16;0;23.8;51.5;2.6;
2003-07-17;0;24;48.6;2.8;
2003-07-18;0;23.5;54;2.5;
2003-07-19;0;23.6;52.5;2.2;
2003-07-20;0;23.7;51.5;2.5;
2003-07-21;0;23.6;49.9;2;
2003-07-22;0;23.1;44;2.3;
2003-07-23;0;23.9;49.4;2.6;
2003-07-24;0;24.7;43.3;3;
2003-07-25;0;23.8;49.9;2.6;
2003-07-26;0;26.1;43;2.5;
2003-07-27;0;25.1;41.6;3.1;
