Nome: FACULDADE DA TERRA DE BRASILIA
Codigo Estacao: A008
Latitude: -15.907513
Longitude: -48.119977
Altitude: 1144.2
Situacao: Desativada
Data Inicial: 2003-06-12
Data Final: 2013-02-19
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-06-12;null;null;null;null;
2003-06-13;null;null;null;null;
2003-06-14;null;20.9;51.5;3;
2003-06-15;null;null;null;null;
2003-06-16;null;null;null;null;
2003-06-17;null;19.7;54;2.9;
2003-06-18;0;20.2;55.1;3.1;
2003-06-19;0;20.5;50.7;2.6;
2003-06-20;0;20.3;42.1;2.7;
2003-06-21;0;20.4;40.9;2.6;
2003-06-22;0;19.1;42.9;1.8;
2003-06-23;0;20;40;3.1;
2003-06-24;0;20.1;42.8;3;
2003-06-25;0;18.8;53.8;3.6;
2003-06-26;0;20.1;55.6;3;
2003-06-27;0;20.6;47.9;3.2;
2003-06-28;0;19.4;44.5;3.7;
2003-06-29;0;18.6;44.9;3.2;
2003-06-30;0;18.4;45.5;3;
2003-07-01;0;17.3;51;3.1;
2003-07-02;0;17.8;51.8;2.9;
2003-07-03;0;18.5;43;2.6;
2003-07-04;0;19.1;40.6;3.4;
2003-07-05;0;19.7;37.6;3.2;
2003-07-06;0;19.6;38.3;3.1;
2003-07-07;0;20;38.5;3.2;
2003-07-08;0;20.6;42.1;3.5;
2003-07-09;0;21.7;42.8;2.5;
2003-07-10;0;22.1;44.5;2.5;
2003-07-11;0;22.2;42.5;2.1;
2003-07-12;0;20.1;56;2.5;
2003-07-13;0;18.9;61.4;4.5;
2003-07-14;0;17;68.7;3.9;
2003-07-15;3;17;70.1;4.5;
2003-07-16;1.8;17.6;60.6;3.3;
2003-07-17;.4;18.8;55.7;3.3;
2003-07-18;1.6;18.6;57.6;3.7;
2003-07-19;12.2;18.9;52.3;3.3;
2003-07-20;0;20.1;45.6;4.3;
2003-07-21;0;20;40;4.1;
2003-07-22;3.4;19.2;48.6;4.1;
2003-07-23;0;18.6;57.8;3.8;
2003-07-24;0;18.6;52;3.7;
2003-07-25;2.8;18.6;57.5;3.1;
2003-07-26;0;19.6;53.2;3.6;
2003-07-27;0;18.7;52;4;
2003-07-28;0;19.1;51.4;3.9;
2003-07-29;0;18.9;52.2;3.2;
2003-07-30;0;20.2;44.5;3;
2003-07-31;0;20.7;44.2;3.8;
2003-08-01;0;21.5;45.9;3.7;
2003-08-02;0;21.2;49.3;4.9;
2003-08-03;0;20;48.8;5;
2003-08-04;0;19.4;50.9;4.4;
2003-08-05;0;20.8;48.3;4.2;
2003-08-06;0;22.4;43.9;3;
2003-08-07;0;23.8;38.3;2.8;
2003-08-08;0;23.2;40.1;3.5;
2003-08-09;0;23.1;36.2;4.4;
2003-08-10;0;20.7;57.2;2.2;
2003-08-11;.8;21.9;51;1.8;
2003-08-12;0;23.3;40.5;2.3;
2003-08-13;0;null;45.4;4.3;
2003-08-14;null;22;53;2.8;
2003-08-15;4;20.5;58.7;3;
2003-08-16;19.4;19.6;61.3;2.3;
2003-08-17;0;18.5;59.8;1.8;
2003-08-18;0;20.7;33.1;2.6;
2003-08-19;0;20.8;52.3;4.8;
2003-08-20;0;19.2;64.2;4.9;
2003-08-21;0;20.1;53.8;3.8;
2003-08-22;0;null;42;3.9;
2003-08-23;null;null;null;null;
2003-08-24;null;null;null;null;
2003-08-25;null;null;null;null;
2003-08-26;null;null;null;null;
2003-08-27;null;null;null;null;
2003-08-28;.2;21.3;66.4;2.8;
2003-08-29;.4;19.9;63.8;2;
2003-08-30;1.2;20.9;59;2.7;
2003-08-31;.6;21.1;68.9;2.4;
2003-09-01;.6;22.4;57.7;2.1;
2003-09-02;0;22.3;52.4;2.8;
2003-09-03;0;21.7;53;4.1;
2003-09-04;0;20.5;61.1;5.7;
2003-09-05;0;20.5;57.3;5.5;
2003-09-06;0;21;52.3;5.6;
2003-09-07;0;22;44.9;5.4;
2003-09-08;0;22.2;43;5;
2003-09-09;0;22.9;41.8;4.4;
2003-09-10;0;24.2;37.1;3.4;
2003-09-11;0;21.4;61.3;2.4;
2003-09-12;0;23.5;51.1;3.6;
2003-09-13;0;23.4;51;4.4;
2003-09-14;1.8;21.6;61.2;3.4;
2003-09-15;2.6;21.9;59.1;4.5;
2003-09-16;4.8;19.9;71.3;4.8;
2003-09-17;.2;20.5;72.1;2.4;
2003-09-18;0;22.2;63.7;3.5;
2003-09-19;0;23.2;54.6;4.8;
2003-09-20;0;23.8;51.1;5.6;
2003-09-21;0;23.5;37.5;4.9;
2003-09-22;0;22.9;42.5;3.8;
2003-09-23;0;23.9;41.1;2.5;
2003-09-24;0;26.3;28.3;3.1;
2003-09-25;0;27.9;20.1;4;
2003-09-26;0;27.6;24.4;2.8;
2003-09-27;.4;23.1;53.8;2.7;
2003-09-28;0;23;56.1;2;
2003-09-29;.4;20.5;75.2;2;
2003-09-30;.2;21.8;71.8;3;
2003-10-01;1.2;22.4;69.4;2.1;
2003-10-02;.2;23.2;59.5;5.4;
2003-10-03;0;23.3;48.1;4.9;
2003-10-04;0;24.5;44;4.8;
2003-10-05;0;null;43.5;5.1;
2003-10-06;null;25.7;37.5;3.5;
2003-10-07;0;23.3;60.5;1.7;
2003-10-08;0;22.5;67.1;3.1;
2003-10-09;0;22.2;66.5;4.6;
2003-10-10;0;22.7;61.9;3;
2003-10-11;7.2;21.2;76.6;2.1;
2003-10-12;19.2;21.5;76.4;1.9;
2003-10-13;2;20.7;76.2;3;
2003-10-14;0;20.4;72.5;4.6;
2003-10-15;0;21;63.5;4.9;
2003-10-16;0;21.7;46;4.1;
2003-10-17;0;22.7;35.3;3.7;
2003-10-18;0;24.3;29.1;3.6;
2003-10-19;0;26.1;27.8;2.6;
2003-10-20;0;26.9;25.2;3.1;
2003-10-21;0;28.2;23.5;4.1;
2003-10-22;0;23.3;59;2.8;
2003-10-23;10.8;21.3;75.4;2.6;
2003-10-24;2;18.1;89.4;4.6;
2003-10-25;2;22.1;59.3;4;
2003-10-26;0;24.4;53.1;2.9;
2003-10-27;0;21.8;66.4;2.8;
2003-10-28;10.6;20.1;77.8;2.1;
2003-10-29;.4;22.1;63.8;3.2;
