Nome: POSSE
Codigo Estacao: A017
Latitude: -14.08916666
Longitude: -46.36638888
Altitude: 830
Situacao: Operante
Data Inicial: 2007-04-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-17;null;null;null;null;
2007-04-18;null;null;null;null;
2007-04-19;null;null;null;null;
2007-04-20;null;null;null;null;
2007-04-21;0;24.1;66;2.7;
2007-04-22;0;23.8;68.5;1.8;
2007-04-23;0;25.6;60.6;2.5;
2007-04-24;0;25.5;54.5;2;
2007-04-25;0;25.4;55.5;1.8;
2007-04-26;0;25.9;54.4;2;
2007-04-27;0;26.6;52.4;1.8;
2007-04-28;0;26.4;45.1;2.8;
2007-04-29;0;24.3;59.5;2.7;
2007-04-30;0;24.7;56.3;2;
2007-05-01;0;25.7;52.5;2.4;
2007-05-02;0;25.7;51.3;2.4;
2007-05-03;0;25.7;46.5;2;
2007-05-04;0;24.2;41.6;3.2;
2007-05-05;0;23.4;46.4;3.9;
2007-05-06;0;23.4;61.5;3.3;
2007-05-07;0;24.6;59.5;2.4;
2007-05-08;0;25.7;49.5;2;
2007-05-09;0;26.2;43.5;1.8;
2007-05-10;0;25.6;49.9;3.1;
2007-05-11;0;22.4;59.5;4.2;
2007-05-12;0;22.5;53.5;3.3;
2007-05-13;0;null;52.1;2.4;
2007-05-14;null;23.8;47.8;1.6;
2007-05-15;0;25.1;39.3;1.8;
2007-05-16;0;25.2;36.5;2.9;
2007-05-17;0;24.6;44.8;3;
2007-05-18;0;24.5;48.8;2.1;
2007-05-19;0;25;48.7;1.9;
2007-05-20;0;25.1;47.6;2.4;
2007-05-21;0;24.9;46.4;2.8;
2007-05-22;0;25.2;42.2;2.2;
2007-05-23;0;25.5;41.3;2.7;
2007-05-24;0;25.2;51.4;1.3;
2007-05-25;0;22.7;63.3;2.4;
2007-05-26;0;23.6;60;2.1;
2007-05-27;0;24.6;59.3;2.3;
2007-05-28;16.6;23.9;67.6;1.7;
2007-05-29;.2;24.7;65;1.7;
2007-05-30;1.4;24;65.8;2.2;
2007-05-31;0;24.1;57;2.7;
2007-06-01;0;22.6;57.3;3.6;
2007-06-02;0;22.8;46.3;1.9;
2007-06-03;0;24.5;35;1.8;
2007-06-04;0;23.7;52.8;2.2;
2007-06-05;0;24.2;52.7;2;
2007-06-06;0;24.6;54.5;1.8;
2007-06-07;0;24.4;53.8;2.3;
2007-06-08;0;23.7;45.6;2.9;
2007-06-09;0;21.9;48.6;2.7;
2007-06-10;0;22.3;45;2.2;
2007-06-11;null;null;39.3;2.4;
2007-06-12;0;23.4;45.1;2.3;
2007-06-13;0;23.4;55;2.6;
2007-06-14;0;24.3;50.9;2.7;
2007-06-15;0;22.8;46.3;3.1;
2007-06-16;0;23.3;45.3;2.4;
2007-06-17;0;24.1;47.7;2.8;
2007-06-18;0;23.7;45.8;3.5;
2007-06-19;0;22.3;53.2;2.6;
2007-06-20;0;21.7;50.3;3.5;
2007-06-21;0;22;53.7;3.3;
2007-06-22;0;22.1;50.9;3;
2007-06-23;0;21.3;52.7;2.3;
2007-06-24;0;22.3;51.9;2.2;
2007-06-25;0;22.1;47.6;3;
2007-06-26;0;21;62.3;3.6;
2007-06-27;0;22;49.3;2.7;
2007-06-28;0;22.2;50.9;2.4;
2007-06-29;0;22.3;45.8;2.5;
2007-06-30;0;22.6;37.5;2.1;
2007-07-01;0;22.9;36.3;2.8;
2007-07-02;0;22.2;34.9;2.7;
2007-07-03;0;21.6;52.8;2.7;
2007-07-04;0;22;56.8;3.2;
2007-07-05;0;22;56.1;3.5;
2007-07-06;0;21.6;58.5;3.7;
2007-07-07;0;22.1;43.9;2.4;
2007-07-08;0;22.9;46.8;2.6;
2007-07-09;0;23.1;51.6;2.6;
2007-07-10;0;23.9;48.2;2.5;
2007-07-11;0;23.6;41.5;3.2;
2007-07-12;0;23.2;37.6;3.2;
2007-07-13;0;22.2;43.8;2.9;
2007-07-14;0;22.6;43.5;2.3;
2007-07-15;0;23.4;38.3;1.4;
2007-07-16;0;24.1;33.5;1.7;
2007-07-17;0;24.6;35;2.3;
2007-07-18;0;25.3;36.7;2.2;
2007-07-19;0;25.4;36.9;1.5;
2007-07-20;0;25.5;44.5;2.6;
2007-07-21;0;24.6;47.2;3.9;
2007-07-22;0;24.4;42.4;2.7;
2007-07-23;0;25.5;30.7;2.7;
2007-07-24;0;26.5;29;2.7;
2007-07-25;0;25.7;27.3;2.7;
2007-07-26;0;25.1;45.6;1.5;
2007-07-27;0;25.5;36.7;2.7;
2007-07-28;0;24.6;46.3;3.6;
2007-07-29;0;23.5;48.7;3.9;
2007-07-30;0;22.1;51;3.9;
2007-07-31;0;20.4;44.8;3.3;
2007-08-01;0;20.5;39.3;2.9;
2007-08-02;0;20.9;43.7;2.9;
2007-08-03;0;22.3;42.2;2.9;
2007-08-04;0;23.2;40.8;2.9;
2007-08-05;0;23.6;37.5;3;
2007-08-06;0;22.5;39.9;3.1;
2007-08-07;0;23.3;41.1;3.2;
2007-08-08;0;23.2;40.8;3.4;
2007-08-09;0;22.8;45.3;3.8;
2007-08-10;0;22.7;45.1;3.9;
2007-08-11;0;22.1;43.6;3.6;
2007-08-12;0;22.6;50.7;3.6;
2007-08-13;0;22.3;39.4;4.7;
2007-08-14;0;21.7;41.6;4.1;
2007-08-15;0;21.4;44.8;4;
2007-08-16;0;21.2;46.3;4.1;
2007-08-17;0;21.4;50.3;3.7;
2007-08-18;0;22.2;43;3.1;
2007-08-19;0;22.8;40.8;2.6;
2007-08-20;0;24.3;33.5;2.1;
2007-08-21;0;24.8;28.8;2.5;
2007-08-22;0;24.2;29.3;3.5;
2007-08-23;0;23.1;39.4;3.9;
2007-08-24;0;23.3;41.9;2.8;
2007-08-25;0;25.1;32.4;1.9;
2007-08-26;0;27.3;29.1;1.6;
2007-08-27;0;28.2;26.3;2;
2007-08-28;0;29.4;23;2.1;
2007-08-29;0;26.2;31.5;4.3;
2007-08-30;0;22.6;36.8;4.7;
2007-08-31;.4;22.6;40.5;3.5;
2007-09-01;0;23.5;33.3;3;
2007-09-02;0;23.9;31.8;3.1;
2007-09-03;0;24.2;30.9;4.5;
2007-09-04;0;23.5;45.5;4.5;
2007-09-05;0;23.4;42;4.7;
2007-09-06;0;23.5;44.9;3.5;
2007-09-07;0;24.2;38.6;3;
2007-09-08;0;24.2;40;3;
2007-09-09;0;24.1;36.2;3.1;
2007-09-10;0;24.4;37.5;3.1;
2007-09-11;0;24.9;39.5;3.4;
2007-09-12;0;25;38.5;4.1;
2007-09-13;0;24.4;34.2;4.3;
2007-09-14;0;24.5;43.4;3.8;
2007-09-15;0;25.3;36;2.7;
2007-09-16;0;27;27.7;2.3;
2007-09-17;0;29.1;21;2.4;
2007-09-18;0;27.6;33;3.8;
2007-09-19;0;27.4;32.3;3.5;
2007-09-20;0;27.3;30.8;3.7;
2007-09-21;0;26.3;25.4;3.6;
2007-09-22;.2;27.2;29.6;3.6;
2007-09-23;0;28.1;24.6;2.5;
2007-09-24;0;29.8;23.3;2.6;
2007-09-25;0;29.9;24.5;2.2;
2007-09-26;0;26.3;38.5;5.2;
