Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-01;null;null;null;null;
2007-06-02;null;null;44.3;null;
2007-06-03;0;22.9;59.2;1.3;
2007-06-04;0;23.6;63.9;2.1;
2007-06-05;0;23.2;61.3;.9;
2007-06-06;0;23.9;54.3;1.1;
2007-06-07;0;24.3;52.1;.9;
2007-06-08;0;23.9;47.8;1.3;
2007-06-09;0;22.5;48;1.6;
2007-06-10;null;null;43.5;1.5;
2007-06-11;null;null;41.5;1.2;
2007-06-12;null;null;45.6;1.3;
2007-06-13;null;null;48.3;1.6;
2007-06-14;null;null;49;1.1;
2007-06-15;null;null;45.4;1.3;
2007-06-16;null;null;38.6;1.8;
2007-06-17;null;null;39.3;1.2;
2007-06-18;null;null;43.7;1.5;
2007-06-19;null;null;43.2;1.7;
2007-06-20;null;null;47.2;1.5;
2007-06-21;null;null;48.2;1.6;
2007-06-22;null;null;49.2;1.4;
2007-06-23;null;null;49;1.3;
2007-06-24;null;null;49.2;1.2;
2007-06-25;null;null;44.9;null;
2007-06-26;null;null;52.2;null;
2007-06-27;null;null;47.7;null;
2007-06-28;null;null;44.8;1.4;
2007-06-29;null;null;42.7;1.3;
2007-06-30;null;null;41.3;null;
2007-07-01;null;null;38.2;null;
2007-07-02;null;null;38.5;1.7;
2007-07-03;null;null;36.4;null;
2007-07-04;null;null;44.7;1.4;
2007-07-05;null;null;43.8;null;
2007-07-06;null;null;49.4;2.1;
2007-07-07;null;null;42.8;1.7;
2007-07-08;null;null;39.9;null;
2007-07-09;null;null;39.6;null;
2007-07-10;null;null;41.5;1.3;
2007-07-11;null;null;42.6;1.4;
2007-07-12;null;null;37;null;
2007-07-13;null;null;36.8;null;
2007-07-14;null;null;37.4;null;
2007-07-15;null;null;39.4;1.6;
2007-07-16;null;null;37.6;null;
2007-07-17;null;null;35.5;null;
2007-07-18;null;null;39.4;null;
2007-07-19;null;null;42.2;null;
2007-07-20;null;null;41.8;null;
2007-07-21;null;null;44.7;1.8;
2007-07-22;null;null;38.1;null;
2007-07-23;null;null;40.9;1.7;
2007-07-24;null;null;42.4;1.5;
2007-07-25;null;null;49.2;null;
2007-07-26;null;null;50.6;null;
2007-07-27;null;null;37.9;null;
2007-07-28;null;null;45.1;null;
2007-07-29;null;null;46;null;
2007-07-30;null;null;42.1;null;
2007-07-31;null;null;40.2;2.5;
2007-08-01;null;null;31.2;null;
2007-08-02;null;null;31.7;1.8;
2007-08-03;null;null;33.5;1.5;
2007-08-04;null;null;33.5;1.6;
2007-08-05;null;null;31.7;1.6;
2007-08-06;null;null;31.6;2;
2007-08-07;null;null;29.5;1.4;
