Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Operante
Data Inicial: 2013-06-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-06-23;null;null;null;null;
2013-06-24;null;null;null;null;
2013-06-25;null;null;null;null;
2013-06-26;null;null;null;null;
2013-06-27;null;null;null;null;
2013-06-28;null;23.5;66.9;null;
2013-06-29;0;23.6;61.1;null;
2013-06-30;0;23.4;60.4;null;
2013-07-01;0;23;53.3;null;
2013-07-02;0;22.6;61.1;null;
2013-07-03;0;22.9;58;null;
2013-07-04;0;22.9;57;null;
2013-07-05;0;22.4;59;null;
2013-07-06;0;22;61.2;null;
2013-07-07;0;22.3;59.6;null;
2013-07-08;0;21.8;52.5;null;
2013-07-09;0;21.5;47.8;null;
2013-07-10;0;22.2;51.2;null;
2013-07-11;0;21.4;52.6;null;
2013-07-12;0;20.8;53.4;null;
2013-07-13;0;21.4;55.6;null;
2013-07-14;0;21.9;55.8;null;
2013-07-15;0;22.8;51.3;null;
2013-07-16;0;24;46.2;null;
2013-07-17;0;22.9;49.2;null;
2013-07-18;0;23.2;55;null;
2013-07-19;0;24.3;57.3;null;
2013-07-20;0;24.5;57.3;null;
2013-07-21;0;25.8;45.7;null;
2013-07-22;0;25;52.5;null;
2013-07-23;0;18.7;69.8;null;
2013-07-24;0;16;56;null;
2013-07-25;0;15.9;51.6;null;
2013-07-26;0;19.2;50.9;null;
2013-07-27;0;21.7;42.8;null;
2013-07-28;0;22.1;41.7;null;
2013-07-29;0;21.7;42.3;null;
2013-07-30;0;22.5;39.1;null;
2013-07-31;0;24.3;37;null;
2013-08-01;0;23.1;45.1;null;
2013-08-02;0;22.9;42.6;null;
2013-08-03;0;22.6;39.8;null;
2013-08-04;0;22.5;41.9;null;
2013-08-05;0;23.2;39.5;null;
2013-08-06;0;23.3;42.4;null;
2013-08-07;0;23;41.4;null;
2013-08-08;0;23.6;41.5;null;
2013-08-09;0;23.7;41.5;null;
2013-08-10;0;23.7;45.8;null;
2013-08-11;0;20.1;52.8;null;
2013-08-12;0;22.9;43.6;null;
2013-08-13;0;24.8;41.4;null;
2013-08-14;0;23.6;45.3;null;
2013-08-15;0;18.8;39.8;null;
2013-08-16;0;21.9;34.1;null;
2013-08-17;0;24.7;35.2;null;
2013-08-18;0;24.6;33.8;null;
2013-08-19;0;24.8;42;null;
2013-08-20;0;24.3;38.2;null;
2013-08-21;0;23.9;36.3;null;
2013-08-22;0;24.8;37.2;null;
2013-08-23;0;25;41;null;
2013-08-24;0;26.2;40.3;null;
2013-08-25;0;26.6;39;null;
2013-08-26;0;26;42.6;null;
2013-08-27;0;20.7;44.5;null;
2013-08-28;0;18.6;37.8;null;
2013-08-29;0;23.1;26.8;null;
2013-08-30;0;26;36.4;null;
2013-08-31;0;26.3;48.1;null;
2013-09-01;0;25.8;40.3;null;
2013-09-02;0;25.7;33.7;null;
2013-09-03;0;24.5;46.9;null;
2013-09-04;0;24.2;56;null;
2013-09-05;0;25.1;51.5;null;
2013-09-06;0;26.8;47.7;null;
2013-09-07;0;26;48.3;null;
2013-09-08;0;26.6;46.6;null;
2013-09-09;0;26.8;33.5;null;
2013-09-10;0;26.5;30.7;null;
2013-09-11;0;25.9;33.5;null;
2013-09-12;0;26;31.5;null;
2013-09-13;0;25.5;30.1;null;
2013-09-14;0;26.6;31.6;null;
2013-09-15;0;26.9;36.1;null;
2013-09-16;0;28.1;37;null;
2013-09-17;0;27.2;48.2;null;
2013-09-18;7.2;23.2;75.9;null;
2013-09-19;0;26.6;60.3;null;
2013-09-20;0;28.9;45.2;null;
2013-09-21;0;28.7;45;null;
