Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2017-06-28
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-06-28;null;null;null;null;
2017-06-29;null;null;null;null;
2017-06-30;null;null;null;null;
2017-07-01;null;24.9;55.8;null;
2017-07-02;0;24.5;54.1;null;
2017-07-03;0;24.6;53;null;
2017-07-04;0;23.9;53.2;null;
2017-07-05;0;23.1;53.4;null;
2017-07-06;0;22.9;52.9;null;
2017-07-07;0;23.6;57.6;null;
2017-07-08;0;24.5;55.8;null;
2017-07-09;0;24;55.3;null;
2017-07-10;0;23.5;53.1;null;
2017-07-11;0;24.2;55.7;null;
2017-07-12;0;25.5;55.9;null;
2017-07-13;0;24.8;53.8;null;
2017-07-14;0;24.1;51;null;
2017-07-15;0;23.3;56.4;null;
2017-07-16;0;23.9;52;null;
2017-07-17;0;23.7;51.1;null;
2017-07-18;0;23;56;null;
2017-07-19;0;23.6;57.3;null;
2017-07-20;0;25.4;55.5;null;
2017-07-21;0;25.3;52;null;
2017-07-22;0;26.1;50.3;null;
2017-07-23;0;26.1;47.2;null;
2017-07-24;0;25.2;41.7;null;
2017-07-25;0;25.1;45.9;null;
2017-07-26;0;25;46.3;null;
2017-07-27;0;23.7;46.8;null;
2017-07-28;0;24;47.1;null;
2017-07-29;0;24.9;48;null;
2017-07-30;0;24.5;50.1;null;
2017-07-31;0;23.9;46;null;
2017-08-01;0;23.4;50.3;null;
2017-08-02;0;24.5;48.2;null;
2017-08-03;0;25.4;46.2;null;
2017-08-04;0;25.4;49;null;
2017-08-05;0;27.5;38.7;null;
2017-08-06;0;27.4;40.1;null;
2017-08-07;0;26.6;47.3;null;
2017-08-08;0;27.5;50.8;null;
2017-08-09;0;28.2;50.5;null;
2017-08-10;0;28.3;46.7;null;
2017-08-11;0;28.8;44;null;
2017-08-12;0;28;39.8;null;
2017-08-13;0;28.3;37.6;null;
2017-08-14;0;28.3;44.7;null;
2017-08-15;0;28.9;43.3;null;
2017-08-16;0;28;42.3;null;
2017-08-17;0;27.9;43.7;null;
2017-08-18;0;28;45;null;
2017-08-19;0;28.5;41.5;null;
2017-08-20;0;28;38.5;null;
2017-08-21;0;null;47.1;null;
2017-08-22;null;28.8;46.9;null;
2017-08-23;0;27.4;44.3;null;
2017-08-24;0;27.2;45.3;null;
2017-08-25;0;27.8;44.3;null;
2017-08-26;0;28.3;43.8;null;
2017-08-27;0;28.4;45.1;null;
2017-08-28;0;28.7;41.5;null;
2017-08-29;0;28.8;40.9;null;
2017-08-30;0;30.5;36.9;null;
2017-08-31;0;29.8;37.3;null;
2017-09-01;0;29.1;35.1;null;
2017-09-02;0;29;29.7;null;
2017-09-03;0;27.5;37.4;null;
2017-09-04;0;26.8;39.4;null;
2017-09-05;0;26.4;37.9;null;
2017-09-06;0;27.4;41.2;null;
2017-09-07;0;null;44.6;null;
2017-09-08;0;29.6;45.8;null;
2017-09-09;null;null;42.6;null;
2017-09-10;0;29.1;37.2;null;
2017-09-11;0;29.4;39.7;null;
2017-09-12;0;29.6;40.6;null;
2017-09-13;0;28.7;37.2;null;
2017-09-14;0;28.1;37;null;
2017-09-15;0;29.2;36.6;null;
2017-09-16;0;29.1;33.2;null;
2017-09-17;0;27.7;35.2;null;
2017-09-18;null;null;35.2;null;
2017-09-19;null;null;34.8;null;
2017-09-20;0;29.3;37.5;null;
2017-09-21;0;26.9;45.5;null;
2017-09-22;0;27.1;51.7;null;
2017-09-23;0;29.6;42.3;null;
2017-09-24;0;30.1;37.2;null;
2017-09-25;0;30.4;35.1;null;
2017-09-26;0;30.7;35.9;null;
2017-09-27;0;30.3;44.3;null;
2017-09-28;0;29.4;42.3;null;
2017-09-29;0;31.2;40.1;null;
2017-09-30;0;29.2;52.8;null;
2017-10-01;0;29.4;56.8;null;
2017-10-02;0;27.4;69;null;
2017-10-03;29;24.2;74;null;
2017-10-04;0;27.5;65;null;
2017-10-05;0;30.2;54.6;null;
2017-10-06;0;30.7;48.3;null;
2017-10-07;0;30.6;47.5;null;
2017-10-08;0;30;49.2;null;
2017-10-09;null;null;60.5;null;
2017-10-10;0;29.4;59.8;null;
2017-10-11;0;30.3;55.3;null;
2017-10-12;0;30.4;47.1;null;
2017-10-13;0;30.2;45.5;null;
2017-10-14;0;29.9;51;null;
