Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.57638888
Longitude: -49.72333332
Altitude: 186.69
Situacao: Operante
Data Inicial: 2012-11-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-23;null;null;null;null;
2012-11-24;null;null;null;null;
2012-11-25;null;null;null;null;
2012-11-26;null;null;null;null;
2012-11-27;null;null;80.3;null;
2012-11-28;4.8;26.5;79.3;1.5;
2012-11-29;8.6;25.2;88.5;1.7;
2012-11-30;7.2;25.3;86;1.9;
2012-12-01;6.8;25;86.6;1.8;
2012-12-02;13.8;26.4;81.5;1.6;
2012-12-03;59;23.3;92;2.2;
2012-12-04;5.8;24.8;82.5;1;
2012-12-05;0;25.1;82.8;2;
2012-12-06;8.8;26.3;79.3;1.4;
2012-12-07;0;25.8;82.1;2.1;
2012-12-08;3;26.2;80.9;1.8;
2012-12-09;.2;26.4;80.2;1.4;
2012-12-10;.8;25.7;81.3;2;
2012-12-11;0;25.1;83.6;1.8;
2012-12-12;1.6;25.7;78.4;1.9;
2012-12-13;.8;26.1;82.1;1.4;
2012-12-14;.8;25.9;82.9;1.8;
2012-12-15;10.8;26.1;80.8;1.4;
2012-12-16;0;24.1;85.6;2.3;
2012-12-17;26.4;24.7;81.9;1.4;
2012-12-18;0;26;81.9;1.2;
2012-12-19;5;26.6;77.7;1.7;
2012-12-20;1.8;25.3;82.6;1.3;
2012-12-21;1.4;25.6;80.1;1.4;
2012-12-22;5.2;26.8;75.5;1.6;
2012-12-23;0;26.3;80.5;1.4;
2012-12-24;0;24.8;86.5;1.6;
2012-12-25;6;24;87.5;1.7;
2012-12-26;12;24.5;84.5;1.6;
2012-12-27;1.4;25.1;83;1.8;
2012-12-28;4.4;24.3;83.2;2.2;
2012-12-29;75.6;24.6;81.9;2.1;
2012-12-30;.2;26;79;1.2;
2012-12-31;0;27.4;76.5;1.3;
2013-01-01;0;26.2;79.2;1.4;
2013-01-02;4.2;24;85.8;1.7;
2013-01-03;12.2;25.1;82.2;1.3;
2013-01-04;16.4;26.1;78.2;1.7;
2013-01-05;.6;23.8;90.1;1.5;
2013-01-06;29;25.9;80.9;1.5;
2013-01-07;1.2;24.9;86.7;1.6;
2013-01-08;2.6;25.9;82;1.6;
2013-01-09;8.6;25.6;86.7;2.1;
2013-01-10;9.8;25.8;83.2;1.2;
2013-01-11;5;24.5;88.4;2.1;
2013-01-12;27.2;22.3;93.3;2.2;
2013-01-13;17.4;23.3;87.8;1.5;
2013-01-14;0;25.2;81.7;2.3;
2013-01-15;.2;24.3;84.2;1.7;
2013-01-16;23.4;24.7;84.8;1.4;
2013-01-17;5.6;26.2;81.5;1.5;
2013-01-18;0;26.2;83.3;1.8;
2013-01-19;45.2;26.2;84.4;2.7;
2013-01-20;15.2;23.2;92.5;2;
2013-01-21;5.2;25.7;81.5;1.1;
2013-01-22;0;26.7;83.2;1.4;
2013-01-23;35.2;25.9;86.3;2.3;
2013-01-24;21.4;24.8;89.6;1.8;
2013-01-25;108.2;24.1;91.5;2.1;
2013-01-26;3.8;24.9;86.3;1.6;
2013-01-27;.4;26.1;85.7;1.1;
2013-01-28;36.6;26.4;83.2;1.6;
2013-01-29;31.8;25.5;85.5;1.8;
2013-01-30;11.8;25.5;85.3;1.5;
2013-01-31;0;25.4;90.3;1;
2013-02-01;36.4;25.4;85;1.9;
2013-02-02;44.4;25.4;84.9;1.4;
2013-02-03;0;26.4;82;1.3;
2013-02-04;0;27.1;78.7;1.3;
2013-02-05;1.4;25.6;83.9;2.3;
2013-02-06;22.6;24.4;87.4;1.3;
2013-02-07;.2;25.9;82.4;1.2;
2013-02-08;4.6;25.5;83.3;1.6;
2013-02-09;11;24.1;90.4;1.6;
2013-02-10;22;24.6;86.5;1.7;
2013-02-11;9;24.3;90;1.8;
2013-02-12;9.2;24.8;85.7;1.1;
2013-02-13;0;24.7;85.5;1.7;
2013-02-14;12.4;25.5;80.8;1.2;
2013-02-15;0;25.7;82.6;1.6;
2013-02-16;68.2;23.9;89.5;1.9;
2013-02-17;2.6;24.9;86.7;1.7;
2013-02-18;4.4;26;81.5;1.3;
2013-02-19;9.6;25.6;84.4;2.1;
2013-02-20;.2;26.5;82.1;1.3;
2013-02-21;0;26.4;81.6;1.4;
2013-02-22;0;26.8;78.1;1.1;
2013-02-23;.4;24.9;87.8;1.5;
2013-02-24;6.2;24.1;88.9;1.8;
2013-02-25;9.2;25.3;81;1.7;
2013-02-26;0;25.4;86.5;2.2;
2013-02-27;27.2;24.7;88;1.3;
2013-02-28;2.2;25.7;85.3;1.3;
2013-03-01;6.2;25.1;84.8;1.6;
2013-03-02;.8;26.1;84.1;1.7;
