Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2017-07-18
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-07-18;null;null;null;null;
2017-07-19;null;null;null;null;
2017-07-20;null;20.6;38.6;2.1;
2017-07-21;0;21.1;38;2.4;
2017-07-22;0;21.2;37.9;2.4;
2017-07-23;0;20.2;35.7;4.1;
2017-07-24;0;17.9;47.2;3.7;
2017-07-25;0;18.6;49.5;3.5;
2017-07-26;0;17.2;48.8;3.5;
2017-07-27;0;16.9;52.8;3.5;
2017-07-28;0;17.9;52.7;4.2;
2017-07-29;0;18.4;54.4;4.3;
2017-07-30;0;16.9;59.8;3.7;
2017-07-31;0;16.4;52.8;3;
2017-08-01;0;18.2;44.5;3.2;
2017-08-02;0;19.6;38.8;2.4;
2017-08-03;0;21.2;34.6;1.4;
2017-08-04;0;21.3;40.7;2;
2017-08-05;0;21.6;40.6;2.2;
2017-08-06;0;21.7;38.4;2.5;
2017-08-07;0;22.2;47.8;3.1;
2017-08-08;0;22.7;44.6;2.7;
2017-08-09;0;24;36.7;1.7;
2017-08-10;0;24.6;36.8;2.4;
2017-08-11;0;24.7;null;3.4;
2017-08-12;0;23.7;30.3;3.2;
2017-08-13;0;23.1;33.5;2.9;
2017-08-14;0;24.2;29.3;2.2;
2017-08-15;0;24.6;28.3;3.6;
2017-08-16;0;23.7;34.1;3.8;
2017-08-17;0;23.3;34.6;2.7;
2017-08-18;0;24.1;27.6;2.6;
2017-08-19;0;24.5;28.8;2.8;
2017-08-20;0;24.4;29;2.5;
2017-08-21;0;null;48.9;null;
2017-08-22;null;22.1;51.8;4.3;
