Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-02-06;null;null;null;null;
2017-02-07;null;null;null;null;
2017-02-08;null;null;null;null;
2017-02-09;null;null;null;null;
2017-02-10;null;20.7;94.6;1.6;
2017-02-11;68.2;20.7;91.8;2.6;
2017-02-12;16.4;20.5;91.2;3.4;
2017-02-13;null;null;90.7;3;
2017-02-14;5.8;21.3;77.5;3.5;
2017-02-15;.2;21.2;70;3.2;
2017-02-16;.8;21.1;81.4;2.3;
2017-02-17;0;22.3;77.4;1.4;
2017-02-18;null;null;63.6;2.3;
2017-02-19;0;22.9;69.2;2.6;
2017-02-20;0;22.4;70.5;2.6;
2017-02-21;0;21.5;73.7;3.5;
2017-02-22;0;21.8;73.8;2.8;
2017-02-23;3.4;22.3;72.7;2.5;
2017-02-24;0;22.2;72.5;2.4;
2017-02-25;44.4;21.2;82;null;
2017-02-26;22.2;20;88.9;null;
2017-02-27;2.2;20.8;85.9;null;
2017-02-28;18.6;21;85.8;null;
2017-03-01;.2;21.4;79.4;null;
2017-03-02;0;21.7;82.8;null;
2017-03-03;2.8;22.4;80.8;null;
2017-03-04;0;23.1;70;null;
2017-03-05;0;22;74.7;null;
2017-03-06;0;23.4;74.4;null;
2017-03-07;0;24.4;63.2;1.8;
2017-03-08;0;24.6;60;2;
2017-03-09;0;24;69.9;2.2;
2017-03-10;0;23.5;72.3;2.3;
2017-03-11;0;23.5;69;2.8;
2017-03-12;0;23.6;61.6;2.8;
2017-03-13;0;23.1;64.8;2.3;
2017-03-14;0;22;74.6;2.4;
2017-03-15;15.6;22.3;72.3;2.6;
2017-03-16;0;22;73.8;1.9;
2017-03-17;0;23.2;71.6;2.1;
2017-03-18;3.8;21.5;80.5;1.9;
2017-03-19;39.8;20.2;88.5;null;
2017-03-20;2;20.7;89.7;null;
2017-03-21;3.6;21.9;84.7;null;
2017-03-22;7.4;22.1;81.9;null;
2017-03-23;0;23.2;73.7;null;
2017-03-24;0;23.2;69.1;null;
2017-03-25;0;23.1;70.4;null;
2017-03-26;0;23.7;71.8;null;
2017-03-27;0;22.7;78.9;null;
2017-03-28;4.6;21.9;82.9;null;
2017-03-29;32;21.1;88.7;null;
2017-03-30;24;20.9;88.6;null;
2017-03-31;.2;22.9;74.4;null;
2017-04-01;2.8;22.1;79.8;null;
2017-04-02;1.4;21.1;83.1;null;
2017-04-03;0;21.7;81.6;null;
2017-04-04;0;21.6;83.8;null;
2017-04-05;0;22.6;79.5;null;
2017-04-06;0;23.3;77;null;
2017-04-07;0;23.4;75;null;
2017-04-08;0;22.8;68.4;null;
2017-04-09;0;22.2;66.3;null;
2017-04-10;0;22.2;66.4;null;
2017-04-11;0;23;63.7;null;
2017-04-12;0;23.5;64.5;null;
2017-04-13;0;23.7;69.8;null;
2017-04-14;0;22.8;74.9;null;
2017-04-15;0;22;73.8;null;
2017-04-16;0;22.2;71;null;
2017-04-17;0;23;66;null;
2017-04-18;.2;23.6;60.8;1.7;
2017-04-19;0;22.8;65;2.7;
2017-04-20;0;21.9;72.2;2.5;
2017-04-21;0;20.9;77.1;1.9;
2017-04-22;0;22.5;76.3;1.6;
2017-04-23;0;21.8;76.9;1.6;
2017-04-24;.6;21.6;81;1.8;
2017-04-25;4.8;22.2;80.2;2.3;
2017-04-26;0;22.6;77.7;1.7;
2017-04-27;0;21.7;81.3;1.9;
2017-04-28;0;21.3;86;2.2;
2017-04-29;0;22.8;78;2.9;
2017-04-30;0;21.5;74.7;3.5;
2017-05-01;0;19.3;80.5;3.4;
2017-05-02;0;19.2;78.3;3.4;
2017-05-03;0;19.2;79.7;2.7;
2017-05-04;0;19.8;69.2;2.8;
2017-05-05;0;20.1;72.9;1.8;
2017-05-06;0;21.5;66.5;1.2;
2017-05-07;0;21.6;70.5;2;
2017-05-08;0;21.9;68;1.7;
2017-05-09;.2;21.7;65.5;1.6;
2017-05-10;0;20.9;49.3;2;
2017-05-11;0;21.1;53.7;1.9;
2017-05-12;0;20.8;61;2.7;
2017-05-13;0;21.2;61.5;1.8;
2017-05-14;0;22.4;61.7;1.4;
2017-05-15;0;22.4;71.1;1.7;
2017-05-16;1.2;22;78.8;1.4;
2017-05-17;1.6;21.4;82.3;2;
2017-05-18;4.4;20.4;88.7;1.9;
2017-05-19;0;20.6;88.6;2;
2017-05-20;1.4;19.8;91.8;1.6;
2017-05-21;8.6;19.7;90.9;2.2;
2017-05-22;0;22.3;79.3;1.9;
2017-05-23;0;22.7;75.6;1.9;
2017-05-24;0;22;76.5;2.7;
2017-05-25;0;20.3;77.8;2.4;
2017-05-26;0;20.2;75;2.6;
2017-05-27;0;19.8;73;2.4;
2017-05-28;0;19.7;71.9;2.3;
2017-05-29;0;19.9;72;2.2;
2017-05-30;0;20.3;69.8;2;
2017-05-31;0;21;66.3;1.7;
2017-06-01;0;null;67.9;1.4;
2017-06-02;null;21.9;76.4;1.4;
2017-06-03;0;21.9;75;2.6;
2017-06-04;0;21.7;69;2.6;
2017-06-05;0;21.2;68.2;2;
2017-06-06;0;21.1;67.6;1.8;
2017-06-07;0;20.6;66.8;2;
2017-06-08;0;21.5;62.5;1.7;
2017-06-09;0;22.4;58.4;1.4;
2017-06-10;0;19.3;76.3;1.9;
2017-06-11;0;20.3;63.9;2.1;
2017-06-12;0;21.9;61.2;1.6;
2017-06-13;0;20.9;63.4;2.3;
2017-06-14;0;21.2;60.6;2.8;
2017-06-15;0;20.5;65.6;3.3;
2017-06-16;0;18.8;65.2;2.9;
2017-06-17;0;18.7;61;2.1;
2017-06-18;0;18.6;59.5;1.8;
2017-06-19;0;19.7;54.4;1.7;
2017-06-20;0;20.5;48.9;2.1;
2017-06-21;0;19.7;52.4;3.4;
2017-06-22;0;17.4;64.1;4.2;
2017-06-23;0;17.4;74.1;4.4;
2017-06-24;0;17.6;66.3;3.2;
2017-06-25;0;17.1;63.8;3.6;
2017-06-26;0;16.9;70.8;3.8;
2017-06-27;0;17.8;64.2;3.9;
2017-06-28;0;18;61.9;3.8;
2017-06-29;0;17.9;62.8;3.3;
2017-06-30;0;18.4;55.4;2.6;
2017-07-01;0;19;50.9;2.7;
2017-07-02;0;18.5;43.8;3.5;
2017-07-03;0;16.2;59.4;4.2;
2017-07-04;0;15;64.6;4.7;
2017-07-05;0;13.8;67.5;4.1;
2017-07-06;0;14.9;67.1;3.2;
2017-07-07;0;16.4;68;3.3;
2017-07-08;0;16.4;68.9;3.4;
2017-07-09;0;16;66.1;3.7;
2017-07-10;0;16.2;71;3.4;
2017-07-11;0;17.9;69.6;3.1;
2017-07-12;0;18.7;59;3.3;
2017-07-13;0;18.4;56.1;3.4;
2017-07-14;0;17.4;56.8;3.1;
2017-07-15;0;17;59.8;3;
2017-07-16;0;16.6;57.1;2.6;
2017-07-17;0;17.8;54.4;2;
2017-07-18;0;18.4;51.1;2.4;
2017-07-19;0;16.8;61.5;2.2;
2017-07-20;0;19.1;47.7;2.3;
2017-07-21;0;19.6;47.4;2.1;
2017-07-22;0;20.8;42.8;2.2;
2017-07-23;0;19.4;39.4;3.3;
2017-07-24;0;17.2;50.2;3.5;
2017-07-25;0;17.6;56.7;3.3;
2017-07-26;0;16.4;54.3;3.7;
2017-07-27;0;15.7;59.9;3.8;
2017-07-28;0;16.5;58.6;4;
2017-07-29;0;18.3;58.5;5.3;
2017-07-30;0;16;64.8;4.3;
2017-07-31;0;15.8;58.2;3.2;
2017-08-01;0;17.2;51.9;2.4;
2017-08-02;0;18.9;43.9;1.7;
2017-08-03;0;21;38.5;1.8;
2017-08-04;0;21.1;44.9;2.1;
2017-08-05;0;20.6;44.8;2.3;
2017-08-06;0;20.6;48;2.6;
2017-08-07;0;20.3;57.8;2.9;
2017-08-08;0;21.5;50.2;2.2;
2017-08-09;0;23;41.5;1.7;
2017-08-10;0;23.9;34.9;2.1;
2017-08-11;0;23.2;33.6;1.9;
2017-08-12;0;21.3;39.9;2.4;
2017-08-13;0;21.6;42;2.5;
2017-08-14;0;23.3;33;2.1;
2017-08-15;0;23;36;2.3;
2017-08-16;0;21;45.4;3;
2017-08-17;0;22;37.8;2.2;
2017-08-18;0;23.1;31.1;1.8;
2017-08-19;0;23.3;34;2.3;
2017-08-20;0;23.8;33.9;2.4;
2017-08-21;0;null;55.6;null;
2017-08-22;null;21.8;54.5;4.5;
2017-08-23;0;19.8;60.8;4.9;
2017-08-24;0;19.2;62.6;3.6;
2017-08-25;0;19.3;59.8;2.8;
2017-08-26;0;20.7;50.4;2.6;
2017-08-27;0;21.7;39.8;2;
2017-08-28;0;22.8;32;2.3;
2017-08-29;0;22.6;31.3;2.5;
2017-08-30;0;23.4;28.8;2.3;
2017-08-31;0;24.9;25.7;2.3;
2017-09-01;0;23.3;30.6;3.3;
2017-09-02;0;20.2;50.3;3.8;
2017-09-03;0;19.1;55;3.5;
2017-09-04;null;null;48.7;2.9;
2017-09-05;0;19.1;39.8;2.2;
2017-09-06;0;null;38.8;2.2;
2017-09-07;null;null;37.8;2.3;
2017-09-08;null;null;35.3;3.1;
2017-09-09;0;21.2;36.4;3.4;
2017-09-10;0;21.9;41;2.6;
2017-09-11;0;22.4;45.4;3.2;
