Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-07-29;null;null;null;null;
2016-07-30;null;null;35.5;null;
2016-07-31;.4;25.6;48.5;3.5;
2016-08-01;0;26;46.3;2.2;
2016-08-02;0;26.5;null;3;
2016-08-03;0;26.6;50.1;2.1;
2016-08-04;0;27;50.1;2.5;
2016-08-05;0;27.2;null;2.8;
2016-08-06;0;26.7;null;2.2;
2016-08-07;0;27.1;47.2;1.9;
2016-08-08;0;26.9;48.7;1.8;
2016-08-09;0;26.9;76.3;1.6;
2016-08-10;0;27.7;43.7;1.6;
2016-08-11;0;27.5;79.3;2;
2016-08-12;0;26.7;65.4;2.6;
2016-08-13;11.2;26.7;77.8;1.7;
2016-08-14;0;27.3;86;2;
2016-08-15;0;27.2;null;1.8;
2016-08-16;0;27.7;79.9;2.2;
2016-08-17;0;28.3;null;1.8;
2016-08-18;0;28.4;null;1.9;
2016-08-19;0;27.9;null;2.1;
2016-08-20;0;27.8;null;2.3;
2016-08-21;0;27.3;61.2;1.6;
2016-08-22;0;28.3;49.6;1.7;
2016-08-23;0;27.1;73.5;1.9;
2016-08-24;0;26.6;81.1;2.3;
2016-08-25;0;27.8;48.3;2.2;
2016-08-26;0;28;50.7;2.2;
2016-08-27;0;28.1;null;2.6;
2016-08-28;0;27.8;62.7;2.1;
2016-08-29;0;27.9;null;2.4;
2016-08-30;0;27.5;78.6;2.4;
2016-08-31;0;28;null;2.2;
2016-09-01;0;28.6;null;2.1;
2016-09-02;0;28.2;null;2.1;
2016-09-03;0;28.1;71.6;2;
2016-09-04;0;28.1;67;2;
2016-09-05;0;28.4;null;2.2;
2016-09-06;0;28.2;63.8;2.1;
2016-09-07;0;28.7;null;2.1;
2016-09-08;4.8;26.4;76.7;2.9;
2016-09-09;27;25.9;82.9;1.8;
2016-09-10;17.4;28;80.7;2;
2016-09-11;0;27.9;61.6;2;
2016-09-12;0;28;76.4;1.9;
2016-09-13;0;27.7;71.4;2.3;
2016-09-14;0;28.7;null;1.9;
2016-09-15;0;28;72.8;2.6;
2016-09-16;0;28.3;65.4;2;
2016-09-17;20;25.2;82.1;1.9;
2016-09-18;1;27.2;82.4;1.9;
2016-09-19;0;27.4;71.9;1.8;
2016-09-20;0;27.5;82.1;1.9;
2016-09-21;0;28;69.2;1.9;
2016-09-22;0;28.2;67.5;2.3;
2016-09-23;12;24.6;87;2.4;
2016-09-24;7.8;26.7;77.2;1.9;
2016-09-25;9;24.7;87.6;2.4;
2016-09-26;28.8;24.2;85.8;1.2;
2016-09-27;0;26.2;80.3;2;
2016-09-28;.4;25.9;82.1;2;
2016-09-29;0;24.8;87.8;2.1;
2016-09-30;16;23;92.9;2.5;
2016-10-01;43.6;25.2;85.5;1.6;
