Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.09277777
Longitude: -48.4786111
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-10;null;null;null;null;
2016-11-11;null;25.8;84.2;1.7;
2016-11-12;0;23.5;94.1;1.3;
2016-11-13;40.2;25.2;85.8;1.2;
2016-11-14;2.4;27.3;78.9;1.1;
2016-11-15;20.2;25;84;2.7;
2016-11-16;.2;25.3;84.3;1.9;
2016-11-17;0;25.4;86.8;1.5;
2016-11-18;3;24.4;91.8;1.4;
2016-11-19;1.8;25.6;86.1;1.3;
2016-11-20;26.8;24.5;91.7;1.7;
2016-11-21;7.2;26.2;79.3;2;
2016-11-22;.2;26.2;81.6;1.6;
2016-11-23;4;26.7;81.3;1.3;
2016-11-24;.8;26.9;82.3;1.1;
2016-11-25;8.4;26.9;85.4;1.3;
2016-11-26;3.4;28.3;73.2;1.7;
2016-11-27;0;28.2;73.2;1.5;
2016-11-28;0;28.5;69.9;1.3;
2016-11-29;0;28.6;69.1;1.8;
2016-11-30;0;27.5;73.9;2.4;
2016-12-01;0;27.1;77.5;2.3;
2016-12-02;4.8;25.7;80.3;2;
2016-12-03;0;26.8;79.8;1.3;
2016-12-04;0;26.8;78.6;2;
2016-12-05;0;25;87;1.3;
2016-12-06;32;26.7;78.9;1.2;
2016-12-07;.2;26.1;78.7;1.8;
2016-12-08;.4;24.7;87.9;1.4;
2016-12-09;6.4;25.6;84.4;1.6;
2016-12-10;5.2;25.1;87.1;1.3;
2016-12-11;.2;26;82.9;1.5;
2016-12-12;6.2;25.2;90;1.3;
2016-12-13;44.2;26;83.9;1.6;
2016-12-14;18;24.8;87.2;1.7;
2016-12-15;.4;24;90;1.4;
2016-12-16;8.4;25.2;84.8;1.7;
2016-12-17;.4;24.8;87.2;1.7;
2016-12-18;9;24.2;87.4;1.5;
2016-12-19;.4;25.2;80.3;1.8;
2016-12-20;.2;25.9;76.4;1.7;
2016-12-21;0;25.4;83.7;1.4;
2016-12-22;0;27.3;77.2;1.1;
2016-12-23;0;28.5;73.3;1.7;
2016-12-24;0;28.3;75.2;2;
2016-12-25;0;27.2;77.4;2.4;
2016-12-26;0;27.4;77.7;1.7;
2016-12-27;0;26.4;78.6;1.3;
2016-12-28;0;24.7;87;1.4;
2016-12-29;3;24.7;87.4;1.6;
2016-12-30;1.8;25.5;86;1.2;
2016-12-31;2.6;26.4;82.3;1.4;
2017-01-01;0;27;76.5;1.2;
2017-01-02;0;26.3;82.3;1.6;
2017-01-03;8.4;24;90.1;1.6;
2017-01-04;22.4;25.4;83.1;1.5;
2017-01-05;0;23.8;89.2;1.7;
2017-01-06;11.4;26.3;80.8;1.3;
2017-01-07;0;26;84.6;1.7;
2017-01-08;22.8;24.7;87;2.3;
2017-01-09;15.4;25.1;85.2;1.8;
2017-01-10;.2;26.1;81.8;1.9;
2017-01-11;0;23.5;91;1.8;
2017-01-12;9;25.9;77.5;1.3;
2017-01-13;0;25.4;82.9;1.3;
2017-01-14;0;23.5;87.2;1.7;
2017-01-15;1.2;25.6;80.2;1.5;
2017-01-16;53.8;24.8;86.5;2;
2017-01-17;5;25.1;86.2;1.1;
2017-01-18;3.6;23.3;91.8;1.9;
2017-01-19;23.4;24.7;85.8;1.3;
2017-01-20;.2;25.8;82.9;1.6;
2017-01-21;11.4;25.7;83.3;1.5;
2017-01-22;.2;25.7;82.1;1.4;
2017-01-23;12.6;24.7;88.2;1.7;
2017-01-24;0;23.5;90.2;2.2;
2017-01-25;25.8;25.2;80.2;1.2;
2017-01-26;.2;26.2;82.4;1.2;
2017-01-27;7;25.3;89;1.1;
2017-01-28;10;26.3;84.3;1.2;
2017-01-29;1.2;27;78.1;1.4;
2017-01-30;.2;26.5;84.3;1.3;
2017-01-31;3.8;26.6;83.7;1.5;
2017-02-01;.2;25;88.5;1.8;
2017-02-02;13;25;86.4;1.6;
2017-02-03;9.8;26.1;80.8;1.4;
2017-02-04;0;25.3;88.9;1.4;
2017-02-05;6.2;26.6;81.4;1.2;
2017-02-06;0;27.2;81.9;1.4;
2017-02-07;2.2;25.1;92.4;1.4;
2017-02-08;12.4;25;88.4;2;
2017-02-09;31.8;25.6;86.5;2;
2017-02-10;5.6;24.6;89.7;1.6;
2017-02-11;9.4;24.9;89.9;2;
2017-02-12;1;25;90;1.2;
2017-02-13;null;null;94.5;null;
2017-02-14;27;24.5;88;1.8;
