Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;
2016-11-15;null;26.5;79.9;1.5;
2016-11-16;0;26.5;79;1.8;
2016-11-17;2.4;26.2;82.4;1;
2016-11-18;29;null;87;1.2;
2016-11-19;0;26.8;81.4;.9;
2016-11-20;0;24.9;90.3;1;
2016-11-21;26.4;25.7;85.6;1.1;
2016-11-22;2;23.9;94.7;1.2;
2016-11-23;60.4;26.6;81;1.1;
2016-11-24;0;27;81.4;1.4;
2016-11-25;.8;27.7;77.4;1.6;
2016-11-26;0;29.5;72.6;1.3;
2016-11-27;0;28.7;70.5;1;
2016-11-28;0;null;null;1;
2016-11-29;0;29.1;62.6;1.2;
2016-11-30;0;28.2;72.2;1;
2016-12-01;0;25.5;84.3;1.7;
2016-12-02;20;24.4;86;1.4;
2016-12-03;.2;27.6;91.6;1.2;
2016-12-04;2.6;26.1;null;1.7;
2016-12-05;.2;26.6;77.8;1.3;
2016-12-06;12;27.7;null;1;
2016-12-07;10.4;25.1;null;1.6;
2016-12-08;.2;26.4;84.3;.8;
2016-12-09;0;26.6;null;.8;
2016-12-10;1;27;null;1.9;
2016-12-11;8.4;26;87.8;1.3;
2016-12-12;0;26.2;null;1.3;
2016-12-13;13;24.6;null;1.2;
2016-12-14;8.4;25.8;86;1.4;
2016-12-15;35.6;25.7;86.9;1.1;
2016-12-16;.2;25;87.1;1;
2016-12-17;.6;24.3;88;1.4;
2016-12-18;6.8;23.1;91.8;1.3;
2016-12-19;4.2;25.6;84.1;.8;
2016-12-20;5.6;23.6;92.1;1;
2016-12-21;6.4;25.5;84;1.3;
2016-12-22;2.2;24.3;90.3;1.2;
2016-12-23;0;27.7;87.3;1.4;
2016-12-24;0;28.5;null;1;
2016-12-25;0;27.9;null;.9;
2016-12-26;0;27;78.3;1.3;
2016-12-27;0;26.3;86.5;1.4;
2016-12-28;27.6;26.7;82.5;1.3;
2016-12-29;0;26.1;80.9;1.7;
2016-12-30;0;27;88.3;1.2;
2016-12-31;0;26.6;81.2;1.1;
2017-01-01;0;27.6;88.5;1.1;
2017-01-02;0;27.5;82.4;1.2;
2017-01-03;0;27;80;1.5;
2017-01-04;0;25.3;85.6;1.1;
2017-01-05;.6;25.9;81.8;1.7;
2017-01-06;0;27;88;1;
2017-01-07;0;28.5;83.9;1;
2017-01-08;8;26.1;84.3;1.3;
