Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-01-24;null;null;null;null;
2018-01-25;null;null;null;null;
2018-01-26;null;null;null;null;
2018-01-27;null;null;null;null;
2018-01-28;null;null;null;null;
2018-01-29;null;null;82.5;null;
2018-01-30;.6;22.8;83.1;1.9;
2018-01-31;0;23;84.5;2.6;
2018-02-01;100.4;21.9;87.3;3.6;
2018-02-02;2.6;22.8;83.8;3;
2018-02-03;.8;21.5;88.9;2.3;
2018-02-04;15.4;18.9;92.7;1.7;
2018-02-05;3.8;20.1;88.3;2.1;
2018-02-06;0;21.6;79.4;2.9;
2018-02-07;0;21.8;81.5;1.8;
2018-02-08;1.2;22.7;80.4;2;
2018-02-09;10.4;22.6;85.2;1.7;
2018-02-10;30.6;21.2;88.4;1.6;
2018-02-11;0;21.9;84.4;1.2;
2018-02-12;9.2;23.1;72.6;1.5;
2018-02-13;0;22.5;68.7;1.9;
2018-02-14;0;23.1;68.9;1.7;
2018-02-15;0;22.1;72.8;2.1;
2018-02-16;0;22.5;75.7;2.2;
2018-02-17;0;22.5;73.7;2.2;
2018-02-18;0;21.7;80.5;3.2;
2018-02-19;.4;21.9;84.8;1.4;
2018-02-20;18;21.8;86.3;1.4;
2018-02-21;42.4;21.7;89.3;1.5;
2018-02-22;2.8;20.9;90.7;2.3;
2018-02-23;2.4;21.7;83.9;2;
2018-02-24;15;21.5;86;1.8;
2018-02-25;3.2;22;85.2;1.9;
2018-02-26;13.2;21.7;85.5;1.6;
2018-02-27;0;22.9;78.6;1.3;
2018-02-28;.6;23.7;75.1;1.8;
2018-03-01;0;23.8;71.7;1.9;
2018-03-02;0;23.1;76.5;1.9;
2018-03-03;1;23.8;76.3;1.2;
2018-03-04;0;24.7;72.8;1.7;
2018-03-05;null;null;null;null;
2018-03-06;null;24.2;76.5;2.1;
2018-03-07;0;23.4;81.2;1.6;
2018-03-08;32.6;22.4;85.8;2;
2018-03-09;2.4;22.6;85.8;1.8;
2018-03-10;2.4;22.8;85.4;2;
2018-03-11;2;21.9;89;2.8;
2018-03-12;9.2;23.3;82.4;2.5;
2018-03-13;.2;25.2;74.5;1.9;
2018-03-14;0;24.1;78.7;2.2;
2018-03-15;0;23.1;81;1.3;
2018-03-16;2.4;24.3;73.2;.9;
2018-03-17;.8;23.3;77.3;2.5;
2018-03-18;0;22.6;81.1;.9;
2018-03-19;25.2;24.2;74.6;2;
2018-03-20;0;23.3;76.3;1.8;
2018-03-21;0;24;74.8;2;
2018-03-22;4.6;22.7;80.3;1.6;
2018-03-23;.2;22;85.2;1.4;
2018-03-24;16.6;22;83.5;2.7;
2018-03-25;0;22.4;79.2;2.4;
2018-03-26;0;22.3;75.8;2.3;
2018-03-27;0;22.5;67;3.1;
2018-03-28;0;22;69.6;2.2;
2018-03-29;0;22.2;66.4;2.2;
2018-03-30;0;22.6;69.9;2;
2018-03-31;0;23;73.2;2.6;
2018-04-01;2.8;23.6;74.6;2;
2018-04-02;3.8;21.7;86.6;1.3;
2018-04-03;.2;22.7;79.9;1.2;
2018-04-04;0;22.5;84.3;1.5;
2018-04-05;.2;22.6;79.1;1.5;
2018-04-06;16.6;21.3;87.8;2.1;
2018-04-07;5.6;21.9;85.1;2;
2018-04-08;0;21.2;88.1;1.7;
2018-04-09;2.6;20.8;87.5;1.9;
2018-04-10;8.6;21.3;81.8;2.3;
2018-04-11;0;21.2;78.2;2.3;
2018-04-12;0;20.5;75.5;2.6;
2018-04-13;0;21.1;79.6;1.9;
2018-04-14;1.4;21;83.4;1.7;
2018-04-15;4.4;21.2;83.2;1.8;
2018-04-16;41.2;21;83.8;2.4;
2018-04-17;.2;20.2;82.3;2.8;
2018-04-18;0;19.4;81.1;2.4;
2018-04-19;0;19.9;79.5;1.9;
2018-04-20;0;20.3;81.5;1.4;
2018-04-21;0;21.3;73.5;.9;
2018-04-22;0;21.2;73.7;1.8;
2018-04-23;0;21.4;76.4;2;
2018-04-24;0;21.7;74.1;1.9;
2018-04-25;0;21;75.5;1.6;
2018-04-26;0;20.9;74.5;1.6;
2018-04-27;0;22.1;71.5;1.5;
2018-04-28;0;21.4;73.4;1.6;
2018-04-29;0;20.8;74.9;1.5;
2018-04-30;0;20.6;73.3;1.3;
2018-05-01;2.6;20.7;67.2;1.4;
2018-05-02;0;20.4;65.8;1.4;
2018-05-03;0;21.3;72.1;1.6;
2018-05-04;0;21.6;72.9;1.5;
2018-05-05;0;20.9;71.5;1.5;
2018-05-06;0;20.8;71.2;1.7;
2018-05-07;0;20.1;73.7;1.3;
2018-05-08;0;20.8;69.1;1.5;
2018-05-09;0;19.3;71;1.8;
2018-05-10;0;19.2;76.4;2.2;
2018-05-11;0;19.8;71;1.5;
2018-05-12;0;20.7;64.5;1.8;
2018-05-13;0;20.9;62.8;.9;
2018-05-14;0;20.4;66;1.4;
2018-05-15;0;20.1;72.1;1.7;
2018-05-16;0;20.3;72;1.1;
2018-05-17;0;20.7;71.1;.9;
2018-05-18;0;21.5;72.6;1.3;
2018-05-19;0;20.5;81.2;2.7;
2018-05-20;12.8;16.8;88.6;3;
2018-05-21;0;15.7;71.3;1.1;
2018-05-22;0;18.5;65.1;1.2;
2018-05-23;0;19.4;67.9;1.2;
2018-05-24;0;20.3;74;1.7;
2018-05-25;0;19;80.8;1.9;
2018-05-26;0;18.4;77.7;1.9;
2018-05-27;0;18.1;77.1;2.1;
2018-05-28;0;16.9;80;1.9;
2018-05-29;0;17.6;76.4;2.2;
2018-05-30;0;17;77.2;2.1;
2018-05-31;0;17.2;71;1.4;
2018-06-01;0;18.1;66.8;1.2;
2018-06-02;0;18.9;65.5;1.4;
2018-06-03;0;18.8;64.3;1.4;
2018-06-04;0;19.7;64.2;1.7;
2018-06-05;0;19.2;72.3;1.4;
2018-06-06;0;20.3;72.5;2.2;
2018-06-07;0;21.2;72.3;1.1;
2018-06-08;0;21.8;73.6;1.3;
2018-06-09;0;20.9;75;1.2;
2018-06-10;0;21.5;71.7;2.3;
2018-06-11;0;19.9;76.4;1.7;
2018-06-12;0;19.9;72.8;1;
2018-06-13;0;20.8;65.1;.9;
2018-06-14;0;20.4;63.6;1.2;
2018-06-15;0;20.1;63.7;1.2;
2018-06-16;0;18.5;65.6;1.7;
2018-06-17;0;17.7;64.6;1.4;
2018-06-18;0;17.3;69.5;1.6;
2018-06-19;0;17.5;68.5;1.6;
2018-06-20;0;18.9;69.9;2.5;
2018-06-21;0;null;82.7;null;
2018-06-22;null;19;67.1;1.7;
2018-06-23;0;19.3;58.1;2.1;
2018-06-24;0;18.9;56.4;1.8;
2018-06-25;0;19.3;58.6;1.6;
2018-06-26;0;20.3;55.2;1.6;
2018-06-27;0;19.6;55.5;1.6;
2018-06-28;0;18.5;57.6;1.7;
2018-06-29;0;17.6;62.8;1.7;
2018-06-30;0;17.7;63.3;1.2;
2018-07-01;0;18.7;63.5;1;
2018-07-02;0;19.4;60.4;1.2;
2018-07-03;0;19.4;57.1;1.1;
2018-07-04;0;19;54.3;1.6;
2018-07-05;0;17.6;58.3;1.9;
2018-07-06;0;17.5;58.1;1.4;
2018-07-07;0;18.3;59.5;1.7;
2018-07-08;0;19.9;60.9;1.1;
2018-07-09;0;20.9;59.6;.9;
2018-07-10;0;19.1;67;2.5;
2018-07-11;0;18.4;68.3;1.8;
2018-07-12;0;19.5;62.2;1.3;
2018-07-13;0;20.1;59.3;1.1;
2018-07-14;0;19.8;57.8;1.5;
2018-07-15;0;19.2;58.8;1.6;
2018-07-16;0;18.7;62.8;2;
2018-07-17;0;18.5;62.9;1.9;
2018-07-18;0;17.9;68.3;2.1;
2018-07-19;0;17.4;63;1.9;
2018-07-20;0;17.7;61.9;1.6;
2018-07-21;0;19.3;57.7;1.6;
2018-07-22;0;18.9;56.7;2.1;
2018-07-23;0;17.6;55.2;2.3;
2018-07-24;0;17.4;57.9;1.6;
2018-07-25;0;17.8;60.5;1.9;
2018-07-26;0;17.7;57.1;2;
2018-07-27;0;18.2;56.2;1.8;
2018-07-28;0;18.8;54.4;1.4;
2018-07-29;0;19.4;50.4;1.6;
2018-07-30;0;19.5;49;1.8;
2018-07-31;0;20.8;45.2;1.8;
2018-08-01;0;21.7;44.8;1.1;
2018-08-02;0;23.5;43.8;1.3;
2018-08-03;0;22.4;53.9;3;
2018-08-04;0;23.5;46;2;
2018-08-05;0;23.2;53;1.1;
2018-08-06;0;23.3;51.5;1.2;
2018-08-07;0;21.7;61.8;2.3;
2018-08-08;0;22.4;60.5;2.4;
2018-08-09;0;21.9;64.9;1.8;
2018-08-10;.2;22.1;66.1;2.7;
2018-08-11;0;22.3;47;2.9;
2018-08-12;0;20.4;27.6;1.7;
2018-08-13;0;20.8;29.8;1.3;
2018-08-14;0;22;37.9;1.8;
2018-08-15;0;23;42.3;2;
2018-08-16;.2;20.7;69.8;2.2;
2018-08-17;0;18.7;79.4;4;
2018-08-18;0;19.3;72.8;2.3;
2018-08-19;4;20.1;69.5;1.9;
2018-08-20;0;20.3;57.4;2.1;
2018-08-21;0;20.5;50.8;1.9;
2018-08-22;0;21.1;50.6;2;
2018-08-23;0;21.7;50.3;2.3;
2018-08-24;0;22.3;49.2;2.4;
2018-08-25;0;22.9;49.3;2.5;
2018-08-26;.2;23.6;53.9;2.1;
2018-08-27;0;22.1;60.7;2.6;
2018-08-28;0;20.9;56.3;3.3;
