Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2000-05-08
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2000-05-08;null;null;null;null;
2000-05-09;null;null;null;null;
2000-05-10;null;26.8;84;null;
2000-05-11;1.6;26.9;83.7;null;
2000-05-12;0;25.5;90.4;null;
2000-05-13;4.8;25.7;89;null;
2000-05-14;1.2;26.3;84.5;null;
2000-05-15;0;26.2;86.6;null;
2000-05-16;6.6;25.8;87.6;null;
2000-05-17;0;24.8;91.8;null;
2000-05-18;4.6;26.5;82.8;null;
2000-05-19;0;null;89.2;null;
2000-05-20;null;null;null;null;
2000-05-21;null;null;null;null;
2000-05-22;null;null;null;null;
2000-05-23;4.2;26.2;85;null;
2000-05-24;4.4;26;90.5;null;
2000-05-25;9.6;25.7;87.1;null;
2000-05-26;0;27.3;81.2;null;
2000-05-27;4.4;26.5;86.4;null;
2000-05-28;.8;26.6;84.9;null;
2000-05-29;0;26.3;85.2;null;
2000-05-30;6.6;25.8;84.1;null;
2000-05-31;0;27.2;81.2;null;
2000-06-01;0;25.7;86.5;null;
2000-06-02;5.8;25.4;85.7;null;
2000-06-03;0;26.7;80;null;
2000-06-04;0;25.9;86.9;null;
2000-06-05;2.8;27;82.9;null;
2000-06-06;6.2;26.8;81.5;null;
2000-06-07;0;27;78.8;null;
2000-06-08;0;27;80.5;null;
2000-06-09;0;27.4;78.6;null;
2000-06-10;0;27.3;79.4;null;
2000-06-11;0;27.5;77.8;null;
2000-06-12;2.2;26.4;83.7;null;
2000-06-13;.8;26.6;80.4;null;
2000-06-14;0;27;82;null;
2000-06-15;7.4;25.8;86.5;null;
2000-06-16;.6;26.3;83.2;null;
2000-06-17;.8;26.6;82.3;null;
2000-06-18;.2;26.8;82.9;null;
2000-06-19;.2;25.3;88.2;null;
2000-06-20;2.8;25.4;85.7;null;
2000-06-21;1.6;26;86.7;null;
2000-06-22;4.8;25.4;90.6;null;
