Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61055555
Longitude: -72.6811111
Altitude: 220
Situacao: Operante
Data Inicial: 2015-05-13
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-05-13;null;null;null;null;
2015-05-14;null;null;null;null;
2015-05-15;null;null;null;null;
2015-05-16;null;23.4;92.9;1.5;
2015-05-17;13.4;23.8;84.9;1.6;
2015-05-18;0;24.3;83.3;.9;
2015-05-19;0;25.7;81;.5;
2015-05-20;0;24.7;88.2;.7;
2015-05-21;.6;24.7;88.5;.6;
2015-05-22;.2;25.5;84.8;.6;
2015-05-23;2;24.6;87.8;1.1;
2015-05-24;0;25.2;84.5;.8;
2015-05-25;0;25.8;84.1;.5;
2015-05-26;6.2;25.6;85.1;1.1;
2015-05-27;0;25.6;81.8;.8;
2015-05-28;0;26.1;81.3;.8;
2015-05-29;89.6;24.4;90.4;1.2;
2015-05-30;14.6;24.4;90;.6;
2015-05-31;0;24.9;88.3;.7;
2015-06-01;0;25;86.4;.6;
2015-06-02;0;26;83.6;.8;
2015-06-03;7.8;24.8;90.5;.9;
2015-06-04;33.8;25.1;87.3;1.1;
2015-06-05;2.4;25.6;85.1;.9;
2015-06-06;10;25.7;83.3;.5;
2015-06-07;0;26;81.7;.6;
2015-06-08;1.4;24.8;87.6;.9;
2015-06-09;0;25.1;84.3;.8;
2015-06-10;0;24.9;87;.7;
2015-06-11;4.2;25.9;81.6;.5;
2015-06-12;0;25.2;86.7;.6;
2015-06-13;1.2;25.4;84.5;.8;
2015-06-14;0;25.9;82;1.1;
2015-06-15;0;26.2;82.2;.7;
2015-06-16;0;25.8;85.3;.9;
2015-06-17;.8;25;89.9;.8;
2015-06-18;1.8;26.1;82;1;
2015-06-19;0;24.5;82.6;2.3;
2015-06-20;0;22.2;77.4;1.5;
2015-06-21;0;23.4;79.8;.8;
2015-06-22;0;24.1;77.5;.7;
2015-06-23;0;24.2;79.5;.8;
2015-06-24;0;24.7;84.9;.6;
2015-06-25;4.8;24.3;84.4;.9;
2015-06-26;4.4;24.8;84.9;.7;
2015-06-27;0;26;77.9;1;
2015-06-28;0;25.8;77.3;.6;
2015-06-29;0;26.2;77.7;.9;
2015-06-30;9.8;26.4;78.3;.9;
2015-07-01;17;25.2;87.5;1;
2015-07-02;.6;25.1;86;.8;
2015-07-03;3.8;26.1;81.9;.8;
2015-07-04;.4;25.8;83.6;.5;
2015-07-05;9;23.3;89.6;1.6;
2015-07-06;1.6;22.8;86.4;.9;
2015-07-07;.2;24.9;80;.6;
2015-07-08;0;25.5;82.2;.5;
2015-07-09;0;25.5;85.3;.7;
2015-07-10;12.4;24.2;90.5;.7;
2015-07-11;27;25.7;82.4;.6;
2015-07-12;0;25.5;83.7;.8;
2015-07-13;0;25.6;80;1.1;
2015-07-14;0;26.5;75.6;.9;
2015-07-15;0;26.2;81.8;.8;
2015-07-16;.2;25.8;80.6;.4;
2015-07-17;0;25.7;82.3;1.3;
2015-07-18;0;25.2;79.7;1.4;
2015-07-19;0;25.2;78;.6;
2015-07-20;0;25.6;77.5;.3;
2015-07-21;0;25.6;79.4;1.1;
2015-07-22;0;24.7;83;1.1;
2015-07-23;0;24.9;79.4;.9;
2015-07-24;0;25.6;78.5;.7;
2015-07-25;.2;26.3;81;.7;
2015-07-26;.4;25.8;81.3;1;
2015-07-27;0;25.6;82.1;.9;
2015-07-28;0;26.4;78.3;.8;
2015-07-29;0;24.6;86.3;.8;
