Nome: EIRUNEPE
Codigo Estacao: A109
Latitude: -6.65027777
Longitude: -69.8686111
Altitude: 121.54
Situacao: Pane
Data Inicial: 2012-08-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-08-30;null;null;null;null;
2012-08-31;null;26.1;70;.6;
2012-09-01;0;26.4;75;1;
2012-09-02;0;26.3;76.3;1.1;
2012-09-03;2;25.2;80.3;1.4;
2012-09-04;19.6;25.3;81.5;1;
2012-09-05;0;25.9;81.3;1;
2012-09-06;0;26.5;72.5;1;
2012-09-07;0;27.2;73.8;.9;
2012-09-08;0;27.5;72.7;1.4;
2012-09-09;0;27.9;73;1.2;
2012-09-10;0;27.6;72.2;1.1;
2012-09-11;0;28.3;68.4;.9;
2012-09-12;0;27.1;69.7;1.2;
2012-09-13;0;26.8;72.6;1.2;
2012-09-14;44.2;23.1;86.2;1.1;
2012-09-15;.2;26;80.4;.8;
2012-09-16;0;26;78.2;1.2;
2012-09-17;0;26.3;75.6;1.3;
2012-09-18;0;26.7;76.5;1.4;
2012-09-19;0;26.7;75.7;1.3;
2012-09-20;0;28.1;69.7;1;
2012-09-21;0;28.1;70.3;.8;
2012-09-22;0;26.8;76.6;1.6;
2012-09-23;0;25.7;79.1;1.3;
2012-09-24;0;26.1;76.4;.9;
2012-09-25;3.4;26.5;79.7;1;
2012-09-26;2.8;25.4;82;1.8;
2012-09-27;.6;23.6;73.5;1.5;
2012-09-28;0;25.4;73.7;.7;
2012-09-29;.8;25.6;81.7;.7;
2012-09-30;9.2;24.8;87.1;1.1;
2012-10-01;36.8;25;85.9;1.5;
2012-10-02;10.4;25.5;82.3;.8;
2012-10-03;.2;26.1;81.8;1.1;
2012-10-04;11.8;25.4;85.9;.9;
2012-10-05;1;26;81.1;1.1;
2012-10-06;0;27;78.7;1.4;
2012-10-07;6.8;24.5;88.2;1.4;
2012-10-08;12.4;24.6;85.3;1.1;
2012-10-09;0;25.3;85.1;1;
2012-10-10;.4;25.5;83.3;1;
2012-10-11;0;27;80.2;1.1;
2012-10-12;26.8;23;88.4;1.7;
2012-10-13;0;25.2;83.9;.9;
2012-10-14;3.8;25.7;85.2;1;
2012-10-15;9.8;27.1;78.9;1;
2012-10-16;0;27.5;79.2;1.1;
2012-10-17;.2;25.4;86.7;1.4;
2012-10-18;37.2;24.6;85.3;1.5;
2012-10-19;0;24.3;89;.8;
2012-10-20;7;25.8;80;1.1;
2012-10-21;4;26;83.4;.8;
2012-10-22;.2;27.3;77.3;.7;
2012-10-23;0;27.3;78.7;1;
2012-10-24;.2;27.1;81.1;.9;
2012-10-25;9.6;24.5;84.5;1.4;
2012-10-26;0;26.3;80.7;.6;
2012-10-27;1.2;27.5;77.1;1.1;
2012-10-28;0;27.3;75.5;1.1;
2012-10-29;2.6;27.2;76.3;1;
2012-10-30;0;27.3;78.8;1;
2012-10-31;0;27.3;75.4;1.2;
2012-11-01;0;27.3;77.2;1.2;
2012-11-02;0;27.4;77.9;1.1;
2012-11-03;2;27.6;77.8;1.4;
2012-11-04;2;26.9;80;1.3;
2012-11-05;5.8;26.8;80.2;1.3;
2012-11-06;.6;25.9;83.9;1.2;
2012-11-07;8.6;25.6;85.8;.9;
2012-11-08;6.8;27.1;82;.9;
2012-11-09;2;27.6;73.6;1.9;
2012-11-10;0;27.7;73.5;1;
2012-11-11;0;26;85;.6;
2012-11-12;52.4;24.1;89.3;1.4;
2012-11-13;.6;25.6;83;.7;
2012-11-14;.4;25.5;85.8;.7;
2012-11-15;0;25.6;87.1;.5;
2012-11-16;11.4;25.3;89.9;.9;
2012-11-17;9;25.2;89.3;.8;
2012-11-18;13;26.1;85.5;1;
2012-11-19;9.4;26.2;85.1;1.4;
2012-11-20;7.8;25.8;85.5;.6;
2012-11-21;.2;25.5;88.4;.5;
2012-11-22;9.2;25.2;85.7;1.4;
2012-11-23;0;26.8;80.5;.8;
2012-11-24;0;26.9;80.6;.8;
2012-11-25;2.6;27.4;79.9;1.1;
2012-11-26;8.4;25.9;85.2;1;
2012-11-27;2.2;25.3;86.4;1;
2012-11-28;5.6;25.5;85.5;.9;
2012-11-29;.4;24.9;89.6;.8;
2012-11-30;20.4;24.5;89.1;1.1;
2012-12-01;20.6;23.3;88.5;.9;
2012-12-02;.6;24.3;88.4;.5;
2012-12-03;.4;26.5;80.2;1;
2012-12-04;3.4;26.3;85;.9;
