Nome: NOVO AIRAO
Codigo Estacao: A127
Latitude: -2.628982
Longitude: -60.941108
Altitude: 37.59
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2008-10-29
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-10;null;null;null;null;
2008-04-11;null;null;null;null;
2008-04-12;null;null;null;null;
2008-04-13;null;null;null;null;
2008-04-14;null;24.9;87.5;.9;
2008-04-15;.8;25.4;88.3;.9;
2008-04-16;2.2;26.4;86.5;.9;
2008-04-17;1.2;25.5;89.3;1.1;
2008-04-18;15.4;25.3;90.2;1;
2008-04-19;1.2;26.3;83.1;.8;
2008-04-20;74.8;25.2;90.2;.9;
2008-04-21;.6;27.1;81.9;1.4;
2008-04-22;0;26.7;84.6;1;
2008-04-23;11.6;26.2;86.8;.8;
2008-04-24;2.2;26.7;85;.9;
2008-04-25;1.8;27.2;83.3;1;
2008-04-26;9.2;26.2;87.5;1.2;
2008-04-27;2.2;26.4;89;.9;
2008-04-28;5;25.8;91.6;1;
2008-04-29;50.6;25.2;90.9;.9;
2008-04-30;1;26.1;87.9;1.1;
2008-05-01;0;26.3;86;1.3;
2008-05-02;1;25;90.5;1.2;
2008-05-03;26;24.9;87.4;.8;
2008-05-04;1;24.7;89.6;1.2;
2008-05-05;0;24.5;91.2;1;
2008-05-06;18;25.6;88.9;.9;
2008-05-07;45.8;24.9;90.8;1.1;
2008-05-08;12.2;25.1;89.4;.7;
2008-05-09;9.6;25.5;85.9;1.1;
2008-05-10;14.8;26.5;83;1;
2008-05-11;16.4;26.2;86.7;.9;
2008-05-12;36.6;24.9;91.6;.8;
2008-05-13;2.8;25.5;87.5;1.1;
2008-05-14;3.6;25.4;89.4;1;
2008-05-15;3.8;26.5;85.2;.8;
2008-05-16;0;25.6;90.3;.6;
2008-05-17;2.4;26.6;86;.9;
2008-05-18;30.4;25.1;91.3;.9;
2008-05-19;5.8;25.6;89.9;.6;
2008-05-20;1;26.5;87.3;.8;
2008-05-21;0;27.1;84.1;1.1;
2008-05-22;0;27;83.8;.9;
2008-05-23;0;26.3;84.3;1.1;
2008-05-24;0;26.6;83.5;1.4;
2008-05-25;.4;24.5;91.6;1.1;
2008-05-26;46.4;26.2;83.5;1.3;
2008-05-27;.2;26.6;84;1.1;
2008-05-28;.2;25.9;89.7;.6;
2008-05-29;6;26;88.8;.8;
2008-05-30;1.4;24.5;92.1;1.1;
2008-05-31;42.6;24.2;92.8;.8;
2008-06-01;10.2;24.8;89.4;1;
2008-06-02;.4;24.6;86.7;1.1;
2008-06-03;0;25.3;86;.9;
2008-06-04;0;25.4;86.1;1.1;
2008-06-05;5.8;25.2;88.3;1;
2008-06-06;10.8;25.9;86.1;1.2;
2008-06-07;0;25.5;89.3;.7;
2008-06-08;13;25.6;88.8;.9;
2008-06-09;0;26.2;85.9;.8;
