Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2011-08-30
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-08-30;null;null;null;null;
2011-08-31;null;null;null;null;
2011-09-01;null;null;null;null;
2011-09-02;null;null;null;null;
2011-09-03;3;24.8;83.4;1;
2011-09-04;.8;26.7;76.9;.9;
2011-09-05;0;25.4;83.5;1;
2011-09-06;27.6;25.2;87.1;.7;
2011-09-07;.6;25.5;84.8;1;
2011-09-08;1.6;25.6;82.8;1.1;
2011-09-09;0;26.1;78.6;.9;
2011-09-10;15.4;25.6;86.4;.9;
2011-09-11;4;24;89.9;1;
2011-09-12;16;22.9;90.3;.9;
2011-09-13;18.6;25.1;82.3;.9;
2011-09-14;0;26.5;78.3;.9;
2011-09-15;0;26.3;76.9;.9;
2011-09-16;0;26.3;80.9;.9;
2011-09-17;5;26.1;83.2;.9;
2011-09-18;.2;27;78.8;.9;
2011-09-19;11.8;25.9;83.4;1.3;
2011-09-20;.2;26.3;82;.9;
2011-09-21;10.8;26;80.9;1;
2011-09-22;0;26.9;80.2;1;
2011-09-23;.8;24.6;89.3;.9;
2011-09-24;0;26.1;80.2;.9;
2011-09-25;13.2;25.3;85.6;1.4;
2011-09-26;15;25.5;85.1;1.1;
2011-09-27;4.6;25.7;82.3;1;
2011-09-28;12.2;25.4;84;.8;
2011-09-29;.6;26.5;80.4;1.1;
2011-09-30;1.8;27.3;79;.9;
2011-10-01;0;26.4;80.3;.8;
2011-10-02;0;27;78.6;.9;
2011-10-03;0;25.4;87.3;1.1;
2011-10-04;1.2;25.8;81.4;.9;
2011-10-05;1;25.5;86.3;1;
2011-10-06;25.8;26;81.7;1;
2011-10-07;0;26.4;83.8;1;
2011-10-08;.2;27.5;79;.8;
2011-10-09;0;27.5;79.4;.8;
2011-10-10;.4;26.5;82.3;1;
2011-10-11;0;26.9;83.8;1;
2011-10-12;0;27;81.3;.8;
2011-10-13;0;28;75.9;1;
2011-10-14;74.2;24.5;89.8;1.2;
2011-10-15;19;25.2;83.7;.9;
2011-10-16;0;27.7;78;.9;
2011-10-17;0;25;88.3;.9;
2011-10-18;61.2;23.9;87.7;1.2;
2011-10-19;10.8;25.8;83;.8;
2011-10-20;0;25.1;88.8;.8;
2011-10-21;3.4;25.6;83.9;1;
2011-10-22;0;26.7;78.8;1;
2011-10-23;0;25.2;87.9;.8;
2011-10-24;1.8;24.8;85.5;.9;
2011-10-25;0;26.2;77.9;.8;
2011-10-26;0;27.6;75.4;1;
2011-10-27;0;27.3;74.4;1.2;
2011-10-28;0;24.6;88.4;.8;
2011-10-29;6.4;25.2;84.3;1;
2011-10-30;.4;26.5;80.8;.8;
2011-10-31;0;26.1;83.6;.9;
2011-11-01;0;24.7;88.2;1;
2011-11-02;7.6;25.6;81.5;1.1;
2011-11-03;5.4;26.4;80.3;.9;
2011-11-04;0;26.9;83.1;.9;
2011-11-05;0;25.8;86.9;.9;
2011-11-06;.4;27.2;81.9;.9;
2011-11-07;10;26.4;83.5;.9;
2011-11-08;37;24.8;89.7;1;
2011-11-09;2;25.9;82.1;1;
2011-11-10;0;27.2;80.5;.9;
2011-11-11;17;24.6;91.2;1;
2011-11-12;8;25.2;84.1;1;
2011-11-13;12.4;24;86.7;1.2;
2011-11-14;.4;25.7;80.5;.8;
2011-11-15;0;26.3;83.1;1;
2011-11-16;0;26.6;85.3;.9;
2011-11-17;1.6;25.4;83;1.2;
2011-11-18;0;26.2;81.4;.8;
2011-11-19;0;26.4;84;.9;
2011-11-20;40;25.3;87;1;
2011-11-21;1;25.7;85.8;.9;
2011-11-22;0;26.6;81.8;1;
2011-11-23;0;25.1;89.6;.8;
2011-11-24;8.8;26.4;82.4;.9;
2011-11-25;0;27.1;81.3;.7;
2011-11-26;.4;27.7;79.9;.7;
2011-11-27;3.4;26.6;83.4;1;
2011-11-28;0;27;84.3;1.3;
2011-11-29;0;25.6;87.2;1;
2011-11-30;1.8;25.9;84.9;1.1;
2011-12-01;.8;27;81.1;.8;
2011-12-02;53.6;24.2;92.2;1.2;
2011-12-03;.8;24.9;87.7;.9;
2011-12-04;0;25.9;83.3;.9;
2011-12-05;52.6;24.8;88.8;1;
2011-12-06;8;26.4;84.3;.9;
2011-12-07;0;25.7;85.3;.9;
2011-12-08;0;25.9;83.6;1;
2011-12-09;1.4;26.9;82.1;.8;
2011-12-10;.4;26.7;85.1;.9;
2011-12-11;1.2;25.9;85.7;1;
2011-12-12;4.4;26.9;81;.9;
2011-12-13;0;27;80.3;.8;
2011-12-14;3.2;26.2;83;1.2;
2011-12-15;0;25.5;85.1;.9;
