Nome: GRAJAU
Codigo Estacao: A207
Latitude: -5.81611111
Longitude: -46.16222222
Altitude: 232.29
Situacao: Pane
Data Inicial: 2008-09-09
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-09;null;null;null;null;
2008-09-10;null;null;null;null;
2008-09-11;null;27.8;48.4;2;
2008-09-12;0;29.2;48;2;
2008-09-13;0;28.5;50;1.7;
2008-09-14;0;28.4;50.4;2;
2008-09-15;0;28.5;55.5;2;
2008-09-16;0;28.9;52.1;1.9;
2008-09-17;0;27.9;51.5;1.3;
2008-09-18;0;28.7;52.9;1.6;
2008-09-19;0;29.2;54.9;2.1;
2008-09-20;0;29.1;54.5;2.3;
2008-09-21;0;28.6;53.5;1.5;
2008-09-22;0;27.7;59.1;1.7;
2008-09-23;0;27.5;63.5;1.4;
2008-09-24;0;27.6;64.6;1.7;
2008-09-25;0;27;65.4;2;
2008-09-26;0;27.7;60.3;1.5;
2008-09-27;0;28.2;56.8;1.6;
2008-09-28;0;28.5;56.4;1.4;
2008-09-29;0;29.8;52.5;1.8;
2008-09-30;0;29.3;54.5;2;
2008-10-01;0;29.2;56.5;1.9;
2008-10-02;0;26.5;73.3;1.8;
2008-10-03;3.4;27.3;68.3;1.6;
2008-10-04;.8;29.2;55.2;1.6;
2008-10-05;6.8;28.3;62.9;1.9;
2008-10-06;0;28.8;61.4;1.6;
2008-10-07;0;29.2;56.5;1.4;
2008-10-08;0;28;53.9;1.6;
2008-10-09;0;28.3;55.2;1.7;
2008-10-10;0;29.2;51.4;1.4;
2008-10-11;2;28.9;57.4;1.8;
2008-10-12;0;28.6;52;2;
2008-10-13;0;29.9;45.7;2.3;
2008-10-14;0;30.2;44.5;1.8;
2008-10-15;0;29.3;48.7;2.1;
2008-10-16;0;29.8;48.5;1.7;
2008-10-17;0;29.2;53.4;1.5;
2008-10-18;0;27.5;62.9;1.4;
2008-10-19;0;27.1;68.7;1.6;
2008-10-20;.6;28.1;64.5;1.7;
2008-10-21;0;28.4;59.5;2.2;
2008-10-22;0;29.3;56.9;1.4;
2008-10-23;0;29.5;53.3;1.7;
