Nome: FLORESTA DO ARAGUAIA
Codigo Estacao: A208
Latitude: -7.56176
Longitude: -49.69884
Altitude: 188.09
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2009-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-10;null;null;null;null;
2008-04-11;null;null;null;null;
2008-04-12;null;25.6;85.7;1.3;
2008-04-13;0;25.3;81.3;1.1;
2008-04-14;0;26.5;79.9;.7;
2008-04-15;20.4;24;89;1.4;
2008-04-16;.6;25.1;83.3;1.2;
2008-04-17;46.4;25.3;85;1.3;
2008-04-18;8.2;25.2;83.5;1.1;
2008-04-19;.4;24.8;85.5;.9;
2008-04-20;5.8;26.1;81.6;.8;
2008-04-21;0;26.2;82.6;1;
2008-04-22;0;25.3;86.7;1;
2008-04-23;0;26.2;82.1;.9;
2008-04-24;0;24.9;85.1;1;
2008-04-25;0;25.9;81.7;1.1;
2008-04-26;0;25.6;84.6;.9;
2008-04-27;0;26.1;83.3;.4;
2008-04-28;0;26.5;82.6;1;
2008-04-29;.2;27.5;76.1;.6;
2008-04-30;11.8;25;85.7;1.6;
2008-05-01;3.2;25.7;80.9;.9;
2008-05-02;39.8;24.8;88.2;1.2;
2008-05-03;8.6;24.4;87.4;1.3;
2008-05-04;5;24.6;87.7;1.4;
2008-05-05;32.4;23.1;94;1.3;
2008-05-06;20;24.6;84.1;.6;
2008-05-07;0;26.3;79.3;.4;
2008-05-08;0;25.7;83.3;1.3;
2008-05-09;10.6;23.8;92.3;1;
2008-05-10;1.4;24.4;90.1;1.3;
2008-05-11;17.2;25.1;85.4;1;
2008-05-12;38.2;24.8;87.5;1.3;
2008-05-13;15.4;25.9;80.9;1.3;
2008-05-14;.4;26.1;78;1.1;
2008-05-15;0;26.1;77.5;1;
2008-05-16;0;26.4;78.1;.7;
2008-05-17;0;25.7;80.6;.8;
2008-05-18;0;25.7;77.3;1.2;
2008-05-19;0;26.2;75.6;1.2;
2008-05-20;0;26.6;76.9;1.2;
2008-05-21;0;25.5;80.6;.8;
2008-05-22;0;25.2;83.4;.9;
2008-05-23;0;25.6;77;1.1;
2008-05-24;0;23.8;88.4;.7;
2008-05-25;16.8;25;81.8;1.2;
2008-05-26;0;24.8;82.9;.5;
2008-05-27;0;25;82.8;1;
2008-05-28;0;25.4;78.7;1.2;
2008-05-29;0;25.5;76.2;1;
2008-05-30;0;25.4;73.3;1.3;
2008-05-31;0;26;72;1.5;
2008-06-01;0;25.3;73;1;
2008-06-02;0;24.5;74.5;1.1;
2008-06-03;1;25;69.5;1.1;
2008-06-04;0;24.2;70.2;.7;
2008-06-05;0;24.8;72.2;1.1;
2008-06-06;0;25.7;69.5;1.2;
2008-06-07;0;26.2;70.7;1.3;
2008-06-08;0;25.8;70.2;1.3;
2008-06-09;0;25;70.5;1.3;
