Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2007-10-13
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-13;null;null;null;null;
2007-10-14;null;null;null;null;
2007-10-15;null;null;null;null;
2007-10-16;null;null;null;null;
2007-10-17;null;null;null;null;
2007-10-18;null;null;null;null;
2007-10-19;null;null;null;null;
2007-10-20;null;null;null;null;
2007-10-21;null;null;null;null;
2007-10-22;null;26.3;81.1;1.5;
2007-10-23;22.8;26.1;80.2;1.1;
2007-10-24;0;26;77.9;.9;
2007-10-25;0;25.5;82.1;1.2;
2007-10-26;3.2;26.2;81;1;
2007-10-27;0;27.1;75.3;1.8;
2007-10-28;0;26.6;79.5;1.3;
2007-10-29;0;26.7;82.5;1.1;
2007-10-30;null;null;76.9;1.4;
2007-10-31;null;null;70.5;null;
2007-11-01;null;null;68.1;null;
2007-11-02;null;null;63.7;2.2;
2007-11-03;null;null;68.8;1.7;
2007-11-04;null;null;70.3;null;
2007-11-05;null;null;67.7;null;
2007-11-06;null;null;72.7;null;
2007-11-07;null;null;64.9;null;
2007-11-08;null;null;68.3;null;
2007-11-09;null;null;79.6;null;
2007-11-10;null;null;75.6;null;
2007-11-11;null;null;78.3;null;
2007-11-12;null;null;77.6;null;
2007-11-13;null;null;83.3;null;
2007-11-14;null;null;81.9;null;
2007-11-15;null;null;75.3;null;
2007-11-16;null;null;69.4;null;
2007-11-17;null;null;74.4;null;
2007-11-18;null;null;null;null;
2007-11-19;null;null;87.2;null;
2007-11-20;null;null;79.4;null;
2007-11-21;null;null;76;null;
2007-11-22;null;null;82.9;null;
2007-11-23;null;null;87.3;null;
2007-11-24;null;null;78.7;null;
2007-11-25;null;null;70.6;null;
2007-11-26;null;null;77.9;null;
2007-11-27;null;null;83.7;null;
2007-11-28;null;null;76.5;null;
2007-11-29;null;null;75.9;null;
2007-11-30;null;null;73.6;null;
2007-12-01;null;null;88.6;null;
2007-12-02;null;null;null;null;
2007-12-03;null;null;85.1;null;
2007-12-04;null;null;84.6;null;
2007-12-05;null;null;81.9;.8;
2007-12-06;null;null;74.4;null;
2007-12-07;0;27.2;78.8;1;
2007-12-08;0;26.2;83.2;.9;
2007-12-09;37.6;24.7;86.3;.9;
2007-12-10;5;25.6;83.3;1.1;
2007-12-11;3.2;26.7;80.4;.6;
2007-12-12;.8;26.4;83.6;.9;
2007-12-13;0;26.9;80.2;1.7;
2007-12-14;0;26.1;80.2;1;
2007-12-15;0;25.6;83.3;.4;
2007-12-16;0;25.6;83.2;1.1;
2007-12-17;1.4;25.6;83;1.1;
2007-12-18;66.6;25.9;83;1.2;
2007-12-19;.2;26.7;80.3;1.1;
2007-12-20;0;27.3;77.9;1.2;
2007-12-21;0;26.9;79.4;1.1;
2007-12-22;.8;26.9;81.3;1.1;
2007-12-23;3.4;26.5;82.5;1.1;
2007-12-24;8.4;25.1;89;1;
2007-12-25;6.4;26;83.9;1;
2007-12-26;.2;26.3;81;1.3;
2007-12-27;4.8;25.8;82.7;1;
2007-12-28;9.6;25.6;85.8;1;
2007-12-29;7;23.7;91.5;.7;
2007-12-30;6.4;25.2;86.5;1.1;
2007-12-31;0;24.8;86.2;1.2;
2008-01-01;26.2;23.9;90.1;1;
2008-01-02;60.2;24.1;91.1;.6;
2008-01-03;32;25.9;85.2;1.1;
2008-01-04;26.4;25.2;88.3;1.3;
2008-01-05;0;25.8;83;1.2;
2008-01-06;26.2;26;82.7;1.1;
2008-01-07;2;26.2;80.1;.8;
2008-01-08;.2;25.6;85.1;.9;
2008-01-09;40.2;24.9;89.3;.6;
2008-01-10;12;25;88.9;.5;
2008-01-11;.4;26.3;80.8;.7;
2008-01-12;13.8;26.5;82.9;.9;
2008-01-13;0;26.4;84.5;1.5;
2008-01-14;8;25.9;85.3;1;
2008-01-15;5.2;24;87;1.4;
2008-01-16;0;25.2;84;1.2;
2008-01-17;1.8;25.2;84.9;1.1;
2008-01-18;50;23.8;89.6;.9;
2008-01-19;17.8;24.9;89.4;.7;
2008-01-20;4.2;23.9;90.2;.9;
2008-01-21;39.4;24.7;91.5;.6;
2008-01-22;2.6;24.9;89.2;.9;
2008-01-23;20.6;24.8;89.7;1.1;
2008-01-24;6.4;25;87.8;.8;
2008-01-25;33.6;25.6;86.4;1.2;
2008-01-26;36.2;25.8;85.9;1;
2008-01-27;0;25.1;86.4;1.2;
2008-01-28;3.8;25.1;88;.8;
2008-01-29;2.6;26.2;84.4;.8;
2008-01-30;3.8;26.7;82.5;1.1;
2008-01-31;12.6;25.3;88;1;
2008-02-01;98.2;24.2;90.1;.7;
2008-02-02;14.6;24.4;89.8;.9;
2008-02-03;12.4;24.3;89;.6;
2008-02-04;6.6;25.1;88.2;.7;
2008-02-05;1.6;25.2;88.7;.9;
2008-02-06;23.2;25.3;87.3;.6;
2008-02-07;7;25.6;84.3;1.1;
2008-02-08;6;25.9;82.1;1.2;
2008-02-09;0;25.4;82.6;1;
2008-02-10;2.4;25.5;84.8;1.1;
2008-02-11;.6;25.2;84.8;1;
2008-02-12;5.8;25.5;85.9;1.3;
2008-02-13;2.8;25;85.8;.8;
2008-02-14;2.8;26.2;83.7;.9;
2008-02-15;null;null;88.8;.9;
2008-02-16;15.4;24.3;87.8;.6;
2008-02-17;.2;24.3;87.9;1.2;
2008-02-18;11.6;25;85.3;1.1;
2008-02-19;0;26.3;82.3;1.2;
2008-02-20;.6;24.8;87;.8;
2008-02-21;38.2;23.8;91.5;.9;
2008-02-22;62.6;25;88.4;.8;
2008-02-23;.2;25.4;85.7;.7;
2008-02-24;33;25.9;84.5;1.2;
2008-02-25;12;26.1;81.6;1.4;
2008-02-26;1.6;25.3;84.1;1;
2008-02-27;38.4;25.6;87;.6;
2008-02-28;9.8;25.3;86.8;.9;
2008-02-29;15;24.8;88.5;.9;
2008-03-01;1.2;24.4;90;.7;
2008-03-02;46.4;24.1;91;1.2;
2008-03-03;27.6;25.5;86.8;.7;
2008-03-04;3.2;26.1;83.6;1;
