Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;
2016-11-15;null;null;null;null;
2016-11-16;null;null;null;null;
2016-11-17;null;null;null;null;
2016-11-18;null;25.6;81.5;1.6;
2016-11-19;0;26.3;83.7;1.4;
2016-11-20;.8;26;85.7;2;
2016-11-21;1.2;27;83.5;2.1;
2016-11-22;22.4;26.5;82.3;1.5;
2016-11-23;.2;26.3;86.3;1.4;
2016-11-24;6.6;26.7;84;1.2;
2016-11-25;4.2;27.5;80.7;1.4;
2016-11-26;0;26;84.3;1.5;
2016-11-27;3;27;81.2;1;
2016-11-28;0;28.3;76.3;1.3;
2016-11-29;0;27.7;79.7;1.4;
2016-11-30;0;27.5;77.7;1.4;
2016-12-01;0;28.1;76.2;1.4;
2016-12-02;0;26.1;81.5;1.9;
2016-12-03;5.6;25.7;83.5;1.5;
2016-12-04;.2;24.9;86.2;2.1;
2016-12-05;0;25.2;86.5;1.3;
2016-12-06;0;26.9;82.2;1.4;
2016-12-07;1.2;25.1;null;1.4;
2016-12-08;2.6;25.3;85.5;1.3;
2016-12-09;0;26.6;79.7;1.5;
2016-12-10;0;27.8;79;1.1;
2016-12-11;0;26.3;86.5;1.6;
2016-12-12;1;24.7;89.4;1.8;
2016-12-13;11;26.1;85;1.2;
2016-12-14;3.4;24;94;1.3;
2016-12-15;60.2;25.2;85.3;1.5;
2016-12-16;2;25.4;85.8;1.1;
2016-12-17;4.4;23.1;92.5;1.6;
2016-12-18;15.6;23.3;90.2;1.2;
2016-12-19;.6;24.5;85;1.7;
2016-12-20;3.4;25.1;83.6;1.2;
2016-12-21;.2;24.5;87.6;1.2;
2016-12-22;3;25.7;84.9;1.3;
2016-12-23;6;24.4;90.5;2;
2016-12-24;0;26.3;91.6;1.5;
2016-12-25;0;26.6;null;1.2;
2016-12-26;0;27.2;null;1.2;
2016-12-27;0;27.5;77.5;1.5;
2016-12-28;35.4;23.8;89.7;2;
2016-12-29;16.4;23.1;92.7;1.4;
2016-12-30;36.6;24.3;89.6;1.3;
2016-12-31;.4;26.2;84.9;1.2;
2017-01-01;1.4;24.9;88.4;2.4;
2017-01-02;16.2;25.3;83.8;1.9;
2017-01-03;32.2;25.1;81.9;1.9;
2017-01-04;0;26.3;80.7;1.4;
2017-01-05;0;24.9;89;1.3;
2017-01-06;4;25.4;88.6;1.2;
2017-01-07;0;27;82.4;1.1;
2017-01-08;0;27.1;81.3;1.7;
2017-01-09;0;26.1;83.1;1.9;
2017-01-10;0;26.1;82.3;1;
2017-01-11;.6;25.9;85.5;1.5;
2017-01-12;4;25.3;84.2;1.7;
2017-01-13;.2;25.1;88.5;1.8;
2017-01-14;.8;23.2;92.3;1.3;
2017-01-15;7;24.4;88;1.2;
2017-01-16;0;26.1;81.6;1.4;
