Nome: FAROL de SANTANA
Codigo Estacao: A217
Latitude: -2.27083332
Longitude: -43.62416666
Altitude: 9.87
Situacao: Pane
Data Inicial: 2008-11-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-11-27;null;null;null;null;
2008-11-28;null;null;null;null;
2008-11-29;null;null;null;null;
2008-11-30;null;null;null;null;
2008-12-01;null;null;null;null;
2008-12-02;null;28.3;73.4;3.9;
2008-12-03;0;28;72.1;3.5;
2008-12-04;0;28.3;71.4;3.4;
2008-12-05;0;28.3;71.3;3.6;
2008-12-06;0;28.1;75.4;3.4;
2008-12-07;0;28.3;70.6;4;
2008-12-08;0;28.3;70.2;3.6;
2008-12-09;0;28.3;71;3.7;
2008-12-10;0;28.3;72.6;4;
2008-12-11;0;28.4;72.2;3.8;
2008-12-12;0;28.5;69.4;4.8;
2008-12-13;0;28.6;70.2;4.6;
2008-12-14;0;28.6;69.8;4.4;
2008-12-15;0;28.3;70.7;3.9;
2008-12-16;0;28.3;72.2;3.4;
2008-12-17;0;28.4;72.8;3.6;
2008-12-18;0;28.7;72.5;3.9;
2008-12-19;0;28.5;72.3;3.8;
2008-12-20;0;27.5;78.8;2.5;
2008-12-21;19.8;27.3;77;3.3;
2008-12-22;0;28.1;71.9;4.2;
2008-12-23;0;28.3;73;4;
2008-12-24;0;28.2;73.5;3.6;
2008-12-25;0;28.3;72.4;3.6;
2008-12-26;0;27.9;75.9;3.1;
2008-12-27;0;28.3;72.9;3;
2008-12-28;0;28.6;74.2;3.6;
2008-12-29;0;28.7;74;3.8;
2008-12-30;0;28.4;71.1;4.2;
2008-12-31;0;28.3;70.8;4.1;
2009-01-01;0;28.6;74.8;3.5;
2009-01-02;0;28.6;72.3;4.1;
2009-01-03;0;28.5;70.8;4;
2009-01-04;0;28.6;71.1;4.2;
2009-01-05;0;28.6;72.1;4;
2009-01-06;0;28.5;74.6;4.1;
2009-01-07;0;28.5;71.8;3.9;
2009-01-08;0;28.3;72.7;3.4;
2009-01-09;0;27.8;75.6;3.4;
2009-01-10;30.6;27.4;77.9;3.8;
2009-01-11;2.8;26.9;78.1;3.6;
2009-01-12;8.6;27.6;76.4;2.9;
2009-01-13;1.2;27.9;74.8;3.3;
2009-01-14;0;28.2;74.3;3.5;
2009-01-15;.4;27.4;77.6;3.4;
2009-01-16;3.6;28.2;76.4;3.2;
2009-01-17;.2;27.3;79.3;2.4;
2009-01-18;5.6;25.7;87.3;2.6;
2009-01-19;47.6;27.6;80;3.5;
2009-01-20;0;28.1;76.2;3.4;
2009-01-21;1.2;26.7;81.3;3.1;
2009-01-22;7.2;25.1;88.5;1.5;
2009-01-23;19.4;27;81.7;2.4;
2009-01-24;5.8;25.9;83.9;2;
2009-01-25;67.8;25.5;86.6;2.7;
2009-01-26;2.8;27.2;80.1;3.1;
2009-01-27;2.2;28.1;77.1;3.8;
2009-01-28;0;28.4;74.3;3.9;
2009-01-29;0;28.3;74.6;3.6;
2009-01-30;7.4;26.9;83.4;2.8;
2009-01-31;23.6;27.1;80.7;2.8;
2009-02-01;null;null;76.9;2.8;
2009-02-02;7.4;26.9;81.8;2.1;
2009-02-03;13.4;26;85.5;2.5;
2009-02-04;10.4;25.4;88.4;2.1;
2009-02-05;24.6;27.9;75.5;3.5;
2009-02-06;0;28.3;76.3;3.9;
