Nome: OBIDOS
Codigo Estacao: A232
Latitude: -1.88083332
Longitude: -55.51972221
Altitude: 89.64
Situacao: Pane
Data Inicial: 2012-07-04
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-07-04;null;null;null;null;
2012-07-05;null;null;null;null;
2012-07-06;null;null;null;null;
2012-07-07;null;26.3;77.4;1.3;
2012-07-08;0;26.8;74.1;.9;
2012-07-09;0;26;78.8;.8;
2012-07-10;0;26.6;77.7;.9;
2012-07-11;0;24.3;89;.7;
2012-07-12;15.6;24.6;87.2;.7;
2012-07-13;10.6;26.1;83.1;.7;
2012-07-14;0;25.8;85.1;.9;
2012-07-15;13.8;24.6;88.1;1;
2012-07-16;28.8;24.5;86;.7;
2012-07-17;23;25.5;84.1;.8;
2012-07-18;1.2;26.2;80.8;.9;
2012-07-19;0;27.1;78.5;1.2;
2012-07-20;1.2;26;79.7;.9;
2012-07-21;2.4;25.9;81.3;.9;
2012-07-22;.2;26.9;76.8;1.1;
2012-07-23;0;27.2;76.3;1.5;
2012-07-24;0;27.1;74.5;1.3;
2012-07-25;1;24.4;86.5;.9;
2012-07-26;7;26.2;80.7;.8;
2012-07-27;0;27.1;76.8;1.7;
2012-07-28;0;27.1;73.5;1.4;
2012-07-29;0;27.2;74.1;1;
2012-07-30;0;27.2;74.2;1.7;
2012-07-31;0;27;72.9;1.2;
2012-08-01;0;27.5;68.4;1.5;
2012-08-02;0;27.6;66.3;1.7;
2012-08-03;0;27.2;68;1.3;
2012-08-04;0;27.9;62.8;1.3;
2012-08-05;0;28.1;66.6;1.1;
2012-08-06;0;27.8;68.1;1.1;
2012-08-07;0;27.6;72.2;1.1;
2012-08-08;2.6;26.5;78.3;.6;
2012-08-09;0;26.9;76.7;1;
2012-08-10;6.6;25.8;80;.9;
2012-08-11;0;26.8;77;1.2;
2012-08-12;0;26.7;75.6;1.2;
2012-08-13;0;27.5;71.2;1.9;
2012-08-14;0;27.8;68;1.4;
2012-08-15;0;27.6;68.4;1.3;
2012-08-16;0;27.1;73.7;1.4;
2012-08-17;0;27.1;73;1.2;
2012-08-18;0;28;67.2;1.2;
2012-08-19;2.4;26.8;76.8;1.1;
2012-08-20;0;27;72.6;1.3;
2012-08-21;0;27.8;69.5;1.3;
2012-08-22;0;27.7;68;1.3;
2012-08-23;0;26.8;72.5;1.1;
2012-08-24;0;26.9;73.2;1.3;
2012-08-25;0;27.6;68.4;1.7;
2012-08-26;0;28;65.1;1.7;
2012-08-27;0;28.2;65.6;1.5;
2012-08-28;0;27.6;68.5;1.4;
2012-08-29;0;null;70.4;.9;
2012-08-30;null;27.5;69.5;1.1;
2012-08-31;0;27.5;70.7;1.1;
2012-09-01;.4;26.3;75.3;.9;
2012-09-02;0;27.1;70;1.1;
2012-09-03;0;27.9;65;1.3;
2012-09-04;0;27.6;70.5;1.3;
2012-09-05;0;27.8;69.4;1.4;
2012-09-06;0;27.9;68.6;1.3;
2012-09-07;0;27.3;70.4;1.5;
2012-09-08;0;27.6;67.4;1.4;
2012-09-09;0;28.7;64.2;1.2;
2012-09-10;0;27.9;69.4;1.2;
2012-09-11;0;28;70.1;1.4;
2012-09-12;0;27.8;67;1.5;
2012-09-13;0;28.5;65.8;1.8;
2012-09-14;0;28.6;62.8;1.2;
2012-09-15;0;28.1;67.5;1.2;
2012-09-16;0;27.1;71.3;1.3;
2012-09-17;1.2;26.6;75.2;1.2;
2012-09-18;.8;26.9;71.2;1.5;
2012-09-19;8.6;27.8;69.4;1.4;
2012-09-20;0;28.7;63.8;1.4;
2012-09-21;0;29.1;61.9;1.5;
2012-09-22;0;28.4;67.3;1.1;
2012-09-23;0;28.3;66.9;1.3;
2012-09-24;0;27.1;73.4;1;
