Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Operante
Data Inicial: 2012-07-05
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-07-05;null;null;null;null;
2012-07-06;null;null;null;null;
2012-07-07;null;null;null;null;
2012-07-08;null;null;null;null;
2012-07-09;null;null;null;null;
2012-07-10;null;null;null;null;
2012-07-11;null;25.4;80.8;2.7;
2012-07-12;1.2;25.6;82.5;2.2;
2012-07-13;2.2;26.7;77.3;2.7;
2012-07-14;0;27.3;75.7;2.3;
2012-07-15;12.8;26.4;80.5;2.6;
2012-07-16;11.8;25.6;81.5;1.9;
2012-07-17;2;27.1;74.2;1.6;
2012-07-18;0;27.8;70.5;1.8;
2012-07-19;0;27.5;69.8;3.5;
2012-07-20;2.4;27.2;73.6;3.1;
2012-07-21;.2;26.9;74.6;3.4;
2012-07-22;6.2;26.8;75.7;3.1;
2012-07-23;0;27.5;73.8;2.7;
2012-07-24;0;27.8;72;3.2;
2012-07-25;32.8;25.1;83.5;3;
2012-07-26;7.8;26.7;75.7;3;
2012-07-27;0;27.2;73.5;3.1;
2012-07-28;0;27.7;69.4;3.3;
2012-07-29;0;27.6;70.5;3.3;
2012-07-30;0;27.9;71.4;3.1;
2012-07-31;2.8;27.4;74.1;2.9;
2012-08-01;0;28;68.3;2.5;
2012-08-02;0;28;70;2.4;
2012-08-03;0;28.4;63.3;2.2;
2012-08-04;0;28.9;64.1;2.2;
2012-08-05;0;28.5;68.8;2.4;
2012-08-06;0;28.2;67.9;3.3;
2012-08-07;0;28.1;68.8;3.3;
2012-08-08;0;27.6;71.2;3.6;
2012-08-09;.6;27.6;75.1;3.3;
2012-08-10;2.2;26.8;74.8;3.4;
2012-08-11;5.8;27.2;74.6;3.5;
2012-08-12;0;27.3;73.5;4.1;
2012-08-13;0;27.6;72;3.7;
2012-08-14;0;27.8;69.6;3.8;
2012-08-15;0;27;73.7;3.8;
2012-08-16;0;26.8;75;3.8;
2012-08-17;0;27.7;71.4;3.7;
2012-08-18;0;27.9;71.4;3.1;
2012-08-19;3;27.7;71.3;2.7;
2012-08-20;0;28;68.8;2;
2012-08-21;0;28.5;68.1;2.8;
2012-08-22;0;27.9;69.5;3.6;
2012-08-23;0;27.6;69.4;3.9;
2012-08-24;0;27.7;69.7;3.7;
2012-08-25;0;27.5;71;3.9;
2012-08-26;0;27.3;68;4.4;
2012-08-27;0;27.9;68.5;4.1;
2012-08-28;0;28;68.5;3.6;
2012-08-29;0;null;68.7;3;
2012-08-30;null;28.4;69.1;3.3;
2012-08-31;0;28.4;68.9;3.5;
2012-09-01;0;27.5;71.9;3.3;
2012-09-02;0;27.2;72.1;3.2;
2012-09-03;0;28;67.3;3.3;
2012-09-04;0;28;67.8;4.7;
2012-09-05;0;28.1;68.6;4;
2012-09-06;0;27.9;69.3;3.5;
2012-09-07;0;27.8;69.5;3.7;
2012-09-08;0;28;68;3.3;
2012-09-09;0;28.6;64.5;3.5;
2012-09-10;0;28.4;68.6;3.8;
2012-09-11;0;28.3;68.3;3.9;
2012-09-12;0;28.3;68.3;4.4;
2012-09-13;0;28.4;68.3;3.7;
2012-09-14;0;28.4;64.6;3.8;
2012-09-15;0;28.7;69.3;3.1;
2012-09-16;0;28.1;69.9;3.5;
2012-09-17;0;28.1;67;4;
2012-09-18;0;28.2;66.2;3.8;
2012-09-19;0;28.5;64.5;3.9;
2012-09-20;0;28.7;64.2;3.7;
2012-09-21;0;28.8;66.4;3.7;
2012-09-22;0;28.8;66.2;4.3;
2012-09-23;0;28.4;68.2;3.5;
2012-09-24;0;28.8;68.3;4.2;
2012-09-25;0;28.2;67.8;4;
2012-09-26;0;27.9;66.5;3.7;
2012-09-27;0;28.8;65.7;2.8;
2012-09-28;1.2;27.7;70.8;3.7;
2012-09-29;.8;28.5;65.8;3.8;
2012-09-30;0;28.6;63.8;3.8;
2012-10-01;0;28.6;67.3;3.5;
2012-10-02;0;29.2;62.9;3.5;
2012-10-03;0;29.3;65.5;4.5;
2012-10-04;0;28.2;68.2;4.2;
2012-10-05;0;28.6;68.5;3.4;
2012-10-06;0;28.5;69.7;4.2;
2012-10-07;0;28.4;67.8;4.9;
2012-10-08;0;28.9;65.8;3.4;
2012-10-09;0;29.8;60.3;2.9;
2012-10-10;1;26.2;77.4;2.6;
2012-10-11;1.8;26.8;75.9;3.6;
2012-10-12;0;27.7;72.5;3.8;
2012-10-13;0;28.7;66;3.8;
2012-10-14;0;29;66.4;3.5;
2012-10-15;3.6;27.7;73.1;2.9;
2012-10-16;0;28;68.1;3.3;
2012-10-17;0;28.8;65.1;4;
2012-10-18;0;28.6;66.9;4.5;
2012-10-19;0;28.7;65.5;3.5;
2012-10-20;0;29;66.3;3.6;
2012-10-21;0;28.9;64.8;3.7;
2012-10-22;0;28.5;67;3.1;
2012-10-23;0;28.5;66.4;4.1;
2012-10-24;0;28.5;65.4;3.9;
2012-10-25;0;28.2;64.2;3.5;
2012-10-26;0;29;65.5;3.5;
2012-10-27;0;28.5;63.5;3.7;
2012-10-28;0;28.9;64.2;3.3;
2012-10-29;0;28.9;67.2;4;
2012-10-30;0;28.5;67.5;4.3;
2012-10-31;0;29.1;62.3;3.7;
2012-11-01;0;30.5;56.5;2.4;
2012-11-02;0;28.3;64.7;2.6;
2012-11-03;0;28.1;67.3;3.1;
2012-11-04;0;28.3;66.1;3.9;
2012-11-05;0;28.8;58;3.2;
2012-11-06;0;29.6;56.8;3.2;
2012-11-07;0;29.2;63.4;4.1;
2012-11-08;0;28.4;67.6;4.4;
2012-11-09;0;28.9;61.1;3.7;
2012-11-10;0;29.3;59.5;3.8;
2012-11-11;0;29.2;62;4.1;
2012-11-12;0;29.3;64.4;3.5;
2012-11-13;0;28.9;62.6;4.2;
2012-11-14;0;29.2;61.4;3.5;
2012-11-15;0;28.7;63.8;3.2;
2012-11-16;0;28.3;67.6;2;
2012-11-17;0;29.2;63.5;3.1;
2012-11-18;0;29;62.9;3.9;
2012-11-19;0;29.1;61.8;3.7;
2012-11-20;0;29.1;64.2;3.7;
2012-11-21;0;29.1;65.7;4;
2012-11-22;0;29.1;64;4.4;
2012-11-23;0;29.6;59.6;4;
2012-11-24;0;29.5;60.9;3.6;
2012-11-25;0;29.1;66.1;4.1;
2012-11-26;0;29.2;62.1;4.1;
2012-11-27;0;29.8;58.7;3.8;
2012-11-28;0;30.1;56.6;3.2;
2012-11-29;46.6;27.3;72.8;2.1;
2012-11-30;.4;26.6;81.5;2.1;
2012-12-01;57.2;25.5;85.6;2.2;
2012-12-02;0;25.6;82.6;2.1;
2012-12-03;23.2;24.3;86.3;2.8;
2012-12-04;0;26.9;75.4;3.3;
2012-12-05;0;27.9;70.1;4;
2012-12-06;0;27.9;70.5;3.4;
2012-12-07;0;28.5;66.1;3;
2012-12-08;0;28.3;70.2;3.6;
2012-12-09;0;28.5;69.5;2.8;
2012-12-10;0;28.8;68.3;3.1;
2012-12-11;0;28.6;68.7;4;
2012-12-12;0;28.5;69.1;3.6;
2012-12-13;0;28.6;64.8;3.4;
2012-12-14;0;28.4;67.8;3.1;
2012-12-15;0;27.4;71.7;1.6;
2012-12-16;37.8;24.4;87.1;2.2;
2012-12-17;8.4;25.5;82.4;3.3;
2012-12-18;1.8;27;79.5;2;
2012-12-19;0;27.8;75.8;2.3;
2012-12-20;11.4;27;78.9;2.5;
2012-12-21;.8;26.3;76.9;2.8;
2012-12-22;3;27;76;3.1;
2012-12-23;8.6;26.7;76.8;3.2;
2012-12-24;0;27.1;77.5;2.2;
2012-12-25;7.4;26.2;78.6;3.2;
2012-12-26;0;27;75.8;3.6;
2012-12-27;0;27.3;74;3;
2012-12-28;0;27.4;69.2;2.9;
2012-12-29;0;27.8;70.5;3.8;
2012-12-30;21;25.7;84.2;2.4;
2012-12-31;12.4;25.1;85.3;2.6;
2013-01-01;5.4;26.5;79;2.4;
2013-01-02;1.4;25.9;80.7;3.1;
2013-01-03;.6;26.7;75.3;2.8;
2013-01-04;8;26.4;81.8;3.1;
2013-01-05;.4;26.8;77.5;3.2;
2013-01-06;0;26.7;74.8;3.9;
2013-01-07;.4;26.6;76.1;3.5;
2013-01-08;0;26.9;75.7;3.5;
2013-01-09;.2;26.9;76.2;2.9;
2013-01-10;11.6;26;82.8;2.8;
2013-01-11;10.4;26.6;78.8;2.4;
2013-01-12;0;27;73.5;2.8;
2013-01-13;30.6;26.8;79.3;1.6;
2013-01-14;32.2;25.9;84;1.9;
2013-01-15;31.4;25.8;81.6;1.6;
2013-01-16;25.2;26.6;82.2;2.6;
2013-01-17;14.6;26.2;82.3;3.1;
2013-01-18;0;27.5;77.9;3.1;
2013-01-19;0;25.9;81.7;2.7;
2013-01-20;.6;26.6;78.5;2.9;
2013-01-21;0;27.6;72;3;
2013-01-22;0;28.2;69.6;2.8;
2013-01-23;1.2;26.9;79.5;3.2;
2013-01-24;1.2;26;78.5;1.7;
2013-01-25;0;27;75.2;2.8;
2013-01-26;0;26.9;80.5;2.5;
2013-01-27;0;27.7;76.5;2.9;
2013-01-28;1.2;26.9;79.6;2.7;
2013-01-29;.8;26;84.5;2.1;
2013-01-30;0;26.4;78;2.2;
2013-01-31;.8;27.6;74.6;3.3;
2013-02-01;0;27.5;72.8;3;
2013-02-02;0;26;78;2.5;
2013-02-03;.2;25.1;83.5;2.4;
2013-02-04;2.4;26.9;77.6;2.3;
2013-02-05;22.4;26.7;83.8;2;
2013-02-06;0;27.3;77.8;3.6;
2013-02-07;6;24;90.9;2.1;
2013-02-08;31.8;24.8;83.8;2.5;
2013-02-09;.2;25.9;80.4;3.1;
2013-02-10;1.2;24.4;87.7;3.2;
2013-02-11;11.4;26.2;83.5;1.8;
2013-02-12;34.6;24.2;86.7;2.5;
2013-02-13;13.4;25.1;82;2.5;
2013-02-14;0;26.3;78.2;2.9;
2013-02-15;11.2;26.8;75.2;2.6;
2013-02-16;.2;25.2;79.7;2.9;
2013-02-17;.2;25.7;78;2.8;
2013-02-18;2;25.1;84;2.9;
2013-02-19;.2;25.8;78.5;3.4;
2013-02-20;0;26.9;74.8;2.9;
2013-02-21;0;27;73.5;4.2;
2013-02-22;7.4;26.6;82.6;2.8;
2013-02-23;0;27.2;75.6;2.6;
2013-02-24;1.8;27.2;77.2;2.8;
2013-02-25;.8;26.8;77.6;2.6;
2013-02-26;11.6;27;79.8;3;
2013-02-27;0;27.8;74.5;4.1;
2013-02-28;.4;26.4;76.1;3.2;
2013-03-01;1.2;27.1;76.3;3.2;
2013-03-02;1.6;27;77.1;3.2;
2013-03-03;9.4;26.1;79.6;3.5;
2013-03-04;4.2;27.1;78.4;3.3;
2013-03-05;0;27.1;76.5;2.9;
2013-03-06;0;27.5;74.6;3.3;
2013-03-07;0;26.4;77.2;2.1;
2013-03-08;.4;26.8;77;2.3;
2013-03-09;0;26.6;76.9;2.9;
2013-03-10;.2;27.3;74.1;3.9;
2013-03-11;0;27.5;75.8;3.5;
2013-03-12;0;28;75;3.1;
2013-03-13;0;28.3;73.1;3.2;
2013-03-14;.6;27.5;78.5;3.3;
2013-03-15;0;27.6;79.6;2.3;
2013-03-16;2.2;27;78.4;2.6;
2013-03-17;28.4;26.8;81.5;3.1;
2013-03-18;1.2;25.9;84.9;1.4;
2013-03-19;31.2;24.8;90.1;1.4;
2013-03-20;13.4;25.6;85.5;2.4;
2013-03-21;.8;26.8;77.3;3.5;
2013-03-22;1.6;26.7;80.3;3.5;
2013-03-23;1.4;25.9;84.5;3.1;
2013-03-24;3.4;25.2;85.1;2.1;
2013-03-25;23;25.7;84.5;2.2;
2013-03-26;24.6;27.2;80.3;2.3;
2013-03-27;7.8;26.3;83.1;2.7;
2013-03-28;1.2;null;80.2;2.9;
2013-03-29;null;null;82.7;null;
2013-03-30;7;25.4;83.3;2;
2013-03-31;0;26.6;79.3;3.4;
2013-04-01;4.8;26.5;81.7;2.9;
2013-04-02;4.2;26.8;79.8;3.3;
2013-04-03;.2;26.5;80.5;3.5;
2013-04-04;0;27.2;76.5;2.8;
2013-04-05;0;27.3;75;3.2;
2013-04-06;0;27.7;75.8;2.6;
2013-04-07;.4;27.4;77;3.4;
2013-04-08;0;27.6;76.3;3.2;
2013-04-09;11.6;26.6;84.1;2.1;
2013-04-10;4;25.4;87.3;1.9;
2013-04-11;15.2;25.5;86.6;2.8;
2013-04-12;8.2;27.1;77.6;3.1;
2013-04-13;8.6;26.6;81.3;2.8;
2013-04-14;0;27.6;76.7;3;
2013-04-15;0;27.6;78.6;3.3;
2013-04-16;0;27.3;78.5;2.7;
2013-04-17;0;27.2;77.9;3.1;
2013-04-18;0;25.9;80.2;3;
2013-04-19;2.2;26.2;81.3;2.5;
2013-04-20;0;26.9;79;2.5;
2013-04-21;4.8;24.9;87.8;1.4;
2013-04-22;48;26.2;80.3;1.6;
2013-04-23;10.4;24.8;86.7;1.9;
2013-04-24;18.8;26.5;78.9;1.9;
2013-04-25;.6;27.1;79.3;2.6;
2013-04-26;35.8;25.3;87.1;1.9;
2013-04-27;.6;26.1;80.3;2.1;
2013-04-28;1;26.6;82.7;2.7;
2013-04-29;28.2;26.7;80.6;2.3;
2013-04-30;31.6;26.6;81.5;2.4;
2013-05-01;4.2;26.5;80.9;2.2;
2013-05-02;58.6;26;85.2;2.3;
2013-05-03;.4;26.3;83.4;1.7;
2013-05-04;7.8;26.3;81;2.6;
2013-05-05;2;27.2;79;2.2;
2013-05-06;6.2;26.9;79.4;2.9;
2013-05-07;0;27.4;75.3;1.9;
2013-05-08;4.4;26.6;82;3.1;
2013-05-09;1.4;27.1;77.4;1.8;
2013-05-10;22.4;25.6;83.8;2.2;
2013-05-11;4;25.5;83.6;2.4;
2013-05-12;.2;26.1;82.8;2.4;
2013-05-13;4.2;26.2;81.3;3.1;
2013-05-14;0;27.2;78.8;3.1;
2013-05-15;0;27.3;78.7;2.7;
2013-05-16;.4;25.6;84.9;3.4;
2013-05-17;14.2;25.4;83.6;2.4;
2013-05-18;7;26.4;77.9;1.6;
2013-05-19;0;26.9;79.2;2.8;
2013-05-20;0;27.1;78.9;2.9;
2013-05-21;1;26.8;79.5;3.3;
2013-05-22;12;26.4;82.8;2.7;
2013-05-23;1.6;26.6;80.2;2.5;
2013-05-24;24.2;26.3;82;1.9;
2013-05-25;28.2;25.9;84;2.5;
2013-05-26;7.4;25.7;83.6;3;
2013-05-27;12.8;25.9;82.1;4;
2013-05-28;0;26.5;76.9;3;
2013-05-29;0;27.2;73.6;3.9;
2013-05-30;0;27.5;74.1;3.1;
2013-05-31;0;27.6;73;3.2;
2013-06-01;0;27.8;70.3;2.4;
2013-06-02;0;27.7;73.7;2.4;
2013-06-03;.2;27.3;77.4;2.3;
2013-06-04;0;27.8;72.8;2.4;
2013-06-05;0;27.8;68.4;2.7;
2013-06-06;.8;25.8;83.5;2.6;
2013-06-07;21.6;25.1;83.6;3.7;
2013-06-08;.4;26.6;79.3;2.4;
2013-06-09;.4;26.8;77.1;2.6;
2013-06-10;0;27.5;73.2;2.7;
2013-06-11;0;null;78.5;null;
2013-06-12;null;null;null;null;
2013-06-13;null;null;null;null;
2013-06-14;null;null;null;null;
2013-06-15;null;null;null;null;
2013-06-16;null;null;71;2.7;
2013-06-17;0;27;77.6;3.5;
2013-06-18;.2;26.9;78.6;3.6;
2013-06-19;3.8;26.7;77.2;3.4;
2013-06-20;.2;27.4;74.8;2.4;
2013-06-21;0;27.2;76.3;3.2;
2013-06-22;0;26.6;79.7;2.9;
2013-06-23;1.6;26.9;79.9;2.8;
2013-06-24;0;27.6;76.2;2.9;
2013-06-25;0;26.9;75.3;3.7;
2013-06-26;0;28;70.4;1.8;
2013-06-27;0;27.9;73.8;1.8;
2013-06-28;0;27.3;75.4;3.3;
2013-06-29;1;27.6;74.8;2.9;
2013-06-30;11.2;25.1;85.5;2;
2013-07-01;15;25.8;79.2;2.3;
2013-07-02;0;26.4;77;2;
2013-07-03;0;26.5;76.6;2.5;
2013-07-04;29.6;25.7;80.3;2.2;
2013-07-05;3.4;26.4;78;2.8;
2013-07-06;0;26.8;74.3;3.3;
2013-07-07;0;27;74.4;1.9;
2013-07-08;0;27.7;72.3;1.5;
2013-07-09;0;27.6;71.2;3.6;
2013-07-10;3;26.4;78.1;2.9;
2013-07-11;0;25.9;80.5;2;
2013-07-12;0;27.4;73.7;1.9;
2013-07-13;0;27.9;70.7;2.1;
2013-07-14;36.6;25.4;81.7;3.8;
2013-07-15;0;26.5;75.6;2.9;
2013-07-16;0;26.1;76.7;3;
2013-07-17;2.6;26.2;77.8;3.3;
2013-07-18;0;27.4;70.6;2.7;
2013-07-19;0;27.9;68;2.6;
2013-07-20;0;27;72.5;3.2;
2013-07-21;39;26.1;78.6;3;
2013-07-22;0;27.1;69.5;2.8;
2013-07-23;0;26;75.3;1.7;
2013-07-24;5;26.1;76.7;1.6;
2013-07-25;.2;26.7;75.1;1.9;
2013-07-26;4.8;26.5;76.9;3;
2013-07-27;0;26.8;73.5;2.2;
2013-07-28;.2;26.7;77.9;1.5;
2013-07-29;3.8;26.3;76.1;2.1;
2013-07-30;0;27.5;72.8;2.7;
2013-07-31;0;27.3;69.6;3.2;
2013-08-01;.2;27;73.3;3.5;
2013-08-02;0;27.8;70.3;2.7;
2013-08-03;0;27.6;70.4;2.2;
2013-08-04;0;27.8;70.3;2.2;
2013-08-05;0;28.5;67.8;2.7;
2013-08-06;1;27.6;71.6;3.2;
2013-08-07;29.2;26.4;78.9;2.5;
2013-08-08;.6;26.7;76;2.9;
2013-08-09;.2;27.5;72.6;3.4;
2013-08-10;0;27.8;70.7;3.4;
2013-08-11;0;28.1;69.6;3.6;
2013-08-12;0;27.8;71.8;3.2;
2013-08-13;0;27.7;71.1;3.3;
2013-08-14;0;28;70.2;3.3;
2013-08-15;0;28.7;66.7;2.5;
2013-08-16;38.8;28;74.3;2;
2013-08-17;7;26.4;79.4;2;
2013-08-18;0;27;78;2.2;
2013-08-19;0;27.4;73.3;3.5;
2013-08-20;4;27.2;75.9;3.5;
