Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-03;null;null;null;null;
2008-09-04;null;null;null;null;
2008-09-05;null;null;36.2;null;
2008-09-06;0;30.1;52;2;
2008-09-07;0;29.4;53.6;1.5;
2008-09-08;0;29.2;51.7;1.8;
2008-09-09;0;29.6;55.7;1.8;
2008-09-10;0;29.6;48.7;1.7;
2008-09-11;0;29.6;42;1.5;
2008-09-12;0;30.5;40.4;1.7;
2008-09-13;0;29.8;46;1.7;
2008-09-14;0;29.6;47.3;1.7;
2008-09-15;0;29.5;50.4;1.4;
2008-09-16;0;28.9;56.8;1.7;
2008-09-17;0;29.8;54.3;1.3;
2008-09-18;0;29.6;53.3;1.4;
2008-09-19;0;28.9;58.9;1.7;
2008-09-20;0;29;58.1;1.7;
2008-09-21;0;27;69;2.2;
2008-09-22;2.8;30.2;54.5;2.2;
2008-09-23;0;31;47.8;1.4;
2008-09-24;0;29.1;63.6;2.2;
2008-09-25;17.4;23.5;86.7;1.5;
2008-09-26;27.4;26.7;74.8;1.1;
2008-09-27;0;28.5;66.6;1.5;
2008-09-28;0;28.9;62.8;1.4;
2008-09-29;15.4;26.1;77.3;1.4;
2008-09-30;.4;28.5;70.7;.9;
2008-10-01;0;28.7;65.9;1.4;
2008-10-02;4.4;25.1;81.5;1.3;
2008-10-03;0;24.3;82.4;1.4;
2008-10-04;2.8;26.3;74.8;1.2;
2008-10-05;.4;27.7;72.6;1.3;
2008-10-06;0;28.1;71.5;1.5;
2008-10-07;0;28.6;66.3;1.6;
2008-10-08;0;29.2;57.2;1.4;
2008-10-09;0;28.9;55.9;1.8;
2008-10-10;0;28.7;59.3;1.4;
2008-10-11;0;29.6;55;1.8;
2008-10-12;0;29.4;51;1.6;
2008-10-13;0;29.8;48.8;1.7;
2008-10-14;0;29.9;45.8;1.2;
2008-10-15;0;29.9;47.3;1.6;
2008-10-16;0;29.6;58.8;1.5;
2008-10-17;0;29.2;62.6;1.7;
2008-10-18;0;28.6;65.4;2.2;
2008-10-19;17.6;25.5;78.2;1.6;
2008-10-20;0;26.9;77.2;1.3;
2008-10-21;8;27.3;78.7;1.1;
2008-10-22;0;27.4;72.3;2.2;
2008-10-23;0;28.7;65.6;1.8;
2008-10-24;0;26.5;73.8;1.4;
2008-10-25;3.4;27.1;72.7;1.3;
2008-10-26;0;28.8;65.9;1.1;
2008-10-27;0;29.3;64.5;1.2;
2008-10-28;0;27.7;70;2.4;
2008-10-29;3.2;25;82.3;1.6;
2008-10-30;12.2;25.3;81.6;1.8;
2008-10-31;0;27.6;67.8;1.5;
2008-11-01;0;27.7;71.8;1.6;
2008-11-02;0;28.3;68.8;1;
2008-11-03;0;29;67.2;1.2;
2008-11-04;0;28.5;67;1.2;
2008-11-05;0;26.8;75.4;1.6;
2008-11-06;13.2;26.3;77.8;1.2;
2008-11-07;0;26.7;77;2.3;
2008-11-08;3.4;27.6;71.2;1.1;
2008-11-09;0;27.3;72.2;1.7;
2008-11-10;0;27.1;72.4;1.8;
2008-11-11;0;28.5;67.7;1.1;
2008-11-12;0;28.2;67.2;2.1;
2008-11-13;0;24.8;85.3;1.5;
2008-11-14;3;26.9;73.3;1.1;
2008-11-15;0;28.6;70.9;1.3;
2008-11-16;.2;28;73.5;1.7;
2008-11-17;2.6;26.5;80;1.3;
2008-11-18;0;26.5;79.3;1.4;
2008-11-19;2.8;27.8;76.4;1.1;
2008-11-20;12.6;25.3;86.9;1.6;
2008-11-21;20.2;25.3;86.6;1.3;
2008-11-22;2;25.9;85.8;1.3;
2008-11-23;46.2;25.7;87.6;1.8;
2008-11-24;1;26.6;80;1.3;
2008-11-25;27.4;24.9;88.2;1.2;
2008-11-26;5.2;25.8;85;1;
2008-11-27;.6;26;82.9;2.3;
2008-11-28;16.6;24.6;85.8;1.1;
2008-11-29;3;25.5;85.8;1;
2008-11-30;3.2;24.5;90.5;1.5;
2008-12-01;44.2;25.8;83;.9;
2008-12-02;1.4;24.3;90.3;1.3;
2008-12-03;25.2;24;88.5;1.7;
2008-12-04;0;25.4;83.2;1.6;
2008-12-05;.8;25.6;83.8;1.3;
2008-12-06;6.2;26.8;77.8;1.3;
2008-12-07;.2;26.3;81.4;1.4;
2008-12-08;14.8;26.8;78.8;1.6;
2008-12-09;0;27.1;75;1.3;
2008-12-10;.4;24.6;87;1.1;
2008-12-11;2;25.3;86.5;1.1;
2008-12-12;4.2;26.1;83.7;1.7;
2008-12-13;3.4;26.5;81.1;1.3;
2008-12-14;0;26;84.9;1.5;
2008-12-15;24.2;25.6;84.6;1.3;
2008-12-16;1.6;24.7;87.1;1.4;
2008-12-17;33.6;25.2;83.8;1.1;
2008-12-18;0;25.4;81;1.5;
2008-12-19;.2;25;85.1;1.4;
2008-12-20;8.2;24.4;86.5;1.5;
2008-12-21;2;25.7;80.1;1.3;
2008-12-22;39.4;23.9;91.3;1.2;
2008-12-23;16.8;25.6;84;1.4;
2008-12-24;23.8;25.4;85;1.3;
2008-12-25;2.4;26.4;79.8;1;
2008-12-26;40.6;25.2;85.9;2.2;
2008-12-27;2.8;25.7;83.3;.9;
2008-12-28;1.6;27.5;74.2;1;
2008-12-29;0;27.9;75.8;1.7;
2008-12-30;0;28;74.4;1.3;
