Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2008-09-06
Data Final: 2018-06-23
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-06;null;null;null;null;
2008-09-07;null;null;null;null;
2008-09-08;null;null;64.1;null;
2008-09-09;0;26.7;78.6;2.5;
2008-09-10;0;26.6;79.2;1.5;
2008-09-11;0;26.3;81.5;2.1;
2008-09-12;.6;27.3;78.3;2.7;
2008-09-13;0;27.2;78.3;2.3;
2008-09-14;.2;27.2;76.9;2.4;
2008-09-15;0;27.4;75.9;2.4;
2008-09-16;0;27.3;75.6;2.4;
2008-09-17;0;27.2;74;2.1;
2008-09-18;0;26.7;78.2;2.4;
2008-09-19;1.4;27;78;2.7;
2008-09-20;1.4;27.3;76.5;3;
2008-09-21;0;27.2;75.7;2.2;
2008-09-22;0;27.2;75.8;1.7;
2008-09-23;0;26.5;79.3;1.9;
2008-09-24;4.8;26.6;81.4;2.3;
2008-09-25;0;27.2;76.3;2.4;
2008-09-26;0;27.4;74.5;2.4;
2008-09-27;0;27.2;75.6;2.2;
2008-09-28;0;27.3;75.4;2.6;
2008-09-29;0;27.5;73.8;2.5;
2008-09-30;0;27.5;73;2.6;
2008-10-01;0;27.7;74.3;2.5;
2008-10-02;.4;27.7;76.4;2.7;
2008-10-03;.2;27.7;74;2.5;
2008-10-04;0;27.7;75.9;2.5;
2008-10-05;0;27.8;76.5;2.9;
2008-10-06;0;27.5;77.1;2.4;
2008-10-07;0;27.9;72.3;2.5;
2008-10-08;0;27.4;74.8;2.8;
2008-10-09;0;27.5;74.2;2.7;
2008-10-10;0;27.7;73.1;2.2;
2008-10-11;0;27.3;77.1;2.6;
2008-10-12;1.2;27.5;78.8;2.8;
2008-10-13;1;28.1;72.2;2.9;
2008-10-14;0;27.3;75.6;2.8;
2008-10-15;1.6;27.2;77.3;2.8;
2008-10-16;0;27.6;74.8;2.8;
2008-10-17;0;27.7;73.2;2.5;
2008-10-18;0;28;73.1;2.4;
2008-10-19;0;28.1;69.7;2.3;
2008-10-20;0;27.4;72.7;2.9;
2008-10-21;4;26.8;78.5;2.8;
2008-10-22;.2;27.5;73.5;2.6;
2008-10-23;0;26;82.5;2.3;
2008-10-24;24.6;26.6;77;2.7;
2008-10-25;0;26.6;76.8;2.6;
2008-10-26;.4;27.2;73.1;2.4;
2008-10-27;0;27.1;75.4;2.7;
2008-10-28;0;27.5;75.6;2.3;
2008-10-29;0;27.6;72.3;2.6;
2008-10-30;0;27.9;69.5;2.3;
2008-10-31;0;27;73.8;2.7;
2008-11-01;0;27.4;73.5;2.8;
2008-11-02;0;27;74.2;2.7;
2008-11-03;0;26.9;73.9;2.8;
2008-11-04;0;26.9;80;2.4;
2008-11-05;3.4;27.8;73.3;2.7;
2008-11-06;0;27.1;72.3;2.1;
2008-11-07;0;27.7;72;2.2;
2008-11-08;0;28;73;2.4;
2008-11-09;0;28;73.5;2.8;
2008-11-10;0;27.7;73.8;2.3;
2008-11-11;0;27.9;72;2.4;
2008-11-12;0;28;72.2;2.5;
2008-11-13;0;27.6;73.1;2.5;
2008-11-14;0;27.8;70.2;2.8;
2008-11-15;0;27.2;73;2.6;
2008-11-16;0;27.6;75.1;2.8;
2008-11-17;0;27.7;72.1;2.4;
2008-11-18;0;25.8;81.3;1.6;
2008-11-19;4.8;27.1;77.1;2.3;
2008-11-20;0;27.4;74.8;2.9;
2008-11-21;0;27.1;77.4;2.6;
2008-11-22;.8;27.8;75.2;2.6;
2008-11-23;0;28.1;70.6;2.3;
2008-11-24;0;26.8;77;2.7;
2008-11-25;0;27.1;74.5;2.6;
2008-11-26;0;27.7;70.8;2.4;
2008-11-27;0;27.4;72.3;2.6;
2008-11-28;0;27.5;72.5;2.5;
2008-11-29;0;27.2;72.7;2.8;
2008-11-30;0;27.5;73.4;2.7;
2008-12-01;0;26.9;78.8;2.3;
2008-12-02;.2;26.6;80;2.2;
2008-12-03;.2;25;89.2;1.3;
2008-12-04;25.4;25.5;84;1.8;
2008-12-05;0;27.1;78.4;2;
2008-12-06;0;27.3;76.7;2.4;
2008-12-07;0;27.5;76.2;2.4;
2008-12-08;0;26.7;80.3;2.2;
2008-12-09;.2;26;83;1.5;
2008-12-10;0;27;79.2;2.4;
2008-12-11;0;27.4;74.5;2.2;
2008-12-12;0;26.4;80;2.2;
2008-12-13;1;27.4;75.3;2.4;
2008-12-14;0;27.2;74.3;2.6;
2008-12-15;0;27.4;74;2.3;
2008-12-16;0;27.5;75.6;2.2;
2008-12-17;0;25.9;85.5;1.9;
2008-12-18;15.8;27.3;78.4;2.4;
2008-12-19;0;25.8;84.8;1.4;
2008-12-20;.4;26;83.2;1.8;
2008-12-21;0;25.7;86;1.7;
2008-12-22;2.6;24.4;91;1.6;
2008-12-23;48.2;25.7;84.5;2.3;
2008-12-24;16.6;25.5;88.3;1.8;
2008-12-25;8.4;25.9;87;1.8;
2008-12-26;4.6;24.7;90.7;1.2;
2008-12-27;5;24.8;89;1.8;
2008-12-28;2.4;26;85.6;1.8;
2008-12-29;3.4;25.4;88.5;1.7;
2008-12-30;3.8;26.2;86.3;2.3;
2008-12-31;22;25.5;87.4;1.8;
2009-01-01;6;24.9;86.4;2;
2009-01-02;0;25.9;84.7;2.1;
2009-01-03;7.2;26.6;83.4;2.4;
2009-01-04;4.2;26.1;85.5;2.2;
2009-01-05;15.8;26.5;83.3;1.6;
2009-01-06;0;26.4;82.6;2.2;
2009-01-07;7.2;25.6;88.1;1.8;
2009-01-08;2.6;24.6;92.3;1.3;
2009-01-09;47.8;24.2;90.3;1.9;
2009-01-10;9;25.8;84.2;2.7;
2009-01-11;1.6;26.7;79.5;2.6;
2009-01-12;5;25.5;85.3;1.5;
2009-01-13;.2;26.2;81.3;2.5;
2009-01-14;0;25.9;85.5;2.2;
2009-01-15;15.4;26.1;84;3.6;
2009-01-16;5.2;26.3;84.8;2.5;
2009-01-17;4.2;25.7;87.9;1.8;
2009-01-18;7;25.5;90;1.7;
2009-01-19;19.8;24.1;93.8;1.4;
2009-01-20;41.6;23.9;91.8;1.7;
2009-01-21;.4;24.9;87.1;1.9;
2009-01-22;40.4;24.7;89.7;1.5;
2009-01-23;15.8;24.9;89.2;1.6;
2009-01-24;2.8;24.1;91.3;1.9;
2009-01-25;39.4;24.5;87.9;1.6;
2009-01-26;6.2;24.7;90.5;1.8;
2009-01-27;30.2;24.4;90.4;2.1;
2009-01-28;.6;24.4;90.6;1.8;
2009-01-29;13.4;25.2;88.4;2.1;
2009-01-30;12.6;25.5;87.5;2.3;
2009-01-31;.4;24.6;89.9;1.5;
2009-02-01;64.6;26.1;82.6;2.7;
2009-02-02;0;24.9;88.8;1.6;
2009-02-03;12;24.6;91;1.4;
2009-02-04;6.2;25.3;90.1;1.8;
2009-02-05;36.4;25.4;89.9;1.7;
2009-02-06;8.8;24.4;91.3;2.1;
2009-02-07;1.4;25.7;87.7;2.4;
2009-02-08;4.8;25.6;89.2;1.7;
2009-02-09;35.2;25.7;89.5;1.7;
2009-02-10;1;26.5;83.3;2.8;
2009-02-11;4.4;26.5;84.5;2.5;
2009-02-12;2.2;24.6;92.3;1.5;
2009-02-13;74;24.9;90.7;2;
2009-02-14;19.2;24.1;93.5;1.4;
2009-02-15;50.6;23.8;93.8;1.3;
2009-02-16;15.4;23.4;93.7;1.3;
2009-02-17;37.4;24;93;1.2;
2009-02-18;39.6;23.6;93.3;1.4;
2009-02-19;21.8;25.3;82.9;1.8;
2009-02-20;0;24.7;90;3.1;
2009-02-21;24;24.9;88.2;2.4;
2009-02-22;7;24.3;89.8;2.9;
2009-02-23;41.8;23.4;93.9;null;
2009-02-24;42.2;24.3;92.4;1.8;
2009-02-25;19.4;25.1;90.8;2;
2009-02-26;20.4;23.6;93.9;null;
2009-02-27;11.6;25.6;83.2;1.7;
2009-02-28;.8;25.5;87.7;1.8;
2009-03-01;.4;26.2;84;2.4;
2009-03-02;4.6;26.7;84;2.2;
2009-03-03;2.8;25.6;89.4;2.5;
2009-03-04;16.4;24.7;91.7;1.5;
2009-03-05;43.6;25.7;87.2;2;
2009-03-06;14.4;26.1;85.1;2.2;
2009-03-07;20.2;25.4;88;1.9;
2009-03-08;1.4;25.8;84.8;1.5;
2009-03-09;13.8;24.4;92.4;1.4;
2009-03-10;26.4;25.2;88;1.3;
2009-03-11;5;25.4;88.3;1.7;
2009-03-12;4.4;25.2;91.3;1.3;
2009-03-13;18;26.5;83.7;2.4;
2009-03-14;0;26;80.2;2.6;
2009-03-15;0;25.9;82.3;2.7;
2009-03-16;.4;26.5;80;3.1;
2009-03-17;0;25.2;88;1.5;
2009-03-18;3.6;26.2;84.4;1.9;
2009-03-19;4.2;25.5;88.9;1.9;
2009-03-20;14.2;25.2;90.9;1.8;
2009-03-21;5.4;24.8;91.8;1.6;
2009-03-22;24.4;24.8;90.8;1.4;
2009-03-23;13.8;25.2;91.1;1.2;
2009-03-24;12;26;84.9;2.3;
2009-03-25;5.8;26.4;82.7;2.3;
2009-03-26;0;26;85;1.9;
2009-03-27;18;24.3;94.1;1.2;
2009-03-28;11.4;25.2;87.8;2;
2009-03-29;.2;25.8;87.2;1.6;
2009-03-30;38;24.6;93.6;1.4;
2009-03-31;7.6;24.9;89;1.5;
2009-04-01;0;25.1;90.3;1.5;
2009-04-02;8.4;25.5;90;1.2;
2009-04-03;7.2;26.2;84.5;1.7;
2009-04-04;0;25.1;89.1;1.4;
2009-04-05;0;26.2;83.9;1.3;
2009-04-06;1.4;26.6;83.3;2.5;
2009-04-07;0;26.8;79.9;2.8;
2009-04-08;.4;26.3;79.8;2.9;
2009-04-09;0;26;82.8;2.5;
2009-04-10;.6;26.4;80;2.6;
2009-04-11;0;24.7;89.7;1.5;
2009-04-12;10;25.1;88.5;1.4;
2009-04-13;10;24;92.5;1.2;
2009-04-14;.6;25.1;86;2.1;
2009-04-15;1.8;26.8;80.6;2.6;
2009-04-16;.6;26.2;81.3;2.4;
2009-04-17;27.2;24.3;92.4;1.6;
2009-04-18;29.8;25.6;88.9;2.3;
2009-04-19;1.4;25.7;87.3;2.2;
2009-04-20;21;26.3;84.5;2.6;
2009-04-21;0;26.9;81.3;2.8;
2009-04-22;0;26;80.6;2.5;
2009-04-23;0;25.6;81.1;2.6;
2009-04-24;0;26;82.3;2.5;
2009-04-25;.2;25;89.8;2.3;
2009-04-26;15.8;26.2;85.8;2.3;
2009-04-27;.4;26.2;82.3;2.9;
2009-04-28;1.4;25.4;88;2.1;
2009-04-29;3.8;26.4;85;2.6;
2009-04-30;.6;26.9;81.5;2.8;
2009-05-01;.6;25.5;89.4;1.9;
2009-05-02;13.6;26.4;83.3;2.8;
2009-05-03;.2;25.8;81.5;2.2;
2009-05-04;1.2;25.7;80.8;2.4;
2009-05-05;2.2;26.5;79.6;2.3;
2009-05-06;3.4;25.5;88.5;1.9;
2009-05-07;2.2;24.7;93.7;1.2;
2009-05-08;20.2;25.7;86.1;2.1;
2009-05-09;.2;24.2;93;1.4;
2009-05-10;96.8;24;94;1.5;
2009-05-11;6.6;24;90.3;1.9;
2009-05-12;1.6;26.1;82.5;2.6;
2009-05-13;0;26.3;81;2.8;
2009-05-14;0;25.5;86;2;
2009-05-15;7.8;24.9;91;2.1;
2009-05-16;14;25;89.8;2.3;
2009-05-17;7;25.8;87.4;1.8;
2009-05-18;5.2;24.8;93.1;1.2;
2009-05-19;30.6;25;91.9;1.6;
2009-05-20;10.8;25.9;85.8;2.1;
2009-05-21;1;26.1;85.4;1.9;
2009-05-22;8.4;25.8;87.4;1.7;
2009-05-23;3.4;24.9;91;2.1;
2009-05-24;44.2;24;94;1.2;
2009-05-25;79.6;24.2;94.1;1.1;
2009-05-26;37;25.5;87.8;2.2;
2009-05-27;2.2;25.9;88.6;2;
2009-05-28;.8;26.5;84.5;2.4;
2009-05-29;.2;25.1;90;1.7;
2009-05-30;32.2;25.4;89.7;1.4;
2009-05-31;75.4;25.8;85.7;1.5;
2009-06-01;0;25.1;90.3;1.5;
2009-06-02;17.8;24.9;90.9;1.5;
2009-06-03;72.6;23.8;94.7;1.6;
2009-06-04;18.8;24.7;92.4;1.5;
2009-06-05;3.2;24.9;93.1;1.1;
2009-06-06;26.2;25.1;90.7;1.6;
2009-06-07;23.4;24.2;93.5;1.3;
2009-06-08;8.4;25;89.5;1.9;
2009-06-09;.6;25;90.4;1.7;
2009-06-10;6.4;25.6;86.3;1.4;
2009-06-11;1.8;25.3;89.2;1.6;
2009-06-12;.4;26;85.6;1.9;
2009-06-13;2.8;24.8;90.8;1;
2009-06-14;5.6;24.2;92.6;1.4;
2009-06-15;5.6;23.9;94.1;1.4;
2009-06-16;31.6;24;93.7;1.1;
2009-06-17;7.6;25.5;86.1;1.6;
2009-06-18;5.8;25.7;86.4;1.4;
2009-06-19;5.4;25.8;86.5;1.7;
2009-06-20;.4;24.8;91.3;1.4;
2009-06-21;17;26.3;84;2.2;
2009-06-22;2.2;25.6;88.6;1.9;
2009-06-23;17.4;26.6;79.3;1.5;
2009-06-24;.4;25.4;88;1.1;
2009-06-25;2.2;26.2;81.9;1.6;
2009-06-26;.2;25.2;86.7;1.3;
2009-06-27;6.2;26;83;1.6;
2009-06-28;.2;26.1;78.5;1.9;
2009-06-29;0;24.7;87.9;1.8;
2009-06-30;8;24.5;91;1.1;
2009-07-01;2.4;24;92.2;1.1;
2009-07-02;5.4;25;88.1;1.3;
2009-07-03;2.6;26.2;82.8;2;
2009-07-04;0;26.2;82.5;1.9;
2009-07-05;1;26.6;80;2.1;
2009-07-06;0;24.5;90.5;1.2;
2009-07-07;12.8;25.7;84;2;
2009-07-08;3.6;25.5;82;1.6;
2009-07-09;.2;25.6;78;1.9;
2009-07-10;0;26.3;78.7;1.7;
2009-07-11;0;26.6;79.7;1.3;
2009-07-12;0;25.2;86.6;1.6;
2009-07-13;0;25.3;86.4;1.4;
2009-07-14;1.2;25.6;87;1.5;
2009-07-15;4.6;26.6;82.9;2.1;
2009-07-16;.2;26.1;84;1.7;
2009-07-17;0;27.1;79.2;1.8;
2009-07-18;8.8;25.6;85.7;1.6;
2009-07-19;10.6;24.9;89.6;1.8;
2009-07-20;14;26.1;82.9;1.8;
2009-07-21;0;26.4;78.3;1.8;
