Nome: PORTO DE MOZ
Codigo Estacao: A245
Latitude: -1.82194443
Longitude: -52.11166666
Altitude: 19
Situacao: Operante
Data Inicial: 2022-04-06
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-04-06;null;null;null;null;
2022-04-07;null;null;null;null;
2022-04-08;null;26.2;88.5;1.4;
2022-04-09;10.6;25.9;null;.9;
2022-04-10;7.6;25.5;null;1.1;
2022-04-11;11;26.5;null;1.2;
2022-04-12;17.4;26;null;1;
2022-04-13;.2;25.9;89.8;1.1;
2022-04-14;5.8;26.1;91.6;.9;
2022-04-15;13;26.1;null;.9;
2022-04-16;39.8;27.2;null;1;
2022-04-17;0;25.6;null;1.1;
2022-04-18;25;27.1;null;1;
2022-04-19;7.2;26.8;87.2;1;
2022-04-20;.2;25.8;94;.8;
2022-04-21;19.2;26;95.9;.9;
2022-04-22;.4;26.6;null;1.3;
2022-04-23;.4;25;null;.9;
2022-04-24;15;27.1;82.1;1.1;
2022-04-25;.2;26.9;null;1;
2022-04-26;14;25;92.1;.9;
2022-04-27;33;25.6;88.4;.9;
2022-04-28;12.2;26.4;88.5;1;
2022-04-29;7.6;25.7;90.2;1.3;
2022-04-30;6.4;25.7;null;.8;
2022-05-01;8.6;25.9;null;.9;
2022-05-02;11.8;25.6;null;1;
2022-05-03;6.8;25.9;91.6;1.1;
2022-05-04;23;25.7;91.3;.9;
2022-05-05;24.8;26.2;94;.7;
2022-05-06;21.6;26.6;87.7;1.2;
2022-05-07;2.6;25.5;null;1.2;
2022-05-08;65.8;25.5;null;1.2;
2022-05-09;.4;25.9;90.9;1;
2022-05-10;17.4;25.7;91.4;1.1;
2022-05-11;.4;26.1;87.2;.9;
2022-05-12;0;25.9;91.8;.8;
2022-05-13;9.8;26.9;89.8;.7;
2022-05-14;33.8;27.3;null;1.4;
2022-05-15;15;26.6;null;.9;
2022-05-16;0;27.5;null;1.1;
2022-05-17;5.8;27.2;null;1.2;
2022-05-18;0;26.2;91.5;.8;
2022-05-19;23.4;25.5;87.8;1.4;
2022-05-20;41.8;24.3;91.4;1.1;
2022-05-21;2.8;25.1;91.5;.7;
2022-05-22;61.8;26.2;87;.9;
2022-05-23;13.8;25.2;91.8;1;
2022-05-24;13.4;25.8;85.9;1.3;
2022-05-25;0;27.1;83.4;1.2;
2022-05-26;1.8;26.1;88;1.1;
2022-05-27;.2;26.1;88.2;1.2;
2022-05-28;3.6;26.3;88.4;.8;
2022-05-29;6.8;26.6;88.2;.9;
2022-05-30;3.2;26.1;89.1;1.1;
2022-05-31;7;27;85.4;1.3;
2022-06-01;38;26.1;88.2;1;
2022-06-02;.2;25.6;91;.9;
2022-06-03;5.8;27;86.6;.9;
2022-06-04;.2;26.3;89.8;1;
2022-06-05;32.2;25.5;89.9;1;
2022-06-06;33.2;25.4;89.3;1.2;
2022-06-07;1;25.9;88;1;
2022-06-08;3.6;25.6;89.8;1;
2022-06-09;1.6;25.2;92.5;.8;
2022-06-10;9;25.2;90.6;.8;
2022-06-11;9.2;25.3;89.6;1.1;
2022-06-12;25.6;25.5;89.8;.9;
2022-06-13;.8;26.3;87.2;.7;
2022-06-14;10.4;24.3;95.5;.9;
2022-06-15;49.6;25.7;86.8;1.2;
2022-06-16;.2;25.8;81.9;.8;
2022-06-17;0;25.4;87.4;.8;
2022-06-18;.2;26.4;86.7;.9;
2022-06-19;.2;27;84;1.1;
2022-06-20;9.6;26.1;86.4;1;
2022-06-21;5.4;26.4;85.6;1;
2022-06-22;.2;25.8;88.9;1;
2022-06-23;6.2;26.1;87.1;1.1;
2022-06-24;0;26.5;84.3;1.1;
2022-06-25;0;26.7;84.8;.9;
2022-06-26;0;25.8;89.8;.9;
2022-06-27;16.2;25.6;89.1;1.2;
2022-06-28;.4;25.4;89;1;
2022-06-29;23.4;25.2;92.5;1;
2022-06-30;46.6;25.4;87.1;.9;
2022-07-01;10.2;26.1;87.4;1;
2022-07-02;1.8;26.5;85.1;1;
2022-07-03;3.6;25.7;90;1.3;
2022-07-04;6.8;25.9;83.8;1.8;
2022-07-05;1.6;26.4;84.8;1;
2022-07-06;.4;26.7;86.5;1;
2022-07-07;0;27;83.4;1.1;
2022-07-08;9;26;87.3;1.5;
2022-07-09;0;26.7;83.1;1;
2022-07-10;0;25;91.3;.8;
2022-07-11;8;26.1;87.2;.7;
2022-07-12;0;26;90;.7;
2022-07-13;1;27;85.8;1;
2022-07-14;0;26.5;83.5;1.2;
2022-07-15;1;26.7;85.3;1.2;
2022-07-16;3.6;27.2;83.8;.9;
2022-07-17;0;26.8;86.3;.8;
2022-07-18;10.6;26.8;86.2;.9;
2022-07-19;9.8;26.9;83;1.5;
2022-07-20;0;26.6;86.9;.7;
2022-07-21;27.6;25.6;91.4;.8;
2022-07-22;3.6;27.1;84.9;.9;
2022-07-23;.2;26.7;85.1;.9;
2022-07-24;0;26.8;84.2;1;
2022-07-25;0;26.7;86.9;.9;
2022-07-26;0;26.9;85.8;.8;
2022-07-27;0;26.6;86.7;.8;
2022-07-28;0;26.4;86.9;.7;
2022-07-29;0;27.3;82.4;1.1;
2022-07-30;9;26.5;84.7;1.3;
2022-07-31;10.2;26;89.1;.7;
2022-08-01;45.6;26.5;86.1;1.1;
2022-08-02;.2;26.9;84.6;1.1;
2022-08-03;2.2;26.7;84.1;1;
2022-08-04;0;26.4;86.2;.9;
2022-08-05;0;26.9;83.5;1.3;
2022-08-06;0;26.5;84.3;1.1;
2022-08-07;0;26.8;82.5;1;
2022-08-08;0;27.1;81.3;1.1;
2022-08-09;0;27.1;82;1;
2022-08-10;0;27.1;82.3;.9;
2022-08-11;0;26.4;85.5;.9;
2022-08-12;.2;26.9;83;.9;
2022-08-13;.2;27.1;82.5;1.3;
2022-08-14;15.4;25.3;89.8;1;
2022-08-15;.2;26.2;85.4;.9;
2022-08-16;0;26.9;82;.8;
2022-08-17;0;26.8;82.2;1;
2022-08-18;0;26.9;81.5;1;
2022-08-19;0;27.4;80.5;1.3;
2022-08-20;0;27.3;83.1;1;
2022-08-21;0;26.9;83.5;1;
2022-08-22;0;26.6;82.3;.9;
2022-08-23;0;26.9;84.2;.9;
2022-08-24;0;25.9;88.8;1;
2022-08-25;34.4;26.5;86.6;1.2;
2022-08-26;.4;26.1;85.5;1.1;
2022-08-27;2.8;26.4;84.4;.9;
2022-08-28;.2;27.1;82.2;.9;
2022-08-29;0;27.1;83.1;.8;
2022-08-30;0;27.4;83.5;.8;
2022-08-31;.8;27.5;83.5;1;
2022-09-01;0;27.7;81.5;1.1;
2022-09-02;0;28.2;78.8;1.1;
2022-09-03;0;27.7;81.1;1;
2022-09-04;0;27.8;80;1;
2022-09-05;0;28.1;79.5;1.1;
2022-09-06;0;27;82.5;1.2;
2022-09-07;4.4;26.1;85.4;1.2;
2022-09-08;.6;26.7;84.7;.8;
2022-09-09;.6;27.4;82.1;1.1;
2022-09-10;0;27.3;81.6;.9;
2022-09-11;0;27.7;81.9;.9;
2022-09-12;0;27.3;84.1;.9;
2022-09-13;0;27.9;78.8;.9;
2022-09-14;0;27.4;83;1.1;
2022-09-15;4;28.2;79.9;1;
2022-09-16;0;28.1;77.2;1.1;
2022-09-17;0;28.1;77.8;1.1;
2022-09-18;0;27.9;75.6;1.2;
2022-09-19;0;28;77.1;1;
2022-09-20;0;27.9;78.8;1;
2022-09-21;0;28.2;78.8;1.3;
2022-09-22;.4;28;77.4;1.3;
2022-09-23;0;27.4;77.5;.9;
2022-09-24;0;27.8;76.9;.8;
2022-09-25;0;28.1;78.6;1.2;
2022-09-26;0;27.8;77.4;1.5;
2022-09-27;0;26.6;79.5;1;
2022-09-28;0;27.6;79.2;1.1;
2022-09-29;0;28.1;78.8;1.2;
2022-09-30;17.6;27.1;82.5;1.1;
2022-10-01;0;27.9;78.1;1.1;
2022-10-02;0;27.2;79.1;1;
2022-10-03;0;27.8;78.5;.9;
2022-10-04;11.4;27.3;81.8;1;
2022-10-05;0;27.8;79.5;1.1;
2022-10-06;0;27.7;80.1;1;
2022-10-07;0;27.9;79.5;1.1;
2022-10-08;2.2;27.6;80.4;1;
2022-10-09;0;27.8;82.1;1;
2022-10-10;.6;27.5;83;1.1;
2022-10-11;0;27.5;80.3;.8;
2022-10-12;.4;27.5;79.2;.9;
2022-10-13;0;27.4;83.8;.9;
2022-10-14;6.6;28;80.3;1.3;
2022-10-15;0;27.6;80.2;1.1;
2022-10-16;0;27.5;80.1;1;
2022-10-17;0;27.7;79.8;.9;
2022-10-18;0;28;79.4;1.1;
2022-10-19;0;28.6;76.8;1.3;
2022-10-20;.6;27.8;83;.9;
2022-10-21;2.8;28.2;79.4;1;
2022-10-22;.2;28.2;80.5;1;
2022-10-23;0;28.5;76.8;1.6;
2022-10-24;3.4;27.9;80.7;.9;
2022-10-25;.2;28.1;77.5;.8;
2022-10-26;0;27.9;77.1;1.4;
2022-10-27;0;28.3;77.5;1.5;
2022-10-28;0;28.7;73.8;1.5;
2022-10-29;0;28.7;73.8;1.3;
2022-10-30;0;28.3;79.9;1;
2022-10-31;.4;28.3;78;1.3;
2022-11-01;0;28.3;77.3;1.1;
2022-11-02;2.6;27.7;81;1.2;
2022-11-03;.2;26.9;82.5;1.6;
2022-11-04;0;27.3;79.9;1.2;
2022-11-05;3.8;26.4;87.6;1;
2022-11-06;7.2;26.5;87.8;1;
2022-11-07;2.4;25.4;94;.9;
2022-11-08;43.4;26.3;86.1;.9;
2022-11-09;1.4;27;80.4;1.5;
2022-11-10;7.8;27.6;78.6;1.2;
2022-11-11;0;27.4;79.4;.8;
2022-11-12;.8;27.5;83.1;.9;
2022-11-13;0;27.7;83.1;.9;
2022-11-14;0;28;81.1;1.1;
2022-11-15;0;28.1;78.7;1.3;
2022-11-16;0;27.8;79.7;1;
2022-11-17;0;27.8;79.4;.9;
2022-11-18;0;27.6;79.8;.9;
2022-11-19;0;27.5;81.3;1.3;
2022-11-20;0;27.5;75.8;1.5;
2022-11-21;0;27.9;76.1;1.2;
2022-11-22;0;28.6;76.7;1.1;
2022-11-23;null;null;77;1.1;
2022-11-24;0;25.2;91.5;.9;
2022-11-25;40.2;26.4;81.9;.9;
2022-11-26;.2;27.9;80.2;1;
2022-11-27;0;27.5;79.9;.8;
2022-11-28;0;27.7;78.6;1;
2022-11-29;0;27.5;79.8;1.3;
2022-11-30;22.8;26.7;86.6;.9;
2022-12-01;.2;27.4;84;1.2;
2022-12-02;0;24.2;92.9;1.3;
2022-12-03;45.4;25.6;83.2;.8;
2022-12-04;0;25.8;88.6;.9;
2022-12-05;61.6;25.5;85.8;1.1;
2022-12-06;0;26.2;85.9;1.2;
2022-12-07;2.6;27;82.4;1;
2022-12-08;.2;27.6;83.4;.9;
2022-12-09;0;27.4;83.5;1.1;
2022-12-10;0;27.5;82.2;1.1;
2022-12-11;0;27;81.9;1;
2022-12-12;0;27.3;81.4;1.1;
2022-12-13;0;26.7;83.6;.8;
2022-12-14;2.6;27.6;80;.9;
2022-12-15;2.2;27.4;79.7;1.2;
2022-12-16;.2;27.9;79.6;1.1;
2022-12-17;31.6;26.8;85.8;1.2;
2022-12-18;15.6;26.1;88.8;1;
2022-12-19;8.6;25.8;89.4;.9;
2022-12-20;7.4;26.2;88.6;.8;
2022-12-21;5.6;26.9;84.9;1;
2022-12-22;.2;25.3;92.9;1.1;
2022-12-23;7.6;25.3;88.4;1;
2022-12-24;10.2;25.8;89;1;
2022-12-25;1.4;26.9;86.7;1;
2022-12-26;9.8;27.1;85.4;.9;
2022-12-27;0;26.7;84.9;1.1;
2022-12-28;0;25.4;93.2;.9;
2022-12-29;29.2;26;87;1.1;
2022-12-30;3.6;26.5;85.4;1.1;
2022-12-31;2;26.1;89.6;.7;
2023-01-01;33.8;24.6;92.9;1;
2023-01-02;50.4;25.3;91.6;.8;
2023-01-03;1.6;25.8;89.5;.9;
2023-01-04;1;25.7;91.2;.8;
2023-01-05;8;26.5;88.6;1;
2023-01-06;.2;26.9;83.8;.9;
2023-01-07;0;26.9;83.1;1;
2023-01-08;.4;27.4;84.7;.8;
2023-01-09;3.2;25.4;92.1;.7;
2023-01-10;2.8;26.1;89.6;.9;
2023-01-11;23.2;26.5;87.1;1.2;
2023-01-12;4.2;26.8;86.2;1.2;
2023-01-13;6.2;26;91.5;.9;
2023-01-14;11.6;25.5;90.5;.7;
2023-01-15;2;24.8;88.9;1;
2023-01-16;.2;25.6;88.3;1;
2023-01-17;1.6;25.6;88.2;1;
2023-01-18;45;23.6;96.5;.9;
2023-01-19;33;23.3;92.7;1.1;
2023-01-20;.2;25.3;86.1;.8;
2023-01-21;38.8;25.7;90.1;1.1;
2023-01-22;2;26;88.3;1.1;
2023-01-23;21.2;25.7;90.1;1;
2023-01-24;5.2;25.6;90.2;1.1;
2023-01-25;4.2;25.1;88.5;1.2;
2023-01-26;1.4;26;83.8;1;
2023-01-27;.2;25.8;89.3;1;
2023-01-28;5.6;25.5;90.4;.8;
2023-01-29;1.2;25.4;89.1;.9;
2023-01-30;26.6;24.6;93.2;1;
2023-01-31;.8;25.6;86.7;.7;
2023-02-01;15.8;24;95.8;.8;
2023-02-02;16.6;25;90.7;1.1;
2023-02-03;.8;25;90.1;1;
2023-02-04;null;25.3;92;.9;
2023-02-05;29.4;25.7;90.5;.8;
2023-02-06;6.4;null;86.8;1;
2023-02-07;null;25.4;90.6;.9;
2023-02-08;10.6;25.3;91.3;1;
2023-02-09;7.8;25.1;93;.8;
2023-02-10;35.8;25.5;91.1;.7;
2023-02-11;3;25.7;91.7;1;
2023-02-12;5.8;26.1;88.2;.8;
