Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-09-10;null;null;null;null;
2016-09-11;null;null;null;null;
2016-09-12;null;null;null;null;
2016-09-13;null;null;null;null;
2016-09-14;0;28.6;64.4;1.3;
2016-09-15;0;28.6;65.6;2.2;
2016-09-16;0;28.8;65;1.8;
2016-09-17;0;24.4;79.9;1.6;
2016-09-18;36.8;25.9;77.8;1.4;
2016-09-19;3.6;27.3;71.6;1.1;
2016-09-20;0;27.6;69;1.2;
2016-09-21;0;27.5;69.6;1.5;
2016-09-22;0;27.2;72.4;1.5;
2016-09-23;1;24.9;82.5;1.7;
2016-09-24;0;26.8;73.3;1.3;
2016-09-25;0;25;81.5;1.9;
2016-09-26;62;23.3;89.9;1.4;
2016-09-27;12.2;25.7;82;1.3;
2016-09-28;0;25.3;84.6;1.4;
2016-09-29;19;25.7;81;1.7;
2016-09-30;0;23.6;88.3;1.9;
2016-10-01;2;25.1;81.7;1.5;
2016-10-02;.2;26.9;77.2;1.1;
2016-10-03;0;27.6;76.2;1.3;
2016-10-04;0;26.3;81.7;1.6;
2016-10-05;10.2;25.5;81.2;1.9;
2016-10-06;0;24.5;84.9;1.5;
2016-10-07;22.4;26.6;77.6;1.2;
2016-10-08;.4;25.4;87.1;1.1;
2016-10-09;.4;24.5;90.6;1.4;
2016-10-10;1;26.5;82.2;1;
2016-10-11;.2;27.8;75.8;1.7;
2016-10-12;0;27.1;75.4;1.4;
2016-10-13;0;27.1;73.6;1.8;
2016-10-14;0;27.8;72.6;1.2;
2016-10-15;0;28.1;70.5;1.5;
2016-10-16;0;28;69;1.3;
2016-10-17;0;28.1;71.1;1.8;
2016-10-18;0;27.6;71.1;1.8;
2016-10-19;0;28;69.3;1.3;
2016-10-20;0;27.5;71;1.5;
2016-10-21;0;25.4;76.3;1.6;
2016-10-22;0;27;71.5;1.5;
2016-10-23;0;26.6;75.3;1.3;
2016-10-24;0;25.2;83.4;1.5;
2016-10-25;.2;26.5;77.9;1.3;
2016-10-26;0;26.8;75.3;1.5;
2016-10-27;0;26.1;78.9;1.6;
2016-10-28;7;25.9;83.3;1.4;
2016-10-29;12.6;25.2;82.6;1.9;
2016-10-30;2.6;25.8;78;1.3;
2016-10-31;0;25.7;82.8;1.5;
2016-11-01;0;26.6;78.7;1.4;
2016-11-02;0;26.6;80.4;1.3;
2016-11-03;0;27;79.7;1.3;
2016-11-04;0;28.2;74.3;1.5;
2016-11-05;0;28.6;70.9;1.7;
2016-11-06;0;26.3;82.1;1.4;
2016-11-07;4;25.8;83.3;1.4;
2016-11-08;11.8;24.3;88.5;1.2;
2016-11-09;1.2;25.2;84.5;2;
2016-11-10;0;26.4;77.1;1.3;
2016-11-11;0;25.1;89.6;1.4;
2016-11-12;21.6;25.6;86.4;2;
2016-11-13;0;25.9;86.4;1.2;
2016-11-14;0;27.3;80;.8;
2016-11-15;.4;24.2;89.4;2.1;
2016-11-16;5.8;23.9;92;1;
2016-11-17;3.6;25.9;82.4;1.6;
2016-11-18;.2;25.8;81.2;1.7;
2016-11-19;0;25.3;86.8;1.2;
2016-11-20;0;24.5;90.6;1.3;
2016-11-21;4.2;27.1;77.5;1.9;
2016-11-22;.2;25.8;77.2;1.5;
2016-11-23;0;26.9;77.7;1.3;
2016-11-24;0;26.5;77.8;1.3;
2016-11-25;0;26.5;80.6;1.3;
2016-11-26;0;25.5;84.4;1.3;
2016-11-27;0;26.8;77.3;1.5;
2016-11-28;0;28;71.3;1.5;
2016-11-29;0;27.3;73.2;1.4;
2016-11-30;0;26.2;85.3;1.6;
2016-12-01;0;27;null;1.8;
2016-12-02;0;26;null;1.5;
2016-12-03;62.4;26.1;null;1.4;
2016-12-04;.2;26.5;81;1.7;
2016-12-05;0;26.1;84.3;1.5;
2016-12-06;0;27.3;76.1;1.1;
2016-12-07;0;25;88.3;1.1;
2016-12-08;1.2;24.2;87.9;1.4;
2016-12-09;.4;26.4;79;1.3;
2016-12-10;0;27.1;78.7;1.5;
2016-12-11;0;25.3;84;1.4;
2016-12-12;0;25.7;85.6;1.4;
2016-12-13;9;26.3;83.4;1.6;
2016-12-14;18;24.1;89.8;1.7;
2016-12-15;1.2;24.6;84.7;1.9;
2016-12-16;.2;25.9;81;1.5;
2016-12-17;33.2;23.7;88.2;1.8;
2016-12-18;1;24.2;85.7;1.2;
2016-12-19;13.2;24.3;84.5;1.4;
2016-12-20;0;25.7;79.2;1.7;
2016-12-21;0;26.3;79.3;1.5;
2016-12-22;0;26.9;80.6;1.6;
2016-12-23;0;27;83.3;1.4;
2016-12-24;0;26;86.1;1.2;
2016-12-25;12;25.8;84;1.2;
2016-12-26;0;27.3;76.8;1.6;
2016-12-27;0;27.3;78.8;1.5;
2016-12-28;2;23.7;87.1;1.7;
2016-12-29;.6;23;92.2;1.1;
2016-12-30;4.2;25.1;85.4;1.1;
2016-12-31;0;27;81;1.2;
2017-01-01;0;25.6;83.5;1.3;
2017-01-02;.2;25.1;84.8;1.5;
2017-01-03;13.4;24.9;84.3;1.5;
2017-01-04;0;25.1;81.2;1.5;
2017-01-05;0;23;93.2;.9;
2017-01-06;42;25.7;84.5;1.3;
2017-01-07;0;26.9;78.8;1.4;
2017-01-08;0;26.9;79.7;1.5;
2017-01-09;0;24.8;87.1;1.5;
2017-01-10;3.8;25.8;83.2;1.4;
2017-01-11;6.8;25.9;82.7;1.8;
2017-01-12;.2;26.5;78.8;1.5;
2017-01-13;0;26.1;81.2;1.4;
2017-01-14;2.8;23.6;91;1.6;
2017-01-15;27.4;24;88.3;1.4;
2017-01-16;.2;25.8;84.5;1.3;
2017-01-17;5.2;24.6;88.8;1.5;
2017-01-18;15.6;23;92.6;2;
2017-01-19;7.6;25.2;82.2;1.3;
2017-01-20;.2;26.3;80.5;1.1;
2017-01-21;2.2;25.5;81.6;1.2;
2017-01-22;8;24.6;86.1;1.6;
2017-01-23;.2;24.1;89.2;1.3;
2017-01-24;44.8;23.5;87.8;1.8;
2017-01-25;2.2;25.5;80.1;1;
2017-01-26;0;26.4;79;1.6;
2017-01-27;0;26.2;80.3;1.3;
2017-01-28;23.6;24.7;88.3;1.4;
2017-01-29;3.2;25.7;84.9;1;
2017-01-30;0;26.2;84;1.2;
2017-01-31;0;26;86;1;
2017-02-01;10;25.6;83.1;2.1;
2017-02-02;25.6;24.5;87.8;1.7;
2017-02-03;1;26.1;84.3;1.1;
2017-02-04;.2;26.8;82.4;1.2;
2017-02-05;8;26.3;83.1;1.1;
2017-02-06;.2;26.4;83;1.3;
2017-02-07;0;26.2;86.3;1.5;
2017-02-08;17;25.3;87;1.4;
2017-02-09;14.6;25.3;87.5;1.5;
2017-02-10;.6;24.4;90.3;1.6;
2017-02-11;73.2;24.6;88.8;1.9;
2017-02-12;0;25.5;85.7;1.3;
2017-02-13;14.2;24.2;86.1;1.9;
2017-02-14;0;25;86.5;2.1;
2017-02-15;1;25.5;81.1;2.7;
2017-02-16;0;25.9;80.5;1.8;
2017-02-17;0;26.1;82.9;1.1;
2017-02-18;4.8;24.4;89.7;1.2;
2017-02-19;17.2;25.3;83;1.3;
2017-02-20;13;24.2;84.6;1.5;
2017-02-21;1.6;25.4;79.6;1.9;
2017-02-22;0;24.8;84.8;1.5;
2017-02-23;14.4;25.3;83.2;1.8;
2017-02-24;0;25.2;79.9;1.8;
2017-02-25;0;25.8;82.5;1.5;
2017-02-26;110.8;23.2;89.7;1.5;
2017-02-27;22.2;25.6;82.6;1.4;
