Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Pane
Data Inicial: 2011-04-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-04-17;null;null;null;null;
2011-04-18;null;null;null;null;
2011-04-19;null;24.6;88.5;1.8;
2011-04-20;19.2;24.6;89.6;1.4;
2011-04-21;18.2;26.1;83;1.5;
2011-04-22;3.2;25.4;88.8;1.9;
2011-04-23;16;24.6;91.9;1.2;
2011-04-24;28.4;24.2;91.6;2.3;
2011-04-25;24.6;24.6;87.5;1.4;
2011-04-26;9;25.4;86.5;1.5;
2011-04-27;1;25.4;86.8;1.5;
2011-04-28;76.2;25;87.5;1.7;
2011-04-29;.4;25.8;84.5;1.5;
2011-04-30;.6;25.2;88.5;1.6;
2011-05-01;4;26.1;84.3;1.4;
2011-05-02;.2;25.1;90.4;1.4;
2011-05-03;3.6;25.3;88.7;1.4;
2011-05-04;11.4;26;86.2;1.8;
2011-05-05;19.4;25.6;88.9;1.9;
2011-05-06;21.2;25.3;91.8;1.3;
2011-05-07;1;25.4;89.5;1.2;
2011-05-08;.6;25.8;87.2;2;
2011-05-09;17.6;24.5;90.2;1.7;
2011-05-10;17.2;24.9;88;1.5;
2011-05-11;54.6;25;91.4;1.6;
2011-05-12;6.4;25.4;88.4;1.8;
2011-05-13;3.2;25.6;88.8;1.3;
2011-05-14;2.2;25.8;85;1.9;
2011-05-15;0;26.3;82.9;1.6;
2011-05-16;0;26;86.9;1.5;
2011-05-17;.6;25;91.4;1.1;
2011-05-18;2.2;25.1;90.7;1.2;
2011-05-19;25.2;25.2;86.2;1.6;
2011-05-20;0;25.3;88.3;1.6;
2011-05-21;1.8;24.7;90.7;1.9;
2011-05-22;28;26;84.8;1.9;
2011-05-23;0;26.6;80.1;1.6;
2011-05-24;0;25.5;87.5;1.7;
2011-05-25;4.2;25.3;88.1;2;
2011-05-26;8.2;26.3;86.5;1.6;
2011-05-27;0;25.8;86.5;2.1;
2011-05-28;0;26.2;82.8;1.9;
2011-05-29;0;26.3;82.5;2.1;
2011-05-30;3.6;25.9;84.6;2.5;
2011-05-31;.2;26.4;81;2.2;
2011-06-01;0;26.7;76.3;2;
2011-06-02;0;25.4;83.7;1.4;
2011-06-03;6.4;26.2;83.1;1.6;
2011-06-04;8.6;24.1;91.4;1.4;
2011-06-05;2.2;25.5;81.9;1.1;
2011-06-06;0;25.6;81.9;1.3;
2011-06-07;.4;24.6;86.8;1.6;
2011-06-08;4.2;25.3;85.7;1.8;
2011-06-09;2.2;24.2;91.4;1.7;
2011-06-10;1;26;84.3;2;
2011-06-11;.6;25.8;84;2.1;
2011-06-12;4.4;25.5;83.8;2.1;
2011-06-13;1.6;24.9;87.2;1.9;
2011-06-14;35;25.3;85.7;1.7;
2011-06-15;.2;25.7;81.8;1.6;
2011-06-16;0;25.7;78.3;2.2;
2011-06-17;0;24.3;82;1.5;
2011-06-18;3.4;26;80.6;1.9;
2011-06-19;0;26;83.1;1.5;
2011-06-20;.2;24.9;88.5;2.2;
2011-06-21;37.4;25.1;86.6;1.8;
2011-06-22;1.8;25.2;84;1.6;
2011-06-23;0;24.2;88.2;1.7;
2011-06-24;12.4;24.5;88.3;2.1;
