Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2013-12-11
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-12-11;null;null;null;null;
2013-12-12;null;null;null;null;
2013-12-13;null;null;null;null;
2013-12-14;null;null;null;null;
2013-12-15;null;null;null;null;
2013-12-16;null;null;null;null;
2013-12-17;null;26.8;77.3;2.1;
2013-12-18;5.2;25.1;87.2;1.6;
2013-12-19;13.4;25.7;85.5;1.6;
2013-12-20;8.4;26.3;81.4;1.9;
2013-12-21;1.4;27.2;75.3;2.4;
2013-12-22;0;27.5;72.6;1.9;
2013-12-23;0;27.2;74.5;2.2;
2013-12-24;.4;27.4;76.9;2.1;
2013-12-25;.6;27.2;81.2;1.5;
2013-12-26;17.4;27.3;78.6;2.4;
2013-12-27;2.6;28;76.7;2.3;
2013-12-28;0;27.2;77.9;2.2;
2013-12-29;.2;27.9;76;2.4;
2013-12-30;0;28.3;73;3.2;
2013-12-31;0;28.1;71.7;2.8;
2014-01-01;0;27.5;73.9;2.1;
2014-01-02;0;27.9;73.9;2.9;
2014-01-03;.8;28.1;71;2.7;
2014-01-04;0;28.1;71.9;2.7;
2014-01-05;.6;27.8;73.4;2.3;
2014-01-06;0;28.3;70.1;2.7;
2014-01-07;0;26.5;79;1.8;
2014-01-08;2;25.2;83.4;1.6;
2014-01-09;56;24.4;87.1;1.3;
2014-01-10;13.6;24.5;84.3;1.7;
2014-01-11;13.6;25.1;84.8;1.4;
2014-01-12;2.8;24.1;89.3;1.8;
2014-01-13;19;25.3;85.6;1.7;
2014-01-14;3.6;26.2;84.9;1.9;
2014-01-15;3.2;26.3;78.5;1.9;
2014-01-16;0;27.5;74.9;2.2;
2014-01-17;.8;27.5;79;2.6;
2014-01-18;5.4;27.6;77.4;2.9;
2014-01-19;0;27;75.6;2.4;
2014-01-20;0;26.1;78.9;1.9;
2014-01-21;0;26.6;80.1;1.9;
2014-01-22;0;27.3;77.1;2.3;
2014-01-23;0;27.4;75.9;2.2;
2014-01-24;0;26.7;78.8;1.9;
2014-01-25;2.4;24.3;89.3;2;
2014-01-26;19.8;23.6;88.6;1.9;
2014-01-27;6.8;25;83.4;1.7;
2014-01-28;0;25.5;82;1.9;
2014-01-29;22.4;23.2;92.3;1.5;
2014-01-30;22;24.5;85.3;1.9;
2014-01-31;1;26.1;80;2.2;
2014-02-01;0;25.9;82.1;1.7;
2014-02-02;.4;27.1;78;1.9;
2014-02-03;2.4;26;82.3;1.6;
2014-02-04;1.4;25.4;87.4;1.3;
2014-02-05;33.8;25.6;86.6;1.4;
2014-02-06;1.4;26.4;78.3;2.2;
2014-02-07;19;26;84.4;1.4;
2014-02-08;.2;25.6;86.8;1.4;
2014-02-09;35.8;25.7;87.6;1.6;
2014-02-10;8.4;25.9;86.7;2.2;
2014-02-11;33.2;25.7;86.8;2.1;
2014-02-12;16.4;24.7;89.9;1.3;
2014-02-13;8.6;24.2;92.3;1.4;
2014-02-14;54.4;24.7;89.1;1.5;
