Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-09-01;null;null;null;null;
2015-09-02;null;null;null;null;
2015-09-03;null;null;65.8;null;
2015-09-04;3.2;26.4;83.3;1;
2015-09-05;3.4;27.1;80.6;1.3;
2015-09-06;0;27.6;75.6;1.7;
2015-09-07;0;27.7;69.9;1.9;
2015-09-08;0;26.5;77.5;1.3;
2015-09-09;0;26.5;79.3;1.2;
2015-09-10;0;26.6;77.4;1.3;
2015-09-11;0;27;74.9;1.1;
2015-09-12;0;27.1;77.3;1;
2015-09-13;0;27.8;77.3;1.1;
2015-09-14;0;27.4;76.8;1.4;
2015-09-15;0;27.9;72.2;1.3;
2015-09-16;0;27.5;77.8;1.3;
2015-09-17;0;27.5;79.1;1.4;
2015-09-18;0;28;76;1.7;
2015-09-19;0;28.2;75.9;1.8;
2015-09-20;0;27.7;74.8;1.4;
2015-09-21;0;27.8;75;1.7;
2015-09-22;0;27.8;70.9;1.8;
2015-09-23;0;27.9;71.6;1.6;
2015-09-24;0;28;73.5;1.7;
2015-09-25;0;28;72.3;2;
2015-09-26;0;28.3;67.8;1.9;
2015-09-27;0;28.9;62.3;1.9;
2015-09-28;0;28.5;66;2.1;
2015-09-29;0;28.6;67;1.7;
2015-09-30;0;28.3;71.8;1.4;
2015-10-01;0;28.3;71.7;1.7;
2015-10-02;0;28;71.3;1.9;
2015-10-03;0;28.2;69;1.7;
2015-10-04;0;28.3;70.5;1.5;
2015-10-05;0;29;69.7;1.8;
2015-10-06;0;29.1;65.3;2.4;
2015-10-07;0;28.1;68.1;1.7;
2015-10-08;0;28.2;72.4;1.3;
2015-10-09;0;28.2;74.8;1.6;
2015-10-10;7.6;27.9;76.1;1.3;
2015-10-11;0;28.1;73.1;1.5;
2015-10-12;0;28.6;69;1.9;
2015-10-13;0;28.2;71.9;1.7;
2015-10-14;0;28.4;68;2;
2015-10-15;0;28;70.8;1.6;
2015-10-16;0;28.2;70.3;1.8;
2015-10-17;0;28.1;70.8;1.8;
2015-10-18;0;28.3;70;1.4;
2015-10-19;0;29.2;65;1.7;
2015-10-20;0;28.4;69.8;1.4;
2015-10-21;0;28.4;69.5;1.5;
2015-10-22;0;29.3;64.2;1.8;
2015-10-23;0;28.9;69.5;1.9;
2015-10-24;.2;28.5;68;2.2;
2015-10-25;0;28.6;67.6;1.8;
2015-10-26;0;28.7;65.1;1.5;
2015-10-27;0;28.8;62.5;1.5;
2015-10-28;0;28.2;68.4;1.5;
2015-10-29;0;27.9;70.8;1.3;
2015-10-30;0;27.7;71.3;1;
2015-10-31;0;27;76.8;1.6;
2015-11-01;0;27.3;73.7;1.8;
2015-11-02;0;28.7;67.7;1.8;
2015-11-03;0;29;66.5;1.6;
2015-11-04;0;29;68;2.1;
2015-11-05;0;27.9;71.2;1.9;
2015-11-06;0;27.7;67.3;1.6;
2015-11-07;0;28.2;68.3;1.2;
2015-11-08;0;28.7;70.4;1.5;
2015-11-09;0;28.7;68;1.8;
2015-11-10;0;28.7;66.8;1.9;
2015-11-11;0;28.7;66.7;1.6;
2015-11-12;0;27.9;69.2;1.1;
2015-11-13;0;29;66.4;1.6;
2015-11-14;0;28.9;68.6;2.1;
2015-11-15;0;28.1;64.8;2.2;
2015-11-16;0;28.3;63;1.8;
2015-11-17;0;27.9;67.8;1.5;
2015-11-18;0;28.6;68.5;1.7;
2015-11-19;0;28.8;66.6;1.5;
2015-11-20;0;28.7;66.2;1.6;
2015-11-21;0;29.1;62.3;1.9;
2015-11-22;0;28.9;63.5;2.1;
2015-11-23;0;29;61.6;1.8;
2015-11-24;0;29.1;62.7;1.7;
2015-11-25;0;28.6;69;1.8;
2015-11-26;0;29;66.8;2;
2015-11-27;0;28.9;64.3;1.9;
2015-11-28;0;29;63.3;1.9;
2015-11-29;0;28.2;67;1.7;
2015-11-30;0;28.3;68.5;1.9;
2015-12-01;0;28;67.9;1.8;
2015-12-02;0;28;71.3;1.6;
2015-12-03;0;28.6;69.9;2;
2015-12-04;0;28.6;64.5;2.1;
2015-12-05;0;28.7;64.8;1.9;
2015-12-06;0;28.3;65.8;1.7;
2015-12-07;0;28.2;67.7;2;
2015-12-08;0;28.3;66.3;2.2;
2015-12-09;0;28.1;64.2;1.6;
2015-12-10;0;28.9;63.2;1.7;
2015-12-11;0;28.8;67.2;2;
2015-12-12;0;28.5;65.8;2.2;
2015-12-13;0;28.5;64.8;2;
2015-12-14;0;28.3;68;1.6;
2015-12-15;0;28.8;65.7;1.9;
2015-12-16;0;28.9;66;2;
2015-12-17;0;28.9;63.6;2.4;
2015-12-18;0;28.7;64.3;2.4;
2015-12-19;0;28.2;66;1.9;
2015-12-20;2.8;28.3;68.3;1.9;
2015-12-21;.2;28.4;67;1.7;
2015-12-22;0;27.9;69;2.1;
2015-12-23;0;28.4;64.3;1.9;
2015-12-24;0;28.7;63.3;2;
2015-12-25;0;28.2;65.3;2;
