Nome: ITAUBAL
Codigo Estacao: A251
Latitude: 0.56777777
Longitude: -50.8236111
Altitude: 21
Situacao: Pane
Data Inicial: 2017-08-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-23;null;null;null;null;
2017-08-24;null;null;null;null;
2017-08-25;null;28.1;77;2.6;
2017-08-26;0;27.6;78.5;2.5;
2017-08-27;0;27.9;75;3.1;
2017-08-28;0;27.8;75.1;2.7;
2017-08-29;0;27.9;74.5;2.8;
2017-08-30;0;28;75;2.2;
2017-08-31;0;28.2;76.2;2.2;
2017-09-01;0;28.3;74.6;2.6;
2017-09-02;0;28.3;73.8;2.8;
2017-09-03;0;28;75.3;2.1;
2017-09-04;0;28;75.3;2.2;
2017-09-05;1.8;27.3;79.6;2.2;
2017-09-06;.2;27.8;79.1;2.5;
2017-09-07;0;27.8;76;2.5;
2017-09-08;0;28;73.9;2.6;
2017-09-09;0;28;null;3.1;
2017-09-10;0;28;null;2.7;
2017-09-11;0;27.2;null;2.3;
2017-09-12;1;28.2;null;3.1;
2017-09-13;.2;28;null;3.1;
2017-09-14;0;28.3;null;2.2;
2017-09-15;0;28.2;null;2.1;
2017-09-16;0;27.4;null;2.8;
2017-09-17;4.6;27.8;null;3;
2017-09-18;.2;27.5;null;2.6;
2017-09-19;0;28.3;null;2.4;
2017-09-20;0;26.8;null;1.3;
2017-09-21;14.8;27.7;null;2.9;
2017-09-22;0;28.1;null;3.1;
2017-09-23;0;27.9;null;2.6;
2017-09-24;0;27.7;null;2.7;
2017-09-25;0;28;null;2.3;
2017-09-26;0;28;null;2.5;
2017-09-27;0;27.8;null;2.8;
2017-09-28;0;28;null;2.9;
2017-09-29;0;27.7;null;3;
2017-09-30;0;27.9;null;2.2;
2017-10-01;0;28;null;2.2;
2017-10-02;0;27.8;null;2.9;
2017-10-03;0;27.7;null;2.9;
2017-10-04;0;28.2;null;3.4;
2017-10-05;0;27.8;null;3;
2017-10-06;.6;27.8;null;3.5;
2017-10-07;0;27.9;null;2.8;
2017-10-08;0;28;null;1.9;
2017-10-09;0;27.9;null;1.8;
2017-10-10;0;28.3;null;2.6;
2017-10-11;0;28.1;null;2.2;
2017-10-12;2.2;28.2;null;3.6;
2017-10-13;0;28.2;null;2.5;
2017-10-14;0;27.9;null;3.1;
2017-10-15;0;28.1;null;2.7;
2017-10-16;0;28.2;null;2.6;
2017-10-17;0;28.4;null;2.4;
2017-10-18;0;27.9;null;2.9;
2017-10-19;0;28.2;null;2.8;
2017-10-20;0;27.9;null;3.6;
2017-10-21;0;27.9;null;3.5;
2017-10-22;0;27.9;null;3.2;
2017-10-23;0;28.4;null;2.7;
2017-10-24;0;28.8;null;2.4;
2017-10-25;0;28.5;null;2.4;
2017-10-26;0;28;null;2.4;
2017-10-27;0;28;null;3.1;
2017-10-28;0;28.1;null;2.8;
2017-10-29;0;28.2;null;2.5;
2017-10-30;0;28.2;null;2.3;
2017-10-31;0;28.5;null;2.2;
2017-11-01;0;27.5;null;2.7;
2017-11-02;.8;28.2;null;2.9;
2017-11-03;0;28;null;3.1;
2017-11-04;0;28.2;null;3.5;
2017-11-05;0;28.3;null;3.2;
2017-11-06;0;28.5;null;2.8;
2017-11-07;0;28.5;null;2.1;
2017-11-08;0;28.2;null;2.5;
2017-11-09;0;28.4;null;3;
2017-11-10;0;28.2;null;3;
2017-11-11;0;28.3;null;2.8;
2017-11-12;0;28.1;null;2.4;
2017-11-13;0;28.4;null;2.7;
2017-11-14;0;28.3;null;3.4;
2017-11-15;0;28.4;null;3.4;
2017-11-16;0;28.1;null;3.5;
2017-11-17;0;28.1;null;2.9;
2017-11-18;0;27.8;null;2.4;
2017-11-19;0;27.5;null;2.1;
2017-11-20;0;27.7;null;2.8;
2017-11-21;0;28;null;2.9;
2017-11-22;0;27.7;null;2.4;
2017-11-23;0;28.5;null;2.8;
2017-11-24;0;28.2;null;3.6;
2017-11-25;0;28.3;null;3;
2017-11-26;.2;28.4;null;3.1;
2017-11-27;0;28.1;null;3.2;
2017-11-28;0;28.5;null;3.5;
2017-11-29;0;28.3;null;2.8;
2017-11-30;0;28.5;null;2.9;
2017-12-01;0;28.3;null;3.5;
2017-12-02;0;28;null;3.6;
2017-12-03;0;27.7;null;3.5;
2017-12-04;0;28.3;null;3.3;
2017-12-05;0;28.4;null;3.7;
2017-12-06;0;28.4;null;2.4;
2017-12-07;0;27.3;null;2.2;
2017-12-08;3.4;27.7;null;2.2;
2017-12-09;0;27;null;1.5;
2017-12-10;0;26.9;null;1.7;
2017-12-11;.6;28;null;2.4;
2017-12-12;0;28.6;null;2.7;
2017-12-13;0;26.8;null;1.5;
2017-12-14;13.4;25.2;null;1.1;
2017-12-15;22.2;25;null;1.2;
2017-12-16;14.8;24.8;null;1.5;
2017-12-17;6;25.5;null;1.3;
2017-12-18;1.4;25.8;null;1.6;
2017-12-19;20.6;25.6;null;2.6;
2017-12-20;1.6;26.5;null;2.2;
2017-12-21;.2;27;null;2.5;
2017-12-22;0;27.2;null;2.3;
2017-12-23;3;27.2;null;2.3;
2017-12-24;4.4;25.4;null;1.4;
2017-12-25;64.4;23.7;null;1.3;
2017-12-26;.2;25;null;1.3;
2017-12-27;1.6;26.5;null;1.4;
2017-12-28;1.2;27.1;null;2.2;
2017-12-29;.2;26.6;null;1.5;
2017-12-30;2.8;27.3;null;2.7;
2017-12-31;0;27.4;null;2.8;
2018-01-01;0;27.5;null;2.4;
2018-01-02;0;27.6;null;1.9;
2018-01-03;0;26.9;null;1.5;
2018-01-04;4.6;26.9;null;1.4;
2018-01-05;.4;26.2;null;1.1;
2018-01-06;3.4;26.7;null;1.3;
2018-01-07;17.8;25.3;null;1.4;
2018-01-08;33.8;24.6;null;.8;
2018-01-09;29.4;24.7;null;1.5;
2018-01-10;.2;25.9;null;2.1;
2018-01-11;.6;25.8;null;2;
2018-01-12;.2;24.9;null;1;
2018-01-13;50.4;24.2;null;.8;
2018-01-14;1.2;26.1;null;2.2;
2018-01-15;2.6;26.4;null;2.2;
2018-01-16;3.4;26;null;1.6;
2018-01-17;2.2;27.2;null;2.2;
2018-01-18;9.4;26;null;1.1;
2018-01-19;.6;24.3;null;.9;
2018-01-20;13.8;24.7;null;.9;
2018-01-21;10.4;26.3;null;1.3;
2018-01-22;6.2;25.7;null;.8;
2018-01-23;5.8;26.2;null;1.2;
2018-01-24;4;26.1;null;.9;
2018-01-25;24.8;24.4;null;1.2;
2018-01-26;12;24.6;null;1.2;
2018-01-27;14;24.6;null;1;
2018-01-28;3.6;25.5;null;1.5;
2018-01-29;7.2;25.8;null;1;
2018-01-30;13.4;24.8;null;1.3;
2018-01-31;29;null;null;1.5;
2018-02-01;null;25.2;null;1.1;
2018-02-02;40;24.7;null;1.2;
2018-02-03;2.8;25.1;null;.8;
2018-02-04;12;null;null;.8;
2018-02-05;null;26;null;1.1;
2018-02-06;.2;null;null;.9;
2018-02-07;0;25.7;null;1.2;
2018-02-08;null;null;null;.7;
2018-02-09;null;24.8;null;.9;
2018-02-10;7.2;null;null;.8;
2018-02-11;null;null;null;null;
2018-02-12;null;null;null;null;
2018-02-13;null;null;null;.8;
2018-02-14;null;null;null;null;
2018-02-15;null;null;null;null;
2018-02-16;null;null;null;1;
2018-02-17;null;null;null;1.4;
2018-02-18;null;null;null;.7;
2018-02-19;null;null;null;null;
2018-02-20;null;24.8;null;1.1;
2018-02-21;20;null;null;.7;
2018-02-22;null;null;null;.8;
2018-02-23;null;null;null;.8;
2018-02-24;null;null;null;null;
2018-02-25;null;null;null;null;
2018-02-26;null;null;null;null;
2018-02-27;null;null;null;null;
2018-02-28;null;null;null;null;
2018-03-01;null;null;null;null;
2018-03-02;null;null;null;null;
2018-03-03;null;null;null;null;
2018-03-04;null;null;null;null;
2018-03-05;null;null;null;null;
2018-03-06;null;null;null;null;
2018-03-07;null;null;null;null;
2018-03-08;null;null;null;null;
2018-03-09;null;null;null;null;
2018-03-10;null;null;null;null;
2018-03-11;null;null;null;null;
2018-03-12;null;null;null;null;
2018-03-13;null;null;null;null;
2018-03-14;null;null;null;null;
2018-03-15;null;null;null;null;
2018-03-16;null;null;null;null;
2018-03-17;null;null;null;null;
2018-03-18;null;null;null;null;
2018-03-19;null;null;null;null;
2018-03-20;null;null;null;null;
2018-03-21;null;null;null;null;
2018-03-22;null;null;null;null;
2018-03-23;null;null;null;null;
2018-03-24;null;null;null;null;
2018-03-25;null;null;null;null;
2018-03-26;null;null;null;null;
2018-03-27;null;null;null;null;
2018-03-28;null;null;null;null;
2018-03-29;null;null;null;null;
2018-03-30;null;null;null;null;
2018-03-31;null;null;null;null;
2018-04-01;null;null;null;null;
2018-04-02;null;null;null;null;
2018-04-03;null;null;null;null;
2018-04-04;null;null;null;null;
2018-04-05;null;null;null;null;
2018-04-06;null;null;null;null;
2018-04-07;null;null;null;null;
2018-04-08;null;null;null;null;
2018-04-09;null;null;null;null;
2018-04-10;null;null;null;null;
2018-04-11;null;null;null;null;
2018-04-12;null;null;null;null;
2018-04-13;null;null;null;null;
2018-04-14;null;null;null;null;
2018-04-15;null;null;null;null;
2018-04-16;null;null;null;null;
2018-04-17;null;null;null;null;
2018-04-18;null;null;null;null;
2018-04-19;null;null;null;null;
2018-04-20;null;null;null;null;
2018-04-21;null;null;null;null;
2018-04-22;null;null;null;null;
2018-04-23;null;null;null;null;
2018-04-24;null;null;null;null;
2018-04-25;null;null;null;null;
2018-04-26;null;null;null;null;
2018-04-27;null;null;null;null;
2018-04-28;null;null;null;null;
2018-04-29;null;null;null;null;
2018-04-30;null;null;null;null;
2018-05-01;null;null;null;null;
2018-05-02;null;null;null;null;
2018-05-03;null;null;null;null;
2018-05-04;null;null;null;null;
2018-05-05;null;null;null;null;
2018-05-06;null;null;null;null;
2018-05-07;null;null;null;null;
2018-05-08;null;null;null;null;
2018-05-09;null;null;null;null;
2018-05-10;null;null;null;null;
2018-05-11;null;null;null;null;
2018-05-12;null;null;null;null;
2018-05-13;null;null;null;null;
2018-05-14;null;null;null;null;
2018-05-15;null;null;null;null;
2018-05-16;null;null;null;null;
2018-05-17;null;null;null;null;
2018-05-18;null;null;null;null;
2018-05-19;null;null;null;null;
2018-05-20;null;null;null;null;
2018-05-21;null;null;null;null;
2018-05-22;null;null;null;null;
2018-05-23;null;null;null;null;
2018-05-24;null;null;null;null;
2018-05-25;null;null;null;null;
2018-05-26;null;null;null;null;
2018-05-27;null;null;null;null;
2018-05-28;null;null;null;null;
2018-05-29;null;null;null;null;
2018-05-30;null;null;null;null;
2018-05-31;null;null;null;null;
2018-06-01;null;null;null;null;
2018-06-02;null;null;null;null;
2018-06-03;null;null;null;null;
2018-06-04;null;null;null;null;
2018-06-05;null;null;null;null;
2018-06-06;null;null;null;null;
2018-06-07;null;null;null;null;
2018-06-08;null;null;null;null;
2018-06-09;null;null;null;null;
2018-06-10;null;null;null;null;
2018-06-11;null;null;null;null;
2018-06-12;null;null;null;null;
2018-06-13;null;null;null;null;
2018-06-14;null;null;null;null;
2018-06-15;null;null;null;null;
2018-06-16;null;null;null;null;
2018-06-17;null;null;null;null;
2018-06-18;null;null;null;null;
2018-06-19;null;null;null;null;
2018-06-20;null;null;null;null;
2018-06-21;null;null;75.8;null;
2018-06-22;null;25.2;78;1.4;
2018-06-23;1;24.6;80.1;1.1;
2018-06-24;23.2;24.5;81.3;1.1;
2018-06-25;47.8;25.2;74.4;1.5;
2018-06-26;.2;26.2;73.9;1.8;
2018-06-27;0;26.6;73.5;1.9;
2018-06-28;0;26.6;72.7;1.7;
2018-06-29;4.8;25.8;77.7;.9;
2018-06-30;3.6;25.2;78.3;1.4;
2018-07-01;2.8;26;74.7;1.8;
2018-07-02;0;24.4;80.2;1.1;
2018-07-03;19.4;24.8;78.6;1.3;
2018-07-04;16;25.4;76.5;1.2;
2018-07-05;0;27;71.7;1.4;
2018-07-06;0;25.8;75.2;1.4;
2018-07-07;.8;26.5;72.9;2.3;
2018-07-08;1;26.9;71.5;2.6;
2018-07-09;0;25.9;75.5;1;
2018-07-10;13.8;25.6;75.3;2;
2018-07-11;.8;25.7;75.9;2.6;
2018-07-12;2.2;26;71.7;2;
2018-07-13;0;26.1;69.8;1.4;
2018-07-14;17.6;25.5;74.4;1.8;
2018-07-15;18.2;26.4;73.7;2.5;
2018-07-16;2;25.9;76;1.5;
2018-07-17;50.6;26.2;74.8;2.1;
2018-07-18;1.2;26.3;75.8;2.7;
2018-07-19;5;26.5;74.6;2.1;
2018-07-20;3.6;27;72.1;1.8;
2018-07-21;0;27.2;72.1;2.2;
2018-07-22;0;27;72.6;2.1;
2018-07-23;8.6;27.1;74.9;2.4;
2018-07-24;.2;26.9;73.1;1.9;
2018-07-25;43.8;26.5;74;2.2;
2018-07-26;2;27.1;72.3;2.6;
2018-07-27;1.6;27;72.1;2.6;
2018-07-28;.2;26.9;72.8;2.3;
2018-07-29;3.4;27.1;72.5;2.6;
2018-07-30;4.8;27;71.6;3.8;
2018-07-31;.2;26.3;74;2.3;
2018-08-01;1;26.7;71.8;2.3;
2018-08-02;0;26.9;70.2;2;
2018-08-03;0;26;75.4;1.8;
2018-08-04;.2;26.8;71.6;2.4;
2018-08-05;0;26.4;72.5;1.8;
2018-08-06;4.8;26;73;1.8;
2018-08-07;1;26.6;73.3;2.2;
2018-08-08;0;27.2;70.2;2.7;
2018-08-09;0;27.1;69;2.4;
2018-08-10;0;27.4;68.4;1.8;
2018-08-11;0;27.5;69.4;1.6;
2018-08-12;0;27.3;70.3;2.5;
2018-08-13;0;26.7;67.9;2.4;
2018-08-14;0;26.6;66;2.1;
2018-08-15;0;26.5;65.9;2.1;
2018-08-16;0;27;67.6;2.3;
2018-08-17;0;27.4;66.5;2.6;
2018-08-18;0;27.2;67.4;3;
2018-08-19;0;27.2;67;2.3;
2018-08-20;0;27.1;67.4;2.4;
2018-08-21;0;27.1;66.9;2.2;
2018-08-22;0;27.4;67;2;
2018-08-23;0;27.1;67.8;2.5;
2018-08-24;0;27.2;66.9;2.3;
2018-08-25;0;27.6;66.8;2.4;
2018-08-26;null;null;64.7;2.3;
2018-08-27;null;null;64.9;null;
2018-08-28;null;null;59.6;null;
2018-08-29;0;27.6;67.3;2.4;
2018-08-30;0;28.1;65.3;2;
2018-08-31;0;27.6;68.7;1.7;
2018-09-01;1;28.2;68.8;2.4;
2018-09-02;0;27.9;67.7;2.6;
2018-09-03;0;27.8;67.3;2.5;
2018-09-04;0;27.9;66.7;2;
2018-09-05;0;27.9;66.3;2.8;
2018-09-06;0;27.9;66.3;2.9;
2018-09-07;0;27.8;66.1;2.4;
2018-09-08;0;26.7;71.3;1.5;
2018-09-09;20.4;26.9;73.5;1.4;
2018-09-10;0;28.2;67;2;
2018-09-11;0;27.7;69.5;2.8;
2018-09-12;0;28;69.4;3.4;
2018-09-13;0;28.1;65.4;3.7;
2018-09-14;0;27.5;67;3.4;
2018-09-15;0;27.5;66.4;2.8;
2018-09-16;0;27.3;67.3;2.7;
2018-09-17;0;27.8;64.9;2.3;
2018-09-18;0;28.2;65.5;2.2;
2018-09-19;0;28;67.2;2.7;
2018-09-20;0;27.8;67.1;2.9;
2018-09-21;0;27.6;65.3;2.8;
2018-09-22;0;27.8;65.9;2.5;
2018-09-23;0;28;65.5;2.6;
2018-09-24;0;28.4;65.7;2.4;
2018-09-25;0;28.1;66.9;2.7;
2018-09-26;0;28;65.3;2.9;
2018-09-27;0;28.1;64;2.7;
2018-09-28;.4;28;65.3;3.3;
2018-09-29;0;27.6;63;2.6;
2018-09-30;0;27.8;65.4;2.6;
2018-10-01;0;28;65;2.8;
2018-10-02;0;27.9;65.6;3;
2018-10-03;0;28.1;65.8;2.8;
2018-10-04;0;28;63.3;2.8;
2018-10-05;0;27.9;64.1;2.3;
2018-10-06;0;28.2;64;2.2;
2018-10-07;0;28;65.5;2.8;
2018-10-08;0;27.8;65.3;2.3;
2018-10-09;0;28;63.7;2.8;
2018-10-10;0;27.8;64.4;2.4;
2018-10-11;0;27.9;64.4;3.1;
2018-10-12;0;28.1;63.8;3.1;
2018-10-13;0;28.2;64.1;2.6;
2018-10-14;0;28.4;63.3;2.2;
2018-10-15;0;28.2;66.1;1.6;
2018-10-16;6.6;27.7;70.8;2;
2018-10-17;0;27;72.2;1.9;
2018-10-18;18.4;27.5;72.1;2.2;
2018-10-19;2;27.8;66.2;2.3;
2018-10-20;0;27.6;65.2;2.3;
2018-10-21;0;28;66.1;2.4;
2018-10-22;0;28.1;65;2.7;
2018-10-23;0;28;64.5;2.5;
2018-10-24;0;28;63.7;3.2;
2018-10-25;0;28.3;64.8;2.6;
2018-10-26;0;28.6;65.7;2.5;
2018-10-27;0;28.6;64.7;2.4;
2018-10-28;0;28.6;65.8;2;
2018-10-29;0;28.8;66;2.6;
2018-10-30;0;28.8;64.3;2.8;
2018-10-31;0;28.6;64.1;3.1;
2018-11-01;0;28.4;65;2.5;
2018-11-02;1.2;28.5;64.5;2.3;
2018-11-03;0;28.6;62.9;2.6;
2018-11-04;0;28.4;64.1;1.5;
2018-11-05;0;28.1;66.1;1.9;
2018-11-06;0;28.7;65.8;2.7;
2018-11-07;0;28.9;63.1;2.8;
2018-11-08;0;28.4;63.7;3.5;
2018-11-09;0;28.3;63.2;3.3;
2018-11-10;0;28.5;62.9;3;
2018-11-11;0;28.8;63;2.5;
2018-11-12;0;28.4;63.9;3.2;
2018-11-13;0;28.5;64.3;2.8;
2018-11-14;0;28.8;63.8;2.8;
2018-11-15;0;28.8;63.7;3.4;
2018-11-16;0;28.3;65.6;3.2;
2018-11-17;0;28.3;62.5;2.5;
2018-11-18;0;28.8;62.2;2.8;
2018-11-19;0;28.6;63.9;2.9;
2018-11-20;0;28.6;63.1;2.9;
2018-11-21;0;28.6;65.2;1.8;
2018-11-22;0;28.6;63.5;1.6;
2018-11-23;0;28.5;65.5;2.3;
2018-11-24;0;28.3;66.6;2.9;
2018-11-25;1.8;27.8;70.6;3.2;
2018-11-26;1.2;28.2;68.8;3.1;
2018-11-27;0;27.3;73.8;1.4;
2018-11-28;.4;27.6;73.2;1.8;
2018-11-29;22.2;25.7;78.3;1.1;
2018-11-30;54;24.4;81;1.5;
2018-12-01;4;25.4;78.1;.9;
2018-12-02;5.2;25.4;79.1;1.4;
2018-12-03;9;24.8;80.8;1;
2018-12-04;12.2;24.4;82.6;1.3;
2018-12-05;11.6;24.8;80.9;.9;
2018-12-06;13.8;25.4;77.3;1.3;
2018-12-07;7.4;25;80.1;.9;
2018-12-08;34.8;25.4;77;1.2;
2018-12-09;0;25.9;75.3;1.3;
2018-12-10;1;24.4;83;.7;
2018-12-11;39;25.1;80.5;1.9;
2018-12-12;60.4;25.4;79.5;1;
2018-12-13;5.2;25.2;80.2;1;
2018-12-14;17.4;25.7;76.8;1.3;
2018-12-15;.2;24.9;78;.7;
2018-12-16;14.4;24;83.8;.7;
2018-12-17;35;25.5;76.8;1.5;
2018-12-18;0;26;76;2.1;
2018-12-19;12.8;25.8;78.4;1.5;
2018-12-20;1.8;26.9;73.5;1.9;
2018-12-21;5.4;25.3;78.8;1.4;
2018-12-22;.6;25.9;77.1;.8;
2018-12-23;.2;26.3;73.5;1.2;
2018-12-24;0;25.3;79.3;1.1;
2018-12-25;35.4;25.6;78.4;1.8;
2018-12-26;3.8;26;76.3;2.5;
2018-12-27;2.2;26.2;76.6;2.1;
2018-12-28;9.4;25;80.9;1;
2018-12-29;25.4;24.9;80.5;.9;
2018-12-30;3.8;25.9;75.9;1;
2018-12-31;.2;26.2;74.2;1.1;
2019-01-01;.4;26.8;72.4;1.7;
2019-01-02;0;26.9;73.4;1.6;
2019-01-03;4;26;76.8;1.5;
2019-01-04;.2;26.1;76.7;1.7;
2019-01-05;14;25.7;80.1;1;
2019-01-06;10.6;26.1;78.6;1.4;
2019-01-07;13.6;25.3;79.8;1.6;
2019-01-08;16;24.7;81.5;1.2;
2019-01-09;27.8;23.9;82.8;1.3;
2019-01-10;24;24.1;81.2;1;
2019-01-11;40;24.3;80.3;1.5;
2019-01-12;.8;25.6;75.7;.9;
2019-01-13;0;25.4;76.3;1;
2019-01-14;1.4;26.1;75.2;1;
2019-01-15;0;25.8;76;1.6;
2019-01-16;2.8;25.2;80.6;1.7;
2019-01-17;4.6;26.2;77.8;1.1;
2019-01-18;6.6;26.2;78;1;
2019-01-19;1.2;25.6;80.2;.7;
2019-01-20;6.2;25.7;80.4;1.5;
2019-01-21;18.2;25.1;81;1.2;
2019-01-22;7.6;24.5;82.8;1.1;
2019-01-23;31.8;25.2;80.5;.9;
2019-01-24;3.2;25.3;79.3;.8;
2019-01-25;3;25.4;78.1;.8;
2019-01-26;6.8;25.5;78.5;1.5;
2019-01-27;2.2;25;78.9;1.3;
2019-01-28;2;26.2;77;1.6;
2019-01-29;7.2;27.3;74.3;2.1;
2019-01-30;0;27.5;73;2.1;
2019-01-31;0;26.8;76.5;1.1;
2019-02-01;.4;26.7;73.8;1.3;
2019-02-02;3;25;78.6;1.6;
2019-02-03;4.6;24.8;78.9;1.2;
2019-02-04;9.4;26.6;75.5;1.2;
2019-02-05;.2;25.5;79;.9;
2019-02-06;18;25.7;80.4;.6;
2019-02-07;6;25;81.9;.8;
2019-02-08;41.6;24.5;83.5;.8;
2019-02-09;24.6;24.3;84.5;.8;
2019-02-10;40.6;26.1;79.8;1;
2019-02-11;3.4;27.1;76.3;1.3;
2019-02-12;.4;26.5;78.3;.9;
2019-02-13;15.4;27;76.4;.9;
2019-02-14;6.4;27.1;76.4;1.3;
2019-02-15;3.2;27.4;71.8;1.2;
2019-02-16;0;27;70.4;1.1;
2019-02-17;0;26.6;74.3;1;
2019-02-18;35.8;24.3;83.4;1.6;
2019-02-19;47.6;23.8;84.6;1.5;
2019-02-20;15.6;25.3;80.8;1.4;
2019-02-21;27.6;25.2;80.3;1.1;
2019-02-22;5.8;25.5;79.4;.9;
2019-02-23;21.2;24.7;82.5;1.3;
2019-02-24;32;24.4;82.3;.9;
2019-02-25;13.4;25.6;77.9;1.4;
2019-02-26;8.8;26.5;74.8;1.1;
2019-02-27;null;null;60.4;null;
2019-02-28;null;null;62.2;null;
2019-03-01;null;null;null;null;
2019-03-02;null;null;null;null;
2019-03-03;null;null;null;null;
2019-03-04;null;null;64.5;null;
2019-03-05;null;null;null;null;
2019-03-06;null;null;null;null;
2019-03-07;null;null;70.5;null;
2019-03-08;null;null;null;null;
2019-03-09;null;null;null;null;
2019-03-10;null;null;null;null;
2019-03-11;null;null;null;null;
2019-03-12;null;null;null;null;
2019-03-13;null;null;null;null;
2019-03-14;null;null;null;null;
2019-03-15;null;null;null;null;
2019-03-16;null;null;null;null;
2019-03-17;null;null;null;null;
2019-03-18;null;null;null;null;
