Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-07;null;null;null;null;
2018-03-08;null;null;null;null;
2018-03-09;null;null;null;null;
2018-03-10;1.8;25.2;85.8;1.6;
2018-03-11;.2;25.3;87.5;2;
2018-03-12;15.2;25.7;86.8;1.8;
2018-03-13;3.8;26.1;81.9;2;
2018-03-14;.6;25.2;87.3;2.1;
2018-03-15;1;25.2;86.1;1.5;
2018-03-16;13.8;25.5;86.8;1.2;
2018-03-17;1.4;26.8;79.7;1.5;
2018-03-18;.6;26.2;79.3;1.4;
2018-03-19;0;26.4;78.6;1.9;
2018-03-20;0;26.1;82.6;1.9;
2018-03-21;1.2;26.4;81.5;1.7;
2018-03-22;0;26.2;82.4;1.8;
2018-03-23;4.4;23.1;95.7;1.3;
2018-03-24;69.8;23.8;88;1.3;
2018-03-25;.2;23.6;92.1;1.4;
2018-03-26;15.6;23.3;90.2;1.1;
2018-03-27;1.2;24.8;83.8;2.3;
2018-03-28;0;25.1;88.4;1.2;
2018-03-29;8;25.6;88.5;1.3;
2018-03-30;35.4;24.4;90.4;1.4;
2018-03-31;16.2;25.1;86;1.4;
2018-04-01;.8;25.2;95.3;1.8;
2018-04-02;2.8;25.1;null;1.3;
2018-04-03;26.4;24.9;null;1.9;
2018-04-04;6;25.1;null;1.6;
2018-04-05;35.6;24.4;null;1.6;
2018-04-06;5;24.8;86.9;1.3;
2018-04-07;12.6;23.8;92.5;1.2;
2018-04-08;15.6;24.5;85.5;1.6;
2018-04-09;.2;24.5;90.1;1.2;
2018-04-10;0;23.3;94;1.1;
2018-04-11;18.6;24.3;86.7;1.4;
2018-04-12;42.8;22.7;95;1.4;
2018-04-13;2.4;24;null;1.1;
2018-04-14;.2;24.5;null;1.4;
2018-04-15;15.6;25.6;null;1.3;
2018-04-16;.2;24.4;null;1.4;
2018-04-17;5;25.3;null;1.3;
2018-04-18;.2;24.5;null;.9;
2018-04-19;7.2;25.8;null;2;
2018-04-20;0;26;null;1.4;
2018-04-21;0;26;87.1;1.5;
2018-04-22;0;25.7;null;1.9;
2018-04-23;.6;25.8;null;2.2;
2018-04-24;.2;25.9;null;1.8;
2018-04-25;.8;25.7;null;1.3;
2018-04-26;0;25.4;null;1.7;
2018-04-27;0;25.8;null;1.6;
2018-04-28;3;25.3;null;1.4;
2018-04-29;.2;24.5;null;1.8;
2018-04-30;15.6;24.8;null;1.5;
2018-05-01;1.4;25.6;null;1.8;
2018-05-02;.2;25.1;null;1.5;
2018-05-03;4.2;24.4;null;1.4;
2018-05-04;13.2;25;null;1.4;
2018-05-05;17.4;24.6;null;1.6;
2018-05-06;.8;24.7;null;1.1;
2018-05-07;0;25.9;null;1.5;
2018-05-08;0;25.5;null;1.7;
2018-05-09;0;25.9;null;1.4;
2018-05-10;0;25.6;null;1.7;
2018-05-11;0;26.2;null;1.5;
2018-05-12;7.2;24.6;null;2;
2018-05-13;.6;24.5;null;1.7;
2018-05-14;37;23.7;null;1.6;
2018-05-15;12.6;25.1;null;1.7;
2018-05-16;.2;25.5;null;1.3;
2018-05-17;0;25.8;null;1.9;
2018-05-18;0;25.9;null;1.8;
2018-05-19;0;24.8;null;1.6;
2018-05-20;.8;25.2;null;1.1;
2018-05-21;0;25;null;1.5;
2018-05-22;2.2;24;null;1.4;
2018-05-23;7;24.8;null;1.6;
2018-05-24;0;25.3;null;1.5;
2018-05-25;0;25.7;null;1.8;
2018-05-26;0;25.7;null;2;
2018-05-27;0;25;null;1.6;
2018-05-28;0;25.2;null;1.3;
2018-05-29;0;25.7;null;1.7;
2018-05-30;0;25.9;null;2.1;
2018-05-31;0;27;null;2.5;
2018-06-01;0;26;null;2;
2018-06-02;0;25.9;null;1.7;
2018-06-03;0;26.4;null;1.8;
2018-06-04;0;25.1;null;1.6;
2018-06-05;2.2;24.2;null;1.3;
2018-06-06;0;25.6;null;1.5;
2018-06-07;0;26.1;null;2.3;
2018-06-08;0;25.4;null;2;
2018-06-09;5.8;25.2;null;2.1;
2018-06-10;0;25.6;null;2.2;
2018-06-11;0;25.6;null;2.2;
2018-06-12;0;25.7;null;2;
2018-06-13;0;25.7;null;1.8;
2018-06-14;0;26.5;null;1.7;
