Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2019-09-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-09-17;null;null;null;null;
2019-09-18;null;null;null;null;
2019-09-19;null;28.4;68.1;2.8;
2019-09-20;0;28.1;70.4;2.3;
2019-09-21;0;28.8;67.8;2.6;
2019-09-22;0;28.2;70.9;2.5;
2019-09-23;0;27.4;75.7;2.2;
2019-09-24;0;27.5;73.5;2.3;
2019-09-25;20;27;79.2;2;
2019-09-26;0;27.8;73.3;2.1;
2019-09-27;0;28.3;71.6;2.9;
2019-09-28;0;28;71.1;3;
2019-09-29;0;27.9;70;2.6;
2019-09-30;0;27.5;71.8;2.1;
2019-10-01;0;28.1;72.2;2.8;
2019-10-02;0;27.5;73;2.5;
2019-10-03;0;28.2;69.6;2.5;
2019-10-04;0;27.8;71.8;2.3;
2019-10-05;1.8;26.6;78.4;2;
2019-10-06;.6;26.8;79.5;2;
2019-10-07;0;27.6;73.9;2.5;
2019-10-08;0;27.5;73.2;2.6;
2019-10-09;0;28;69;2.9;
2019-10-10;0;28.2;66.8;3;
2019-10-11;0;28;71.1;2.9;
2019-10-12;0;28.6;68.6;2.1;
2019-10-13;0;28.6;69.1;2.5;
2019-10-14;0;28.3;70.9;2.7;
2019-10-15;0;28.2;69.8;3.1;
2019-10-16;0;28.3;69.5;2.7;
2019-10-17;0;28;72.1;2.3;
2019-10-18;0;27.1;75.5;2.7;
2019-10-19;0;27.9;74.6;2.6;
2019-10-20;1.4;27;76.8;2;
2019-10-21;0;28.4;72;1.7;
2019-10-22;0;27.7;75.3;2;
2019-10-23;2.8;28.4;70.4;1.6;
2019-10-24;0;29.1;66.8;1.8;
2019-10-25;0;28.7;68.9;1.9;
2019-10-26;0;28.7;69.6;2.6;
2019-10-27;0;28.8;67.2;2.6;
2019-10-28;0;28.7;67.5;2.6;
2019-10-29;0;28.7;65.9;2.4;
2019-10-30;0;28.6;66.3;2.5;
2019-10-31;0;28.7;66.9;2.7;
2019-11-01;0;28.3;66.1;2.2;
2019-11-02;0;28.4;65.4;2.5;
2019-11-03;0;27.9;74.3;2.1;
2019-11-04;0;27.6;75;2.5;
2019-11-05;0;28.6;67.2;2.5;
2019-11-06;0;28.8;69.7;2.8;
2019-11-07;0;29.1;66.4;2;
2019-11-08;0;28.8;68.8;2.2;
2019-11-09;0;28.7;67.8;2.6;
2019-11-10;0;29.1;68;2.8;
2019-11-11;0;29;67.6;2.5;
2019-11-12;0;28.3;72.7;2;
2019-11-13;.8;28.6;68.7;2.5;
2019-11-14;0;28.7;70.1;2.4;
2019-11-15;0;28.9;68.8;2.5;
2019-11-16;0;27.2;76.2;2.1;
2019-11-17;0;28.1;71.1;2.4;
2019-11-18;0;29.1;67.3;1.9;
2019-11-19;0;27.8;72.8;2.2;
2019-11-20;19.6;27.8;75.5;1.6;
2019-11-21;3.4;26.4;83.8;1.9;
2019-11-22;6.2;26;87.7;1.3;
2019-11-23;11.4;28.1;73.7;1.6;
2019-11-24;0;28.7;72.2;1.8;
2019-11-25;0;28.6;73.6;2;
2019-11-26;0;28.6;71.2;2.6;
2019-11-27;0;28.8;70.9;2.6;
2019-11-28;0;29.1;68.9;2.2;
2019-11-29;0;29.4;68.3;2.3;
2019-11-30;0;29.5;66.3;2.6;
2019-12-01;0;28.8;70.3;2.7;
2019-12-02;0;29.3;66.2;2.9;
2019-12-03;0;28.4;70.6;1.9;
2019-12-04;2.6;27.2;76.1;1.8;
2019-12-05;.8;27.8;75.7;2.4;
2019-12-06;.4;29.1;67.5;2.8;
2019-12-07;0;28.8;67;2.1;
2019-12-08;0;28.9;65.4;2.5;
2019-12-09;0;27;76.3;2.2;
2019-12-10;6.4;27.7;74.5;2.2;
2019-12-11;0;27.2;76.3;1.7;
