Nome: SANTA MARIA DAS BARREIRAS
Codigo Estacao: A256
Latitude: -8.72972221
Longitude: -49.85638888
Altitude: 165
Situacao: Operante
Data Inicial: 2020-12-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-12-17;null;null;null;null;
2020-12-18;null;null;null;null;
2020-12-19;null;null;null;null;
2020-12-20;null;null;null;null;
2020-12-21;null;null;null;null;
2020-12-22;null;null;null;null;
2020-12-23;null;null;null;null;
2020-12-24;null;null;null;null;
2020-12-25;null;null;null;null;
2020-12-26;null;null;null;null;
2020-12-27;null;null;null;null;
2020-12-28;null;null;null;null;
2020-12-29;null;null;null;null;
2020-12-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-01;null;null;null;null;
2021-01-02;null;null;null;null;
2021-01-03;null;null;null;null;
2021-01-04;null;null;null;null;
2021-01-05;null;null;null;null;
2021-01-06;null;null;null;null;
2021-01-07;null;null;null;null;
2021-01-08;null;null;null;null;
2021-01-09;null;null;null;null;
2021-01-10;null;null;null;null;
2021-01-11;null;null;null;null;
2021-01-12;null;null;null;null;
2021-01-13;null;null;null;null;
2021-01-14;null;null;null;null;
2021-01-15;null;null;null;null;
2021-01-16;null;null;null;null;
2021-01-17;null;null;null;null;
2021-01-18;null;null;null;null;
2021-01-19;null;25.8;83.8;1.1;
2021-01-20;5.8;25.1;85.2;1.5;
2021-01-21;.2;25.9;82.2;1.7;
2021-01-22;7.6;25.7;84.6;1.5;
2021-01-23;15.8;26.3;80.2;1.5;
2021-01-24;.2;27.5;78.8;1.4;
2021-01-25;0;28;76.6;1.4;
2021-01-26;0;24;93;1.8;
2021-01-27;31;24.5;88.2;1.6;
2021-01-28;.2;26.1;84.7;1.3;
2021-01-29;8.6;26.6;81.5;1.4;
2021-01-30;.2;25.8;86.2;1.4;
2021-01-31;14.2;26.3;83;1.6;
2021-02-01;0;27.3;78.1;1.6;
2021-02-02;0;26.7;80.2;1.7;
2021-02-03;2.8;27.2;80.7;1.5;
2021-02-04;0;26.5;82.8;2.3;
2021-02-05;13.4;25.6;88.2;1.5;
2021-02-06;36.2;25;91.1;1.7;
2021-02-07;21.4;24.6;87.3;1.9;
2021-02-08;0;25.7;88.1;1.6;
2021-02-09;5.8;24.2;91.5;2.2;
2021-02-10;5.8;24.5;91.5;1.3;
2021-02-11;26;26.6;81.5;1.5;
2021-02-12;0;26.7;82.4;1.8;
2021-02-13;10;24.6;92;1.6;
2021-02-14;.4;26.6;84.4;1.2;
2021-02-15;42.8;24.2;94.1;1.9;
2021-02-16;2.6;25.4;87.5;1.6;
2021-02-17;2.4;24.7;91.5;1.7;
2021-02-18;4.4;25.1;87;2.1;
2021-02-19;24;23.6;94.5;1.6;
2021-02-20;21.6;23.6;96;1.5;
2021-02-21;24.6;23.4;95.9;1.3;
2021-02-22;10;25.3;85.7;1.7;
2021-02-23;.2;24.1;92.5;1.6;
2021-02-24;12.2;25.8;85.1;1.3;
2021-02-25;29.6;25.8;87.5;1.3;
2021-02-26;6.6;25.1;87.4;2;
2021-02-27;2;24.9;91.5;1.7;
2021-02-28;1.6;25.4;87.4;1.4;
2021-03-01;4.6;24.7;90.2;1.8;
2021-03-02;6;24.9;88.8;1.5;
2021-03-03;2;25.6;88.1;1.8;
2021-03-04;12.6;25.9;87.8;1.5;
2021-03-05;3.8;26;85;1.5;
2021-03-06;58;23.8;93.1;1.7;
2021-03-07;1.8;25.7;85.9;2.1;
2021-03-08;1.8;27.1;82.1;1.3;
2021-03-09;.4;26.7;79;2.1;
2021-03-10;19.6;25.7;83.7;1.6;
2021-03-11;5.6;24.7;90.5;1.8;
2021-03-12;27;25;89.1;1.6;
2021-03-13;30;25;90.4;1.5;
2021-03-14;5.6;25.9;82.8;1.6;
2021-03-15;0;26.6;83.4;1.4;
2021-03-16;.2;26.9;82.1;1.5;
2021-03-17;10.8;25.3;89;1.7;
2021-03-18;52.2;24.6;89.5;1.6;
2021-03-19;29;23;93.8;2;
2021-03-20;2.6;25.5;79.9;2;
2021-03-21;0;26.5;78.5;1.6;
2021-03-22;0;26.5;81.1;1.3;
2021-03-23;0;27;81.3;1.4;
2021-03-24;0;26.9;81.6;1.5;
2021-03-25;12.2;25.7;85.8;2;
2021-03-26;0;25.4;86.3;1.7;
2021-03-27;3.6;26.7;78.3;1.7;
2021-03-28;26.4;23.9;94.1;1.4;
2021-03-29;15.6;25.2;86.5;1.4;
2021-03-30;9.8;26.8;81.5;1.4;
2021-03-31;0;27.6;77.8;1.4;
2021-04-01;7.2;25;92;1.8;
2021-04-02;71.2;24.8;91.8;1.9;
2021-04-03;0;26.7;82.8;1.7;
2021-04-04;0;27.8;80.4;1.1;
2021-04-05;.8;27.4;83.8;1.3;
2021-04-06;.6;25.3;92.4;1.5;
2021-04-07;4.6;27.2;82.3;1.6;
2021-04-08;.2;28.1;80.3;1.8;
2021-04-09;.2;28;75.2;2.3;
2021-04-10;.2;26.5;82.9;1.5;
2021-04-11;0;27.3;79.2;1.4;
2021-04-12;0;27.4;78.8;1.5;
2021-04-13;0;28.2;77.8;1.5;
2021-04-14;8.4;25.2;87.5;1.8;
2021-04-15;6.6;24.9;87.1;1.8;
2021-04-16;33;24.6;91.3;1.3;
2021-04-17;.2;24.6;91.5;1.2;
2021-04-18;29.6;24.1;94;1.4;
2021-04-19;.8;24.3;93.8;1.1;
2021-04-20;24;26.4;82.2;1.4;
2021-04-21;94.6;24.6;91.5;2.2;
2021-04-22;3.4;26;82.6;1.1;
2021-04-23;.2;27;82.2;1.3;
2021-04-24;0;26.4;88.1;1.2;
2021-04-25;.2;25.2;87.4;2.4;
2021-04-26;0;26.1;82.7;1.6;
2021-04-27;.4;26.3;86;1.5;
2021-04-28;0;26.2;86;1.3;
2021-04-29;7.4;24.6;90.1;1.9;
2021-04-30;.2;25.3;86.3;1.5;
2021-05-01;5.4;25.5;85.2;1.5;
2021-05-02;0;26.3;85.3;1.4;
2021-05-03;0;27.1;78.5;1.5;
2021-05-04;0;27.5;77;1.6;
2021-05-05;0;26.6;79.2;1.6;
2021-05-06;.2;26.7;80.1;1.5;
2021-05-07;0;25.8;85.3;1.4;
2021-05-08;53.8;24.5;91.9;2.1;
2021-05-09;5.6;25.9;86.3;1.6;
2021-05-10;.4;26.8;80.5;1.6;
