Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Pane
Data Inicial: 2004-11-17
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-11-17;null;null;null;null;
2004-11-18;null;null;null;null;
2004-11-19;13.6;32.6;39.9;1;
2004-11-20;0;30.3;53.5;1.6;
2004-11-21;15.4;25.7;80.3;1.2;
2004-11-22;1.2;28.2;66.6;1.1;
2004-11-23;24.6;27;71.5;1.4;
2004-11-24;0;28.8;64.1;1.4;
2004-11-25;0;29.6;59.8;1.6;
2004-11-26;.4;26.6;71.7;1.8;
2004-11-27;4.2;25.6;79.7;1;
2004-11-28;2;28.1;71.6;.7;
2004-11-29;0;null;64;1;
2004-11-30;0;29.9;62.5;.7;
2004-12-01;null;null;59.2;null;
2004-12-02;0;29.4;63.9;.9;
2004-12-03;0;30;60.3;1.1;
2004-12-04;0;null;60.6;1.1;
2004-12-05;null;31.2;40.5;1.8;
2004-12-06;0;30;48.8;1.2;
2004-12-07;null;28.7;63;1.2;
2004-12-08;null;null;64.7;1.2;
2004-12-09;null;27.9;68.8;1;
2004-12-10;0;29.1;64.6;1.1;
2004-12-11;null;null;73;1.2;
2004-12-12;null;29.1;65.8;.8;
2004-12-13;null;null;69.4;null;
2004-12-14;null;null;69.5;1.2;
2004-12-15;null;null;71.6;1;
2004-12-16;null;null;73.2;1;
2004-12-17;null;26;78.6;1.1;
2004-12-18;0;23.9;87.4;.8;
2004-12-19;null;null;73.9;.8;
2004-12-20;null;null;70.1;.7;
2004-12-21;0;29.5;61.2;1;
2004-12-22;null;null;74.1;1.1;
2004-12-23;null;null;73.2;.9;
2004-12-24;null;28.5;69.3;1.4;
2004-12-25;0;28.3;69;1.1;
2004-12-26;0;null;65.7;.7;
2004-12-27;null;29.8;63.5;.9;
2004-12-28;0;null;82.6;1.3;
2004-12-29;null;null;80;.9;
2004-12-30;null;null;71.7;.9;
2004-12-31;null;null;71.5;.9;
2005-01-01;0;28.4;71.1;.9;
2005-01-02;0;26.2;79;1.4;
2005-01-03;null;27.1;74.2;.8;
2005-01-04;0;29.6;63.7;1.1;
2005-01-05;0;29.6;62.2;1;
2005-01-06;0;null;61.4;1.2;
2005-01-07;null;29.3;55.5;1.3;
2005-01-08;0;29.3;57.5;.8;
2005-01-09;0;25.8;77.2;1.4;
2005-01-10;0;24.5;86.3;.9;
2005-01-11;null;28.3;70.5;.8;
2005-01-12;0;null;68.4;1.2;
2005-01-13;null;null;86.2;1;
2005-01-14;.2;null;78.5;1.2;
2005-01-15;.4;24.7;84;.8;
2005-01-16;2.4;null;81.5;.9;
2005-01-17;null;null;80.1;1.2;
2005-01-18;null;27.7;72.2;1;
2005-01-19;.2;26.7;80.8;1;
2005-01-20;36.2;null;81.2;.9;
2005-01-21;null;null;76.4;.7;
2005-01-22;null;null;76.6;.6;
2005-01-23;null;24.1;87;.8;
2005-01-24;2.2;null;78.2;.6;
2005-01-25;null;null;83.1;null;
2005-01-26;null;null;null;null;
2005-01-27;null;null;null;null;
2005-01-28;null;null;72.1;null;
2005-01-29;null;null;76.2;1;
2005-01-30;0;25.9;81.5;.9;
2005-01-31;7.4;null;78.5;.8;
2005-02-01;1;null;79.9;null;
2005-02-02;null;null;76.2;.7;
2005-02-03;0;27.6;77.8;1;
2005-02-04;null;null;78.1;1.3;
2005-02-05;.4;27.5;72.7;.8;
2005-02-06;0;28;74.1;.8;
2005-02-07;0;28;73.3;.8;
2005-02-08;0;28.1;71.4;1;
2005-02-09;17.6;null;80.5;1.1;
2005-02-10;null;25.5;85.9;.7;
2005-02-11;6.8;26.7;81.7;.7;
2005-02-12;7.8;null;89.9;1.2;
2005-02-13;null;null;78.8;.9;
2005-02-14;null;null;83.1;null;
2005-02-15;null;null;null;null;
2005-02-16;null;null;81.7;.9;
2005-02-17;null;25.7;84;.8;
2005-02-18;null;null;79.4;.7;
2005-02-19;null;null;75.5;1.1;
2005-02-20;null;28.3;71;.7;
2005-02-21;null;null;80.5;.6;
2005-02-22;null;24.9;88.1;1.2;
2005-02-23;null;26.4;81.7;.7;
2005-02-24;21.2;null;84.4;1;
2005-02-25;null;27.4;79.1;.7;
2005-02-26;0;null;83.3;null;
2005-02-27;null;null;78.4;.9;
2005-02-28;null;null;null;null;
2005-03-01;null;null;81.5;.7;
2005-03-02;null;null;77.7;.7;
2005-03-03;null;null;86.1;null;
2005-03-04;null;26.7;85.8;.8;
2005-03-05;null;null;76.5;.6;
2005-03-06;0;null;78.5;null;
2005-03-07;null;26.7;84.7;1.1;
2005-03-08;1.2;null;79.7;1;
2005-03-09;null;26.6;83.1;1.2;
2005-03-10;0;26.5;80.8;.7;
2005-03-11;null;null;77.1;.7;
2005-03-12;null;null;82.9;1.1;
2005-03-13;null;null;80.7;null;
2005-03-14;null;null;78.7;1.1;
2005-03-15;0;26.4;82.3;.6;
2005-03-16;null;null;82.8;.8;
2005-03-17;null;null;81.5;.6;
2005-03-18;null;null;80.1;null;
2005-03-19;null;null;80.6;1;
2005-03-20;null;26.7;78.5;.7;
2005-03-21;2;null;85.7;.9;
2005-03-22;null;null;85.9;.7;
2005-03-23;null;null;79.3;.8;
2005-03-24;null;null;81.9;1.1;
2005-03-25;null;null;78.5;.8;
2005-03-26;null;null;79.9;1;
2005-03-27;null;null;79.2;null;
2005-03-28;null;26.8;79.2;.9;
2005-03-29;0;26.6;82.3;.6;
2005-03-30;null;27.1;79.6;.9;
2005-03-31;8;26.6;82.9;.7;
2005-04-01;.2;26.7;81.3;.7;
2005-04-02;null;null;75.8;1.2;
2005-04-03;null;null;77.8;1.1;
2005-04-04;null;27.5;75.6;1.1;
2005-04-05;.2;27.7;71;1.8;
2005-04-06;0;27.5;68.8;1.8;
2005-04-07;null;null;73.5;1.8;
2005-04-08;null;null;67.8;null;
2005-04-09;null;null;64.2;null;
2005-04-10;null;26.5;71.1;1.5;
2005-04-11;null;null;66.5;2;
2005-04-12;null;null;73.7;1;
2005-04-13;null;null;68.6;1.4;
2005-04-14;null;null;69.2;1.5;
2005-04-15;null;28.8;66.6;1.7;
2005-04-16;null;null;72.3;1.4;
2005-04-17;0;null;74.5;1.1;
2005-04-18;null;28.4;70.5;1.3;
2005-04-19;null;null;73.7;1.1;
2005-04-20;0;27.6;73;1.2;
2005-04-21;null;null;74.8;1.1;
2005-04-22;null;null;74.8;null;
2005-04-23;null;null;65.6;1.1;
2005-04-24;null;null;68.7;1.1;
2005-04-25;null;null;85.9;.6;
2005-04-26;null;null;81.7;.4;
2005-04-27;null;null;76.9;.7;
2005-04-28;36;23.9;91.3;1;
2005-04-29;40.6;25.2;87.9;.7;
2005-04-30;56.4;24.9;89.2;1;
2005-05-01;3;26.2;82.6;.7;
2005-05-02;0;25.1;86.1;.8;
2005-05-03;.2;26;81.7;1.1;
2005-05-04;0;26.4;75;1.6;
2005-05-05;0;26.3;74;1.7;
2005-05-06;0;27.1;70.4;1.7;
2005-05-07;null;null;70;1.9;
2005-05-08;null;null;70.1;1.9;
2005-05-09;null;null;72.9;1.8;
2005-05-10;null;null;78.6;null;
2005-05-11;null;27.2;72;2.3;
2005-05-12;0;27.2;67.6;1.9;
2005-05-13;0;27.6;68.8;1.7;
2005-05-14;0;26.3;74;1.7;
2005-05-15;.2;27;68.1;2.3;
2005-05-16;0;26.7;69.3;1.9;
2005-05-17;0;27.3;70.1;1.8;
2005-05-18;0;27.2;70;1.4;
2005-05-19;null;26.6;69;1.2;
2005-05-20;null;null;null;null;
2005-05-21;null;null;null;null;
2005-05-22;null;null;null;null;
2005-05-23;null;null;null;null;
2005-05-24;null;26;80.8;.7;
2005-05-25;null;26.7;77.9;.8;
2005-05-26;null;27.5;75.8;.8;
2005-05-27;null;26.9;74;1;
2005-05-28;null;27.3;65.2;1.9;
2005-05-29;null;27.1;60.8;2.4;
2005-05-30;null;26.6;63;2;
2005-05-31;null;27.1;63.8;2;
2005-06-01;null;26.2;69.4;2;
2005-06-02;null;26.6;68;2.1;
2005-06-03;null;26.5;61.1;1.8;
2005-06-04;null;27.5;56.1;2.1;
2005-06-05;null;27;63;2;
2005-06-06;null;26.8;59.3;2.6;
2005-06-07;null;25.9;64.2;1.5;
2005-06-08;null;27.3;63.8;1.8;
2005-06-09;null;26.6;60.5;2.3;
2005-06-10;null;26.3;56.3;2.1;
2005-06-11;null;26.9;57.7;2.2;
2005-06-12;null;27.2;61.2;1.8;
2005-06-13;null;27.7;62.8;1.6;
2005-06-14;null;null;65.9;null;
2005-06-15;null;null;64.5;null;
2005-06-16;null;27.8;58.8;2.3;
2005-06-17;null;27.8;60.4;1.6;
2005-06-18;null;27.4;64;.9;
2005-06-19;null;28.2;64.8;1.1;
2005-06-20;null;28.2;64.8;1.2;
2005-06-21;null;28.2;62.5;1.3;
2005-06-22;null;28.3;57.3;1.5;
2005-06-23;null;28.6;51.2;2.3;
2005-06-24;null;27.9;54.5;1.7;
2005-06-25;null;27.7;59.3;1.2;
2005-06-26;null;27.8;60.5;1.6;
2005-06-27;null;28.5;59.3;1.9;
2005-06-28;null;27.8;58.6;2.2;
2005-06-29;null;27.6;54.6;3;
2005-06-30;null;27.6;51.4;2.1;
2005-07-01;null;28.4;52.3;1.5;
2005-07-02;null;27.7;53.8;1.9;
2005-07-03;null;28.8;47.7;2.7;
