Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.17
Situacao: Operante
Data Inicial: 2006-12-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-21;null;null;null;null;
2006-12-22;null;null;null;null;
2006-12-23;null;null;null;null;
2006-12-24;null;25.1;68.8;3.3;
2006-12-25;null;null;null;null;
2006-12-26;null;null;null;null;
2006-12-27;null;null;null;null;
2006-12-28;null;null;null;null;
2006-12-29;null;null;null;null;
2006-12-30;null;null;null;null;
2006-12-31;null;null;null;null;
2007-01-01;null;null;null;null;
2007-01-02;null;null;null;null;
2007-01-03;null;null;null;null;
2007-01-04;null;null;null;null;
2007-01-05;null;null;null;null;
2007-01-06;null;null;null;null;
2007-01-07;null;null;null;null;
2007-01-08;null;null;null;null;
2007-01-09;null;null;null;null;
2007-01-10;null;null;null;null;
2007-01-11;null;null;null;null;
2007-01-12;null;null;null;null;
2007-01-13;null;null;null;null;
2007-01-14;null;null;null;null;
2007-01-15;null;null;null;null;
2007-01-16;null;null;null;null;
2007-01-17;null;null;null;null;
2007-01-18;null;null;null;null;
2007-01-19;null;null;null;null;
2007-01-20;null;null;null;null;
2007-01-21;null;null;null;null;
2007-01-22;null;null;null;null;
2007-01-23;null;null;null;null;
2007-01-24;null;null;null;null;
2007-01-25;null;null;null;null;
2007-01-26;null;null;null;null;
2007-01-27;null;null;null;null;
2007-01-28;null;null;null;null;
2007-01-29;null;null;null;null;
2007-01-30;null;null;null;null;
2007-01-31;null;null;null;null;
2007-02-01;null;null;null;null;
2007-02-02;null;null;null;null;
2007-02-03;null;null;null;null;
2007-02-04;null;null;null;null;
2007-02-05;null;null;null;null;
2007-02-06;null;null;null;null;
2007-02-07;null;null;null;null;
2007-02-08;null;null;null;null;
2007-02-09;null;null;null;null;
2007-02-10;null;null;null;null;
2007-02-11;null;null;null;null;
2007-02-12;null;null;null;null;
2007-02-13;null;null;null;null;
2007-02-14;null;null;null;null;
2007-02-15;null;null;null;null;
2007-02-16;null;null;null;null;
2007-02-17;null;null;null;null;
2007-02-18;null;null;null;null;
2007-02-19;null;null;null;null;
2007-02-20;null;null;null;null;
2007-02-21;null;null;null;null;
2007-02-22;null;null;null;null;
2007-02-23;null;null;null;null;
2007-02-24;null;null;null;null;
2007-02-25;null;null;null;null;
2007-02-26;null;null;null;null;
2007-02-27;null;null;null;null;
