Nome: MORADA NOVA
Codigo Estacao: A332
Latitude: -5.0911111
Longitude: -38.36472222
Altitude: 93
Situacao: Operante
Data Inicial: 2007-08-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-08-23;null;null;null;null;
2007-08-24;null;26.3;65.7;2.2;
2007-08-25;0;27.4;64.5;2.6;
2007-08-26;0;27.8;57;3.1;
2007-08-27;0;26.8;57.9;2.9;
2007-08-28;0;26.6;63.4;2.4;
2007-08-29;0;26.5;58.3;3.3;
2007-08-30;0;26.5;68;2.9;
2007-08-31;0;26.9;61.8;3.5;
2007-09-01;0;27.2;55.6;2.8;
2007-09-02;0;27.8;55.8;3.8;
2007-09-03;0;27.7;50.3;4.4;
2007-09-04;0;27.6;55.4;3.8;
2007-09-05;0;27.1;64.9;3.9;
2007-09-06;0;28.1;55.1;4.5;
2007-09-07;0;27.3;58.5;3.6;
2007-09-08;0;28.1;53.7;3;
2007-09-09;0;27.5;58.3;3;
2007-09-10;0;27.6;56.9;3.9;
2007-09-11;0;27.5;54.8;3.5;
2007-09-12;0;28.2;50.5;3.9;
2007-09-13;0;28.2;51.8;4.2;
2007-09-14;0;26.9;55.9;3.7;
2007-09-15;0;28.1;56.7;3.8;
2007-09-16;0;28.1;57.7;3;
2007-09-17;0;27.9;63;2.2;
2007-09-18;0;28.2;60.3;3.1;
2007-09-19;0;27.6;61.8;2.5;
2007-09-20;0;27.7;62;2.6;
2007-09-21;0;27.1;59.3;2.3;
2007-09-22;0;27.9;54.3;2.5;
2007-09-23;0;28;55;3;
2007-09-24;0;27.3;60.5;2.7;
2007-09-25;0;27.2;61.5;2.6;
2007-09-26;0;27.7;55.3;3.4;
2007-09-27;0;27.7;58;3.4;
2007-09-28;0;27.8;54.5;3;
2007-09-29;0;28.2;54.6;2.8;
2007-09-30;0;27.8;55.5;3;
2007-10-01;0;27.6;56.4;3;
2007-10-02;0;27.9;57.2;3;
2007-10-03;0;28.6;56;3.1;
2007-10-04;0;27.8;60.5;2.7;
2007-10-05;0;28;54.3;3.2;
