Nome: OURICURI
Codigo Estacao: A366
Latitude: -7.88583333
Longitude: -40.10277777
Altitude: 457.85
Situacao: Operante
Data Inicial: 2010-08-10
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-10;null;null;null;null;
2010-08-11;null;null;null;null;
2010-08-12;null;null;null;null;
2010-08-13;null;null;null;null;
2010-08-14;null;null;null;null;
2010-08-15;null;null;null;null;
2010-08-16;null;null;null;null;
2010-08-17;0;24.3;58.6;null;
2010-08-18;0;23;60.4;null;
2010-08-19;0;22.8;55.4;null;
2010-08-20;.2;23.2;54.5;null;
2010-08-21;0;23.5;57.6;null;
2010-08-22;0;23.6;61.7;null;
2010-08-23;0;24.3;53;null;
2010-08-24;0;24.5;56.2;null;
2010-08-25;0;24.5;57.2;null;
2010-08-26;0;25.4;51.9;null;
2010-08-27;0;25.6;51.7;null;
2010-08-28;0;25;56.6;null;
2010-08-29;0;25.2;54.7;null;
2010-08-30;0;25.1;52;null;
2010-08-31;0;24.6;59;null;
2010-09-01;.2;24.1;59.2;null;
2010-09-02;0;24.3;54.3;null;
2010-09-03;0;24.3;54;null;
2010-09-04;.2;23.7;66.3;null;
2010-09-05;.2;24.5;52.7;null;
2010-09-06;0;25;47.2;null;
2010-09-07;.8;24.4;54.8;null;
2010-09-08;0;25;51;null;
2010-09-09;0;26.5;49.4;null;
2010-09-10;0;26.2;48.5;null;
2010-09-11;0;23.2;63.7;null;
2010-09-12;.8;22.9;67.4;null;
2010-09-13;.4;24;68.5;null;
2010-09-14;1;23.8;72.3;null;
2010-09-15;0;24.9;55.3;null;
2010-09-16;0;25.1;51.3;null;
2010-09-17;0;25.9;49;null;
2010-09-18;0;25.7;49.3;null;
2010-09-19;0;25.3;50.9;null;
2010-09-20;0;25.4;47.2;null;
2010-09-21;0;25.5;49.9;null;
2010-09-22;0;25.9;51.7;null;
2010-09-23;0;25.9;50;null;
2010-09-24;0;25.4;51.2;null;
2010-09-25;0;25.4;52.8;null;
2010-09-26;0;26.8;52.8;null;
2010-09-27;0;27.1;43.9;null;
2010-09-28;0;28.2;39.2;null;
2010-09-29;0;30.1;36;null;
2010-09-30;0;29.2;40.8;null;
2010-10-01;0;28.6;39.4;null;
2010-10-02;0;28.7;39.4;null;
2010-10-03;0;30.1;39.2;null;
2010-10-04;0;28.1;44.2;null;
2010-10-05;0;27;45.1;null;
2010-10-06;0;28.2;37.5;null;
2010-10-07;0;28.5;39.2;null;
2010-10-08;0;29;38.3;null;
2010-10-09;0;30.1;34;null;
2010-10-10;0;28.6;31.8;null;
2010-10-11;0;27.8;47.9;null;
2010-10-12;0;28.6;45.3;null;
2010-10-13;0;28.7;46.2;null;
2010-10-14;0;27.5;46.5;null;
2010-10-15;0;27.2;46.2;null;
2010-10-16;0;27;45.3;null;
2010-10-17;0;27.9;44.1;null;
2010-10-18;0;29.1;47.8;null;
2010-10-19;0;30;41.8;null;
2010-10-20;0;28.7;50.5;null;
2010-10-21;9.4;27;63.3;null;
2010-10-22;0;27.4;58.1;null;
2010-10-23;0;26.8;60;null;
2010-10-24;0;26.1;67;null;
2010-10-25;11.8;27.4;62.5;null;
2010-10-26;0;27.2;63;null;
2010-10-27;0;26.6;66.5;null;
2010-10-28;13.2;25.1;74.6;null;
2010-10-29;0;26.4;67.5;null;
2010-10-30;0;27.4;63.8;null;
2010-10-31;0;27.5;52.9;null;
2010-11-01;0;28;47.1;null;
2010-11-02;0;28.7;41.5;null;
2010-11-03;0;29.8;37.5;null;
2010-11-04;0;28.5;41.5;null;
2010-11-05;0;28.3;48;null;
2010-11-06;0;28.4;45.7;null;
2010-11-07;0;28.8;41.7;null;
2010-11-08;0;29.4;41.2;null;
2010-11-09;0;27;46.2;null;
2010-11-10;0;27.1;43.4;null;
2010-11-11;0;28.4;44.2;null;
2010-11-12;0;28.7;47.8;null;
2010-11-13;0;28.9;46.7;null;
2010-11-14;0;28.1;50.2;null;
2010-11-15;0;28.6;46.9;null;
2010-11-16;0;27.2;58.9;null;
2010-11-17;0;28.4;50.3;null;
2010-11-18;0;29.4;42;null;
2010-11-19;0;29.4;37.3;null;
2010-11-20;0;29.7;36.4;null;
