Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2017-11-07
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-11-07;null;null;null;null;
2017-11-08;null;null;60.3;4.1;
2017-11-09;0;null;51.2;2.7;
2017-11-10;0;null;41.3;3.1;
2017-11-11;0;null;48;3.8;
2017-11-12;0;null;50;3.3;
2017-11-13;0;null;52.6;3.6;
2017-11-14;0;null;50.8;3;
2017-11-15;0;null;44.4;3.8;
2017-11-16;0;null;39.4;3;
2017-11-17;0;null;50.5;3.1;
2017-11-18;0;null;59.3;3.3;
2017-11-19;0;null;null;3.5;
2017-11-20;0;null;41.6;3.2;
2017-11-21;0;null;41.5;3.4;
2017-11-22;0;null;48.2;4;
2017-11-23;0;null;58.8;2.9;
2017-11-24;0;null;59.9;3;
2017-11-25;0;null;53.7;3.5;
2017-11-26;0;null;42.9;2.8;
2017-11-27;0;null;47.4;3.4;
2017-11-28;null;null;51.2;3.9;
2017-11-29;0;null;50.8;3.6;
2017-11-30;0;null;58.1;3.2;
2017-12-01;0;null;38.8;2.8;
2017-12-02;0;null;null;3;
2017-12-03;0;null;43.5;3.4;
2017-12-04;0;null;null;3;
2017-12-05;0;null;null;3.6;
2017-12-06;0;null;61.4;3.2;
2017-12-07;0;null;63.3;3.6;
2017-12-08;0;null;65.9;3.4;
2017-12-09;0;null;68;3.2;
2017-12-10;0;null;69.7;3.3;
2017-12-11;0;null;67.2;3.2;
2017-12-12;0;null;63;2.9;
2017-12-13;0;null;60.6;3.4;
2017-12-14;0;null;59.1;3.2;
2017-12-15;0;null;61.1;3;
2017-12-16;0;null;58.8;3.7;
2017-12-17;0;null;59.7;3.4;
2017-12-18;0;null;54.1;2.8;
2017-12-19;0;null;57.6;2.4;
2017-12-20;0;null;59.5;2.8;
2017-12-21;0;null;60.3;2.8;
2017-12-22;.2;null;66.1;2.3;
2017-12-23;0;null;62.6;2.9;
2017-12-24;0;null;58.5;3;
2017-12-25;0;null;60.2;2.8;
2017-12-26;0;null;60.8;3.2;
2017-12-27;0;null;55.8;3.2;
2017-12-28;0;null;58.6;3.1;
2017-12-29;0;null;57.8;3.1;
2017-12-30;null;null;59.2;4;
2017-12-31;.2;null;62.2;3.5;
2018-01-01;0;29.2;63.4;2.9;
2018-01-02;0;28.5;64.5;3.3;
