Nome: ITAPORANGA
Codigo Estacao: A373
Latitude: -7.31833332
Longitude: -38.14083333
Altitude: 292
Situacao: Pane
Data Inicial: 2017-11-02
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-11-02;null;null;null;null;
2017-11-03;null;null;null;null;
2017-11-04;null;29.6;42.5;2.9;
2017-11-05;0;29.8;40.4;2.6;
2017-11-06;0;29.8;39.3;2.3;
2017-11-07;0;29.9;44.8;2.8;
2017-11-08;0;29.2;51;2.7;
2017-11-09;0;30.1;44.8;3;
2017-11-10;0;30.3;45.3;3.2;
2017-11-11;0;29.9;40.7;2.7;
2017-11-12;0;30.4;41.8;3.2;
2017-11-13;0;30.5;47.4;4;
2017-11-14;0;30.2;46.5;3.7;
2017-11-15;0;29.5;44.6;3.6;
2017-11-16;0;28.8;41.8;2.9;
2017-11-17;0;28.7;46.8;2.5;
2017-11-18;0;29.1;45.5;2.2;
2017-11-19;0;29.8;43.5;2.5;
2017-11-20;0;30.5;44.2;3;
2017-11-21;0;30.7;37.7;2.9;
2017-11-22;0;30.4;45.6;3;
2017-11-23;2;29.9;54;2.8;
2017-11-24;0;29.5;48.6;3.1;
2017-11-25;.6;29.2;50.4;2.4;
2017-11-26;0;29.9;40.1;2.6;
2017-11-27;0;30.5;39.4;2.5;
2017-11-28;0;30.7;41;2.7;
2017-11-29;0;30.5;45.6;3.3;
2017-11-30;0;30;49;3.6;
2017-12-01;0;29.9;46;4.6;
2017-12-02;0;29.7;44.4;3.6;
2017-12-03;0;29.9;41.3;3.1;
2017-12-04;0;30.5;44;3.2;
2017-12-05;0;31.4;42.3;3;
2017-12-06;0;31.3;42;3;
2017-12-07;0;31;43.7;3.5;
2017-12-08;0;30;48.7;4.3;
2017-12-09;0;29.8;49.8;4.4;
2017-12-10;0;28.8;53.2;3.4;
2017-12-11;0;29.8;49.8;3.6;
2017-12-12;0;30.9;46.7;3.1;
2017-12-13;0;30.8;42.9;3.3;
2017-12-14;0;30.1;37.1;2.7;
2017-12-15;0;29.5;42.6;2.8;
2017-12-16;.6;30;46;2.7;
2017-12-17;0;29.6;47.6;3.3;
2017-12-18;1.6;29.6;46.8;2.6;
2017-12-19;0;29.6;46.6;2.8;
2017-12-20;0;29;51.5;2.5;
2017-12-21;0;28.2;55.1;1.6;
2017-12-22;0;29.8;48.7;2.6;
2017-12-23;0;27.4;59.1;2.7;
2017-12-24;0;27.4;64.5;null;
2017-12-25;3.2;29.9;50.8;null;
2017-12-26;0;30.7;46.8;null;
2017-12-27;0;31;45.5;null;
2017-12-28;0;31.1;42.5;null;
2017-12-29;0;30.7;42.5;null;
2017-12-30;0;31.1;44.2;null;
2017-12-31;0;30.8;46;null;
2018-01-01;0;31.1;44.1;null;
2018-01-02;0;30.8;44.7;null;
2018-01-03;0;29.7;50.2;null;
2018-01-04;0;30.1;47.6;null;
2018-01-05;0;28.6;54.1;null;
2018-01-06;3.8;28.5;54.5;null;
2018-01-07;0;28.8;52.2;null;
2018-01-08;6.6;27.9;59.9;null;
2018-01-09;.4;27.4;59.3;null;
2018-01-10;.2;28.4;53.4;null;
2018-01-11;0;28.8;51.8;null;
2018-01-12;.2;27.6;62.6;null;
2018-01-13;0;28.7;55.5;null;
2018-01-14;0;27.8;60.9;null;
2018-01-15;.2;29.2;49.5;null;
2018-01-16;0;29.6;45.5;null;
2018-01-17;0;30;42;null;
2018-01-18;0;29.8;46.9;null;
2018-01-19;.4;25.9;71.4;null;
2018-01-20;25;26.9;68;null;
2018-01-21;.2;29.5;54.6;null;
2018-01-22;0;29.6;49.5;null;
2018-01-23;0;28.2;58.1;null;
2018-01-24;26;26;76.7;1.8;
2018-01-25;.2;27.5;62.8;1.8;
2018-01-26;0;28.3;60.1;2.2;
2018-01-27;128.2;23.1;89.8;1.5;
2018-01-28;35.2;26.4;65.5;1.4;
2018-01-29;.2;28.3;65.3;2.1;
2018-01-30;0;28.1;60.9;2;
2018-01-31;0;27.7;65;1.5;
2018-02-01;0;28.6;58.3;2;
2018-02-02;0;28.6;60.6;2.1;
2018-02-03;0;28.7;58.4;2.5;
2018-02-04;0;28.3;57.3;2.1;
2018-02-05;0;28.5;59.2;1.6;
2018-02-06;0;29.6;55.7;2.7;
2018-02-07;0;29.1;61.8;2.4;
2018-02-08;2.2;28.1;68.8;2.3;
2018-02-09;.2;28.1;64;3;
2018-02-10;0;27;67.8;2;
2018-02-11;14;26.5;72.8;1.4;
2018-02-12;0;27.9;63.5;1.3;
2018-02-13;.2;26.7;73.8;1.5;
2018-02-14;6.4;25.8;79.5;1.6;
2018-02-15;.2;25.7;78.5;1.2;
2018-02-16;18.6;25.7;81.6;1.7;
2018-02-17;6.8;25.7;82.8;1.6;
2018-02-18;1.2;25.3;83.4;1.8;
2018-02-19;18.6;25.6;81.3;1.8;
2018-02-20;9.2;25.6;83.4;1.5;
2018-02-21;1.2;26.5;79.1;1.7;
2018-02-22;.2;27.1;74.5;1.8;
2018-02-23;8.2;26;79.4;1.5;
2018-02-24;29.6;26.1;80.8;1.6;
2018-02-25;0;27.2;73.2;1.5;
2018-02-26;.4;26.6;73.7;1.6;
2018-02-27;14.8;26.4;77.4;1.3;
2018-02-28;.2;26.1;79.9;1.4;
2018-03-01;1.4;25.2;85.1;1.4;
2018-03-02;8.2;25.4;83.5;1.3;
2018-03-03;4;25.9;80.1;1.5;
2018-03-04;0;26.5;79.3;1.6;
2018-03-05;0;27;75.8;1.9;
2018-03-06;.2;27.4;75.3;2;
2018-03-07;0;27.4;72.2;2.4;
2018-03-08;.6;26.4;77;2.2;
2018-03-09;.6;26.7;74;2;
2018-03-10;.2;26.5;77.3;1.7;
2018-03-11;0;26.9;72.6;2.2;
2018-03-12;0;26.7;74.4;1.9;
2018-03-13;0;27.3;70.1;2.5;
2018-03-14;0;27.6;70.2;1.6;
2018-03-15;0;27.7;65.2;1.8;
2018-03-16;0;27.6;63.2;1.5;
2018-03-17;0;27.7;67.6;1.6;
2018-03-18;0;27.7;66.8;1.6;
2018-03-19;.6;27.8;68.9;1.9;
2018-03-20;0;27.7;66.4;1.8;
2018-03-21;0;27.4;68.8;1.7;
2018-03-22;0;27.5;69.8;1.3;
2018-03-23;1.2;26.6;74.9;1.8;
2018-03-24;0;27.4;67.3;1.6;
2018-03-25;0;26.5;68.9;1.7;
2018-03-26;0;26.2;72.7;1.8;
2018-03-27;0;28.1;63.8;2;
2018-03-28;0;27;69;1.8;
2018-03-29;19.2;25.7;81.7;2.1;
2018-03-30;13.4;25.4;80.4;1.2;
2018-03-31;24.4;25.7;81.7;1.5;
2018-04-01;0;26.6;77.1;1.5;
2018-04-02;3.4;25.8;82.2;1.6;
2018-04-03;3.8;26.3;79.8;1.3;
2018-04-04;.2;25.9;82.3;1.6;
2018-04-05;8.4;26.3;80.3;1.4;
2018-04-06;10.4;24.6;89.8;1.4;
2018-04-07;12.2;25.3;83.8;1.3;
2018-04-08;5;24.3;89.4;1.1;
2018-04-09;28.2;24.6;81.5;1.7;
2018-04-10;0;25.5;77;1.5;
2018-04-11;0;25.3;77.4;1.5;
2018-04-12;0;25.9;78.3;1.3;
2018-04-13;3.6;23.6;92.3;1.2;
2018-04-14;63;25.1;83;1.1;
2018-04-15;30;25.9;81;1.8;
2018-04-16;0;25.7;80;1.2;
2018-04-17;0;25.1;81.2;1.1;
2018-04-18;2.4;26.3;79;1.5;
2018-04-19;14.2;26.3;77.4;1.2;
2018-04-20;4;26;78.1;1.4;
2018-04-21;0;26.3;78.5;1.3;
2018-04-22;18.4;24.8;81.9;2.2;
2018-04-23;.8;25.5;74.3;1.3;
2018-04-24;0;24.5;83;1.3;
2018-04-25;.2;24.2;86.3;1.1;
2018-04-26;4.8;25.3;78.2;1.2;
2018-04-27;0;25;77.4;1.5;
2018-04-28;0;25.5;78;1.9;
2018-04-29;0;25.8;76.9;1.7;
2018-04-30;0;24.6;83.4;1.5;
2018-05-01;2.4;25.1;82.9;1.4;
2018-05-02;21.6;24.5;85.8;1.3;
2018-05-03;.4;25.1;80.5;1.5;
2018-05-04;0;25;76;2;
2018-05-05;0;23.9;81.9;1.2;
2018-05-06;0;25.1;78;1.5;
2018-05-07;0;23.9;80.5;1.3;
2018-05-08;0;24.3;78.5;1.7;
2018-05-09;0;25.6;70.2;2;
2018-05-10;0;25.8;72.5;1.5;
2018-05-11;0;25.4;78.3;1.9;
2018-05-12;.8;25.6;78.5;1.2;
2018-05-13;0;26.7;74.4;1.4;
2018-05-14;8.8;25.6;76.5;1.5;
2018-05-15;0;24;80.5;1.4;
2018-05-16;8;25.4;79.6;1.3;
2018-05-17;.2;25;77.8;1.8;
2018-05-18;0;24.7;79.4;1.8;
2018-05-19;0;25.5;71.7;1.4;
2018-05-20;0;25.1;75.4;1.3;
2018-05-21;0;25.7;76.3;1.4;
2018-05-22;0;25.7;71.7;1.8;
2018-05-23;0;24.7;69.4;1.4;
2018-05-24;0;24;66.8;1.8;
2018-05-25;0;25.7;66.7;2.1;
2018-05-26;0;26.5;62.3;2.3;
2018-05-27;.4;25.7;65.3;2.2;
2018-05-28;0;24.1;74.9;1.8;
2018-05-29;7.2;24.8;67.8;2.5;
2018-05-30;0;24.8;66.6;2.4;
2018-05-31;0;24.5;70.1;2;
2018-06-01;0;24.8;68.6;1.2;
2018-06-02;0;25.4;68.9;1.7;
2018-06-03;0;27.3;66.6;1.6;
2018-06-04;0;26.8;63.5;2.4;
2018-06-05;0;25.7;58.1;2.6;
2018-06-06;0;24;66.1;1.7;
2018-06-07;0;25.8;70;1.9;
2018-06-08;0;23.9;84.8;1.8;
2018-06-09;.8;25.9;67.8;1.3;
2018-06-10;0;25.1;65.7;2.1;
2018-06-11;0;24.1;68.7;1.7;
2018-06-12;0;24.8;60.5;2;
2018-06-13;0;24.3;61.1;2.3;
2018-06-14;0;23.6;68.1;1.7;
2018-06-15;0;26.2;57.8;1.8;
2018-06-16;0;26.1;59;null;
2018-06-17;0;25.4;61.3;null;
2018-06-18;0;25.6;61;null;
2018-06-19;0;27;55.1;null;
2018-06-20;0;25.4;55.7;null;
2018-06-21;0;24.1;55.6;null;
2018-06-22;0;25.5;55.7;null;
2018-06-23;0;24.8;54;null;
2018-06-24;0;23.8;63.4;null;
2018-06-25;0;24.6;57.5;null;
2018-06-26;0;24;56.5;null;
2018-06-27;0;27.2;49.3;null;
2018-06-28;0;26.1;53.7;null;
2018-06-29;0;25.3;56.6;null;
2018-06-30;0;25.2;52.9;null;
2018-07-01;0;25;52.5;null;
2018-07-02;0;27.4;57.4;null;
2018-07-03;0;27.3;53.8;null;
2018-07-04;0;26.2;50;null;
2018-07-05;0;26.1;50.2;null;
2018-07-06;0;26.8;59.3;null;
2018-07-07;0;25.4;65.1;null;
2018-07-08;0;26.6;55.5;null;
2018-07-09;0;26.5;51.7;null;
2018-07-10;0;25.1;57.5;1.6;
2018-07-11;0;26.1;63;1.8;
2018-07-12;0;27.3;57;null;
2018-07-13;0;26.3;49.6;null;
2018-07-14;0;24.6;51.9;null;
2018-07-15;0;24.5;51;null;
2018-07-16;0;26;48.7;null;
2018-07-17;0;25.7;49.1;null;
2018-07-18;0;25.6;56.5;null;
2018-07-19;0;26;49.7;null;
2018-07-20;0;25.1;52.7;null;
2018-07-21;0;26.6;50.4;null;
2018-07-22;0;26.8;50.5;null;
2018-07-23;0;26.6;51;null;
2018-07-24;0;26.2;52.3;null;
2018-07-25;0;25.5;53.1;null;
2018-07-26;0;26.7;53.6;null;
2018-07-27;0;26.8;51.8;2.9;
2018-07-28;0;27;56.4;2.9;
2018-07-29;0;27.3;49.9;2.5;
2018-07-30;0;27;51.6;1.8;
2018-07-31;.2;27.6;57.9;1.9;
2018-08-01;0;28.4;51.3;2.1;
2018-08-02;0;28.1;50.2;2.6;
2018-08-03;0;26.4;47.9;2;
2018-08-04;0;26.2;49.2;1.7;
2018-08-05;0;27.1;47.8;1.6;
2018-08-06;0;27.1;49.5;1.9;
2018-08-07;0;27.5;47.2;2.2;
2018-08-08;0;27.5;47.3;2.5;
2018-08-09;0;27.4;46.5;1.7;
2018-08-10;0;27.8;51.6;1.8;
2018-08-11;0;27.4;50.3;1.7;
2018-08-12;0;27.1;50.9;2.2;
2018-08-13;0;28.2;54.6;3.1;
2018-08-14;0;28.3;47.3;2.1;
2018-08-15;0;27.4;46.3;2.2;
2018-08-16;0;27.8;46.5;2.6;
2018-08-17;0;27.8;45.2;2.7;
2018-08-18;0;27.1;47.5;2.8;
2018-08-19;0;27;46.5;2.9;
2018-08-20;0;27.1;46.7;3;
2018-08-21;0;26.9;49.6;2.9;
2018-08-22;0;27.2;47;2.9;
2018-08-23;0;27.8;45.7;2.7;
2018-08-24;0;27.7;45.2;2.7;
2018-08-25;0;28.2;46.5;2.5;
2018-08-26;0;28.1;45;3.1;
2018-08-27;0;27.1;40.8;2.6;
2018-08-28;0;26.9;45.4;2.2;
2018-08-29;0;27;46.4;3.3;
2018-08-30;0;26.6;49;3.3;
2018-08-31;0;26.9;47;3;
2018-09-01;0;27.7;48.4;2.6;
2018-09-02;0;27.4;53.5;2.7;
2018-09-03;34.8;27.2;59.8;1.9;
2018-09-04;.2;28.3;51.5;1.9;
2018-09-05;0;28.3;49.6;2.4;
2018-09-06;0;28.3;48.8;2.6;
2018-09-07;0;28.1;46.9;3.3;
2018-09-08;0;27.1;44.3;3.2;
2018-09-09;0;27.3;49.6;3;
2018-09-10;0;28.3;51.9;2.5;
2018-09-11;0;28.5;49.2;2.3;
2018-09-12;0;28.8;46.3;2.9;
2018-09-13;0;27.9;37.7;2.8;
2018-09-14;0;27.1;41.7;2.3;
2018-09-15;0;27.9;45.9;2.5;
2018-09-16;0;28.5;48.6;2.8;
2018-09-17;0;29.1;48.7;2.7;
2018-09-18;0;28.7;47.3;2.9;
2018-09-19;0;28.4;48.9;2.9;
2018-09-20;0;27.9;49.7;2.6;
