Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-27;null;null;null;null;
2018-03-28;null;24.8;78.7;1.4;
2018-03-29;0;24.5;83.5;1.1;
2018-03-30;8.8;24.5;78.9;1;
2018-03-31;.2;24.1;78.4;1.1;
2018-04-01;0;25;77.9;1;
2018-04-02;0;25.1;78;1.1;
2018-04-03;0;25.6;76.7;1;
2018-04-04;0;25.9;75.8;1.1;
2018-04-05;0;24.8;82.1;1.3;
2018-04-06;0;23.6;89.1;1;
2018-04-07;2.6;24.4;83.6;1.3;
2018-04-08;0;25;79.1;1.3;
2018-04-09;0;22.9;88.5;1;
2018-04-10;28.8;24.4;78.7;1.1;
2018-04-11;7.6;23.3;85.1;1.3;
2018-04-12;0;23.9;82.6;1.1;
2018-04-13;0;23.4;86.7;1.1;
2018-04-14;7.6;24.1;85.3;1;
2018-04-15;0;24.2;88.7;.9;
2018-04-16;0;24.6;71;1;
2018-04-17;.2;24;82;1;
2018-04-18;0;23.5;81.2;1.4;
2018-04-19;0;24.5;76.6;1.4;
2018-04-20;0;24.2;86.2;1.1;
2018-04-21;0;24.7;75.5;1.1;
2018-04-22;0;24.6;77.1;1.3;
2018-04-23;0;24.3;77.2;1.2;
2018-04-24;0;24.8;75.6;1.3;
2018-04-25;0;24.7;79;1.2;
2018-04-26;0;24.7;74.7;1.2;
2018-04-27;0;24.3;75.4;1.3;
2018-04-28;0;24.3;74.8;1.1;
2018-04-29;0;24.9;71.5;1.4;
2018-04-30;0;24.1;72.8;1;
2018-05-01;0;24.5;72.5;1.2;
2018-05-02;0;25.2;71.7;1.3;
2018-05-03;0;25.2;70;1.1;
2018-05-04;0;24.4;70.1;1.5;
2018-05-05;0;24.9;66.9;1.5;
2018-05-06;0;25.7;68.4;1.4;
2018-05-07;0;25;67.7;1.4;
2018-05-08;0;24.2;68.8;1.1;
2018-05-09;0;23.5;69.8;1.3;
2018-05-10;0;23.8;68.3;1.3;
2018-05-11;0;24.2;65.7;1.2;
2018-05-12;0;25.2;64.3;1.2;
2018-05-13;0;24.9;68.5;1.2;
2018-05-14;0;26.7;65.1;1.3;
2018-05-15;0;26;60;1.7;
2018-05-16;0;24.1;64.8;1.3;
2018-05-17;0;25.1;65.6;1.2;
2018-05-18;0;25.1;67.6;1.2;
2018-05-19;0;24.9;66.7;1.1;
2018-05-20;0;25.3;66.2;1;
2018-05-21;0;25.5;65.6;1.3;
2018-05-22;0;25.4;63.6;1.4;
2018-05-23;0;25.1;65.6;1.3;
