Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-22;null;null;null;null;
2018-03-23;null;null;null;null;
2018-03-24;null;23;90.1;1.8;
2018-03-25;5.8;24.1;86.2;1.2;
2018-03-26;47.2;22.3;89.1;1.3;
2018-03-27;.2;24.2;88.2;1.7;
2018-03-28;.6;25.6;null;2.4;
2018-03-29;0;25.2;null;1.6;
2018-03-30;1.4;24.9;null;1.8;
2018-03-31;0;25.8;null;1.5;
2018-04-01;0;26.3;null;1.6;
2018-04-02;0;26.3;null;1.4;
2018-04-03;0;26.3;null;.9;
2018-04-04;0;24.5;null;1.6;
2018-04-05;.6;24.6;null;2;
2018-04-06;2.6;23.6;null;1.5;
2018-04-07;.8;23.2;null;1.2;
2018-04-08;.2;23.9;null;.9;
2018-04-09;9.2;24.4;null;1.4;
2018-04-10;2.6;22.6;null;1;
2018-04-11;30.6;23.8;null;1;
2018-04-12;.2;24.5;null;.9;
2018-04-13;0;23.9;null;.7;
2018-04-14;0;24.5;null;1.8;
2018-04-15;0;25.2;null;1.9;
2018-04-16;0;25.4;null;1.5;
2018-04-17;0;25.3;null;1.7;
2018-04-18;0;25.2;null;2.6;
2018-04-19;0;25.7;null;3.1;
2018-04-20;0;26.1;null;2.7;
2018-04-21;0;25.7;null;2.9;
2018-04-22;0;25.7;null;2.4;
2018-04-23;0;25.6;null;2;
2018-04-24;0;25.5;null;1.9;
2018-04-25;0;25.6;null;2.4;
2018-04-26;0;24.6;null;2.5;
2018-04-27;0;25.4;null;2.3;
2018-04-28;0;25.6;null;2.4;
2018-04-29;0;25.5;null;2.3;
2018-04-30;0;25.6;null;2;
2018-05-01;0;26;null;2;
2018-05-02;0;26.2;null;2.1;
2018-05-03;0;25.6;null;2.3;
2018-05-04;0;25.6;null;2.5;
2018-05-05;0;24.6;null;2.1;
2018-05-06;0;24.9;null;2.7;
2018-05-07;0;25.4;null;2.7;
2018-05-08;0;25.3;null;2.3;
2018-05-09;0;25.3;null;2;
2018-05-10;0;25.6;null;1.8;
2018-05-11;0;26.1;null;1.8;
2018-05-12;0;26.6;null;1.5;
2018-05-13;0;26.1;null;1.2;
2018-05-14;0;26.5;null;2.2;
2018-05-15;0;26.2;null;2.7;
2018-05-16;0;25.5;null;1.7;
2018-05-17;0;26.7;null;1.3;
2018-05-18;0;26.5;null;1.8;
2018-05-19;0;26;null;1.6;
2018-05-20;0;26.5;null;.9;
2018-05-21;0;26.4;null;1.2;
2018-05-22;13.8;26.2;null;1.6;
2018-05-23;0;25.6;null;1.8;
2018-05-24;0;26.1;null;2.2;
2018-05-25;0;25.5;null;3.5;
2018-05-26;0;25;null;3.5;
2018-05-27;0;25;null;3.1;
2018-05-28;0;25.3;null;3.5;
2018-05-29;0;24.6;null;3.7;
2018-05-30;0;24.1;null;2.9;
2018-05-31;0;24.2;null;2.5;
2018-06-01;0;24.6;null;2.3;
2018-06-02;0;25.5;null;2;
2018-06-03;0;26.2;null;1.2;
2018-06-04;0;26.7;null;2.2;
2018-06-05;0;26.3;null;3.1;
2018-06-06;0;25.7;null;1.4;
2018-06-07;0;26.7;null;1.4;
2018-06-08;0;27.2;null;1.5;
2018-06-09;0;25.9;null;1.7;
2018-06-10;0;26;null;2.7;
2018-06-11;0;25.1;null;2.7;
2018-06-12;0;25.1;null;2.9;
2018-06-13;0;25.4;null;2.5;
2018-06-14;0;25.8;null;2.9;
2018-06-15;0;25.4;null;3;
2018-06-16;0;25.5;null;3.3;
2018-06-17;0;25.7;null;3.4;
2018-06-18;0;25.7;null;3.1;
2018-06-19;0;25.6;null;3.8;
2018-06-20;0;24.6;null;4.8;
2018-06-21;0;null;58.6;null;
