Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Operante
Data Inicial: 2018-11-22
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-11-22;null;null;null;null;
2018-11-23;null;null;null;null;
2018-11-24;null;29.7;56.5;.6;
2018-11-25;.4;31.3;51.4;.5;
2018-11-26;0;30.9;49.5;.9;
2018-11-27;0;27.8;66.3;.7;
2018-11-28;null;null;null;null;
2018-11-29;null;null;null;null;
2018-11-30;null;null;null;null;
2018-12-01;null;null;49;null;
2018-12-02;0;29.5;61.6;.6;
2018-12-03;34.2;27.6;73.5;.3;
2018-12-04;34.2;24.9;83.9;.2;
2018-12-05;null;null;null;null;
2018-12-06;null;null;null;null;
2018-12-07;null;null;null;null;
2018-12-08;2.2;26.6;73.5;.1;
2018-12-09;7.6;26.4;77.9;.5;
2018-12-10;27.6;25.9;78.7;.4;
2018-12-11;null;null;null;null;
2018-12-12;null;null;null;null;
2018-12-13;null;null;null;null;
2018-12-14;null;null;null;null;
2018-12-15;null;null;67.9;null;
2018-12-16;35;27.3;72.5;.2;
2018-12-17;1;27.1;71.8;.5;
2018-12-18;13;27.4;70;.8;
2018-12-19;null;null;null;null;
2018-12-20;null;null;null;null;
2018-12-21;null;null;null;null;
2018-12-22;null;null;null;null;
2018-12-23;null;null;73.7;null;
2018-12-24;31;24.2;82.5;.9;
2018-12-25;.6;null;75.5;.2;
2018-12-26;null;null;76.8;null;
2018-12-27;null;null;null;null;
2018-12-28;null;null;null;null;
2018-12-29;null;null;null;null;
2018-12-30;null;null;null;null;
2018-12-31;null;null;null;null;
2019-01-01;null;null;null;null;
2019-01-02;null;null;null;null;
2019-01-03;null;null;null;null;
2019-01-04;null;null;null;null;
2019-01-05;null;null;null;null;
2019-01-06;null;null;null;null;
2019-01-07;null;null;null;null;
2019-01-08;null;null;null;null;
2019-01-09;null;null;null;null;
2019-01-10;null;null;null;null;
2019-01-11;null;null;null;null;
2019-01-12;null;null;null;null;
2019-01-13;null;null;null;null;
2019-01-14;null;null;null;null;
2019-01-15;null;null;null;null;
2019-01-16;null;null;null;null;
2019-01-17;null;null;null;null;
2019-01-18;null;null;null;null;
2019-01-19;null;null;null;null;
2019-01-20;null;null;null;null;
2019-01-21;null;null;null;null;
2019-01-22;null;null;null;null;
2019-01-23;null;null;null;null;
2019-01-24;null;null;null;null;
2019-01-25;null;null;null;null;
2019-01-26;null;null;null;null;
2019-01-27;null;null;null;null;
2019-01-28;null;null;null;null;
2019-01-29;null;null;null;null;
2019-01-30;null;null;null;null;
2019-01-31;null;null;null;null;
2019-02-01;null;null;null;null;
2019-02-02;null;null;null;null;
2019-02-03;null;null;null;null;
2019-02-04;null;null;null;null;
2019-02-05;null;null;null;null;
2019-02-06;null;null;null;null;
2019-02-07;null;null;null;null;
2019-02-08;null;null;null;null;
2019-02-09;null;null;null;null;
2019-02-10;null;null;null;null;
2019-02-11;null;null;null;null;
2019-02-12;null;null;null;null;
2019-02-13;null;null;null;null;
2019-02-14;null;null;null;null;
2019-02-15;null;null;null;null;
2019-02-16;null;null;null;null;
2019-02-17;null;null;null;null;
2019-02-18;null;null;null;null;
2019-02-19;null;null;null;null;
2019-02-20;null;null;null;null;
2019-02-21;null;null;null;null;
2019-02-22;null;null;null;null;
2019-02-23;null;null;null;null;
2019-02-24;null;null;null;null;
2019-02-25;null;null;null;null;
2019-02-26;null;null;null;null;
2019-02-27;null;null;null;null;
2019-02-28;null;null;null;null;
2019-03-01;null;null;null;null;
2019-03-02;null;null;null;null;
2019-03-03;null;null;null;null;
2019-03-04;null;null;null;null;
2019-03-05;null;null;null;null;
2019-03-06;null;null;null;null;
2019-03-07;null;null;null;null;
2019-03-08;null;null;null;null;
2019-03-09;null;null;null;null;
2019-03-10;null;null;null;null;
2019-03-11;null;null;null;null;
2019-03-12;null;null;null;null;
2019-03-13;null;null;null;null;
2019-03-14;null;null;null;null;
2019-03-15;null;null;null;null;
2019-03-16;null;null;null;null;
2019-03-17;null;null;null;null;
2019-03-18;null;null;null;null;
2019-03-19;null;null;null;null;
2019-03-20;null;null;null;null;
2019-03-21;null;null;null;null;
2019-03-22;null;null;null;null;
2019-03-23;null;null;null;null;
2019-03-24;null;null;null;null;
2019-03-25;null;null;77.7;null;
2019-03-26;11.2;27;78.9;.6;
2019-03-27;2.8;26.3;82.1;.9;
2019-03-28;6.2;25.9;81.5;1.2;
2019-03-29;1.2;26.7;80.8;1.3;
2019-03-30;14.8;26.1;84.7;.9;
2019-03-31;25.4;26.1;81;1.6;
2019-04-01;6;25.3;85.2;1.7;
2019-04-02;18.8;26.4;79.2;1.4;
2019-04-03;24.2;26.1;83.4;1.5;
2019-04-04;36.8;26;83;1.4;
2019-04-05;60.8;25.3;84.2;1.4;
2019-04-06;0;25.2;87.4;1;
2019-04-07;33.6;26.5;81.2;1.3;
2019-04-08;0;27.3;80.6;1.2;
2019-04-09;1.6;27;79.4;1.4;
2019-04-10;.2;27.3;75.9;.7;
2019-04-11;2.6;27.1;80.9;1.2;
2019-04-12;19.8;26;83.2;.8;
2019-04-13;10.4;26.4;82.5;1.2;
2019-04-14;0;25.2;86.9;1;
2019-04-15;10;26.3;79.5;1.3;
2019-04-16;18.8;24.6;88;.9;
2019-04-17;2.6;27;80.3;.8;
2019-04-18;.8;27;80;1.3;
2019-04-19;26.2;26.6;81.8;1.2;
2019-04-20;0;26.9;80.3;.8;
2019-04-21;0;27.7;79;1.2;
2019-04-22;.2;27.6;79.8;1.4;
2019-04-23;0;26.9;79.4;1.4;
2019-04-24;0;27;79.8;1.4;
2019-04-25;.2;26.5;83;1.5;
2019-04-26;9.2;25.8;86.4;.8;
2019-04-27;3;26.5;82.9;1;
2019-04-28;2;25.8;85.4;1.1;
2019-04-29;26.4;26.3;82.1;.7;
2019-04-30;3.6;25.8;86.3;.8;
2019-05-01;13.4;26.1;83.7;1.3;
2019-05-02;.8;27;79;1.3;
2019-05-03;0;27.2;75.2;1.8;
2019-05-04;0;26.5;74.1;1.5;
2019-05-05;0;26.8;71.7;1.7;
2019-05-06;0;27.4;73.6;1.4;
2019-05-07;.2;27.8;75.5;1;
2019-05-08;.6;27.4;77.8;1.3;
