Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2002-03-22
Data Final: 2013-10-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-03-22;null;null;null;null;
2002-03-23;null;null;null;null;
2002-03-24;null;null;null;null;
2002-03-25;null;null;null;null;
2002-03-26;null;null;null;null;
2002-03-27;5.6;27.5;76.5;6.4;
2002-03-28;1.4;27.7;75.6;6.6;
2002-03-29;7.8;27.5;77.5;9.1;
2002-03-30;2;27.3;79.8;9;
2002-03-31;1.8;27.6;78;7.1;
2002-04-01;null;null;77;5.1;
2002-04-02;0;null;75.1;6.6;
2002-04-03;null;null;72.1;6.1;
2002-04-04;null;null;71.7;5.7;
2002-04-05;null;null;73.5;5.6;
2002-04-06;0;27.8;76.9;5;
2002-04-07;.4;26.7;80.3;5.1;
2002-04-08;.4;27.8;78.1;5.4;
2002-04-09;.4;26.7;82.3;4.1;
2002-04-10;4.8;27.5;76.1;5;
2002-04-11;0;27.6;75;4.4;
2002-04-12;null;null;77.4;4;
2002-04-13;null;null;80.8;4.6;
2002-04-14;0;27.8;74.9;5.9;
2002-04-15;.2;26.4;83.2;5.8;
2002-04-16;7.4;26.5;81.9;4.9;
2002-04-17;2.6;26.8;78.4;3.7;
2002-04-18;0;27.7;74.6;4.9;
2002-04-19;.8;27.8;74;7.6;
2002-04-20;0;27.8;72;6;
2002-04-21;3.4;26.4;77.5;5.2;
2002-04-22;3.8;27.3;74.5;7.6;
2002-04-23;4.2;27.4;74.4;8.3;
2002-04-24;1;27.2;75.2;6.9;
2002-04-25;2;27;76;4.6;
2002-04-26;0;27.5;72.9;5.5;
2002-04-27;0;27.3;70.4;5.6;
2002-04-28;0;26;73.3;3.4;
2002-04-29;0;27.3;69.6;5.1;
2002-04-30;0;27.5;68;6.3;
2002-05-01;0;27.4;68.2;5;
2002-05-02;0;null;76.2;6;
2002-05-03;null;null;null;null;
2002-05-04;null;null;null;null;
2002-05-05;null;27.5;68.5;6.4;
2002-05-06;null;24.7;91;8.6;
2002-05-07;50;25.4;83;5.2;
2002-05-08;null;26.5;75.4;4.5;
2002-05-09;null;26.1;76.8;4.2;
2002-05-10;null;27.3;74.9;5.7;
2002-05-11;null;25.9;84;5.7;
2002-05-12;null;26.6;77.4;6.5;
2002-05-13;null;26.9;73.2;7.3;
2002-05-14;null;26;77.8;8.9;
2002-05-15;null;26.8;73.6;6.5;
2002-05-16;null;26.9;72.2;5.6;
2002-05-17;null;26.3;76.9;4;
2002-05-18;null;26.2;78.7;4.8;
2002-05-19;null;26.9;73.6;5.4;
2002-05-20;null;26.8;78.7;5.7;
2002-05-21;null;26.9;80.2;5.9;
2002-05-22;null;26.8;78.8;5.8;
2002-05-23;null;25.5;79.9;5.2;
2002-05-24;null;24.8;76.6;9;
2002-05-25;null;23.9;76.8;8.5;
2002-05-26;13;24.2;69.8;7.2;
