Nome: PAULO AFONSO
Codigo Estacao: A411
Latitude: -9.37805554
Longitude: -38.22666666
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2003-02-14
Data Final: 2017-03-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-14;null;null;null;null;
2003-02-15;null;null;null;null;
2003-02-16;null;null;null;null;
2003-02-17;null;null;null;null;
2003-02-18;null;null;null;null;
2003-02-19;null;null;null;null;
2003-02-20;null;null;null;null;
2003-02-21;null;null;null;null;
2003-02-22;null;null;null;null;
2003-02-23;null;null;null;null;
2003-02-24;null;null;null;null;
2003-02-25;null;null;null;null;
2003-02-26;null;null;null;null;
2003-02-27;null;null;null;null;
2003-02-28;null;null;null;null;
2003-03-01;null;null;null;null;
2003-03-02;null;null;null;null;
2003-03-03;null;null;null;null;
2003-03-04;null;null;null;null;
2003-03-05;null;null;null;null;
2003-03-06;null;null;null;null;
2003-03-07;null;null;null;null;
2003-03-08;null;null;null;null;
2003-03-09;null;null;null;null;
2003-03-10;null;null;null;null;
2003-03-11;null;null;null;null;
2003-03-12;null;null;null;null;
2003-03-13;null;null;null;null;
2003-03-14;null;null;null;null;
2003-03-15;null;null;null;null;
2003-03-16;null;null;null;null;
2003-03-17;null;null;null;null;
2003-03-18;null;null;null;null;
2003-03-19;null;null;null;null;
2003-03-20;null;null;null;null;
2003-03-21;null;null;null;null;
2003-03-22;null;null;null;null;
2003-03-23;null;null;null;null;
2003-03-24;null;null;null;null;
2003-03-25;null;null;null;null;
2003-03-26;null;null;null;null;
2003-03-27;null;null;null;null;
2003-03-28;null;null;null;null;
2003-03-29;null;null;null;null;
2003-03-30;null;null;null;null;
2003-03-31;null;null;null;null;
2003-04-01;null;null;null;null;
2003-04-02;null;null;null;null;
2003-04-03;null;null;null;null;
2003-04-04;null;null;null;null;
2003-04-05;null;null;null;null;
2003-04-06;null;null;null;null;
2003-04-07;null;null;null;null;
2003-04-08;null;null;null;null;
2003-04-09;null;null;null;null;
2003-04-10;null;null;null;null;
2003-04-11;null;null;null;null;
2003-04-12;null;null;null;null;
2003-04-13;null;null;null;null;
2003-04-14;null;null;null;null;
2003-04-15;null;null;null;null;
2003-04-16;null;null;null;null;
2003-04-17;null;null;null;null;
2003-04-18;null;null;null;null;
2003-04-19;null;null;null;null;
2003-04-20;null;null;null;null;
2003-04-21;null;null;null;null;
2003-04-22;null;null;null;null;
2003-04-23;null;null;null;null;
2003-04-24;null;null;null;null;
2003-04-25;null;null;null;null;
2003-04-26;null;null;null;null;
2003-04-27;null;null;null;null;
2003-04-28;null;null;null;null;
2003-04-29;null;null;null;null;
2003-04-30;null;null;null;null;
2003-05-01;null;null;null;null;
2003-05-02;null;null;null;null;
2003-05-03;null;null;null;null;
2003-05-04;null;null;null;null;
2003-05-05;null;null;null;null;
2003-05-06;null;null;null;null;
2003-05-07;null;null;null;null;
2003-05-08;null;null;null;null;
2003-05-09;null;null;null;null;
2003-05-10;null;null;null;null;
2003-05-11;null;null;null;null;
2003-05-12;null;null;null;null;
2003-05-13;null;null;null;null;
2003-05-14;null;null;null;null;
2003-05-15;null;null;null;null;
2003-05-16;null;null;null;null;
2003-05-17;null;null;null;null;
2003-05-18;null;null;null;null;
2003-05-19;null;null;null;null;
2003-05-20;null;null;null;null;
2003-05-21;null;null;null;null;
2003-05-22;null;null;null;null;
2003-05-23;null;null;null;null;
2003-05-24;null;null;null;null;
2003-05-25;null;null;null;null;
2003-05-26;null;null;null;null;
2003-05-27;null;null;null;null;
2003-05-28;null;null;null;null;
2003-05-29;null;null;null;null;
2003-05-30;null;null;null;null;
2003-05-31;null;null;null;null;
2003-06-01;null;null;null;null;
2003-06-02;null;null;null;null;
2003-06-03;null;null;null;null;
2003-06-04;null;null;null;null;
2003-06-05;null;null;null;null;
2003-06-06;null;null;null;null;
2003-06-07;null;null;null;null;
2003-06-08;null;null;null;null;
2003-06-09;null;null;null;null;
2003-06-10;null;null;null;null;
2003-06-11;null;null;null;null;
2003-06-12;null;null;null;null;
2003-06-13;null;null;null;null;
2003-06-14;null;null;null;null;
2003-06-15;null;null;null;null;
2003-06-16;null;null;null;null;
2003-06-17;null;null;71.3;3.4;
2003-06-18;0;24.9;63.3;3.5;
2003-06-19;0;25.1;66.1;4.4;
2003-06-20;.4;24.6;72.9;3.8;
2003-06-21;0;24.9;69.6;4;
2003-06-22;0;24.7;66.4;3.7;
2003-06-23;0;24.7;66.4;4.4;
2003-06-24;0;24.4;77.1;3.5;
2003-06-25;2;24.7;71.9;4.6;
2003-06-26;0;24.5;63.2;4.4;
2003-06-27;.2;23.4;70;4.1;
2003-06-28;1.2;22.1;84.3;4.1;
2003-06-29;1.6;23.3;74.8;3.4;
2003-06-30;0;24.2;68.5;4.6;
2003-07-01;0;24;60.3;5.5;
2003-07-02;0;23.6;67.8;3.4;
2003-07-03;0;24;71.9;4.6;
2003-07-04;0;24.5;62.1;4.6;
2003-07-05;0;23.3;50.6;3.6;
2003-07-06;0;22.5;66.3;3.4;
2003-07-07;0;24.3;62;4.8;
2003-07-08;0;24.3;61.3;4.3;
2003-07-09;0;23.9;60.9;3.6;
2003-07-10;0;24.2;66.4;3.5;
2003-07-11;0;24.1;77.8;4.1;
2003-07-12;6.6;24.2;74.1;4.8;
2003-07-13;0;24;66.4;5;
2003-07-14;0;22.6;74.2;4.1;
2003-07-15;2.4;23.2;65.6;4.1;
2003-07-16;1.6;23.7;73.9;4.4;
2003-07-17;null;null;null;null;
2003-07-18;null;null;null;null;
2003-07-19;null;null;null;null;
2003-07-20;null;null;null;null;
2003-07-21;null;null;null;null;
2003-07-22;null;null;null;null;
2003-07-23;null;null;null;null;
2003-07-24;null;null;null;null;
2003-07-25;null;null;null;null;
2003-07-26;null;null;null;null;
2003-07-27;null;null;null;null;
2003-07-28;null;null;null;null;
2003-07-29;null;null;null;null;
2003-07-30;null;null;null;null;
2003-07-31;null;23.8;65.7;4.5;
2003-08-01;null;null;null;null;
2003-08-02;null;null;null;null;
2003-08-03;null;null;null;null;
2003-08-04;null;null;null;null;
2003-08-05;null;null;null;null;
2003-08-06;null;null;null;null;
2003-08-07;null;null;null;null;
2003-08-08;null;null;null;null;
2003-08-09;null;null;null;null;
2003-08-10;null;null;null;null;
2003-08-11;null;null;null;null;
2003-08-12;null;null;null;null;
2003-08-13;null;null;null;null;
2003-08-14;null;null;null;null;
2003-08-15;null;null;null;null;
2003-08-16;null;null;null;null;
2003-08-17;null;null;null;null;
2003-08-18;null;null;null;null;
2003-08-19;null;null;null;null;
2003-08-20;null;null;null;null;
2003-08-21;null;null;null;null;
2003-08-22;null;null;null;null;
2003-08-23;null;null;null;null;
2003-08-24;null;null;null;null;
2003-08-25;null;null;null;null;
2003-08-26;null;null;null;null;
2003-08-27;null;null;null;null;
2003-08-28;null;null;null;null;
2003-08-29;null;null;null;null;
2003-08-30;null;null;null;null;
2003-08-31;null;null;null;null;
2003-09-01;null;null;null;null;
2003-09-02;null;null;null;null;
2003-09-03;null;null;null;null;
2003-09-04;null;null;null;null;
2003-09-05;null;null;null;null;
2003-09-06;null;null;null;null;
2003-09-07;null;null;null;null;
2003-09-08;null;null;null;null;
2003-09-09;null;null;null;null;
2003-09-10;null;null;null;null;
2003-09-11;null;null;null;null;
2003-09-12;null;null;null;null;
2003-09-13;null;null;null;null;
2003-09-14;null;null;null;null;
2003-09-15;null;null;null;null;
2003-09-16;null;null;null;null;
2003-09-17;null;null;null;null;
2003-09-18;null;null;null;null;
2003-09-19;null;null;null;null;
2003-09-20;null;null;null;null;
2003-09-21;null;null;null;null;
2003-09-22;null;null;null;null;
2003-09-23;null;null;null;null;
2003-09-24;null;null;null;null;
2003-09-25;null;null;null;null;
2003-09-26;null;null;null;null;
2003-09-27;null;null;null;null;
2003-09-28;null;null;null;null;
2003-09-29;null;null;null;null;
2003-09-30;null;null;null;null;
2003-10-01;null;null;null;null;
2003-10-02;null;null;null;null;
2003-10-03;null;null;null;null;
2003-10-04;null;null;null;null;
2003-10-05;null;null;null;null;
2003-10-06;null;null;null;null;
2003-10-07;null;null;null;null;
2003-10-08;null;null;null;null;
2003-10-09;null;null;null;null;
2003-10-10;null;null;null;null;
2003-10-11;null;null;null;null;
2003-10-12;null;null;null;null;
2003-10-13;null;null;null;null;
2003-10-14;null;null;null;null;
2003-10-15;null;null;null;null;
2003-10-16;null;null;null;null;
2003-10-17;null;null;null;null;
2003-10-18;null;null;null;null;
2003-10-19;null;null;null;null;
2003-10-20;null;null;null;null;
2003-10-21;null;null;null;null;
2003-10-22;null;null;null;null;
2003-10-23;null;null;null;null;
2003-10-24;null;null;null;null;
2003-10-25;null;null;null;null;
2003-10-26;null;null;null;null;
2003-10-27;null;null;null;null;
2003-10-28;null;null;null;null;
2003-10-29;null;null;null;null;
2003-10-30;null;null;null;null;
2003-10-31;null;null;null;null;
2003-11-01;null;null;null;null;
2003-11-02;null;null;null;null;
2003-11-03;null;null;null;null;
2003-11-04;null;null;null;null;
2003-11-05;null;null;null;null;
2003-11-06;null;null;null;null;
2003-11-07;null;null;null;null;
2003-11-08;null;null;null;null;
2003-11-09;null;null;null;null;
2003-11-10;null;null;null;null;
2003-11-11;null;null;null;null;
2003-11-12;null;null;null;null;
2003-11-13;null;null;null;null;
2003-11-14;null;null;null;null;
2003-11-15;null;null;null;null;
2003-11-16;null;null;null;null;
2003-11-17;null;null;null;null;
2003-11-18;null;null;null;null;
2003-11-19;null;null;null;null;
2003-11-20;null;null;null;null;
2003-11-21;null;null;null;null;
2003-11-22;null;null;null;null;
2003-11-23;null;null;null;null;
2003-11-24;null;null;null;null;
2003-11-25;null;null;null;null;
2003-11-26;null;null;null;null;
2003-11-27;null;null;null;null;
2003-11-28;null;null;null;null;
2003-11-29;null;null;null;null;
2003-11-30;null;null;null;null;
2003-12-01;null;null;null;null;
2003-12-02;null;null;null;null;
2003-12-03;null;null;null;null;
2003-12-04;null;null;null;null;
2003-12-05;null;null;null;null;
2003-12-06;null;null;null;null;
2003-12-07;null;null;null;null;
2003-12-08;null;null;null;null;
2003-12-09;null;null;null;null;
2003-12-10;null;null;null;null;
2003-12-11;null;null;null;null;
2003-12-12;null;null;null;null;
2003-12-13;null;null;null;null;
2003-12-14;null;null;null;null;
2003-12-15;null;null;null;null;
2003-12-16;null;null;null;null;
2003-12-17;null;null;null;null;
2003-12-18;null;null;null;null;
2003-12-19;null;null;null;null;
2003-12-20;null;null;null;null;
2003-12-21;null;null;null;null;
2003-12-22;null;null;null;null;
2003-12-23;null;null;null;null;
2003-12-24;null;null;null;null;
2003-12-25;null;null;null;null;
2003-12-26;null;null;null;null;
2003-12-27;null;null;null;null;
2003-12-28;null;null;null;null;
2003-12-29;null;null;null;null;
2003-12-30;null;null;null;null;
2003-12-31;null;null;null;null;
2004-01-01;null;null;null;null;
2004-01-02;null;null;null;null;
2004-01-03;null;null;null;null;
2004-01-04;null;null;null;null;
2004-01-05;null;null;null;null;
2004-01-06;null;null;null;null;
2004-01-07;null;null;null;null;
2004-01-08;null;null;null;null;
2004-01-09;null;null;null;null;
2004-01-10;null;null;null;null;
2004-01-11;null;null;null;null;
2004-01-12;null;null;null;null;
2004-01-13;null;null;null;null;
2004-01-14;null;null;null;null;
2004-01-15;null;null;null;null;
2004-01-16;null;null;null;null;
2004-01-17;null;null;null;null;
2004-01-18;null;null;null;null;
2004-01-19;null;null;null;null;
2004-01-20;null;null;null;null;
2004-01-21;null;null;null;null;
2004-01-22;null;null;null;null;
2004-01-23;null;null;null;null;
2004-01-24;null;null;null;null;
2004-01-25;null;null;null;null;
2004-01-26;null;null;null;null;
2004-01-27;null;null;null;null;
2004-01-28;null;null;null;null;
2004-01-29;null;null;null;null;
2004-01-30;null;null;null;null;
2004-01-31;null;null;null;null;
2004-02-01;null;null;null;null;
2004-02-02;null;null;null;null;
2004-02-03;null;null;null;null;
2004-02-04;null;null;null;null;
2004-02-05;null;null;null;null;
2004-02-06;null;null;null;null;
2004-02-07;null;null;null;null;
2004-02-08;null;null;null;null;
2004-02-09;null;null;null;null;
2004-02-10;null;null;null;null;
2004-02-11;null;null;null;null;
2004-02-12;null;null;null;null;
2004-02-13;null;null;null;null;
2004-02-14;null;null;null;null;
2004-02-15;null;null;null;null;
2004-02-16;null;null;null;null;
2004-02-17;null;null;null;null;
2004-02-18;null;null;null;null;
2004-02-19;null;null;null;null;
2004-02-20;null;null;null;null;
2004-02-21;null;null;null;null;
2004-02-22;null;null;null;null;
2004-02-23;null;null;null;null;
2004-02-24;null;null;null;null;
2004-02-25;null;null;null;null;
2004-02-26;null;null;null;null;
2004-02-27;null;null;null;null;
2004-02-28;null;null;null;null;
2004-02-29;null;null;null;null;
2004-03-01;null;null;null;null;
2004-03-02;null;null;null;null;
2004-03-03;null;null;null;null;
2004-03-04;null;null;null;null;
2004-03-05;null;null;null;null;
2004-03-06;null;null;null;null;
2004-03-07;null;null;null;null;
2004-03-08;null;null;null;null;
2004-03-09;null;null;null;null;
2004-03-10;null;null;null;null;
2004-03-11;null;null;null;null;
