Nome: SANTA RITA DE CASSIA
Codigo Estacao: A415
Latitude: -11.00333333
Longitude: -44.53638888
Altitude: 450
Situacao: Pane
Data Inicial: 2007-05-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-27;null;null;null;null;
2007-05-28;null;null;null;null;
2007-05-29;null;null;null;null;
2007-05-30;null;null;null;null;
2007-05-31;null;null;null;null;
2007-06-01;null;25.8;54.8;2.6;
2007-06-02;0;24.9;56.1;1.2;
2007-06-03;0;24.9;53.6;1;
2007-06-04;0;24.8;46.9;1.2;
2007-06-05;0;24.6;47.8;1.2;
2007-06-06;0;26.5;47.8;1.4;
2007-06-07;0;24.9;54.3;1.5;
2007-06-08;0;25.3;51;1.5;
2007-06-09;0;23.2;47.9;1.6;
2007-06-10;0;23.6;49;1.6;
2007-06-11;0;24.9;52.5;1.7;
2007-06-12;0;24.2;51.4;1.6;
2007-06-13;0;24.4;51.3;1.6;
2007-06-14;0;24.4;49.9;1.7;
2007-06-15;0;22.7;51.6;1.9;
2007-06-16;0;24.3;48.8;1.6;
2007-06-17;0;26;52.8;1.9;
2007-06-18;0;24.6;43.7;2;
2007-06-19;0;22.9;49.8;1.9;
2007-06-20;0;23.1;52.7;1.7;
2007-06-21;0;23.4;48.4;2.6;
2007-06-22;0;22;59.4;2;
2007-06-23;0;22.7;51.5;2.3;
2007-06-24;0;22.2;48.6;1.4;
2007-06-25;0;22.2;45.5;1.9;
2007-06-26;0;24.7;52.2;2.6;
2007-06-27;0;23.7;54.6;2.3;
2007-06-28;0;22.7;54.7;1.5;
2007-06-29;0;23.6;49.4;1.3;
2007-06-30;0;23.2;49.1;1.3;
2007-07-01;0;24.4;49.4;1.1;
2007-07-02;0;23.7;45;1.4;
2007-07-03;0;23.8;45;1.8;
2007-07-04;0;24.1;50.9;2;
2007-07-05;0;23.6;50.4;2.1;
2007-07-06;0;23.6;50.6;1.9;
2007-07-07;0;24;48.6;2;
2007-07-08;0;23.5;51.6;1.6;
2007-07-09;0;23.6;44.8;1.8;
2007-07-10;0;23.5;45.8;1.7;
2007-07-11;0;24;47.2;1.6;
2007-07-12;0;23.9;46.7;1.9;
2007-07-13;0;22.6;45.2;1.3;
2007-07-14;0;23.4;46.9;1.3;
2007-07-15;0;24.1;44.8;1.2;
2007-07-16;0;24.1;42.8;1.3;
2007-07-17;0;26.4;42.1;1.2;
2007-07-18;0;25.8;46.5;1.2;
2007-07-19;0;27;43.6;1.2;
2007-07-20;0;26.7;44;1.9;
2007-07-21;0;26.4;42;2.1;
2007-07-22;0;23.3;43;1.4;
2007-07-23;0;23.7;42.8;1.3;
2007-07-24;0;24.8;41.1;1.5;
2007-07-25;0;25.4;36.2;1.4;
2007-07-26;0;25.3;39.5;1.4;
2007-07-27;0;25.6;41.6;1.5;
2007-07-28;0;25.4;44.1;1.7;
2007-07-29;0;22.9;41.5;1.9;
2007-07-30;0;23.7;46.9;1.9;
2007-07-31;0;23.6;47.7;1.9;
2007-08-01;0;22.4;43.6;1.4;
2007-08-02;0;22.4;44;1.6;
2007-08-03;0;23.3;44.7;2.1;
2007-08-04;0;24.6;49.7;2.2;
2007-08-05;0;24.8;50.6;1.5;
2007-08-06;0;24.4;42.7;2.1;
2007-08-07;0;23.9;41.6;1.6;
2007-08-08;0;23.2;44.2;1.9;
2007-08-09;0;23.5;42.9;2.5;
2007-08-10;0;24.3;44.1;2.7;
2007-08-11;0;23.9;42.9;2.1;
2007-08-12;0;24.4;46.6;2.4;
2007-08-13;0;24.2;45.5;2.3;
2007-08-14;0;24.3;45.8;3.6;
2007-08-15;0;22.6;50.5;2.7;
2007-08-16;0;23.1;43.7;2.3;
2007-08-17;0;22.9;44.1;1.6;
2007-08-18;0;23.7;45.3;2;
