Nome: UAUA
Codigo Estacao: A435
Latitude: -9.8336111
Longitude: -39.49555555
Altitude: 450.6
Situacao: Fechada
Data Inicial: 2008-05-19
Data Final: 2022-09-08
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-19;null;null;null;null;
2008-05-20;null;23.8;71.1;2.9;
2008-05-21;0;23.2;75.6;3.5;
2008-05-22;.4;23.3;78.2;3.5;
2008-05-23;5.2;22.8;86.7;2.8;
2008-05-24;16;23.3;81.1;2.8;
2008-05-25;4.2;22.9;78.8;2.8;
2008-05-26;0;22.4;81.4;2.8;
2008-05-27;1.6;23.6;74.6;3.7;
2008-05-28;0;23.2;70.7;3.8;
2008-05-29;0;21.6;86.6;3.2;
2008-05-30;10.4;23.1;74.9;3.6;
2008-05-31;1;22.6;82;4;
2008-06-01;22.2;21.6;80.5;3.8;
2008-06-02;0;21.7;73.4;3.4;
2008-06-03;0;21.3;82.8;2.9;
2008-06-04;.8;21.3;79;2.6;
2008-06-05;0;21.8;76.4;2.6;
2008-06-06;.2;23.2;77.6;3.9;
2008-06-07;1.4;23.3;69.8;4;
2008-06-08;0;22.1;79.4;3.9;
2008-06-09;1.8;22.8;70.9;4;
2008-06-10;.2;21.8;79.3;3.3;
2008-06-11;0;22.4;70.1;2.7;
2008-06-12;0;23.2;73.5;3.8;
2008-06-13;0;21.9;72.9;3.7;
2008-06-14;0;22.3;70.4;2.9;
2008-06-15;0;22.5;68.3;2.9;
2008-06-16;0;24.5;66;3.3;
2008-06-17;0;23.6;66.5;4.1;
2008-06-18;0;21.8;66;3.1;
2008-06-19;0;20.9;75.3;3.2;
2008-06-20;0;22.8;68;3.6;
2008-06-21;0;22.4;67.8;3.3;
2008-06-22;0;23.3;64;2.6;
2008-06-23;1;22.4;81.9;3.7;
2008-06-24;16.2;21.8;80;3.6;
2008-06-25;0;21.1;77.1;2.9;
2008-06-26;0;21.7;74.4;3.4;
2008-06-27;.6;21.7;80.6;3.7;
2008-06-28;.8;20.8;81.8;4;
2008-06-29;.2;21.4;71.1;4.7;
2008-06-30;0;20.5;71.4;2.8;
2008-07-01;0;22.1;75.6;3.9;
2008-07-02;.4;20.9;77.8;4;
2008-07-03;0;21.6;68.3;3.9;
2008-07-04;0;21;74.8;3.1;
2008-07-05;0;22.5;74.1;3.7;
2008-07-06;0;21.7;81.4;4.3;
2008-07-07;4.8;21.4;75.5;4.9;
2008-07-08;0;21.4;68.1;5.1;
2008-07-09;0;21.3;62.9;3.5;
2008-07-10;0;21.3;73.9;3.5;
2008-07-11;0;22.4;73;4.2;
2008-07-12;0;22;72.2;5.5;
2008-07-13;0;21.1;65.5;4.8;
2008-07-14;0;21.5;68.7;4.4;
2008-07-15;0;20.4;80.7;4.2;
2008-07-16;1.6;21.2;71.3;4.7;
2008-07-17;0;21.4;72.7;5;
2008-07-18;.4;20.9;82.8;3.6;
2008-07-19;1;22.3;75.3;3.2;
2008-07-20;0;21.6;66;4.1;
2008-07-21;0;21.5;70;3.7;
2008-07-22;0;22.3;74;4.2;
2008-07-23;.2;22.6;64;4.3;
2008-07-24;0;22.1;64.6;3;
2008-07-25;0;22.7;58.3;3.2;
2008-07-26;0;22.8;68.2;3.6;
2008-07-27;0;22.5;64.6;5.9;
2008-07-28;1.2;22.2;67;5.1;
2008-07-29;2.4;21.4;75.2;4.2;
2008-07-30;0;21.2;67.2;3;
2008-07-31;0;21.5;67.8;4;
2008-08-01;0;21.9;67.3;3.5;
2008-08-02;0;23.1;65.5;3.3;
2008-08-03;0;24.5;68.5;3.3;
2008-08-04;.4;null;70.9;2.7;
2008-08-05;0;25;60.3;5.2;
2008-08-06;null;null;65.9;null;
2008-08-07;null;null;71.1;4.6;
2008-08-08;null;null;57.3;4.4;
2008-08-09;null;null;66.6;null;
2008-08-10;null;null;null;null;
2008-08-11;null;null;74.3;3.7;
2008-08-12;4;22;76.8;4.4;
2008-08-13;.8;23.2;64.3;4.6;
2008-08-14;0;21.7;74.5;4.5;
2008-08-15;3.6;22.5;70.1;5.1;
2008-08-16;.2;null;74.5;4.5;
2008-08-17;null;22;69.5;4.9;
2008-08-18;5.8;21;74.7;4.8;
2008-08-19;.2;21.2;70.3;3.8;
2008-08-20;0;21.6;70.7;4.3;
2008-08-21;.4;null;79.8;4.7;
2008-08-22;null;null;70.2;null;
2008-08-23;null;null;73.4;null;
2008-08-24;null;null;73.8;null;
2008-08-25;null;null;69.7;null;
2008-08-26;null;null;61.5;3.3;
2008-08-27;0;24.1;56.3;3.6;
2008-08-28;0;24.1;63.2;3.7;
2008-08-29;0;24.7;59;3.9;
2008-08-30;0;null;62.3;3.9;
2008-08-31;null;24.6;57.9;4.3;
2008-09-01;0;23.1;66.1;5.4;
2008-09-02;0;23.2;69.3;4.7;
2008-09-03;0;23.5;63;4.9;
2008-09-04;0;null;68.7;4.1;
2008-09-05;null;null;68.5;null;
2008-09-06;null;null;56.1;null;
2008-09-07;0;24.8;59.8;4.8;
2008-09-08;0;null;65.3;5.1;
2008-09-09;null;null;null;null;
2008-09-10;null;23.4;66.4;5.3;
2008-09-11;0;23.6;63.9;4.5;
2008-09-12;0;24;62.2;4.3;
2008-09-13;null;null;59.8;3.3;
2008-09-14;null;25;56.9;4;
2008-09-15;0;24.2;58.1;4.1;
2008-09-16;0;24.5;57.6;4.3;
2008-09-17;0;24.6;57.9;4.1;
2008-09-18;0;25;56.5;4.3;
2008-09-19;0;25;52.8;5;
2008-09-20;0;24.4;55;5.2;
2008-09-21;0;24.1;63.8;4.5;
2008-09-22;0;26;58.1;4.1;
2008-09-23;0;27.3;50.5;3.7;
2008-09-24;0;26.6;57.2;4.1;
2008-09-25;0;26.4;54;5.3;
2008-09-26;0;24.8;61.5;5.4;
2008-09-27;.8;23.7;74.4;4.5;
2008-09-28;.2;25.2;61.3;3.7;
2008-09-29;0;27;56.9;4.1;
2008-09-30;0;27.3;56.3;5.3;
2008-10-01;0;25.9;58.9;5.3;
2008-10-02;0;25.3;58.1;4.2;
2008-10-03;0;26.2;57.9;4.8;
2008-10-04;0;25.8;57.9;5.5;
2008-10-05;0;25.7;56.2;4;
2008-10-06;0;26.4;53.8;4.8;
2008-10-07;0;25.3;54.9;5.5;
2008-10-08;0;24.2;59.5;4.3;
2008-10-09;0;24.5;57.9;5.1;
2008-10-10;null;null;56.1;6;
2008-10-11;null;null;57.6;5.6;
2008-10-12;.2;null;68.4;null;
2008-10-13;null;null;64.7;null;
2008-10-14;null;null;65.9;null;
2008-10-15;null;null;68.8;null;
2008-10-16;null;null;62.6;null;
2008-10-17;null;26.8;50.2;3.5;
2008-10-18;0;27.1;51.3;4.5;
2008-10-19;null;null;46.3;4.2;
2008-10-20;0;null;52.5;5.1;
2008-10-21;null;null;49.4;null;
2008-10-22;null;null;null;null;
2008-10-23;null;null;null;null;
2008-10-24;null;25.1;55.5;5.4;
2008-10-25;0;null;56.2;4.7;
2008-10-26;null;null;52.1;4.8;
2008-10-27;0;27.5;51.3;4;
2008-10-28;0;28.2;49.5;3.8;
2008-10-29;0;27.5;51.7;3.8;
2008-10-30;0;27.3;52.1;3.9;
2008-10-31;0;27.9;50.7;4.6;
2008-11-01;0;26.8;47.5;4.8;
2008-11-02;0;26.9;49;4.9;
2008-11-03;0;27.1;54;4.4;
2008-11-04;0;null;55;5.1;
2008-11-05;null;null;46.5;5.2;
2008-11-06;0;28.1;48.9;4.7;
2008-11-07;0;28.8;44;3.6;
2008-11-08;0;29.3;44.2;3.6;
2008-11-09;0;29.1;43.8;3.5;
2008-11-10;0;28.9;44.2;2.9;
2008-11-11;0;28.7;47.9;3.4;
2008-11-12;0;27.5;50;4.4;
2008-11-13;0;28;45.2;4.7;
2008-11-14;0;27.6;50.8;4.6;
2008-11-15;0;27.7;47;4.4;
2008-11-16;0;27.2;51.5;3.6;
2008-11-17;0;28;49;3.8;
2008-11-18;0;27.8;52.8;3.5;
2008-11-19;0;null;61.1;null;
2008-11-20;null;null;57;null;
2008-11-21;null;27.8;49.5;4.3;
2008-11-22;null;null;44.8;5.1;
2008-11-23;0;27.2;47.8;5.5;
2008-11-24;0;26.9;50.2;4.6;
2008-11-25;0;27.1;57;4.4;
2008-11-26;0;27.9;53.5;4.9;
2008-11-27;0;27.8;49;4.6;
2008-11-28;0;27.8;46.8;4;
2008-11-29;0;28.1;52;3.9;
2008-11-30;0;27.3;63.3;2.8;
2008-12-01;8;26.2;72;2;
2008-12-02;.2;24.7;80.4;1.6;
2008-12-03;76;23.7;84.2;2.9;
2008-12-04;.2;null;66.9;2;
2008-12-05;null;null;62.1;2;
2008-12-06;null;27.4;53.6;4.6;
2008-12-07;0;26.9;57.2;4.9;
