Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Pane
Data Inicial: 2008-06-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-21;null;null;null;null;
2008-06-22;null;null;null;null;
2008-06-23;null;null;84.2;null;
2008-06-24;18;24;81.4;2.4;
2008-06-25;0;23.3;81.3;2.5;
2008-06-26;6.2;21.7;90.1;3.1;
2008-06-27;41.8;22.3;88.6;2.9;
2008-06-28;24;21.6;88.5;2.9;
2008-06-29;16.6;21.1;89.7;2.4;
2008-06-30;21.6;21.5;92.3;2;
2008-07-01;13.6;24.2;77.6;2.5;
2008-07-02;5.8;23.4;79.3;2.1;
2008-07-03;4.4;22.7;86.9;2.1;
2008-07-04;7;22.1;86.8;1.9;
2008-07-05;0;22.9;83.6;2.6;
2008-07-06;10;22.6;82.1;3.1;
2008-07-07;11.4;22.6;70.3;3.4;
2008-07-08;0;22.2;66.6;3.1;
2008-07-09;.4;21.8;79.3;2.5;
2008-07-10;8.4;21.6;91.8;2.1;
2008-07-11;46.8;22.9;83.5;3;
2008-07-12;6.6;22.4;80.5;3.3;
2008-07-13;0;21.6;76.4;3.6;
2008-07-14;3.8;22.3;81.5;3.2;
2008-07-15;17;22.2;80.4;3.2;
2008-07-16;.4;21.7;80.6;2.8;
2008-07-17;4.4;22;78;2.5;
2008-07-18;.8;22.8;80.9;2;
2008-07-19;.8;23;82.8;1.9;
2008-07-20;1.2;23;66.6;1.8;
2008-07-21;.4;22.5;73.5;2.5;
2008-07-22;2;23.3;75.7;2.9;
2008-07-23;4.2;22.3;83.9;1.6;
2008-07-24;5.6;21.8;81.3;1.3;
2008-07-25;0;21.1;77.9;1.3;
2008-07-26;0;21.6;79.2;1.9;
2008-07-27;0;22.7;81.1;2.8;
2008-07-28;15.8;22.2;80.8;3;
2008-07-29;.6;21.4;83.8;2.5;
2008-07-30;5.6;22.8;79.3;2.1;
2008-07-31;1.6;22.4;83.6;2;
2008-08-01;5.2;22.9;75.2;2.2;
2008-08-02;1.6;22.3;84.5;2.1;
2008-08-03;6.8;23.7;87.1;1.4;
2008-08-04;1.8;24.5;83.7;2.1;
2008-08-05;0;24.6;81;2.2;
2008-08-06;1;23.8;76.3;2.3;
2008-08-07;3.2;23.3;81.7;2;
2008-08-08;1.2;22.7;86.1;1.5;
2008-08-09;.4;22.7;82.4;1.6;
2008-08-10;0;23.5;74.5;1.4;
2008-08-11;0;23.3;77.1;2.6;
2008-08-12;2.2;23.5;77.2;2.4;
2008-08-13;8.6;23.4;78.4;2.4;
2008-08-14;1.6;23.4;79.7;2.2;
2008-08-15;.8;22.8;84.4;2;
2008-08-16;9.4;24.3;72.4;3;
2008-08-17;.2;23.8;71.5;2.4;
2008-08-18;.2;22.5;77.5;2.2;
2008-08-19;6.8;23.3;77.7;3.4;
2008-08-20;0;23.7;74;3;
2008-08-21;9.4;22.3;82;2.1;
2008-08-22;7.4;22.6;80.3;1.7;
2008-08-23;0;23.8;78.4;2.5;
2008-08-24;.2;23.8;68.5;2.9;
2008-08-25;0;22.6;79.3;2.5;
2008-08-26;.4;22.1;83.2;1.8;
2008-08-27;.2;22.5;82.6;1.6;
2008-08-28;0;22.8;79.7;1.7;
2008-08-29;0;22.4;79;1.5;
2008-08-30;0;22.5;78.9;1.5;
2008-08-31;.2;23.1;75.6;2.6;
2008-09-01;0;23.7;74.4;3.8;
2008-09-02;6;22.5;85;3;
2008-09-03;7;23.3;81.5;1.8;
2008-09-04;.2;22.9;79.8;1.9;
2008-09-05;0;23.8;67.7;2.1;
2008-09-06;0;22.8;79.1;1.9;
2008-09-07;.2;23.7;82.1;1.6;
2008-09-08;0;24.6;76.4;2.5;
2008-09-09;0;24.6;68;2.5;
2008-09-10;0;24.8;67.8;2.6;
2008-09-11;0;24.8;70.9;2.7;
2008-09-12;0;23.2;81.5;1.8;
2008-09-13;.4;22.8;85;1.1;
2008-09-14;0;24.2;83;1.7;
2008-09-15;0;24.9;77.4;1.9;
2008-09-16;0;24.7;77;1.8;
2008-09-17;0;24.2;76.7;1.9;
2008-09-18;0;23.3;80.9;1.5;
2008-09-19;2.6;22.4;89.2;2.6;
2008-09-20;22.4;23.3;81.4;3;
2008-09-21;11.2;22.6;83.1;1.9;
2008-09-22;0;24.1;79;2.2;
2008-09-23;.2;25.6;78.5;3.5;
2008-09-24;0;25.7;78;2;
2008-09-25;88.8;22.2;92.9;2.2;
2008-09-26;19.6;23.5;80.6;2.8;
2008-09-27;7;23.1;85.1;1.6;
2008-09-28;0;23.9;84.5;1.4;
2008-09-29;0;25.6;78.2;2;
2008-09-30;0;25.1;82.2;2.5;
2008-10-01;0;25.4;82;1.8;
2008-10-02;0;25.6;76.8;2.1;
2008-10-03;1.4;25.8;78.7;2.1;
2008-10-04;0;25.9;76.2;2.4;
2008-10-05;0;25.2;78.1;2.1;
2008-10-06;0;25.6;75.5;2.6;
2008-10-07;0;25.4;74.5;2.9;
2008-10-08;4.4;24.2;77.3;2.6;
2008-10-09;3.2;23.7;81.7;2.8;
2008-10-10;0;24.4;75.9;2.9;
2008-10-11;7.4;24.6;77.5;3.2;
2008-10-12;0;25.3;72.5;3;
2008-10-13;.4;25;76.5;2.9;
2008-10-14;2;25;75.3;2.7;
2008-10-15;0;25.5;74.2;2.5;
2008-10-16;.2;24.8;79.9;1.8;
2008-10-17;0;25.3;76.3;2.3;
2008-10-18;0;25;75.9;2;
2008-10-19;0;26.4;74.3;2.6;
2008-10-20;0;26.3;73.8;2.6;
2008-10-21;0;25.7;76.2;3;
2008-10-22;2.6;26.1;72.3;3;
2008-10-23;0;25.8;73.5;3;
2008-10-24;.4;25.5;74.4;2.3;
2008-10-25;0;25.5;73.5;2;
2008-10-26;0;25.9;72.5;2.4;
2008-10-27;0;25.6;73.6;2.4;
2008-10-28;0;26.1;72.8;2.9;
2008-10-29;0;25.6;74.8;1.9;
2008-10-30;.2;26.6;74.4;2.6;
2008-10-31;0;26.8;74;3.1;
2008-11-01;1.2;26.2;72.8;2.3;
2008-11-02;0;25.6;72.2;2.1;
2008-11-03;0;26;74.6;2.3;
2008-11-04;0;26.9;76.2;3;
2008-11-05;0;27.1;75.7;3;
2008-11-06;0;27;73.2;3.3;
2008-11-07;0;26.8;73.3;3.1;
2008-11-08;0;27.1;72.9;3.2;
2008-11-09;0;26.9;73.3;3.3;
2008-11-10;0;26.8;74;3.4;
2008-11-11;.2;26.5;75.8;2.7;
2008-11-12;2.2;26.3;76.3;2.8;
2008-11-13;0;26.8;73.3;2.9;
2008-11-14;4.8;26.8;77;3.5;
2008-11-15;0;27;73.6;3.3;
2008-11-16;.4;26.6;72.8;3.2;
2008-11-17;0;26.2;73.6;1.8;
