Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2015-08-19
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-19;null;null;null;null;
2015-08-20;null;null;null;null;
2015-08-21;null;27.5;48.8;3;
2015-08-22;0;27;49;3.9;
2015-08-23;0;26.3;48.8;3.8;
2015-08-24;0;26.5;44.5;3;
2015-08-25;0;27;45.8;2.7;
2015-08-26;0;28.2;48.2;3;
2015-08-27;0;28;49.5;3.4;
2015-08-28;0;27.4;44.5;4;
2015-08-29;0;27;44.5;3.4;
2015-08-30;0;26.6;48.5;4;
2015-08-31;0;25.8;47.2;4;
2015-09-01;0;26.2;50.4;3;
2015-09-02;0;27;42.6;2.9;
2015-09-03;0;26.9;46.8;3.3;
2015-09-04;0;27.6;46.7;3;
2015-09-05;0;28.7;39.7;2.5;
2015-09-06;0;29.2;35.3;3.5;
2015-09-07;0;27.5;41.5;3.6;
2015-09-08;0;27.6;39.6;3.3;
2015-09-09;0;28.4;44;3.9;
2015-09-10;0;27.7;45.9;4.1;
2015-09-11;0;27.4;42.3;2.8;
2015-09-12;0;28.5;42.2;2.8;
2015-09-13;0;28.6;43.5;3.4;
2015-09-14;0;27.3;45.5;3.3;
2015-09-15;0;27.4;51.5;4.5;
2015-09-16;0;25.8;53.5;4.3;
2015-09-17;0;26.4;54.1;4.2;
2015-09-18;0;25.9;56.8;3.6;
2015-09-19;0;27.7;48;3.2;
2015-09-20;0;28.3;45.4;3.7;
2015-09-21;0;27.4;45.6;4;
2015-09-22;0;27.6;44.5;3.8;
2015-09-23;0;28.4;43.3;4;
2015-09-24;0;28.2;41.9;4.2;
2015-09-25;0;28.4;44.8;3.4;
2015-09-26;0;29.1;43.3;3;
2015-09-27;0;27.4;49.7;3.6;
2015-09-28;0;28.3;44;2.8;
2015-09-29;0;28.7;40.3;3.5;
2015-09-30;0;28.3;44;4.4;
2015-10-01;0;28.3;44.8;4.2;
2015-10-02;0;27.7;41.8;3.3;
2015-10-03;0;28.4;43.6;3;
2015-10-04;0;29.4;42.8;3;
2015-10-05;0;30.7;40.2;2.9;
2015-10-06;0;30.1;43.1;3.1;
2015-10-07;0;29.1;43.3;4.5;
2015-10-08;0;26.3;56.5;4.4;
2015-10-09;0;26.5;56.5;3.6;
2015-10-10;0;27.8;46.2;3.8;
2015-10-11;0;27.4;45.1;4.5;
2015-10-12;0;26.9;46.3;3.8;
2015-10-13;0;28.3;42.3;4.1;
2015-10-14;0;27.9;50.7;4.6;
2015-10-15;0;27.8;49.7;4.6;
2015-10-16;0;27.8;47.5;4.2;
2015-10-17;0;28.3;43.6;3.8;
2015-10-18;0;28.3;38.9;2.9;
2015-10-19;0;28.3;47;3.5;
2015-10-20;0;28.5;45.4;3.1;
2015-10-21;0;29.4;40.6;2.8;
2015-10-22;0;30.7;38.8;3.1;
2015-10-23;0;30.6;40.3;3.1;
2015-10-24;0;30.5;39.3;3.5;
2015-10-25;0;29.6;43.5;4.1;
2015-10-26;0;28.8;41.8;4.1;
2015-10-27;0;29.1;39;4.2;
2015-10-28;0;29.4;36.3;3.1;
2015-10-29;0;30;39.9;2.8;
2015-10-30;0;30.4;42.5;3.5;
2015-10-31;0;28.3;46.8;3.1;
2015-11-01;0;28.3;46.7;3.5;
2015-11-02;0;28.6;41.9;4.4;
2015-11-03;0;29;44.1;4.7;
2015-11-04;0;28.5;43.2;3.7;
2015-11-05;0;29.5;40.2;2.9;
2015-11-06;0;31;37.9;2.7;
2015-11-07;0;31;38.8;3.1;
2015-11-08;0;29;42.8;4.2;
2015-11-09;0;28.7;41.6;3.5;
2015-11-10;0;28.5;46.8;3.5;
2015-11-11;0;28.4;40.6;4;
2015-11-12;0;29.2;40;3.2;
2015-11-13;0;31.3;31.2;2.6;
2015-11-14;0;32.2;33.5;3.4;
2015-11-15;0;32.2;29.3;3.3;
2015-11-16;0;32.5;32.8;2.9;
2015-11-17;0;31.3;34.9;3.7;
2015-11-18;0;31;36.4;3.4;
2015-11-19;0;30.4;41.6;2.7;
2015-11-20;0;30.8;40.8;2.5;
2015-11-21;0;31.4;33.3;2.6;
2015-11-22;0;31.2;40.5;2.6;
2015-11-23;0;31.5;38.3;2.6;
2015-11-24;0;31.4;37.1;2.6;
2015-11-25;0;32.1;36.5;2.4;
2015-11-26;0;32.4;34.5;2.3;
2015-11-27;0;32.2;34.5;2.7;
2015-11-28;0;31.6;41;3.3;
2015-11-29;0;31.6;36;3.6;
2015-11-30;0;31.3;34.3;4.1;
2015-12-01;0;31;36.5;4.2;
2015-12-02;0;30.3;40.2;3.9;
2015-12-03;0;31.2;37.3;3;
2015-12-04;0;32.1;32.2;2.6;
2015-12-05;0;32.6;29.2;2.8;
2015-12-06;4.6;31.8;42.9;2.1;
2015-12-07;0;32.3;37.6;2.7;
2015-12-08;0;31.7;32.6;3.6;
2015-12-09;0;30.5;38.3;4;
2015-12-10;0;30.1;40.9;3.7;
2015-12-11;0;31.1;38.3;3.1;
2015-12-12;0;31.4;36.4;3.4;
2015-12-13;0;31.2;39;4;
2015-12-14;0;29.9;42.3;4.8;
2015-12-15;0;29.5;42.7;4.2;
2015-12-16;0;30.2;38.8;3.4;
2015-12-17;0;30.5;41.1;3.8;
2015-12-18;0;30;42;3.8;
2015-12-19;0;28.8;51.9;3.7;
2015-12-20;0;29.1;44;3.7;
2015-12-21;0;28.3;47.6;4;
2015-12-22;0;29.4;43.7;4;
2015-12-23;0;28.9;45.8;4;
2015-12-24;0;28.2;48.6;4.8;
2015-12-25;.2;28;51;4.1;
2015-12-26;0;29.9;45.1;4.5;
2015-12-27;0;28.9;45.2;4.5;
2015-12-28;0;29.1;46.6;3.2;
2015-12-29;0;27;61.6;3.5;
2015-12-30;.2;27.5;59.3;2.8;
2015-12-31;0;29.4;47;3.8;
2016-01-01;0;30.2;44.8;2.9;
2016-01-02;0;31;42.3;2.2;
2016-01-03;0;32.1;38.4;2.4;
2016-01-04;0;31.4;42.6;2.2;
2016-01-05;0;28.4;58.5;2.9;
2016-01-06;0;26.7;67.2;2.8;
2016-01-07;24.8;26;73.7;2;
2016-01-08;28.8;24.1;83.8;2;
2016-01-09;.6;26.6;71.5;1.9;
2016-01-10;.6;28.5;55.3;3.4;
2016-01-11;0;28.4;54;2.6;
2016-01-12;0;29.7;52.1;3.4;
2016-01-13;0;29.2;55.3;2.8;
2016-01-14;2.2;25.6;74.9;2.2;
2016-01-15;.4;27.7;66.3;1.4;
2016-01-16;0;29.3;57.6;2.7;
2016-01-17;0;24.7;82.8;2.1;
2016-01-18;87.2;25.6;78.5;1.5;
2016-01-19;6.6;26.2;73.5;2.5;
2016-01-20;.8;24.9;82.6;1.6;
2016-01-21;80.8;23.9;87.4;2.2;
2016-01-22;37.4;22.8;91.6;1.6;
2016-01-23;20.2;26.1;74.9;1.7;
2016-01-24;0;25.9;75.9;2.1;
2016-01-25;0;26.7;74.9;1.7;
2016-01-26;0;27.4;70.8;1.8;
2016-01-27;1.8;27.4;67.4;2.2;
2016-01-28;4;26.2;72.7;2;
2016-01-29;0;26.8;62.4;3.2;
2016-01-30;0;25.4;66;3.2;
2016-01-31;1;25.5;66.9;2.4;
2016-02-01;13.4;25.1;77.4;2.2;
2016-02-02;5.2;24.6;76.3;2;
2016-02-03;.2;25.9;72;2.3;
2016-02-04;0;26.1;68.7;2.5;
2016-02-05;0;27.2;62.2;3;
2016-02-06;0;26.8;60.5;2.9;
2016-02-07;0;26.8;59.6;2.9;
2016-02-08;0;26.8;55.1;3.2;
2016-02-09;0;26.5;58.3;2.4;
2016-02-10;0;27.3;62.7;2.4;
2016-02-11;0;28.1;61.8;2.2;
2016-02-12;0;28.7;56.9;1.8;
2016-02-13;0;28.9;55.8;2;
2016-02-14;1.2;26.2;72.3;1.8;
2016-02-15;8.2;26.5;67.3;2;
2016-02-16;12.8;26.1;72.8;2.9;
2016-02-17;0;26.7;60.3;3.1;
2016-02-18;0;26.8;62.1;2.2;
2016-02-19;0;27.1;65;2.7;
2016-02-20;0;27.5;61.4;2.7;
2016-02-21;0;27.3;57;3.3;
2016-02-22;0;27.7;55;3.4;
2016-02-23;0;27.6;55;2.9;
2016-02-24;0;28.7;52.8;2.9;
2016-02-25;0;28.4;54.8;3;
2016-02-26;0;28.2;56.9;2.6;
2016-02-27;0;28.8;53.1;3;
2016-02-28;0;28.7;53.3;2.9;
2016-02-29;0;29.5;49.4;3;
2016-03-01;0;29.4;45.8;3.7;
2016-03-02;0;28.5;48.8;3.7;
2016-03-03;0;28.7;54.2;2.3;
2016-03-04;0;29.8;51.1;3.3;
2016-03-05;0;29.9;53;3.4;
2016-03-06;0;29.6;50.1;3.3;
2016-03-07;0;28.9;50.2;3;
2016-03-08;0;28.7;51.8;2.6;
2016-03-09;0;29.4;50;2.4;
2016-03-10;0;29.3;48.5;2.6;
2016-03-11;0;29.7;48.9;2.4;
2016-03-12;0;30.3;49.7;2.2;
2016-03-13;0;30.1;43.9;3.1;
2016-03-14;0;28.8;49;3.6;
2016-03-15;0;29.1;46.8;2.9;
2016-03-16;0;29.4;46.8;3.2;
2016-03-17;0;29.3;48.8;3.3;
2016-03-18;0;29.1;53.8;2.8;
2016-03-19;0;29.2;54.3;3.3;
2016-03-20;18.6;28.9;58.5;2.5;
2016-03-21;0;28.5;55.5;2.3;
2016-03-22;0;29.5;50.5;2.4;
2016-03-23;0;30.5;51.6;2.5;
2016-03-24;0;30.3;51.9;2.8;
2016-03-25;0;29.4;47.5;3;
2016-03-26;0;29.5;48.6;2.9;
2016-03-27;0;29.8;48.9;3.6;
2016-03-28;0;29.1;47.3;3.4;
2016-03-29;0;29.5;47.9;2.9;
2016-03-30;1.4;27.6;66;2.7;
2016-03-31;.2;28.7;50.7;3.6;
2016-04-01;0;28.5;51.7;3.3;
2016-04-02;0;28.1;51.9;2.5;
2016-04-03;0;28.7;48.1;2.6;
2016-04-04;0;28.8;49.5;2.5;
2016-04-05;0;26.7;67.1;3.1;
2016-04-06;2;27.8;61.9;2.4;
2016-04-07;0;28.5;53.9;2.7;
2016-04-08;0;29.3;51.4;2.6;
2016-04-09;0;30.3;46.3;2.9;
2016-04-10;0;29.4;48.8;3.4;
2016-04-11;0;29.8;50.2;3.6;
2016-04-12;0;29.1;50.3;4.2;
2016-04-13;0;28.2;50;3.9;
2016-04-14;0;26.5;66.8;2.9;
2016-04-15;10.4;27.9;56.9;3.3;
2016-04-16;0;27.9;53.3;3.8;
2016-04-17;0;28.2;52;3.8;
2016-04-18;0;27.2;61;4.1;
2016-04-19;0;27.8;51.7;3.3;
2016-04-20;0;28;49.9;3.5;
2016-04-21;0;27.8;53.9;3.3;
2016-04-22;0;28.4;52.2;2.9;
2016-04-23;0;29;49;3.3;
2016-04-24;0;28.3;48;3;
2016-04-25;0;28.4;51.2;2.9;
2016-04-26;0;29;47.6;2.7;
2016-04-27;0;30.2;47.3;2.9;
2016-04-28;0;30.5;46.6;3.2;
2016-04-29;0;29.6;46.1;3.2;
2016-04-30;0;29;49.7;3.2;
2016-05-01;0;29.3;42.8;2.5;
2016-05-02;0;29.4;45.3;3.2;
2016-05-03;0;27.4;57.2;3.2;
2016-05-04;0;27.9;51.8;3.3;
2016-05-05;0;27.4;46.8;2.6;
2016-05-06;0;28.1;46.5;3.5;
2016-05-07;0;28;48.6;3.5;
2016-05-08;0;27.5;46.5;3.5;
2016-05-09;0;27.2;50.3;3.3;
2016-05-10;0;26.4;58.6;2.9;
2016-05-11;0;28.3;57.3;2.7;
2016-05-12;0;28.4;53.7;2.9;
2016-05-13;0;27.9;48.6;2.3;
2016-05-14;0;28.2;43;2.8;
2016-05-15;0;27.5;55.3;3.5;
2016-05-16;0;27;60.9;3.2;
2016-05-17;0;28.5;52;2.7;
2016-05-18;0;29.2;47.9;2.8;
2016-05-19;0;28.5;47.2;3.3;
2016-05-20;0;26.7;47.9;3.6;
2016-05-21;0;27.3;50.7;2.8;
2016-05-22;0;27.7;45;2.8;
2016-05-23;0;27.4;53.4;2.5;
2016-05-24;0;27.6;64.1;3.3;
2016-05-25;9.8;23.3;85.8;3.1;
2016-05-26;12.6;23.9;78;2.8;
2016-05-27;1.8;24.3;72.5;2.9;
2016-05-28;0;26.2;60.8;2.8;
2016-05-29;0;26;65.4;2.7;
2016-05-30;.2;24.8;74.2;2.7;
2016-05-31;.4;26;65.3;2.7;
2016-06-01;0;26.4;59.2;2.4;
2016-06-02;0;26.5;56.7;2.1;
2016-06-03;0;27.6;54.9;2;
2016-06-04;0;29.3;48.9;2.7;
2016-06-05;0;28.5;57.1;2.7;
2016-06-06;0;27.7;53.3;2.6;
2016-06-07;0;27.3;56.3;2;
2016-06-08;0;27.9;48.9;1.9;
2016-06-09;0;28;49.4;2.2;
2016-06-10;0;27.1;51.4;2.7;
2016-06-11;0;26.7;51.3;2;
2016-06-12;0;26.6;48.8;2.4;
2016-06-13;0;26.6;48.5;3.2;
2016-06-14;0;25.7;51.1;4.2;
2016-06-15;0;24.3;61.4;3.7;
2016-06-16;0;24.1;66.1;4;
2016-06-17;0;24.1;64.8;3.6;
2016-06-18;0;25.2;60.7;3.3;
2016-06-19;0;24.9;66.1;2.9;
2016-06-20;0;24.5;58.3;3;
2016-06-21;0;24.9;56.3;3.7;
2016-06-22;0;24.4;66;4.2;
2016-06-23;0;25.6;55.1;3.4;
2016-06-24;0;24.4;59.8;3.2;
2016-06-25;0;24.5;63.4;4;
2016-06-26;.8;24.5;64.4;4.4;
2016-06-27;1.6;23.6;63;3.8;
2016-06-28;0;24.1;60;4;
2016-06-29;0;24.6;55.4;3.6;
2016-06-30;0;24.5;56;3.6;
2016-07-01;0;24.3;64;3.6;
2016-07-02;0;23.7;69.8;3.6;
2016-07-03;2.6;24.8;59.9;4.1;
2016-07-04;.2;24.9;59.4;3.9;
2016-07-05;0;24.7;61.6;4.1;
2016-07-06;0;24.6;60.5;2.8;
2016-07-07;0;26.4;53.8;3;
2016-07-08;0;26.5;56.5;2.5;
2016-07-09;0;26;51.4;3.4;
2016-07-10;0;25;60.1;3.6;
2016-07-11;0;24;64.1;2.8;
2016-07-12;0;25;56.8;2.4;
2016-07-13;0;25.9;52.8;2.4;
2016-07-14;0;26.1;52;3.3;
2016-07-15;0;25.6;52.9;3.1;
2016-07-16;0;25;53.6;2.5;
2016-07-17;0;26.1;48.6;1.8;
