Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Fechada
Data Inicial: 2016-05-27
Data Final: 2022-09-12
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-27;null;null;null;null;
2016-05-28;null;25.7;null;2.6;
2016-05-29;0;27.2;null;2.8;
2016-05-30;0;27;null;3;
2016-05-31;0;27.5;null;2.3;
2016-06-01;null;null;null;2.8;
2016-06-02;0;25.9;59.3;1.6;
2016-06-03;0;null;51.5;1.9;
2016-06-04;null;27.5;null;1.8;
2016-06-05;0;28.2;54.1;2.2;
2016-06-06;0;28.8;null;2;
2016-06-07;null;null;null;2.2;
2016-06-08;0;28.7;null;1.6;
2016-06-09;7.6;28.8;null;2.5;
2016-06-10;0;26.7;56.4;1.7;
2016-06-11;0;26.3;62.1;1.7;
2016-06-12;0;27.1;57.7;1.6;
2016-06-13;0;27.7;null;2.7;
2016-06-14;null;null;49.8;null;
2016-06-15;0;25.4;55.7;4.8;
2016-06-16;null;null;null;3.3;
2016-06-17;0;25.9;50.9;3.5;
2016-06-18;0;26.3;54.5;3.2;
2016-06-19;0;26;62.4;2.6;
2016-06-20;0;26.2;48.9;3.3;
2016-06-21;null;null;51.6;null;
2016-06-22;0;25.4;57;3.8;
2016-06-23;0;25.4;55.2;3.2;
2016-06-24;null;null;null;null;
2016-06-25;null;null;null;null;
2016-06-26;null;null;null;null;
2016-06-27;null;null;null;null;
2016-06-28;null;null;null;null;
2016-06-29;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-01;null;null;null;null;
2016-07-02;null;null;null;null;
2016-07-03;null;null;null;null;
2016-07-04;null;null;null;null;
2016-07-05;null;null;null;null;
2016-07-06;null;null;null;null;
2016-07-07;null;null;null;null;
2016-07-08;null;null;null;null;
2016-07-09;null;null;null;null;
2016-07-10;null;null;null;null;
2016-07-11;null;null;null;null;
2016-07-12;null;null;null;null;
2016-07-13;null;null;null;null;
2016-07-14;null;null;null;null;
2016-07-15;null;null;null;null;
2016-07-16;null;null;null;null;
2016-07-17;null;null;null;null;
2016-07-18;null;null;null;null;
2016-07-19;null;null;null;null;
2016-07-20;null;null;null;null;
2016-07-21;null;null;null;null;
2016-07-22;null;null;null;null;
2016-07-23;null;null;null;null;
2016-07-24;null;null;null;null;
2016-07-25;null;null;null;null;
2016-07-26;null;null;null;null;
2016-07-27;null;null;null;null;
2016-07-28;null;null;null;null;
2016-07-29;null;null;null;null;
2016-07-30;null;null;null;null;
2016-07-31;null;null;null;null;
2016-08-01;null;null;null;null;
2016-08-02;null;null;null;null;
2016-08-03;null;null;null;null;
2016-08-04;null;null;null;null;
2016-08-05;null;null;null;null;
2016-08-06;null;null;null;null;
2016-08-07;null;null;null;null;
2016-08-08;null;null;null;null;
2016-08-09;null;null;null;null;
2016-08-10;null;null;null;null;
2016-08-11;null;null;null;null;
2016-08-12;null;null;null;null;
2016-08-13;null;null;null;null;
2016-08-14;null;null;null;null;
2016-08-15;null;null;null;null;
2016-08-16;null;null;null;null;
2016-08-17;null;null;null;null;
2016-08-18;null;null;null;null;
2016-08-19;null;null;null;null;
2016-08-20;null;null;null;null;
2016-08-21;null;null;null;null;
2016-08-22;null;null;null;null;
2016-08-23;null;null;null;null;
2016-08-24;null;null;null;null;
2016-08-25;null;null;null;null;
2016-08-26;null;null;null;null;
2016-08-27;null;null;null;null;
2016-08-28;null;null;null;null;
2016-08-29;null;null;null;null;
2016-08-30;null;null;null;null;
2016-08-31;null;null;null;null;
2016-09-01;null;null;null;null;
2016-09-02;null;null;null;null;
2016-09-03;null;null;null;null;
2016-09-04;null;null;null;null;
2016-09-05;null;null;null;null;
2016-09-06;null;null;null;null;
2016-09-07;null;null;null;null;
2016-09-08;null;null;null;null;
2016-09-09;null;null;null;null;
2016-09-10;null;null;null;null;
2016-09-11;null;null;null;null;
2016-09-12;null;null;null;null;
2016-09-13;null;null;null;null;
2016-09-14;0;28.2;39.6;3.6;
2016-09-15;0;28.4;45.7;2.6;
2016-09-16;0;29.3;40.7;2.7;
2016-09-17;0;29.3;46.3;3.5;
2016-09-18;0;28.3;45.3;3.8;
2016-09-19;0;27.4;47.2;2.9;
2016-09-20;0;28;38;2.5;
2016-09-21;0;29.6;35.9;2.5;
2016-09-22;0;29.4;42.5;3.5;
2016-09-23;0;28.3;48.6;4.1;
2016-09-24;0;28.7;52.7;3.2;
2016-09-25;0;29.3;49.3;2.6;
2016-09-26;0;28.7;53.4;3.1;
2016-09-27;6.4;25.5;74;3.5;
2016-09-28;1;26.5;63.8;3.3;
2016-09-29;.2;27.2;59.6;3.3;
2016-09-30;2;27.8;60.4;2.9;
2016-10-01;0;28.9;54.4;3.3;
2016-10-02;null;null;null;3.9;
2016-10-03;0;28.8;45.5;3.5;
2016-10-04;0;29.2;48.5;2.5;
2016-10-05;0;30.3;34;2.2;
2016-10-06;0;28;57.7;2.2;
2016-10-07;1.8;25.9;76.6;2.1;
2016-10-08;2.6;null;74.4;2.1;
2016-10-09;null;null;null;null;
2016-10-10;null;null;56.3;null;
2016-10-11;null;null;52.5;null;
2016-10-12;null;null;52.8;null;
2016-10-13;null;null;53;null;
2016-10-14;null;null;46.9;4.4;
2016-10-15;null;null;45.9;3.8;
2016-10-16;null;28.9;42.3;3.5;
2016-10-17;null;null;43.1;2.9;
2016-10-18;null;null;45.4;3.2;
2016-10-19;null;null;44.1;null;
2016-10-20;null;30.4;42.9;2.7;
2016-10-21;0;29.9;46;3.2;
2016-10-22;0;29.6;49.2;2.9;
2016-10-23;0;29.7;44.6;4;
2016-10-24;0;29.6;42.3;3.6;
2016-10-25;0;30.1;46.5;3.4;
2016-10-26;0;30.2;44.3;3.1;
2016-10-27;0;29.7;40.4;3.1;
2016-10-28;0;30.5;39.8;2.6;
2016-10-29;0;32;38.2;3;
2016-10-30;0;30;44;3.8;
2016-10-31;0;30.2;47.1;3.7;
2016-11-01;0;30.4;41;4.2;
2016-11-02;0;30.1;40.6;4.7;
2016-11-03;0;29.6;41.9;4.3;
2016-11-04;0;29.8;41.5;3.8;
2016-11-05;0;29.8;49.6;5;
2016-11-06;0;29.5;44.9;4.2;
2016-11-07;0;29.3;43.5;3.5;
2016-11-08;0;29.7;44.3;3.1;
2016-11-09;0;30.1;43.3;3.6;
2016-11-10;.6;29.5;47.7;2.9;
2016-11-11;0;28.6;54.8;2.8;
2016-11-12;.4;null;62.2;2.5;
2016-11-13;null;null;76.6;2.6;
2016-11-14;31.4;26.1;74.6;2.2;
2016-11-15;25.2;25.7;77.8;3.1;
2016-11-16;.2;24.6;83.4;1.6;
2016-11-17;null;null;73.6;2.3;
2016-11-18;0;29.3;60.7;2.9;
2016-11-19;0;27.1;68.5;2.1;
2016-11-20;45.4;22.6;95.5;1.5;
