Nome: ITABAIANA
Codigo Estacao: A451
Latitude: -10.67166666
Longitude: -37.47138888
Altitude: 213
Situacao: Pane
Data Inicial: 2017-04-23
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-04-23;null;null;null;null;
2017-04-24;null;null;null;null;
2017-04-25;null;null;67.4;null;
2017-04-26;0;25.5;78.6;2.6;
2017-04-27;4;25.1;85.1;2.4;
2017-04-28;.2;25.7;81;2.6;
2017-04-29;6.6;24.3;89.6;3;
2017-04-30;7.4;23.3;90.7;2.2;
2017-05-01;2.6;23.7;82.4;2.5;
2017-05-02;5.4;24.1;85.7;2.4;
2017-05-03;.2;23.6;90;2.1;
2017-05-04;62.8;24.5;87.2;2.5;
2017-05-05;4.6;24.8;82.6;2.2;
2017-05-06;0;24.6;80.9;2.2;
2017-05-07;0;24;83.9;1.7;
2017-05-08;0;24.1;82.5;1.8;
2017-05-09;0;24;86.4;1.9;
2017-05-10;6.8;24.7;86.4;2;
2017-05-11;.2;24.7;77.7;2.2;
2017-05-12;0;24.1;79.6;2.2;
2017-05-13;0;23.7;88.5;1.9;
2017-05-14;3.2;24.4;87.5;1.4;
2017-05-15;0;26.3;80.5;2;
2017-05-16;0;26.9;78.8;1.9;
2017-05-17;0;26.4;81.4;2.8;
2017-05-18;0;23.6;92.5;1.6;
2017-05-19;8.2;23.1;95.4;1.9;
2017-05-20;74.6;24.1;90.7;2.2;
2017-05-21;4.2;25.1;84.2;3.3;
2017-05-22;0;24.7;85.1;2.8;
2017-05-23;40.8;22.6;96.7;1.5;
2017-05-24;60.4;24.2;88.2;2.7;
2017-05-25;.6;24.2;84.3;3;
2017-05-26;.6;24.1;85.9;3.1;
2017-05-27;27.6;22.8;95.5;1.9;
2017-05-28;29.2;23.5;85.7;2.7;
2017-05-29;.8;23.2;83.5;2.1;
2017-05-30;0;22.5;90.2;1.9;
2017-05-31;3.4;22.9;93.3;1.8;
2017-06-01;1;null;93.3;1.4;
2017-06-02;null;24.1;92.4;1.5;
2017-06-03;2;24.5;87;2.2;
2017-06-04;0;23.7;86.5;2.7;
2017-06-05;.2;23.5;83.2;2.4;
2017-06-06;1.6;23.5;86.8;2.4;
2017-06-07;18.4;23.8;86.8;2.7;
2017-06-08;0;22.9;91.9;1.8;
2017-06-09;1.4;23.8;88;1.6;
2017-06-10;.2;24.4;86.6;1.8;
2017-06-11;0;23.2;91.3;2;
2017-06-12;10.2;23.6;85.9;2.2;
2017-06-13;9;23.6;88.7;3.2;
2017-06-14;3.6;23.2;84.8;2.2;
2017-06-15;0;22.5;86.6;2.3;
2017-06-16;8.4;22.5;92.5;2.3;
2017-06-17;9;22.3;89.8;2.3;
2017-06-18;10.2;22;95.5;2.6;
2017-06-19;15.8;22.7;84.3;2.3;
2017-06-20;6.2;21.9;94.9;2.4;
2017-06-21;12;22.7;87;2.7;
2017-06-22;0;22.4;88.7;2.6;
2017-06-23;6.8;22.1;93.3;2.7;
2017-06-24;6.6;22.2;90;2.4;
2017-06-25;1.2;21.9;91.1;2.1;
2017-06-26;1.8;21.7;90.5;2.6;
2017-06-27;3.6;21.9;88;2.5;
2017-06-28;.2;22.3;83.3;2.6;
2017-06-29;5.2;20.9;96;2.2;
2017-06-30;21;21.6;95.8;2.4;
2017-07-01;11.4;22.3;89.5;2.2;
2017-07-02;0;22;91.8;2.4;
2017-07-03;2;21.5;89.2;3.2;
2017-07-04;6.4;20.9;90.3;3.9;
2017-07-05;6.8;20.9;89.8;3.6;
2017-07-06;.4;21.4;86.6;3;
2017-07-07;1.4;21.5;87.7;3.3;
2017-07-08;.6;20.3;93.1;2.9;
2017-07-09;11;21.6;82.2;2.6;
2017-07-10;.2;22.3;85.1;2.6;
2017-07-11;11.4;22.5;83.3;3.7;
