Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-04-06;null;null;null;null;
2016-04-07;null;null;null;null;
2016-04-08;null;null;null;null;
2016-04-09;null;null;null;null;
2016-04-10;null;null;null;null;
2016-04-11;null;null;null;null;
2016-04-12;null;null;null;null;
2016-04-13;null;null;null;null;
2016-04-14;null;null;null;null;
2016-04-15;null;null;null;null;
2016-04-16;null;null;null;null;
2016-04-17;null;null;null;null;
2016-04-18;null;null;null;null;
2016-04-19;null;null;null;null;
2016-04-20;null;null;null;null;
2016-04-21;null;null;null;null;
2016-04-22;null;null;null;null;
2016-04-23;null;null;null;null;
2016-04-24;null;null;null;null;
2016-04-25;null;null;null;null;
2016-04-26;null;null;null;null;
2016-04-27;null;null;null;null;
2016-04-28;null;null;null;null;
2016-04-29;null;null;null;null;
2016-04-30;null;null;null;null;
2016-05-01;null;null;null;null;
2016-05-02;null;null;null;null;
2016-05-03;null;null;null;null;
2016-05-04;null;null;null;null;
2016-05-05;null;null;null;null;
2016-05-06;null;null;null;null;
2016-05-07;null;null;null;null;
2016-05-08;null;null;null;null;
2016-05-09;null;null;null;null;
2016-05-10;null;null;null;null;
2016-05-11;null;null;null;null;
2016-05-12;null;null;null;null;
2016-05-13;null;null;null;null;
2016-05-14;null;null;null;null;
2016-05-15;null;null;null;null;
2016-05-16;null;null;null;null;
2016-05-17;null;null;null;null;
2016-05-18;null;null;null;null;
2016-05-19;null;null;null;null;
2016-05-20;null;null;null;null;
2016-05-21;null;null;null;null;
2016-05-22;null;null;null;null;
2016-05-23;null;null;null;null;
2016-05-24;null;null;null;null;
2016-05-25;null;null;null;null;
2016-05-26;null;null;null;null;
2016-05-27;null;null;null;null;
2016-05-28;null;null;null;null;
2016-05-29;null;null;null;null;
2016-05-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-01;null;null;null;null;
2016-06-02;null;null;null;null;
2016-06-03;null;null;27.1;null;
2016-06-04;0;25.8;38.6;1.5;
2016-06-05;0;26.6;39.3;2;
2016-06-06;0;27.1;45.8;1.7;
2016-06-07;0;27.3;44.3;2;
2016-06-08;0;28.3;40.2;2;
2016-06-09;0;27.6;42.9;1.7;
2016-06-10;0;27.6;49.4;1.4;
2016-06-11;0;26.7;53.2;2.1;
2016-06-12;0;26.3;57.5;1.9;
2016-06-13;0;24.6;66;1.8;
2016-06-14;13;22.3;64;4.6;
2016-06-15;0;22.8;56.5;3.4;
2016-06-16;0;23.7;50.1;2.4;
2016-06-17;0;24.1;45.3;2.4;
2016-06-18;0;23.5;53.2;1.8;
2016-06-19;0;24.2;58.8;2.1;
2016-06-20;0;23.4;58.3;2.1;
2016-06-21;0;23.5;51.8;2;
2016-06-22;0;23;48.4;2.7;
2016-06-23;0;23;56.3;1.9;
2016-06-24;0;23;49.5;2.5;
2016-06-25;0;21.8;57.2;3;
2016-06-26;0;22.5;60.3;5.1;
2016-06-27;0;22.7;53;3.9;
2016-06-28;0;22.9;61.6;3.5;
2016-06-29;.2;22.3;63.7;2.8;
2016-06-30;0;23.5;56.8;2.7;
2016-07-01;0;24.1;50.7;3.2;
2016-07-02;0;21.9;58.2;2.6;
2016-07-03;0;22.7;56.2;3.2;
2016-07-04;0;23.9;56.9;2.9;
2016-07-05;0;24;58.5;3.4;
2016-07-06;0;23.4;57.2;1.8;
2016-07-07;0;23.2;47.8;2.1;
2016-07-08;0;23.7;42.5;2;
2016-07-09;0;23.2;50.1;2.6;
2016-07-10;0;24.2;55.5;1.9;
2016-07-11;0;23.1;54.3;1.5;
2016-07-12;0;23.1;50;1.6;
2016-07-13;0;23.6;47.3;1.8;
2016-07-14;0;23.5;49.6;1.8;
2016-07-15;0;22.5;48.3;1.6;
2016-07-16;0;22.3;45.5;1.7;
2016-07-17;0;23.5;36.5;2.2;
2016-07-18;0;25;33.9;2.1;
2016-07-19;0;24.9;46.4;2.6;
2016-07-20;0;24.6;52.2;2;
2016-07-21;0;24.8;50.4;1.7;
2016-07-22;0;24.4;49.5;2;
2016-07-23;0;23.5;52.1;2.5;
2016-07-24;0;23.5;56.6;2.8;
2016-07-25;0;23.3;58.4;2.4;
2016-07-26;0;22.5;61.3;2.8;
2016-07-27;0;21.4;55.7;1.9;
2016-07-28;0;22.8;50.1;1.8;
2016-07-29;0;23.3;48.8;2.7;
2016-07-30;0;22.3;47.1;2.9;
2016-07-31;0;22.2;52.8;2.5;
2016-08-01;0;22.8;51.2;2.8;
2016-08-02;0;23.4;56.3;2.3;
2016-08-03;0;24.3;53.8;2.6;
2016-08-04;0;23.7;51.8;3.1;
2016-08-05;0;23.4;51.3;3;
2016-08-06;0;24.2;57.1;2.3;
2016-08-07;0;23.9;51.5;2;
2016-08-08;0;23.6;45.4;2.1;
2016-08-09;0;24.6;42;1.9;
2016-08-10;0;24.8;38.5;1.9;
2016-08-11;0;26;37;2.1;
2016-08-12;0;25.5;46.6;2.2;
2016-08-13;0;25;45.9;1.9;
2016-08-14;0;25.3;48.8;1.9;
2016-08-15;0;26.2;44;1.7;
2016-08-16;0;27.3;40.4;1.6;
2016-08-17;0;28.6;33.1;1.6;
2016-08-18;0;28.1;42.8;2.2;
2016-08-19;0;27.2;47;2.9;
2016-08-20;0;25.5;48.9;1.7;
2016-08-21;0;26.3;42.3;1.6;
2016-08-22;0;27.9;31.8;1.7;
2016-08-23;0;27.4;47.3;3.4;
2016-08-24;0;25;58.1;3.9;
2016-08-25;0;24.3;55.8;3;
2016-08-26;0;24.3;49.2;2.5;
2016-08-27;0;24.6;58.3;3.1;
2016-08-28;0;24.1;52.3;3;
2016-08-29;0;24.2;52;2.5;
2016-08-30;0;25.7;52.9;2.5;
2016-08-31;0;26.4;47.5;2.6;
2016-09-01;0;25.3;45.4;2.2;
2016-09-02;0;24.9;50;2.5;
2016-09-03;0;23.7;53;2.7;
2016-09-04;0;25.2;43.7;2.9;
2016-09-05;0;24.8;52.2;2.8;
2016-09-06;0;25.1;49;2.2;
2016-09-07;0;26.1;45.2;1.8;
2016-09-08;0;25.9;44.2;2.4;
2016-09-09;0;25.2;43;2.6;
2016-09-10;0;25.1;45.8;2.6;
2016-09-11;0;24.6;40.1;2.5;
2016-09-12;0;25.3;38.9;2.2;
2016-09-13;0;26.7;41.3;2.9;
2016-09-14;0;26.9;38.4;2.7;
2016-09-15;0;26.7;40.9;2;
2016-09-16;0;27.2;39.9;2.5;
2016-09-17;0;27;41.5;2.4;
2016-09-18;0;27.2;48.9;2.5;
2016-09-19;0;26.9;42.6;2;
2016-09-20;0;26.8;35.6;1.8;
2016-09-21;0;28.2;32;1.7;
2016-09-22;0;26.6;55.1;2.3;
2016-09-23;0;26.3;54.8;2.8;
2016-09-24;0;26.4;53.3;1.8;
2016-09-25;0;26.7;50.2;2.3;
2016-09-26;0;24.1;71.5;1.9;
2016-09-27;4.6;22.4;85.3;1.9;
2016-09-28;1.4;24.7;70;2.3;
2016-09-29;0;26.9;52.5;2;
2016-09-30;0;27.1;51.4;2.4;
2016-10-01;0;27.3;50.8;2.2;
2016-10-02;0;28;49.6;2.7;
2016-10-03;0;27;55.1;2.9;
2016-10-04;1;26.9;56.2;1.7;
2016-10-05;5;25.5;69.3;2.1;
2016-10-06;.4;24.7;77;1.8;
2016-10-07;4.6;26.7;68;2.1;
2016-10-08;0;25.6;71;2.3;
2016-10-09;27.6;24.6;75.3;2;
2016-10-10;0;27.2;59.7;2.4;
2016-10-11;0;25.7;58.7;2.6;
2016-10-12;0;24.7;62.3;2.7;
2016-10-13;0;25.5;59.5;2.8;
2016-10-14;0;25.9;55.4;2.3;
2016-10-15;0;27;43.2;2.4;
2016-10-16;0;26.5;43.2;2.3;
2016-10-17;0;27;46.8;2.1;
2016-10-18;0;27.5;45.4;1.6;
2016-10-19;0;28.9;47;2;
2016-10-20;1.4;26.7;57.9;1.4;
2016-10-21;.4;28;51.4;1.8;
2016-10-22;0;29.3;44.9;2.6;
2016-10-23;0;28.5;43.4;3.1;
2016-10-24;0;28.2;38.3;2.8;
2016-10-25;0;28;40.6;2.2;
2016-10-26;0;29.3;39.3;2.6;
2016-10-27;0;28.9;41;1.7;
2016-10-28;0;29.8;39.3;1.9;
2016-10-29;0;30;42.5;2.5;
2016-10-30;0;28.8;39.4;3;
2016-10-31;0;28.7;41.1;3.1;
2016-11-01;0;28.4;43.2;2.8;
2016-11-02;0;29;37.8;3.5;
2016-11-03;0;28.5;37;3.8;
2016-11-04;0;28.2;37.9;3.5;
2016-11-05;0;26.9;50.7;3.4;
2016-11-06;0;27.4;46.9;3.6;
2016-11-07;0;27.4;47.5;2.8;
2016-11-08;0;27.2;46.5;3;
2016-11-09;0;27.1;54.8;2.5;
2016-11-10;.2;27;58.5;1.9;
2016-11-11;0;26.8;62.5;1.7;
2016-11-12;.6;26.6;67.8;1.6;
2016-11-13;.2;23.8;82.7;2.2;
2016-11-14;24;24.2;83.3;1.5;
2016-11-15;7.2;24.2;84.1;1.6;
2016-11-16;13;23.6;86.9;1.8;
2016-11-17;1;25.4;79.4;1.3;
2016-11-18;9;25.3;79.4;1.8;
2016-11-19;22.2;24.8;79.3;1.9;
2016-11-20;49.2;21.3;92.3;2;
2016-11-21;10.6;24.2;75.8;2.4;
2016-11-22;.4;26.5;64.4;1.8;
2016-11-23;0;26.9;57.5;1.8;
2016-11-24;0;28.4;54.2;1.7;
2016-11-25;0;28.4;54.7;2.1;
2016-11-26;0;27.7;46.5;2.4;
2016-11-27;0;26.1;52.5;1.6;
2016-11-28;0;27.1;50.7;1.9;
2016-11-29;0;28.2;50.8;1.8;
2016-11-30;0;28.9;46.3;1.7;
