Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Pane
Data Inicial: 2016-05-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-05-27;null;null;null;null;
2016-05-28;null;null;null;null;
2016-05-29;null;null;null;null;
2016-05-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-01;null;null;64.5;null;
2016-06-02;0;25.3;76.3;3.2;
2016-06-03;0;25.8;75.9;3.6;
2016-06-04;0;26.2;74.4;3.4;
2016-06-05;0;26.2;77.1;3.6;
2016-06-06;0;26.3;76.4;3.6;
2016-06-07;0;26.3;75.5;3.4;
2016-06-08;0;25.1;83.5;2.8;
2016-06-09;0;23.6;89.9;2;
2016-06-10;3;20.9;91.5;2.9;
2016-06-11;0;22.5;87.7;2;
2016-06-12;2.8;19.8;93.5;3.2;
2016-06-13;2.2;19.5;88.8;3.6;
2016-06-14;.2;19.7;81.3;2.9;
2016-06-15;1;19.9;78.7;2.7;
2016-06-16;.2;19.1;79;2;
2016-06-17;0;19.5;82.3;1.6;
2016-06-18;0;20.9;77.7;1.4;
2016-06-19;0;20.8;87.1;1.3;
2016-06-20;.2;21.3;80.3;1.3;
2016-06-21;0;21.3;82;1.6;
2016-06-22;0;21.9;83.1;2.3;
2016-06-23;.4;22.2;81.8;1.6;
2016-06-24;0;21.8;81.8;1.8;
2016-06-25;2.4;22;82.8;3.3;
2016-06-26;.2;20.3;82.4;3.3;
2016-06-27;5.8;21.1;83.3;3;
2016-06-28;7.6;22.1;81.6;2.6;
2016-06-29;2.4;22;90.4;1.9;
2016-06-30;11.8;21.7;87.2;1.6;
2016-07-01;.8;21.4;89.6;1.6;
2016-07-02;15.4;22.7;83.6;2.2;
2016-07-03;1;20.4;93.4;2.3;
2016-07-04;39;21.9;89.3;1.8;
2016-07-05;6;20.8;89.7;1.8;
2016-07-06;3.2;20.2;91.6;1.2;
2016-07-07;.2;23.5;82.6;1.9;
2016-07-08;0;21.9;87.2;2.9;
2016-07-09;0;21.2;78.8;2.3;
2016-07-10;0;20.6;77;1.4;
2016-07-11;0;20.8;77.3;2.2;
2016-07-12;0;21.2;75;1.8;
2016-07-13;0;22.4;79.3;2;
2016-07-14;0;21.9;83.1;2.1;
2016-07-15;0;23.1;80.7;2.4;
2016-07-16;0;23.5;76.5;3;
2016-07-17;0;24.4;76.2;4;
2016-07-18;3.2;22;93.3;2.6;
2016-07-19;14.8;20.7;90.3;1.8;
2016-07-20;.2;21.5;86.8;1.1;
2016-07-21;0;21.8;86.8;1.4;
2016-07-22;0;21.3;92.8;1.5;
2016-07-23;16.6;21.7;87;2.7;
2016-07-24;9.8;20.9;93.5;1.4;
2016-07-25;12;20.7;91.1;1.3;
2016-07-26;3.6;20.3;83.9;1.4;
2016-07-27;.2;20;83.7;1.4;
2016-07-28;0;21.6;82.6;1.9;
2016-07-29;1.4;20.8;88.5;2.5;
2016-07-30;1;21.2;85.7;2.4;
2016-07-31;2.2;20.9;77.4;2.3;
2016-08-01;0;17.5;93.2;1.6;
2016-08-02;13.8;20.8;94.6;1.7;
2016-08-03;3;21.1;93;1.3;
2016-08-04;2.4;20.9;85.1;2;
2016-08-05;1;21.6;83.8;2;
2016-08-06;0;21.5;84.2;1.6;
2016-08-07;.2;23.2;76.6;2.4;
2016-08-08;0;23.5;74;2.6;
2016-08-09;0;21.6;85.4;1.7;
2016-08-10;0;22.6;75.4;3.3;
2016-08-11;0;23.4;80;2.7;
2016-08-12;4.8;20.9;93.6;2;
2016-08-13;5.8;20.8;91.8;1.9;
2016-08-14;3.2;22.6;85;2;
2016-08-15;.2;23.7;79;3.9;
2016-08-16;0;23.8;77.6;3.3;
2016-08-17;0;24.9;78.1;3.9;
2016-08-18;0;25.2;78;3.9;
2016-08-19;0;23.3;86;2;
2016-08-20;3.4;21.9;89.8;1.8;
2016-08-21;2.4;24.7;76.9;4.1;
2016-08-22;0;21.7;88.9;3.6;
2016-08-23;3.4;19.8;92.5;2.9;
2016-08-24;3;20.1;88.5;2.8;
2016-08-25;7.4;19.9;81.5;2.5;
2016-08-26;1;20.6;80.6;2.1;
2016-08-27;.2;21.4;80.3;1.9;
2016-08-28;1.8;20.1;90;1.4;
2016-08-29;2.4;21.2;88.8;1.7;
2016-08-30;.2;21.6;87.8;1.7;
2016-08-31;18;23.3;82.7;2.9;
2016-09-01;0;22.8;83.7;2.5;
2016-09-02;0;22.7;79.3;1.9;
2016-09-03;7.2;20.7;90.5;1.8;
2016-09-04;3.2;21.9;84.5;1.8;
2016-09-05;2.8;22.2;83;2;
2016-09-06;.2;22.6;78.6;2.2;
2016-09-07;.2;21.9;83;2.4;
2016-09-08;.4;22.7;76.6;2.6;
2016-09-09;.6;22.6;84;2.5;
2016-09-10;.4;22;79.8;1.7;
2016-09-11;1.8;21.6;82.5;1.7;
2016-09-12;.2;22.2;81.1;2.3;
2016-09-13;0;23.5;75.1;2.8;
2016-09-14;0;23.3;74.7;3.6;
2016-09-15;0;24;75.1;4.5;
2016-09-16;0;24.1;76.6;3.2;
2016-09-17;0;22.7;86.8;2;
2016-09-18;.4;23.8;78.5;2.4;
2016-09-19;0;23.9;75.1;3.5;
2016-09-20;0;24.1;74.5;3.8;
2016-09-21;0;23.4;81.3;3;
2016-09-22;0;21.2;80.4;3;
2016-09-23;0;22.5;76.5;2.1;
2016-09-24;0;23.1;78;2.2;
2016-09-25;0;23.9;77.3;3.2;
2016-09-26;0;23.1;85.6;2.6;
2016-09-27;2;21.7;92.7;2.2;
2016-09-28;4.2;22.3;86.6;2.1;
2016-09-29;2.4;23.2;82.1;2.3;
2016-09-30;0;25.3;76.5;3.6;
2016-10-01;5.4;23.7;86.9;2.1;
2016-10-02;9.4;22;93.9;2.4;
2016-10-03;15.8;21.2;91.9;2;
2016-10-04;2.2;22;88.5;1.9;
2016-10-05;.4;23.6;88.4;2.7;
2016-10-06;29.4;22.7;89.7;1.9;
2016-10-07;27.8;26.4;81.8;3.3;
2016-10-08;.6;24;81;2.3;
2016-10-09;0;24.6;83.7;1.9;
2016-10-10;0;25.2;84.2;2.6;
2016-10-11;.4;24.2;81.9;3.2;
2016-10-12;.6;22.8;84.7;2.1;
2016-10-13;.2;23.2;82;2.2;
2016-10-14;9.6;23.8;86.8;2;
2016-10-15;.8;23.5;86;2.3;
2016-10-16;.6;23.8;78;2.4;
2016-10-17;0;23.7;78.9;2.8;
2016-10-18;0;24.2;80.3;3.2;
2016-10-19;0;24.7;79.2;3.6;
2016-10-20;0;25.4;77.9;4;
2016-10-21;0;25.5;75.9;4.2;
2016-10-22;0;25.5;77.7;3.2;
2016-10-23;0;24.9;79.9;2.4;
2016-10-24;0;24.6;76.7;2.4;
2016-10-25;0;24.8;78.3;2.9;
2016-10-26;0;25.1;77.8;2.9;
2016-10-27;0;25.6;74;4.4;
2016-10-28;0;26.1;72.1;5.4;
2016-10-29;0;24.8;82.4;3.5;
2016-10-30;19.6;21.7;93.5;2.9;
2016-10-31;18.2;22.2;89.8;2.4;
2016-11-01;.8;22.7;89.9;1.9;
2016-11-02;5.6;25;80.1;3.1;
2016-11-03;.2;24.8;80.9;3.1;
2016-11-04;0;25.1;78.4;2.3;
2016-11-05;0;24.1;76.9;2.2;
2016-11-06;3;23.1;83.1;2.3;
2016-11-07;31.4;23.1;86.2;2.1;
2016-11-08;2;23;88.8;2.1;
2016-11-09;14.8;24.4;82.1;2.8;
2016-11-10;.4;25.1;80.1;3.5;
2016-11-11;0;26.2;79.4;3.5;
2016-11-12;0;25.8;81.8;3.6;
2016-11-13;0;24.4;86.6;2.6;
2016-11-14;29;22.5;94;3;
2016-11-15;7.2;24.4;86.9;4.3;
2016-11-16;15.8;23.9;92.4;4.3;
2016-11-17;17;26;85.9;3.9;
2016-11-18;7.8;26.6;81.8;4.1;
2016-11-19;44.6;21.5;88.3;3.3;
2016-11-20;2.8;21;83.1;2.2;
2016-11-21;2.8;21.4;89.9;1.7;
2016-11-22;.2;23.6;85;1.8;
2016-11-23;0;26.3;75.5;3.7;
2016-11-24;0;26.3;77.9;3;
2016-11-25;0;25.4;86;1.7;
2016-11-26;2.2;23.9;91.4;2.2;
2016-11-27;8;23.4;94.1;1.9;
2016-11-28;10;24.2;88.9;2.4;
2016-11-29;7.4;26;80.3;2.7;
2016-11-30;0;26.3;78.2;2.9;
2016-12-01;2.8;22.9;87.5;3.3;
2016-12-02;0;23.4;85.3;3.1;
2016-12-03;9.2;24.3;90.7;1.9;
2016-12-04;14;25.9;83.7;3.7;
2016-12-05;.2;27.7;76.8;4.5;
2016-12-06;15;26.7;80.2;4.1;
2016-12-07;2;26.6;82.8;2.5;
2016-12-08;3.8;26.7;81.5;3.5;
2016-12-09;0;27;75.7;4;
2016-12-10;0;26.8;74.2;4;
2016-12-11;0;26.6;76.1;4.6;
2016-12-12;0;27.1;77.8;4.1;
2016-12-13;0;26.4;80.8;4.5;
2016-12-14;4.2;27;72.6;4.4;
2016-12-15;0;26.4;77.7;3.2;
2016-12-16;7.8;24.6;82.5;2.9;
2016-12-17;6.6;24.1;82.3;2.4;
2016-12-18;11.8;24.3;85.3;2.4;
2016-12-19;12.6;24.1;85;1.7;
2016-12-20;1.2;24.5;86.6;1.6;
2016-12-21;10;25.8;80.7;2.1;
2016-12-22;3;25.2;85.6;1.9;
2016-12-23;0;25.3;79.7;1.7;
2016-12-24;0;25.1;81.7;1.9;
2016-12-25;0;26.5;76.7;2.7;
2016-12-26;0;26.4;77.2;3;
2016-12-27;0;26.1;79.5;3;
2016-12-28;2.6;26.4;78.1;3.2;
2016-12-29;0;25.7;80;2.7;
2016-12-30;0;26.3;76.6;2.5;
2016-12-31;3;25.5;78;2.7;
2017-01-01;.4;25.7;77.3;2.7;
2017-01-02;0;26.7;75.7;3.6;
2017-01-03;0;26.4;76.4;3.6;
2017-01-04;0;25.4;81;2.9;
2017-01-05;2.8;25.1;84.3;3;
2017-01-06;.6;26;75.1;2.9;
2017-01-07;0;25.5;75.3;2.3;
2017-01-08;5;24.9;78.7;2.2;
2017-01-09;0;25.3;76.5;2.8;
2017-01-10;0;26.4;76.2;3.8;
2017-01-11;0;26.8;75.5;3.8;
2017-01-12;0;27.1;76.7;3.8;
2017-01-13;.4;26.5;79.2;3.3;
2017-01-14;0;26.4;76.3;3.3;
2017-01-15;0;25.7;79.2;2.9;
2017-01-16;0;25.8;75.5;2.7;
2017-01-17;.6;25.7;74;2.5;
2017-01-18;.2;26.1;73.7;2.9;
