Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2018-03-09
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-03-09;null;null;null;null;
2018-03-10;null;null;null;null;
2018-03-11;null;null;null;null;
2018-03-12;null;null;null;null;
2018-03-13;75;26.7;81.2;2.1;
2018-03-14;.2;28.6;75.8;2.6;
2018-03-15;0;28;76.4;2;
2018-03-16;0;27.5;74.5;1.7;
2018-03-17;0;26.8;79;1.8;
2018-03-18;8;27.3;74.9;1.7;
2018-03-19;0;26.9;77.3;1.4;
2018-03-20;2.8;27.6;75.8;1.6;
2018-03-21;0;27.1;79.2;1.6;
2018-03-22;1;27.7;75;1.7;
2018-03-23;0;26.3;null;1.7;
2018-03-24;15.6;24.1;95;1.2;
2018-03-25;95;26.4;80.3;1.5;
2018-03-26;2.2;25.7;82.2;1.1;
2018-03-27;.2;25.5;85.8;1;
2018-03-28;7.2;null;null;1.1;
2018-03-29;1.4;26.2;null;1.5;
2018-03-30;.6;26.4;null;1.2;
2018-03-31;0;26.6;null;1.1;
2018-04-01;0;26.7;null;1.3;
2018-04-02;0;26.7;null;1.1;
2018-04-03;0;26.7;null;1.3;
2018-04-04;0;27.1;null;1.4;
2018-04-05;null;25.8;null;1.4;
2018-04-06;.8;27.3;null;1.3;
2018-04-07;0;26.5;null;1.2;
2018-04-08;0;26.6;null;1;
2018-04-09;0;26.6;null;1.2;
2018-04-10;2;25.3;null;1.1;
2018-04-11;4;24.5;null;1;
2018-04-12;8.6;24.7;null;1;
2018-04-13;19.4;25.9;null;1.2;
2018-04-14;2.4;25.6;null;.9;
2018-04-15;0;26.5;null;1.1;
2018-04-16;0;25.6;null;1.2;
2018-04-17;null;25.1;null;1.2;
2018-04-18;8.8;24.5;null;1.6;
2018-04-19;8.2;24.1;null;1.3;
2018-04-20;59.4;null;null;1.3;
2018-04-21;null;24.1;null;1.4;
2018-04-22;1;24.7;null;1;
2018-04-23;3.4;24.8;null;1.1;
2018-04-24;22.4;24.2;null;1;
2018-04-25;32.8;24.7;null;1.1;
2018-04-26;0;25.4;null;1;
2018-04-27;10.8;25.2;null;.9;
2018-04-28;11.4;25.6;null;1.2;
2018-04-29;4.2;24.8;null;1;
2018-04-30;.2;24.6;null;1;
2018-05-01;7.6;25;90.9;1.2;
2018-05-02;3.2;25.8;85.5;1;
2018-05-03;.4;25.4;86.1;.8;
2018-05-04;4.2;24.8;90.8;.9;
2018-05-05;10.6;24.1;93.8;1.1;
2018-05-06;10;24.4;93.3;1.2;
2018-05-07;18.4;24;93.1;1.1;
2018-05-08;21.2;null;92.6;.8;
2018-05-09;5.8;24.1;85.8;1.3;
2018-05-10;1.4;24.5;null;1.6;
2018-05-11;null;null;null;1.5;
2018-05-12;8;25;null;1.2;
2018-05-13;.2;25.1;null;1.1;
2018-05-14;3.2;25.4;null;1.2;
2018-05-15;5.4;24.7;null;1.2;
2018-05-16;.2;23.6;null;.9;
2018-05-17;22.6;25;null;1;
2018-05-18;2.2;25.1;null;1;
2018-05-19;.2;25.1;null;1.1;
2018-05-20;0;25.1;null;1.3;
2018-05-21;0;25.7;null;1.2;
2018-05-22;0;25.7;null;1;
2018-05-23;8.4;24.8;null;1.1;
2018-05-24;8.8;24.8;null;1;
2018-05-25;2.6;23.8;null;1.2;
2018-05-26;9.8;22.7;null;1.1;
2018-05-27;4.4;23.4;null;1.6;
2018-05-28;17;23.6;null;1.2;
2018-05-29;3.6;23.7;null;1.2;
2018-05-30;2.2;23.4;null;1.4;
2018-05-31;9.8;23.3;null;1.2;
2018-06-01;5.2;23.4;null;.9;
2018-06-02;16.2;23.5;null;1.1;
2018-06-03;19.2;24.1;null;1;
2018-06-04;11.6;24.5;null;1;
2018-06-05;20.6;22.7;null;1.1;
2018-06-06;14.6;23.8;null;.7;
2018-06-07;.4;23.9;null;.9;
2018-06-08;1.6;24.2;null;1;
2018-06-09;5.4;24.5;null;1.1;
2018-06-10;2;23.9;null;1.1;
2018-06-11;6.8;23.3;null;1;
2018-06-12;10.2;23.7;null;.8;
2018-06-13;2.6;24.1;null;1;
2018-06-14;2;23.3;null;1;
2018-06-15;null;23.9;82.7;.8;
2018-06-16;0;23.8;86.8;1;
2018-06-17;.6;24.4;80;1.2;
2018-06-18;.2;25;77.1;1.2;
2018-06-19;5.2;23.7;86.3;1.3;
2018-06-20;1;23.5;84;.9;
2018-06-21;14;23.4;89.8;.9;
2018-06-22;.8;23.6;87.6;.9;
2018-06-23;0;null;82.9;.9;
2018-06-24;null;null;79.2;1.2;
2018-06-25;2.2;23.2;85.9;1;
2018-06-26;2.4;22.6;90;1.1;
2018-06-27;.6;23.2;88.3;1.1;
2018-06-28;4;23;87;1.1;
2018-06-29;.8;22.9;90.4;.9;
2018-06-30;null;null;88.6;1;
2018-07-01;.8;null;91.6;1;
2018-07-02;11.6;23;92.1;.9;
2018-07-03;5.2;22.9;91.2;.7;
2018-07-04;null;null;90.2;.9;
2018-07-05;5.4;22.5;92;1;
2018-07-06;2.6;22.9;88.9;.9;
2018-07-07;1.2;23.1;86.3;1;
2018-07-08;.6;23;89.3;.9;
2018-07-09;4.6;23.9;79.6;.8;
2018-07-10;0;22.6;86.7;1;
2018-07-11;0;23.4;87.1;.9;
2018-07-12;0;23.2;89.2;.7;
2018-07-13;3.6;22.5;90.8;.9;
2018-07-14;2.6;22.9;85.1;1;
2018-07-15;.2;23.3;82.1;1;
2018-07-16;.2;23.6;82.9;1;
2018-07-17;.8;23.7;82.8;1.1;
2018-07-18;.6;22.9;86.8;1;
2018-07-19;1.2;23.6;81;1.1;
2018-07-20;.2;null;82.9;1;
2018-07-21;.2;23.2;77.7;.9;
2018-07-22;0;null;78;.9;
2018-07-23;null;23.6;82.4;1;
2018-07-24;0;23.6;79.2;1.1;
2018-07-25;2;23.1;81;1.3;
2018-07-26;.2;22.8;78.7;1;
2018-07-27;.6;22.8;82;1;
2018-07-28;.8;null;81;.8;
2018-07-29;null;22.9;79.1;1;
2018-07-30;.2;23;83.8;1.2;
2018-07-31;.2;null;82.5;1.2;
2018-08-01;null;23.6;80.3;1;
2018-08-02;0;23.6;77;1;
2018-08-03;.2;23.6;80.9;1.3;
2018-08-04;0;23.5;84;1.4;
2018-08-05;null;null;81.8;1.4;
2018-08-06;0;24;82.3;1.2;
2018-08-07;0;null;82.5;1.1;
2018-08-08;1.2;23;88.8;1;
2018-08-09;1;24.1;79.9;.9;
2018-08-10;0;23.9;83.5;1.4;
2018-08-11;null;null;79.1;1.8;
2018-08-12;0;24.8;81.5;1.9;
2018-08-13;0;25.1;84.6;1.2;
2018-08-14;0;24.6;84.6;1;
2018-08-15;.6;23.8;87.4;1;
2018-08-16;1.6;24.8;78.6;1.5;
2018-08-17;0;24.4;80.7;1.2;
2018-08-18;.8;22.8;87.9;1.1;
2018-08-19;9;22.2;93.3;1.1;
2018-08-20;4.4;22.5;94.3;1;
2018-08-21;7.8;23.5;86.4;1.2;
2018-08-22;.2;23.9;81.5;1.1;
2018-08-23;null;24.4;78.2;1.1;
2018-08-24;1.2;24.2;80.4;1.3;
2018-08-25;.2;23.7;82.2;1.1;
2018-08-26;1.4;24;80.2;1.2;
2018-08-27;10.2;22.8;88.7;1.6;
2018-08-28;3.2;22.6;91.8;1.7;
2018-08-29;null;22.8;86.5;1.3;
2018-08-30;2.4;22.3;86.7;1.6;
2018-08-31;null;null;74.1;1.7;
2018-09-01;null;null;78.7;1.5;
2018-09-02;null;23.4;78.6;1.2;
2018-09-03;0;23.8;80.5;1.4;
2018-09-04;0;24.6;79.8;2.2;
2018-09-05;0;24.9;77.3;2;
2018-09-06;0;null;80.9;1.6;
2018-09-07;20.8;22.6;93;1.1;
2018-09-08;42.6;23.1;87.1;1.7;
2018-09-09;1;23.9;80.9;1.7;
2018-09-10;0;23.9;78.5;1.5;
2018-09-11;.2;23.7;81.5;1.5;
2018-09-12;0;24.2;74.1;1.6;
2018-09-13;0;24;74.7;1.7;
2018-09-14;5.8;23.5;77.4;1.9;
2018-09-15;0;23.7;79.6;1.4;
2018-09-16;0;24.9;82.8;2;
2018-09-17;0;25.6;81.9;2.3;
2018-09-18;0;25.4;80.8;1.9;
2018-09-19;0;25.6;77;1.9;
2018-09-20;0;25.8;74.6;2;
2018-09-21;0;25.9;74.5;2;
2018-09-22;0;24.9;80.2;1.6;
2018-09-23;0;25.3;79.4;1.6;
2018-09-24;0;25.5;78.5;1.6;
2018-09-25;0;25.3;75.6;1.6;
2018-09-26;0;25.5;76.5;1.8;
2018-09-27;0;25.7;75.4;1.6;
2018-09-28;0;25.9;76.6;1.7;
2018-09-29;0;25.1;83.3;1.6;
2018-09-30;0;26;76.9;1.6;
2018-10-01;0;25.5;77.4;1.7;
2018-10-02;null;24.6;80.7;1.4;
2018-10-03;0;null;80;1.4;
