Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2002-11-03
Data Final: 2008-06-24
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-11-03;null;null;null;null;
2002-11-04;null;null;null;null;
2002-11-05;null;21.6;83.7;2.1;
2002-11-06;33;18.2;86;2.6;
2002-11-07;6.6;16.3;78.1;3.6;
2002-11-08;2;17.8;64.6;2.7;
2002-11-09;0;20.2;63.3;2.7;
2002-11-10;0;22.7;64.3;2.4;
2002-11-11;0;23.7;67.1;1.8;
2002-11-12;26.4;21.4;75.4;1.6;
2002-11-13;0;22.3;65;4.1;
2002-11-14;0;22.2;60.1;4.5;
2002-11-15;null;null;54.8;null;
2002-11-16;null;null;61.5;null;
2002-11-17;null;null;71.1;null;
2002-11-18;null;null;76.6;null;
2002-11-19;null;null;67.3;1.8;
2002-11-20;null;null;64;2.8;
2002-11-21;0;24.3;73.4;3.1;
2002-11-22;.4;23.4;73.4;3.1;
2002-11-23;.4;23.1;72.2;3.6;
2002-11-24;2;23;72.6;2.2;
2002-11-25;26.2;22.3;75.7;2.4;
2002-11-26;7.2;24.3;66;2.3;
2002-11-27;5.2;21.7;65.6;2;
2002-11-28;1.2;23.3;55.9;2.9;
2002-11-29;.2;25.2;52.9;3.6;
2002-11-30;0;26;50;3.8;
2002-12-01;0;26.7;47.6;2.5;
2002-12-02;0;27.4;46.9;1.9;
2002-12-03;0;26.7;54.4;3.2;
2002-12-04;.2;null;64.2;null;
2002-12-05;null;25.9;59.5;2.7;
2002-12-06;0;24;73.1;1.6;
2002-12-07;15.4;22.5;79;1.7;
2002-12-08;43.4;23.3;76;1.5;
2002-12-09;4.8;22.8;81.8;1.9;
2002-12-10;4.4;22.6;78.3;3;
