Nome: ALFENAS
Codigo Estacao: A504
Latitude: -21.45
Longitude: -45.95
Altitude: 875
Situacao: Desativada
Data Inicial: 2002-12-08
Data Final: 2004-11-17
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-08;null;null;null;null;
2002-12-09;null;null;null;null;
2002-12-10;null;null;null;null;
2002-12-11;null;null;null;null;
2002-12-12;null;null;null;null;
2002-12-13;null;null;null;null;
2002-12-14;null;null;null;null;
2002-12-15;null;null;null;null;
2002-12-16;null;null;null;null;
2002-12-17;null;null;null;null;
2002-12-18;null;null;null;null;
2002-12-19;null;null;null;null;
2002-12-20;null;null;null;null;
2002-12-21;null;null;null;null;
2002-12-22;null;null;null;null;
2002-12-23;null;null;null;null;
2002-12-24;null;null;null;null;
2002-12-25;null;null;null;null;
2002-12-26;null;null;null;null;
2002-12-27;null;null;null;null;
2002-12-28;null;null;null;null;
2002-12-29;null;null;null;null;
2002-12-30;null;null;null;null;
2002-12-31;null;null;null;null;
2003-01-01;null;null;null;null;
2003-01-02;null;null;null;null;
2003-01-03;null;null;null;null;
2003-01-04;null;null;null;null;
2003-01-05;null;null;null;null;
2003-01-06;null;null;null;null;
2003-01-07;null;null;null;null;
2003-01-08;null;null;null;null;
2003-01-09;null;null;null;null;
2003-01-10;null;null;null;null;
2003-01-11;null;null;null;null;
2003-01-12;null;null;null;null;
2003-01-13;null;null;null;null;
2003-01-14;null;null;null;null;
2003-01-15;null;null;null;null;
2003-01-16;null;null;null;null;
2003-01-17;null;null;null;null;
2003-01-18;null;null;null;null;
2003-01-19;null;null;null;null;
2003-01-20;null;null;null;null;
2003-01-21;null;null;null;null;
2003-01-22;null;null;null;null;
2003-01-23;null;null;null;null;
2003-01-24;null;null;null;null;
2003-01-25;null;null;null;null;
2003-01-26;null;null;null;null;
2003-01-27;null;null;null;null;
2003-01-28;null;null;null;null;
2003-01-29;null;null;null;null;
2003-01-30;null;null;null;null;
2003-01-31;null;null;null;null;
2003-02-01;null;null;null;null;
2003-02-02;null;null;null;null;
2003-02-03;null;null;null;null;
2003-02-04;null;null;null;null;
2003-02-05;null;null;null;null;
2003-02-06;null;null;null;null;
2003-02-07;null;null;null;null;
2003-02-08;null;null;null;null;
2003-02-09;null;null;null;null;
2003-02-10;null;null;null;null;
2003-02-11;null;null;null;null;
2003-02-12;null;null;null;null;
2003-02-13;null;null;null;null;
2003-02-14;null;null;null;null;
2003-02-15;null;null;null;null;
2003-02-16;null;null;null;null;
2003-02-17;null;null;null;null;
2003-02-18;null;null;null;null;
2003-02-19;null;null;null;null;
2003-02-20;null;null;null;null;
2003-02-21;null;null;null;null;
2003-02-22;null;null;null;null;
2003-02-23;null;null;null;null;
2003-02-24;null;null;null;null;
2003-02-25;null;null;null;null;
2003-02-26;null;null;null;null;
2003-02-27;null;null;null;null;
2003-02-28;null;null;null;null;
2003-03-01;null;null;null;null;
2003-03-02;null;null;null;null;
2003-03-03;null;null;null;null;
2003-03-04;null;null;null;null;
2003-03-05;null;null;null;null;
2003-03-06;null;null;null;null;
2003-03-07;null;null;null;null;
2003-03-08;null;null;null;null;
2003-03-09;null;null;null;null;
2003-03-10;null;null;null;null;
2003-03-11;null;null;null;null;
2003-03-12;null;null;null;null;
2003-03-13;null;null;null;null;
