Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-09-14;null;null;null;null;
2005-09-15;null;null;null;null;
2005-09-16;null;21.4;68.3;1.4;
2005-09-17;null;null;72.7;1;
2005-09-18;2;18.3;86.8;.6;
2005-09-19;.4;18.3;83.3;1.7;
2005-09-20;.2;21;74.3;2;
2005-09-21;null;null;61.3;1.5;
2005-09-22;0;18.9;68.9;.8;
2005-09-23;0;19.1;74.4;1.5;
2005-09-24;.8;19.8;75.7;1.2;
2005-09-25;0;21.4;73.6;2.2;
2005-09-26;48.2;17.9;88;1.4;
2005-09-27;8.2;14.3;88.1;.8;
2005-09-28;3.4;13.5;83.6;.7;
2005-09-29;0;15;75.1;.7;
2005-09-30;0;15.9;70;.9;
2005-10-01;0;16;75;.9;
2005-10-02;0;17.4;74.4;.7;
2005-10-03;0;17.4;73.4;.7;
2005-10-04;0;18;75;1.7;
2005-10-05;null;null;72.1;null;
2005-10-06;null;20.6;75.8;1.3;
2005-10-07;null;null;71.9;1;
2005-10-08;0;18.6;67.3;1.2;
2005-10-09;0;17.6;69.6;1.3;
2005-10-10;0;null;70.5;1.1;
2005-10-11;null;18.6;70.3;1.2;
2005-10-12;0;18.2;69.1;1.2;
2005-10-13;0;18.7;67.5;1.4;
2005-10-14;0;19.9;66.9;2;
2005-10-15;0;22.4;62;.8;
2005-10-16;null;null;65.2;1.7;
2005-10-17;0;22.2;58.4;1.8;
2005-10-18;0;null;52.5;1.3;
2005-10-19;0;18.2;84.5;.8;
2005-10-20;.4;20;72.3;1.2;
2005-10-21;0;20.5;64.2;2;
2005-10-22;0;20.2;63.7;2.1;
2005-10-23;0;21.2;71;1.2;
2005-10-24;1.2;21.2;78.6;.7;
2005-10-25;0;22.5;66.9;1.5;
2005-10-26;0;23.9;60.4;1.4;
2005-10-27;.8;null;78.7;.6;
2005-10-28;null;null;75.1;1.6;
2005-10-29;null;null;82.7;1.7;
2005-10-30;null;null;92.4;.5;
