Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2006-05-11
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-05-11;null;null;null;null;
2006-05-12;null;null;null;null;
2006-05-13;null;null;null;null;
2006-05-14;null;null;null;null;
2006-05-15;null;null;null;null;
2006-05-16;null;null;null;null;
2006-05-17;null;19.3;60.3;1.1;
2006-05-18;0;17.9;70.1;1.4;
2006-05-19;null;18.8;65.8;null;
2006-05-20;null;18.5;69.9;1.6;
2006-05-21;null;null;null;null;
2006-05-22;null;null;null;null;
2006-05-23;null;null;null;null;
2006-05-24;null;21;82.2;1.5;
2006-05-25;0;22;78.3;1.3;
2006-05-26;0;22.1;75.4;1.1;
2006-05-27;0;21.7;74.1;1;
2006-05-28;0;21.1;75.2;1;
2006-05-29;0;20.8;68.9;1;
2006-05-30;0;21.1;66.5;1.1;
2006-05-31;0;22.5;66.7;1.1;
2006-06-01;0;21.4;69.9;1.3;
2006-06-02;0;20.8;65.9;1.5;
2006-06-03;0;20.6;66.6;2.1;
2006-06-04;0;20.7;68.2;1.9;
2006-06-05;0;20.2;70.2;1.1;
2006-06-06;0;20.1;69.4;1.1;
2006-06-07;0;19.7;66;1.5;
2006-06-08;0;19;65;1.6;
2006-06-09;0;19.4;63.1;2.6;
2006-06-10;0;19.7;63.8;1.5;
2006-06-11;0;19.4;65.5;.8;
2006-06-12;0;20.9;64.3;1.3;
2006-06-13;0;20.9;65;2;
2006-06-14;0;20.3;66.5;2.4;
2006-06-15;0;19.4;68;1.2;
2006-06-16;0;19.6;65.5;1.5;
2006-06-17;0;20.3;58.1;1.2;
2006-06-18;0;20.1;62.2;1.7;
2006-06-19;0;21.2;61.2;2.8;
2006-06-20;0;19.6;61.6;2.4;
2006-06-21;0;18.7;67.8;1.4;
2006-06-22;0;18.9;66.9;1.3;
2006-06-23;null;null;71.4;null;
2006-06-24;0;19.9;64.1;2;
2006-06-25;0;21.1;68.7;3;
2006-06-26;0;21.8;73.5;2.1;
2006-06-27;21.8;19;68.5;2.1;
2006-06-28;0;15.4;66.6;1.3;
2006-06-29;0;17.5;65.7;1.7;
2006-06-30;0;19.9;67.7;1.7;
2006-07-01;0;20.5;68.6;1.9;
2006-07-02;0;19.7;65.5;1.5;
2006-07-03;0;20.6;63.5;1.7;
2006-07-04;0;19.5;64.4;1.4;
2006-07-05;0;18.8;65.5;1.2;
2006-07-06;0;18.9;66.7;1.3;
2006-07-07;0;20;63.4;1.5;
2006-07-08;0;21.3;61.8;1.2;
2006-07-09;0;22.9;61.6;1.5;
2006-07-10;0;22.2;67.1;.7;
2006-07-11;0;22.6;59.8;1.8;
2006-07-12;0;21.7;51.2;3.8;
