Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2006-07-27
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-27;null;null;null;null;
2006-07-28;null;null;null;null;
2006-07-29;null;21.4;48.8;3.3;
2006-07-30;0;15.7;87.3;2.7;
2006-07-31;0;13.3;96.8;2.6;
2006-08-01;0;17.8;83.3;2;
2006-08-02;10;17.9;84.9;1.8;
2006-08-03;0;17;91.8;2.6;
2006-08-04;1;17.7;85.3;2;
2006-08-05;0;17.8;81.6;1.9;
2006-08-06;0;18.8;69.5;2.1;
2006-08-07;0;18.8;66.9;2;
2006-08-08;0;18.7;55.5;2.4;
2006-08-09;0;18.8;50.8;2.6;
2006-08-10;0;19.6;65.6;1.7;
2006-08-11;0;19.4;64.8;2.7;
2006-08-12;0;18.6;61.3;2.1;
2006-08-13;0;19.1;61.6;1.8;
2006-08-14;0;19.7;60;2.9;
2006-08-15;0;null;60.3;2.2;
2006-08-16;null;21.1;58.3;1.8;
2006-08-17;0;22.6;50.5;2.1;
2006-08-18;0;19.9;67.8;3.2;
2006-08-19;0;20.5;62.4;2;
2006-08-20;0;18;77;2.6;
2006-08-21;.6;18.3;65.6;2.6;
2006-08-22;0;14.6;80.7;3.9;
2006-08-23;.2;16.6;79;2.1;
2006-08-24;0;18.9;63.7;2.2;
2006-08-25;0;18.4;63.9;3.2;
2006-08-26;0;19.2;63;2.5;
2006-08-27;0;17.7;71;3.6;
2006-08-28;0;17.1;81.3;1.8;
2006-08-29;4.6;16.7;87.8;2.4;
2006-08-30;0;13.4;74.3;4;
2006-08-31;0;14.7;74.6;3.1;
2006-09-01;0;18.8;64.3;2.1;
2006-09-02;4.4;16.7;87.9;2.6;
2006-09-03;12;19.2;72.6;2.5;
2006-09-04;0;18;80.2;1.6;
2006-09-05;12;12.6;90.4;3.4;
2006-09-06;0;9.6;92;3.1;
2006-09-07;0;13.1;82.3;3.7;
2006-09-08;0;15.2;76.2;2.7;
2006-09-09;0;16.6;62.8;3.2;
2006-09-10;0;17.5;64.1;2.5;
2006-09-11;0;19.6;66.2;3.3;
2006-09-12;0;20.3;56.5;2.6;
2006-09-13;0;20.3;49.6;2.5;
2006-09-14;0;21;50.3;2.1;
2006-09-15;0;22.3;51.6;2.2;
2006-09-16;0;23.1;50.5;2.6;
2006-09-17;0;21;65.9;2.6;
2006-09-18;0;17.7;84;2.5;
2006-09-19;0;17.1;87.3;3.2;
2006-09-20;0;19.7;81.2;3.2;
2006-09-21;24.2;20;80.4;4.4;
2006-09-22;0;19.4;86;2.4;
2006-09-23;11.8;21.2;74.3;2.2;
2006-09-24;7.6;19.6;85.6;2.3;
2006-09-25;20.4;16.3;93;3;
2006-09-26;0;15;95.3;3.4;
2006-09-27;0;15.6;82.5;3.2;
2006-09-28;0;16.9;72;2.7;
2006-09-29;0;19.5;63;2.1;
2006-09-30;0;18.8;76.7;3.2;
2006-10-01;0;17.6;86.4;3.1;
2006-10-02;1.4;17.3;90.6;2;
2006-10-03;7;18.7;85.5;1.5;
2006-10-04;0;20.7;77;2.7;
2006-10-05;0;22.3;69;2.8;
2006-10-06;0;21.4;72.3;2.4;
2006-10-07;4;19.3;87.4;1.5;
2006-10-08;3.8;19.8;86.5;1.8;
2006-10-09;26;17.9;97;2.7;
2006-10-10;10.4;17.6;88.8;2.5;
2006-10-11;1.4;19.5;75.7;2.2;
2006-10-12;0;21;75.4;2.6;
2006-10-13;10.4;19.5;91.2;1.8;
2006-10-14;10.4;20.3;83.8;2;
2006-10-15;0;21.3;79.2;2.8;
2006-10-16;0;21.7;74.1;2.6;
2006-10-17;0;22.5;70.8;2.7;
2006-10-18;4.6;20.2;87.2;2.9;
2006-10-19;11.4;18.7;97.6;1.6;
2006-10-20;48.2;17.9;88.9;3;
2006-10-21;.2;15.9;83.2;3.2;
2006-10-22;0;15.6;88.8;2.8;
2006-10-23;4;14.5;94.1;2.7;
2006-10-24;.2;15.3;85;3.8;
2006-10-25;0;17.1;82.6;2.2;
2006-10-26;0;20.3;72.4;2.7;
2006-10-27;0;23;64.9;4.8;
2006-10-28;.8;21.6;75.8;2.3;
2006-10-29;0;19.2;69;3;
2006-10-30;0;21.5;72.8;2.5;
2006-10-31;0;22.1;77.3;2.2;
2006-11-01;28.6;21.1;83.7;2.5;
2006-11-02;12.6;20.9;85.8;2.8;
2006-11-03;15.4;20.8;87.1;2.7;
2006-11-04;24;20.6;87.2;2.7;
2006-11-05;0;19.5;85.5;3.1;
2006-11-06;0;20.8;83.4;2.2;
2006-11-07;0;21.7;85.1;2.9;
2006-11-08;8.2;18.6;83.3;2.7;
2006-11-09;0;16.5;87.5;3.2;
2006-11-10;1.2;14.7;96.3;3.3;
2006-11-11;18.8;11.7;97.3;3.3;
2006-11-12;11;12.1;95.3;3;
2006-11-13;4;14.8;84.8;3.4;
2006-11-14;9.6;16.2;94.8;2.1;
2006-11-15;8.2;18.7;86.5;1.8;
2006-11-16;.6;21.9;73;3.2;
2006-11-17;0;22.1;68.5;2.1;
2006-11-18;0;23.3;70.1;2.2;
2006-11-19;2.4;21.8;82;1.6;
2006-11-20;6.6;21.5;80.3;2.5;
2006-11-21;20.2;21.1;81.5;2.1;
2006-11-22;0;20.3;87;2.9;
2006-11-23;9;20.7;85.6;2.2;
2006-11-24;.4;21.1;79;2.4;
2006-11-25;0;22.6;70.7;2.7;
2006-11-26;0;21.2;78;1.3;
2006-11-27;.2;21.5;80.9;1.6;
2006-11-28;8.4;21.5;84.9;3.4;
2006-11-29;2.4;21.5;85.4;3.5;
2006-11-30;19.2;20.4;93.8;1.6;
2006-12-01;29.8;18.9;91.4;4;
2006-12-02;0;19.1;81.2;3.3;
2006-12-03;0;20.3;82.8;2.4;
2006-12-04;0;21.8;76.6;2.7;
2006-12-05;0;20.6;87;1.6;
2006-12-06;2;22.4;72.5;3.6;
2006-12-07;8.8;20.6;88.3;3;
2006-12-08;46.8;19.7;85.5;1.9;
2006-12-09;3;19.5;95.6;1.7;
2006-12-10;34.4;19.8;92.3;2.4;
2006-12-11;21.8;18.2;96.8;2.8;
2006-12-12;3.6;18.5;91.5;3;
2006-12-13;1.4;19.9;90.9;2.6;
2006-12-14;8.2;20.5;89.6;1.8;
2006-12-15;4.8;19.7;92;2.4;
2006-12-16;10.4;19.6;90.8;2.5;
2006-12-17;4.4;21;83.9;2;
2006-12-18;0;22.1;76;2.9;
2006-12-19;0;22.7;71;3.1;
2006-12-20;.4;22.6;76.3;3.7;
2006-12-21;.2;22.6;75.9;3;
2006-12-22;0;23.4;73.4;2;
2006-12-23;14.2;null;84.8;null;
2006-12-24;null;22.6;75.6;2.4;
2006-12-25;null;null;null;null;
2006-12-26;null;null;82.2;null;
2006-12-27;18.8;20.1;91.3;1.8;
2006-12-28;26.8;20.7;89.2;1.7;
2006-12-29;11.2;20.1;89.8;2.3;
2006-12-30;2.6;19.9;88.1;3.5;
2006-12-31;.2;19.3;84.8;3;
2007-01-01;7.4;18;93.1;1.5;
2007-01-02;12.4;18.8;92.7;2.1;
2007-01-03;15.2;18.8;93.7;2.4;
2007-01-04;26;19.6;91.7;3.8;
2007-01-05;15;19.5;90.4;4.2;
2007-01-06;10.6;20.8;81.8;3.1;
2007-01-07;0;22;79;1.9;
2007-01-08;8.6;21.7;84.8;1.8;
2007-01-09;1.8;20.9;87.3;2;
2007-01-10;15.8;20.9;86.1;2.6;
2007-01-11;11.2;21.9;84.4;2.2;
2007-01-12;2.4;23.5;77.7;3.3;
2007-01-13;32.2;21.7;87.4;3.2;
2007-01-14;6.8;21.8;88;3.6;
2007-01-15;18.2;21.3;90;3;
2007-01-16;8.8;20.7;91.1;2.4;
2007-01-17;9.8;21.4;82.8;2.9;
2007-01-18;0;23.4;71.8;4;
2007-01-19;9.2;22.9;79.1;2.5;
2007-01-20;0;24.5;71.4;2.6;
2007-01-21;0;21.9;84.7;1.8;
2007-01-22;62;20.1;93;1.7;
2007-01-23;16.8;18.7;96.2;1.7;
2007-01-24;1.4;20.6;88;1.7;
2007-01-25;.2;20.9;85.3;2.9;
2007-01-26;12.2;21.3;86.5;2;
2007-01-27;61.8;21.5;86.7;2.6;
2007-01-28;9.8;21.8;82.4;3.7;
2007-01-29;4.6;21.5;85.3;4.2;
2007-01-30;22.6;20;93.3;3.6;
2007-01-31;11;21;89.3;1.6;
2007-02-01;2.4;22.5;82.8;2;
2007-02-02;0;22;83.6;2.2;
2007-02-03;9.4;20.5;85.7;1.8;
2007-02-04;6.8;20.7;88.1;2.3;
2007-02-05;18;20.6;89.1;2.6;
2007-02-06;26.6;20.4;88.3;3.9;
2007-02-07;.8;21.9;82.3;2.8;
2007-02-08;0;22.2;70.8;2.5;
2007-02-09;0;21.9;66.4;2.9;
2007-02-10;0;22.5;70.3;2;
2007-02-11;0;23.4;70.5;2.7;
2007-02-12;11.4;17.7;94.1;2.3;
2007-02-13;11.6;18.1;84.9;3.1;
2007-02-14;0;18.3;88.1;2.8;
2007-02-15;.2;19.3;89.2;2.4;
2007-02-16;1.8;21.6;79.2;2.2;
2007-02-17;.2;21.9;79.7;2;
2007-02-18;.2;22.7;77;2.1;
2007-02-19;0;21.4;81.6;3.1;
2007-02-20;0;22.4;73.9;3.3;
2007-02-21;0;22.1;68.8;3.4;
2007-02-22;0;21.8;66;3.7;
2007-02-23;0;21.1;73.8;2.5;
2007-02-24;0;20.7;72;2.2;
2007-02-25;5.8;20.1;74.8;1.8;
2007-02-26;.2;20.3;83.4;2.1;
2007-02-27;1.6;21.3;75.8;2.9;
2007-02-28;0;21.4;68.1;2.9;
2007-03-01;0;21.5;65.4;3.8;
2007-03-02;0;22;67.5;3;
2007-03-03;0;22.2;70.5;2.8;
2007-03-04;.8;21.2;73.3;2.8;
2007-03-05;0;21.3;71.1;2.4;
2007-03-06;0;22.3;69.4;3.1;
2007-03-07;0;23;68.3;2.8;
2007-03-08;0;22.1;66.5;2.8;
2007-03-09;0;22.1;60.4;2;
2007-03-10;0;22.2;59.4;2;
2007-03-11;0;21.7;67;2;
2007-03-12;0;22;64.1;2.4;
2007-03-13;0;22.1;64.3;2.8;
2007-03-14;0;null;70;2.7;
2007-03-15;0;21.9;69.4;2.3;
2007-03-16;0;23.4;63.8;2.1;
2007-03-17;.4;22.3;77.8;1.7;
2007-03-18;2.4;22.2;82;3.1;
2007-03-19;8;22.4;76.4;3.3;
2007-03-20;0;22.7;76.2;2.1;
2007-03-21;5.8;21.7;81.8;2.5;
2007-03-22;86.6;21.9;82.9;2;
2007-03-23;0;22.3;78.4;2.1;
2007-03-24;0;22;80.5;1.8;
2007-03-25;.4;22.1;78.2;2.4;
2007-03-26;11.4;21.2;86.8;1.9;
2007-03-27;3.2;22.3;74;1.8;
2007-03-28;0;22.2;72.7;1.5;
2007-03-29;0;22.7;68.3;1.9;
2007-03-30;0;22.4;70.3;2.3;
2007-03-31;0;22.7;66;1.2;
2007-04-01;0;22.9;63.5;1.8;
2007-04-02;0;21.6;68.9;2;
2007-04-03;0;21.8;70.5;1.9;
2007-04-04;0;22.8;65;1.8;
2007-04-05;0;22.5;74.8;2;
2007-04-06;0;20.2;89.1;2.6;
2007-04-07;0;19.9;88.6;2.3;
2007-04-08;2.2;21.2;83.8;2.3;
2007-04-09;6.8;19.6;87.2;2.6;
2007-04-10;4.6;19.5;84.1;1.8;
2007-04-11;0;20.5;78.9;2.9;
2007-04-12;0;20.9;74.9;2.5;
2007-04-13;0;20.9;73.4;2.1;
2007-04-14;0;20.1;76.5;2.9;
2007-04-15;0;20.1;78.2;2.6;
2007-04-16;0;19.1;88.3;1.8;
2007-04-17;11.6;19.4;76.7;2.8;
2007-04-18;0;19.3;83.3;2.6;
2007-04-19;0;19.8;83.9;2.8;
2007-04-20;0;19.4;85.7;2.5;
2007-04-21;0;19.6;88.5;1.9;
2007-04-22;.2;19.1;92.3;1.6;
2007-04-23;5.4;18.8;90.4;1.5;
2007-04-24;.2;20.1;83;1.6;
2007-04-25;.2;21.4;72.7;2.1;
2007-04-26;0;22;71.6;1.9;
2007-04-27;0;21.1;79.3;2;
2007-04-28;28.8;16.5;89;3;
2007-04-29;2.8;15.6;95.1;2;
2007-04-30;.4;17.6;89;1.6;
2007-05-01;0;18.2;77.8;2.1;
2007-05-02;0;18.2;67.3;1.7;
2007-05-03;0;18.3;65.8;1.6;
2007-05-04;0;17.5;82.9;2.7;
2007-05-05;0;16.7;79.7;2.2;
2007-05-06;0;19.2;70.2;2.4;
2007-05-07;0;20;70.3;2.1;
