Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2006-07-14
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-14;null;null;null;null;
2006-07-15;null;20;48.7;1.8;
2006-07-16;0;19.8;null;2.1;
2006-07-17;0;19.8;null;1.6;
2006-07-18;0;19.6;null;1.1;
2006-07-19;0;20.4;null;1.1;
2006-07-20;0;19.8;49.4;.9;
2006-07-21;0;21.2;48.4;1.9;
2006-07-22;0;22.2;41;2.3;
2006-07-23;0;22.9;37.2;2.3;
2006-07-24;0;22.9;37.6;2.7;
2006-07-25;0;22.3;36.9;2.4;
2006-07-26;0;22.7;40;2;
2006-07-27;0;24.8;39.3;2.6;
2006-07-28;0;24.6;45.2;1.6;
2006-07-29;0;24.6;53.1;2.3;
2006-07-30;0;19.2;71.1;2.3;
2006-07-31;0;18.5;74.5;1.3;
2006-08-01;0;19.9;73.3;1.2;
2006-08-02;0;22.9;58.5;1.4;
2006-08-03;0;22.9;56.4;1.4;
2006-08-04;0;23.7;49.8;1.7;
2006-08-05;0;24;43.4;1.9;
2006-08-06;0;24.2;42.3;1.5;
2006-08-07;0;24.2;44.5;2.2;
2006-08-08;0;23.3;43.6;2.9;
2006-08-09;0;23.7;38.8;2.6;
2006-08-10;0;24.7;40.6;1.9;
2006-08-11;0;24.8;41.4;2.4;
2006-08-12;0;24.7;41;2.4;
2006-08-13;0;25.7;36;2.7;
2006-08-14;0;24.8;40.1;2.4;
2006-08-15;0;null;40.8;2.5;
2006-08-16;null;26.1;36.2;2.4;
2006-08-17;0;26.8;36.2;1.8;
2006-08-18;0;26.1;40.3;1.5;
2006-08-19;0;24.8;52.5;1.6;
2006-08-20;.2;24.2;55.3;1.8;
2006-08-21;0;20.5;35.2;2.3;
2006-08-22;.2;18;29.5;1.1;
2006-08-23;0;20.7;null;1.7;
2006-08-24;0;23.1;null;1.8;
2006-08-25;0;24.7;null;3;
2006-08-26;0;24.9;null;3.9;
2006-08-27;19.4;22.4;null;3.5;
2006-08-28;1.6;22.7;null;2.1;
2006-08-29;.2;22.1;null;2;
2006-08-30;0;19.9;null;2.1;
2006-08-31;0;24.3;null;4.2;
2006-09-01;2.4;20.5;null;2;
2006-09-02;26.4;18.7;84.7;2.6;
2006-09-03;1;19.7;79.9;1.7;
2006-09-04;1;18;57.1;2.4;
2006-09-05;0;14.9;48.1;2.5;
2006-09-06;0;16.2;49.1;1.6;
2006-09-07;0;20.8;null;1.4;
2006-09-08;0;23.7;null;3.2;
2006-09-09;0;23.3;null;3.1;
2006-09-10;0;23;null;1.3;
2006-09-11;0;25;null;2.4;
2006-09-12;0;25.3;null;2.3;
2006-09-13;0;25.7;null;2.4;
2006-09-14;0;26.5;null;2.5;
2006-09-15;0;27.4;null;2.5;
2006-09-16;0;25.9;null;2.2;
2006-09-17;0;25.9;null;1.9;
2006-09-18;0;25.1;null;1.6;
2006-09-19;0;25.2;null;1.3;
2006-09-20;0;24.5;null;3.1;
2006-09-21;14.2;21.9;null;2.3;
2006-09-22;0;22.5;null;1.6;
2006-09-23;0;25.1;null;2.6;
2006-09-24;7;21.6;null;2.2;
2006-09-25;0;23.1;null;1.4;
2006-09-26;0;23.9;null;1.8;
2006-09-27;0;25.6;null;3;
2006-09-28;0;25.2;null;2.8;
2006-09-29;0;25.2;null;1.9;
2006-09-30;1.8;23.3;null;1.5;
2006-10-01;17.2;22.2;null;3;
2006-10-02;17.6;23.1;81.9;2.3;
2006-10-03;4.4;23.7;76;2.2;
2006-10-04;0;25.6;62.8;2.2;
2006-10-05;.4;24.8;65.7;2.7;
2006-10-06;24.2;24.3;82;2.8;
2006-10-07;40.4;23.2;87;1.9;
