Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.99666666
Longitude: -46.98583333
Altitude: 978.11
Situacao: Pane
Data Inicial: 2006-08-21
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-21;null;null;null;null;
2006-08-22;null;null;null;null;
2006-08-23;null;19.1;54.3;1.7;
2006-08-24;0;20.2;55.7;1;
2006-08-25;0;19.9;50.2;2;
2006-08-26;0;20.9;51.4;2.9;
2006-08-27;4;19.9;71;2.2;
2006-08-28;12.2;19.3;80.3;.9;
2006-08-29;.4;21.2;71.5;1.7;
2006-08-30;0;18.9;69.1;3.4;
2006-08-31;0;19.4;67.4;3.4;
2006-09-01;0;21.3;66.8;2;
2006-09-02;24;17;94;1.9;
2006-09-03;9.4;18.3;78.8;1.7;
2006-09-04;0;18.4;75.3;2.1;
2006-09-05;0;15.9;52;2.4;
2006-09-06;0;15.8;68.5;2.8;
2006-09-07;0;18.6;69.9;2.9;
2006-09-08;0;19.3;62.5;2.5;
2006-09-09;0;19;57.6;2;
2006-09-10;0;19.3;53.3;1.5;
2006-09-11;0;20.1;51.2;2;
2006-09-12;0;21.1;49;2;
2006-09-13;0;20.4;42.9;1.5;
2006-09-14;0;21.8;39;1.6;
2006-09-15;0;23;38.4;1.8;
2006-09-16;0;23.6;39.5;1.7;
2006-09-17;0;24.6;35.5;2.7;
2006-09-18;0;24.1;48.1;2.7;
2006-09-19;0;22.4;63.4;2.3;
2006-09-20;0;23;66.7;3.5;
2006-09-21;30.2;19.8;89.1;2.4;
2006-09-22;7.8;20.2;84.6;1.2;
2006-09-23;31.4;22.1;74.6;1.3;
2006-09-24;10;20.5;81.8;1.8;
2006-09-25;0;22.2;71.5;1.5;
2006-09-26;0;20.8;78.3;2;
2006-09-27;0;19.7;73.5;2.9;
2006-09-28;0;19.8;66.6;1.8;
2006-09-29;0;21.5;62.1;1.5;
2006-09-30;0;21.8;66.6;2;
2006-10-01;1.4;20;84.1;2;
2006-10-02;.8;19.1;87.3;1.7;
2006-10-03;4.6;19.9;84.1;1;
2006-10-04;0;21.6;74.8;2;
2006-10-05;56.6;21.6;83;2.6;
2006-10-06;29.2;21.6;82.1;2.8;
2006-10-07;42.8;19.7;92.2;1.5;
2006-10-08;.6;21;83.5;1.1;
2006-10-09;0;20.4;87.5;2;
2006-10-10;5.4;19.5;86.4;2.7;
2006-10-11;0;20.5;75.8;2.1;
2006-10-12;.8;21.7;80.2;2.3;
2006-10-13;0;20.1;88.1;1.9;
2006-10-14;.6;20.2;88.1;1.1;
2006-10-15;0;20.6;84.4;1.3;
2006-10-16;.2;21.9;81.1;1.3;
2006-10-17;1.2;20.7;90.4;1.5;
2006-10-18;2.6;20.9;89.6;1.7;
